"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","","","","False","0x00000000","",""
"","","","","False","0x00000001","",""
"","Come one, come all!","Kommt her, kommt alle!","","False","0x00000002","",""
"","We've the best
prices in the realm!","Wir haben die besten
Preise weit und breit!","","False","0x00000003","",""
"","Zzz......","Zzz ...","","False","0x00000004","",""
"","Any word
on the Empire?","Gibt es Neuigkeiten
aus dem Kaiserreich?","","False","0x00000005","",""
"","Our scouts should
be returning shortly.","Unsere Späher sollten
bald zurück sein.","","False","0x00000006","",""
"","One day,
all this'll be mine!","Eines Tages wird
all dies mir gehören!","","False","0x00000007","",""
"","The wood...
It's watching, you know!","Dieser Wald ...
Er beobachtet uns!","","False","0x00000008","",""
"","You look odd. Did you do
something with your hair?","Nun spann mich nicht
so auf die Folter.","","False","0x00000009","",""
"","A little lanolin
goes a long way.","Dieser hier. Wir werden
mit diesem beginnen.","","False","0x0000000A","",""
"","You can rest now.","Du kannst dich nun ausruhen.","","False","0x0000000B","",""
"","Kweh! Kweeeh!","Kweh! Kweeeh!","","False","0x0000000C","",""
"","Well done. Report to
the Barracks at once.","Gut gemacht.
Erstatte umgehend der
Waldschanze Bericht.","","False","0x0000000D","",""
"","It had to have
been the Ixal.","Das müssen die
Ixal gewesen sein.","","False","0x0000000E","",""
"","The markings
were consistent.","Die Markierungen
stimmen überein.","","False","0x0000000F","",""
"","Allow me to assist
you, good sir.","Erlaubt mir, Euch zu
helfen, guter Herr.","","False","0x00000010","",""
"","I need to be back in
Limsa by sundown!","Ich muss bei Sonnen-
untergang zurück in
Limsa sein.","","False","0x00000011","",""
"","Where in the seven
hells is that woman?","Wo bei den Sieben Höllen
ist diese Frau?","","False","0x00000012","",""
"","  ...","...","","False","0x00000013","",""
"","  ...","...","","False","0x00000014","",""
"","Zzz...","Zzz ...","","False","0x00000015","",""
"","Just what we need.
Another outsider...","Die Fremden können uns gestohlen bleiben. Die machen doch nur Ärger ...","","False","0x00000016","",""
"","Where in Oschon's name
are those damned Ixal?","Wo in Oschons Namen
sind diese verdammten Ixal?","","False","0x00000017","",""
"","Those are some
right fine birds.","Das sind ein paar
wirklich feine Vögel.","","False","0x00000018","",""
"","The markets are
beyond this passage.","Die Marktstände sind
hinter dieser Passage.","","False","0x00000019","",""
"","Kwaaark! Kwaaaaaark!","Kweh! Kweeeh!","","False","0x0000001A","",""
"","You can do it, girl!
Now push!","Du schaffst es, Mädchen!
Jetzt drrrücken!","","False","0x0000001B","",""
"","What if we were to
entreat the spirits?","Und wenn wir die
Gebieter anflehen würden?","","False","0x0000001C","",""
"","Would you have your
mother wipe your arse?","Lässt du dir etwa noch
von deiner Mutter den
Hintern abwischen?","","False","0x0000001D","",""
