"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","None","Nichts","","False","0x00000000","",""
"","None","Nichts","","False","0x00000001","",""
"","Fade to Black","Abgestuftes Schwarz","","False","0x00000002","",""
"","Fade to White","Abgestuftes Weiß","","False","0x00000003","",""
"","Solid White","Schlichtes Weiß","","False","0x00000004","",""
"","Metallic Silver","Schlichtes Silber","","False","0x00000005","",""
"","Metallic Gold","Schlichtes Gold","","False","0x00000006","",""
"","Journal","Archiv","","False","0x00000007","",""
"","Plain","Schlichtes Beige","","False","0x00000008","",""
"","Beveled","Schlichte Prägung","","False","0x00000009","",""
"","Antique","Antik","","False","0x0000000A","",""
"","Corner Accent","Verzierte Ecken","","False","0x0000000B","",""
"","Paladin","Paladin","","False","0x0000000C","",""
"","Warrior","Krieger","","False","0x0000000D","",""
"","Dark Knight","Dunkelritter","","False","0x0000000E","",""
"","Gunbreaker","Revolverklinge","","False","0x0000000F","",""
"","White Mage","Weißmagier","","False","0x00000010","",""
"","Scholar","Gelehrter","","False","0x00000011","",""
"","Astrologian","Astrologe","","False","0x00000012","",""
"","Sage","Weiser","","False","0x00000013","",""
"","Monk","Mönch","","False","0x00000014","",""
"","Dragoon","Dragoon","","False","0x00000015","",""
"","Ninja","Ninja","","False","0x00000016","",""
"","Samurai","Samurai","","False","0x00000017","",""
"","Reaper","Schnitter","","False","0x00000018","",""
"","Bard","Barde","","False","0x00000019","",""
"","Machinist","Maschinist","","False","0x0000001A","",""
"","Dancer","Tänzer","","False","0x0000001B","",""
"","Black Mage","Schwarzmagier","","False","0x0000001C","",""
"","Summoner","Beschwörer","","False","0x0000001D","",""
"","Red Mage","Rotmagier","","False","0x0000001E","",""
"","Team Astra","Team Astra","","False","0x0000001F","",""
"","Team Umbra","Team Umbra","","False","0x00000020","",""
"","Final Conflict 1","Kristallkönig (1. Saison)","","False","0x00000021","",""
"","Endless Conflict 1","Kristallfürst (1. Saison)","","False","0x00000022","",""
"","Rising Conflict 1","Kristallkämpfer (1. Saison)","","False","0x00000023","",""
"","Bronze Conflict 1","Crystalline Conflict: Bronze (1. Saison)","","False","0x00000024","",""
"","Silver Conflict 1","Crystalline Conflict: Silber (1. Saison)","","False","0x00000025","",""
"","Gold Conflict 1","Crystalline Conflict: Gold (1. Saison)","","False","0x00000026","",""
"","Platinum Conflict 1","Crystalline Conflict: Platin (1. Saison)","","False","0x00000027","",""
"","Diamond Conflict 1","Crystalline Conflict: Diamant (1. Saison)","","False","0x00000028","",""
"","Crystal Conflict 1","Crystalline Conflict: Kristall (1. Saison)","","False","0x00000029","",""
"","Companion 1","Companion-App 1","","False","0x0000002A","",""
"","Companion 2","Companion-App 2","","False","0x0000002B","",""
"","Unending Coil of Bahamut","Endlose Schatten von Bahamut (fatal)","","False","0x0000002C","",""
"","Weapon's Refrain","Heldenlied von Ultima (fatal)","","False","0x0000002D","",""
"","Epic of Alexander","Alexander (fatal)","","False","0x0000002E","",""
"","Dragonsong's Reprise","Drachenkrieg (fatal)","","False","0x0000002F","",""
"","Final Conflict 2","Kristallkönig (2. Saison)","","False","0x00000030","",""
"","Endless Conflict 2","Kristallfürst (2. Saison)","","False","0x00000031","",""
"","Rising Conflict 2","Kristallkämpfer (2. Saison)","","False","0x00000032","",""
"","Bronze Conflict 2","Crystalline Conflict: Bronze (2. Saison)","","False","0x00000033","",""
"","Silver Conflict 2","Crystalline Conflict: Silber (2. Saison)","","False","0x00000034","",""
"","Gold Conflict 2","Crystalline Conflict: Gold (2. Saison)","","False","0x00000035","",""
"","Platinum Conflict 2","Crystalline Conflict: Platin (2. Saison)","","False","0x00000036","",""
"","Diamond Conflict 2","Crystalline Conflict: Diamant (2. Saison)","","False","0x00000037","",""
"","Crystal Conflict 2","Crystalline Conflict: Kristall (2. Saison)","","False","0x00000038","",""
"","Final Conflict 3","Kristallkönig (3. Saison)","","False","0x00000039","",""
"","Endless Conflict 3","Kristallfürst (3. Saison)","","False","0x0000003A","",""
"","Rising Conflict 3","Kristallkämpfer (3. Saison)","","False","0x0000003B","",""
"","Bronze Conflict 3","Crystalline Conflict: Bronze (3. Saison)","","False","0x0000003C","",""
"","Silver Conflict 3","Crystalline Conflict: Silber (3. Saison)","","False","0x0000003D","",""
"","Gold Conflict 3","Crystalline Conflict: Gold (3. Saison)","","False","0x0000003E","",""
"","Platinum Conflict 3","Crystalline Conflict: Platin (3. Saison)","","False","0x0000003F","",""
"","Diamond Conflict 3","Crystalline Conflict: Diamant (3. Saison)","","False","0x00000040","",""
"","Crystal Conflict 3","Crystalline Conflict: Kristall (3. Saison)","","False","0x00000041","",""
"","Azure Conflict","Crystalline Conflict: Blau","","False","0x00000042","",""
"","Crimson Conflict","Crystalline Conflict: Rot","","False","0x00000043","",""
"","Sil'dihn Subterrane (Variant)","Unstetes Gewölbe: Die Unterstadt von Sil'dih","","False","0x00000044","",""
"","Comic Panel","Comic","","False","0x00000045","",""
"","Metallic Arch","Metallbogen","","False","0x00000046","",""
"","Film","Film","","False","0x00000047","",""
"","Focus Lines","Konzentrationslinien","","False","0x00000048","",""
"","Fog","Schwarzer Dunst","","False","0x00000049","",""
"","Black Lace","Schwarze Spitze","","False","0x0000004A","",""
"","White Lace","Weiße Spitze","","False","0x0000004B","",""
"","NQ Item","NQ-Gegenstand ","","False","0x0000004C","",""
"","HQ Item","HQ-Gegenstand","","False","0x0000004D","",""
"","","","","False","0x0000004E","",""
"","","","","False","0x0000004F","",""
"","","","","False","0x00000050","",""
"","","","","False","0x00000051","",""
"","","","","False","0x00000052","",""
"","","","","False","0x00000053","",""
"","","","","False","0x00000054","",""
"","","","","False","0x00000055","",""
"","","","","False","0x00000056","",""
"","","","","False","0x00000057","",""
"","","","","False","0x00000058","",""
"","","","","False","0x00000059","",""
"","","","","False","0x0000005A","",""
"","","","","False","0x0000005B","",""
"","","","","False","0x0000005C","",""
"","","","","False","0x0000005D","",""
"","","","","False","0x0000005E","",""
"","","","","False","0x0000005F","",""
"","","","","False","0x00000060","",""
"","","","","False","0x00000061","",""
"","","","","False","0x00000062","",""
"","","","","False","0x00000063","",""
"","","","","False","0x00000064","",""

