"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","<tab><tab>","<tab><tab>","","False","0x00000000","",""
"","the Thousand Maws of Toto<var 1F /var>Rak<tab><tab>f1r1_re","Tausend Löcher von Toto-Rak<tab><tab>f1r1_re","","False","0x00000001","",""
"","the Tam<var 1F /var>Tara Deepcroft<tab><tab>f1d1_re","Totenacker Tam-Tara<tab><tab>f1d1_re","","False","0x00000002","",""
"","Copperbell Mines<tab><tab>w1d1_re","Kupferglocken-Mine<tab><tab>w1d1_re","","False","0x00000003","",""
"","Sastasha<tab><tab>s1d1_re","Sastasha<tab><tab>s1d1_re","","False","0x00000004","",""
"","the Aurum Vale<tab><tab>r1r2","Goldklamm<tab><tab>r1r2","","False","0x00000005","",""
"","Haukke Manor<tab><tab>f1d2_re","Haukke-Herrenhaus<tab><tab>f1d2_re","","False","0x00000006","",""
"","Halatali<tab><tab>w1d2","Halatali<tab><tab>w1d2","","False","0x00000007","",""
"","Brayflox's Longstop<tab><tab>s1d2_re","Brüllvolx' Langrast<tab><tab>s1d2_re","","False","0x00000008","",""
"","the Sunken Temple of Qarn<tab><tab>w1d3","Versunkener Tempel von Qarn<tab><tab>w1d3","","False","0x00000009","",""
"","the Wanderer's Palace<tab><tab>s1d3","Palast des Wanderers<tab><tab>s1d3","","False","0x0000000A","",""
"","the Stone Vigil<tab><tab>r1d1_re","Steinerne Wacht<tab><tab>r1d1_re","","False","0x0000000B","",""
"","Cutter's Cry<tab><tab>w1r1","Sägerschrei<tab><tab>w1r1","","False","0x0000000C","",""
"","Dzemael Darkhold<tab><tab>r1r1","Die Feste Dzemael<tab><tab>r1r1","","False","0x0000000D","",""
"","Amdapor Keep<tab><tab>f1d3","Die Ruinen von Amdapor<tab><tab>f1d3","","False","0x0000000E","",""
"","Castrum Meridianum<tab><tab>w1d4_re","Castrum Meridianum - Außenbereich<tab><tab>w1d4_re","","False","0x0000000F","",""
"","the Praetorium<tab><tab>w1d5_re","Castrum Meridianum - Praetorium<tab><tab>w1d5_re","","False","0x00000010","",""
"","Pharos Sirius<tab><tab>s1d4","Pharos Sirius<tab><tab>s1d4","","False","0x00000011","",""
"","Copperbell Mines (Hard)<tab><tab>w1d6","Kupferglocken-Mine (schwer)<tab><tab>w1d6","","False","0x00000012","",""
"","Haukke Manor (Hard)<tab><tab>f1d4","Haukke-Herrenhaus (schwer)<tab><tab>f1d4","","False","0x00000013","",""
"","Brayflox's Longstop (Hard)<tab><tab>s1d6","Brüllvolx' Langrast (schwer)<tab><tab>s1d6","","False","0x00000014","",""
"","Halatali (Hard)<tab><tab>w1d7","Halatali (schwer)<tab><tab>w1d7","","False","0x00000015","",""
"","the Lost City of Amdapor<tab><tab>f1d5","Historisches Amdapor<tab><tab>f1d5","","False","0x00000016","",""
"","Hullbreaker Isle<tab><tab>s1d5","Schiffbrecher-Insel<tab><tab>s1d5","","False","0x00000017","",""
"","the Tam<var 1F /var>Tara Deepcroft (Hard)<tab><tab>f1d6","Totenacker Tam-Tara (schwer)<tab><tab>f1d6","","False","0x00000018","",""
"","the Stone Vigil (Hard)<tab><tab>r1d2","Steinerne Wacht (schwer)<tab><tab>r1d2","","False","0x00000019","",""
"","the Sunken Temple of Qarn (Hard)<tab><tab>w1d8","Versunkener Tempel von Qarn (schwer)<tab><tab>w1d8","","False","0x0000001A","",""
"","Snowcloak<tab><tab>r1d3_re","Das Schneekleid<tab><tab>r1d3_re","","False","0x0000001B","",""
"","Sastasha (Hard)<tab><tab>s1d7","Sastasha (schwer)<tab><tab>s1d7","","False","0x0000001C","",""
"","Amdapor Keep (Hard)<tab><tab>f1d7","Die Ruinen von Amdapor (schwer)<tab><tab>f1d7","","False","0x0000001D","",""
"","the Wanderer's Palace (Hard)<tab><tab>s1d8","Palast des Wanderers (schwer)<tab><tab>s1d8","","False","0x0000001E","",""
"","the Great Gubal Library<tab><tab>d2d3_re","Große Gubal-Bibliothek<tab><tab>d2d3_re","","False","0x0000001F","",""
"","the Keeper of the Lake<tab><tab>l1d1_re","Hüter des Sees<tab><tab>l1d1_re","","False","0x00000020","",""
"","Neverreap<tab><tab>a2d2","Nimmerreich<tab><tab>a2d2","","False","0x00000021","",""
"","the Vault<tab><tab>r2d2_re","Erzbasilika<tab><tab>r2d2_re","","False","0x00000022","",""
"","the Fractal Continuum<tab><tab>a2d3","Die Fraktal-Kontinuum<tab><tab>a2d3","","False","0x00000023","",""
"","the Dusk Vigil<tab><tab>r2d1","Abendrot-Wacht<tab><tab>r2d1","","False","0x00000024","",""
"","Sohm Al<tab><tab>d2d1_re","Sohm Al<tab><tab>d2d1_re","","False","0x00000025","",""
"","the Aetherochemical Research Facility<tab><tab>a2d1_re","Ätherochemisches For<var 16 /var>schungs<var 16 /var>labor<tab><tab>a2d1_re","","False","0x00000026","",""
"","the Aery<tab><tab>d2d2_re","Nest des Drachen<tab><tab>d2d2_re","","False","0x00000027","",""
"","Pharos Sirius (Hard)<tab><tab>s1d9","Pharos Sirius (schwer)<tab><tab>s1d9","","False","0x00000028","",""
"","Saint Mocianne's Arboretum<tab><tab>d2d4","Sankt Mocianne-Arboretum<tab><tab>d2d4","","False","0x00000029","",""
"","Basic Training: Enemy Parties<tab><tab>go001","Einer für alle, alle für einen<tab><tab>go001","","False","0x0000002A","",""
"","Under the Armor<tab><tab>go002","Bockmanns Gefolge<tab><tab>go002","","False","0x0000002B","",""
"","Basic Training: Enemy Strongholds<tab><tab>go003","Sturmkommando<tab><tab>go003","","False","0x0000002C","",""
"","Hero on the Half Shell<tab><tab>go004","Gil oder Leben<tab><tab>go004","","False","0x0000002D","",""
"","Pulling Poison Posies<tab><tab>go005","Unkraut jäten<tab><tab>go005","","False","0x0000002E","",""
"","Stinging Back<tab><tab>go006","Ins Wespennest stechen<tab><tab>go006","","False","0x0000002F","",""
"","All's Well that Ends in the Well<tab><tab>go007","Briaxio ausschalten<tab><tab>go007","","False","0x00000030","",""
"","Flicking Sticks and Taking Names<tab><tab>go008","Bombige Goblins<tab><tab>go008","","False","0x00000031","",""
"","More than a Feeler<tab><tab>go009","Tödliches Rankenspiel<tab><tab>go009","","False","0x00000032","",""
"","Annoy the Void<tab><tab>go010","Gefahr aus dem Nichts<tab><tab>go010","","False","0x00000033","",""
"","Shadow and Claw<tab><tab>go011","Kampf gegen Schatten<tab><tab>go011","","False","0x00000034","",""
"","Long Live the Queen<tab><tab>go012","Miss Bombastic<tab><tab>go012","","False","0x00000035","",""
"","Ward Up<tab><tab>go013","Unzertrennlich<tab><tab>go013","","False","0x00000036","",""
"","Solemn Trinity<tab><tab>go014","Wuchtige Dreifaltigkeit<tab><tab>go014","","False","0x00000037","",""
"","the Bowl of Embers<tab><tab>w1fa_re","Das Grab der Lohe<tab><tab>w1fa_re","","False","0x00000038","",""
"","the Navel<tab><tab>s1fa_re","Der Nabel<tab><tab>s1fa_re","","False","0x00000039","",""
"","the Howling Eye<tab><tab>r1fa_re","Das Tosende Auge<tab><tab>r1fa_re","","False","0x0000003A","",""
"","the Bowl of Embers (Hard)<tab><tab>w1fa_2","Götterdämmerung - Ifrit<tab><tab>w1fa_2","","False","0x0000003B","",""
"","the Navel (Hard)<tab><tab>s1fa_2","Götterdämmerung - Titan<tab><tab>s1fa_2","","False","0x0000003C","",""
"","the Howling Eye (Hard)<tab><tab>r1fa_2","Götterdämmerung - Garuda<tab><tab>r1fa_2","","False","0x0000003D","",""
"","<tab><tab>","<tab><tab>","","False","0x0000003E","",""
"","the Bowl of Embers (Extreme)<tab><tab>w1fa_3","Zenit der Götter - Ifrit<tab><tab>w1fa_3","","False","0x0000003F","",""
"","the Navel (Extreme)<tab><tab>s1fa_3","Zenit der Götter - Titan<tab><tab>s1fa_3","","False","0x00000040","",""
"","the Howling Eye (Extreme)<tab><tab>r1fa_3","Zenit der Götter - Garuda<tab><tab>r1fa_3","","False","0x00000041","",""
"","Thornmarch (Hard)<tab><tab>f1fa_re","Königliche Konfrontation (schwer)<tab><tab>f1fa_re","","False","0x00000042","",""
"","Thornmarch (Extreme)<tab><tab>f1fa_2","Königliche Konfrontation (extrem)<tab><tab>f1fa_2","","False","0x00000043","",""
"","the Minstrel's Ballad: Ultima's Bane<tab><tab>w1fb","Heldenlied von Ultima<tab><tab>w1fb","","False","0x00000044","",""
"","The Gilded Araya<tab><tab>z1z4","Arayas Palast<tab><tab>z1z4","","False","0x00000045","",""
"","Special Event I<tab><tab>z1z1","Event-Inhalt 1<tab><tab>z1z1","","False","0x00000046","",""
"","Special Event II<tab><tab>z1z2","Event-Inhalt 2<tab><tab>z1z2","","False","0x00000047","",""
"","the <var 1A 02 /var>Whorleater<var 1A 01 /var> (Hard)<tab><tab>o1fa","Götterdämmerung - Leviathan<tab><tab>o1fa","","False","0x00000048","",""
"","the <var 1A 02 /var>Whorleater<var 1A 01 /var> (Extreme)<tab><tab>o1fa_2","Zenit der Götter - Leviathan<tab><tab>o1fa_2","","False","0x00000049","",""
"","A Relic Reborn: the Chimera<tab><tab>r1f1_battle","Kampf gegen die Dhorme-Chimära<tab><tab>r1f1_battle","","False","0x0000004A","",""
"","A Relic Reborn: the Hydra<tab><tab>w1d2_battle","Kampf gegen die Hydra<tab><tab>w1d2_battle","","False","0x0000004B","",""
"","Battle on the Big Bridge<tab><tab>r1fb","Duell auf der großen Brücke<tab><tab>r1fb","","False","0x0000004C","",""
"","the Striking Tree (Hard)<tab><tab>f1fb","Götterdämmerung - Ramuh<tab><tab>f1fb","","False","0x0000004D","",""
"","the Striking Tree (Extreme)<tab><tab>f1fb_2","Zenit der Götter - Ramuh<tab><tab>f1fb_2","","False","0x0000004E","",""
"","the Akh Afah Amphitheatre (Hard)<tab><tab>r1fc","Götterdämmerung - Shiva<tab><tab>r1fc","","False","0x0000004F","",""
"","the Akh Afah Amphitheatre (Extreme)<tab><tab>r1fc_2","Zenit der Götter - Shiva<tab><tab>r1fc_2","","False","0x00000050","",""
"","the Dragon's Neck<tab><tab>w1d7_battle","Das Drachenhals-Kolosseum<tab><tab>w1d7_battle","","False","0x00000051","",""
"","Urth's Fount<tab><tab>f1f3_battle","Jenseits Urths Quelle<tab><tab>f1f3_battle","","False","0x00000052","",""
"","<tab><tab>","<tab><tab>","","False","0x00000053","",""
"","the Chrysalis<tab><tab>z1e9","Chrysalis<tab><tab>z1e9","","False","0x00000054","",""
"","Battle in the Big Keep<tab><tab>f1d3_battle","Revanche in den Ruinen<tab><tab>f1d3_battle","","False","0x00000055","",""
"","Thok ast Thok (Hard)<tab><tab>d2fa","Götterdämmerung - Ravana<tab><tab>d2fa","","False","0x00000056","",""
"","Thok ast Thok (Extreme)<tab><tab>d2fa_2","Zenit der Götter - Ravana<tab><tab>d2fa_2","","False","0x00000057","",""
"","the Limitless Blue (Hard)<tab><tab>a2fa","Götterdämmerung - Bismarck<tab><tab>a2fa","","False","0x00000058","",""
"","the Limitless Blue (Extreme)<tab><tab>a2fa_2","Zenit der Götter - Bismarck<tab><tab>a2fa_2","","False","0x00000059","",""
"","the Singularity Reactor<tab><tab>a2fb","Singularitäts-Reaktor<tab><tab>a2fb","","False","0x0000005A","",""
"","the Minstrel's Ballad: Thordan's Reign<tab><tab>a2fb_2","Heldenlied von Thordans Fall<tab><tab>a2fb_2","","False","0x0000005B","",""
"","the Labyrinth of the Ancients<tab><tab>l1r1","Kristallturm - Das Labyrinth der Alten<tab><tab>l1r1","","False","0x0000005C","",""
"","the Binding Coil of Bahamut - Turn 1<tab><tab>s1b1","Verschlungene Schatten 1<tab><tab>s1b1","","False","0x0000005D","",""
"","the Binding Coil of Bahamut - Turn 2<tab><tab>s1b2","Verschlungene Schatten 2<tab><tab>s1b2","","False","0x0000005E","",""
"","the Binding Coil of Bahamut - Turn 3<tab><tab>s1b3","Verschlungene Schatten 3<tab><tab>s1b3","","False","0x0000005F","",""
"","the Binding Coil of Bahamut - Turn 4<tab><tab>s1b4","Verschlungene Schatten 4<tab><tab>s1b4","","False","0x00000060","",""
"","the Binding Coil of Bahamut - Turn 5<tab><tab>s1b5","Verschlungene Schatten 5<tab><tab>s1b5","","False","0x00000061","",""
"","the Second Coil of Bahamut - Turn 1<tab><tab>f1b1","Verschlungene Schatten 2 - 1<tab><tab>f1b1","","False","0x00000062","",""
"","the Second Coil of Bahamut - Turn 2<tab><tab>f1b2","Verschlungene Schatten 2 - 2<tab><tab>f1b2","","False","0x00000063","",""
"","the Second Coil of Bahamut - Turn 3<tab><tab>f1b3","Verschlungene Schatten 2 - 3<tab><tab>f1b3","","False","0x00000064","",""
"","the Second Coil of Bahamut - Turn 4<tab><tab>f1b4","Verschlungene Schatten 2 - 4<tab><tab>f1b4","","False","0x00000065","",""
"","Syrcus Tower<tab><tab>l1r2","Kristallturm - Der Syrcus-Turm<tab><tab>l1r2","","False","0x00000066","",""
"","the Second Coil of Bahamut (Savage) - Turn 1<tab><tab>f1b1_2","Verschlungene Schatten 2 - 1 (episch)<tab><tab>f1b1_2","","False","0x00000067","",""
"","the Second Coil of Bahamut (Savage) - Turn 2<tab><tab>f1b2_2","Verschlungene Schatten 2 - 2 (episch)<tab><tab>f1b2_2","","False","0x00000068","",""
