"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_CMNDEFLINKSHELL_00006_TALK<tab>","TEXT_CMNDEFLINKSHELL_00006_TALK<tab>（★未使用／削除予定★）","","False","0x00000000","",""
"","TEXT_CMNDEFLINKSHELL_00006_MENU_TITLE<tab>","TEXT_CMNDEFLINKSHELL_00006_MENU_TITLE<tab>（★未使用／削除予定★）","","False","0x00000001","",""
"","TEXT_CMNDEFLINKSHELL_00006_MENU_SELECTION_0<tab>","TEXT_CMNDEFLINKSHELL_00006_MENU_SELECTION_0<tab>（★未使用／削除予定★）","","False","0x00000002","",""
"","TEXT_CMNDEFLINKSHELL_00006_MENU_SELECTION_1<tab>","TEXT_CMNDEFLINKSHELL_00006_MENU_SELECTION_1<tab>（★未使用／削除予定★）","","False","0x00000003","",""
"","TEXT_CMNDEFLINKSHELL_00006_MENU_SELECTION_2<tab>","TEXT_CMNDEFLINKSHELL_00006_MENU_SELECTION_2<tab>（★未使用／削除予定★）","","False","0x00000004","",""
"","TEXT_CMNDEFLINKSHELL_00006_MENU_DESCRIPTION<tab>","TEXT_CMNDEFLINKSHELL_00006_MENU_DESCRIPTION<tab>（★未使用／削除予定★）","","False","0x00000005","",""
"","TEXT_CMNDEFLINKSHELL_00006_PROMPT_TITLE<tab>","TEXT_CMNDEFLINKSHELL_00006_PROMPT_TITLE<tab>（★未使用／削除予定★）","","False","0x00000006","",""
"","TEXT_CMNDEFLINKSHELL_00006_PROMPT_MESSAGE0<tab>","TEXT_CMNDEFLINKSHELL_00006_PROMPT_MESSAGE0<tab>（★未使用／削除予定★）","","False","0x00000007","",""
"","TEXT_CMNDEFLINKSHELL_00006_PROMPT_MESSAGE1<tab>","TEXT_CMNDEFLINKSHELL_00006_PROMPT_MESSAGE1<tab>（★未使用／削除予定★）","","False","0x00000008","",""
"","TEXT_CMNDEFLINKSHELL_00006_PROMPT_HEAD<tab>","TEXT_CMNDEFLINKSHELL_00006_PROMPT_HEAD<tab>（★未使用／削除予定★）","","False","0x00000009","",""
"","TEXT_CMNDEFLINKSHELL_00006_CONFIRM_MESSAGE<tab>","TEXT_CMNDEFLINKSHELL_00006_CONFIRM_MESSAGE<tab>（★未使用／削除予定★）","","False","0x0000000A","",""
"","TEXT_CMNDEFLINKSHELL_00006_CONFIRM_YES<tab>","TEXT_CMNDEFLINKSHELL_00006_CONFIRM_YES<tab>（★未使用／削除予定★）","","False","0x0000000B","",""
"","TEXT_CMNDEFLINKSHELL_00006_CONFIRM_NO<tab>","TEXT_CMNDEFLINKSHELL_00006_CONFIRM_NO<tab>（★未使用／削除予定★）","","False","0x0000000C","",""
"","TEXT_CMNDEFLINKSHELL_00006_FINISH<tab>","TEXT_CMNDEFLINKSHELL_00006_FINISH<tab>（★未使用／削除予定★）","","False","0x0000000D","",""
"","TEXT_CMNDEFLINKSHELL_00006_FIRST_TALK_001<tab>I represent the interests of the nations in educating adventurers on the technologies available for strengthening the bonds between them.","TEXT_CMNDEFLINKSHELL_00006_FIRST_TALK_001<tab>Möchtest du unsere Dienste in Anspruch nehmen? Bei mir kannst du einen Kontaktkreis anlegen, wenn du willst.","","False","0x0000000E","",""
"","TEXT_CMNDEFLINKSHELL_00006_FIRST_TALK_002<tab>To that end, I would like to introduce to you the “linkshell.”","TEXT_CMNDEFLINKSHELL_00006_FIRST_TALK_002<tab>Dann kannst du ganz leicht mit weit entfernten Freunden in Verbindung bleiben. Na, wie wär's? Darauf kann heutzutage kein Abenteurer mehr verzichten.","","False","0x0000000F","",""
"","TEXT_CMNDEFLINKSHELL_00006_FIRST_TALK_003<tab>A linkshell enables you to communicate with others over any distance, as if they were before your very eyes!","TEXT_CMNDEFLINKSHELL_00006_FIRST_TALK_003<tab>Es ist ganz einfach. Du legst einen Kontaktkreis an und forderst dann deine Freunde auf, einzutreten. Danach kannst du mit ihnen sprechen, wo auch immer sie sich gerade aufhalten.","","False","0x00000010","",""
"","TEXT_CMNDEFLINKSHELL_00006_FIRST_TALK_004<tab>You may have as many as eight linkshells open at any given time, allowing you to communicate simultaneously with any number of people. The only time your physical presence is required is...well, never!","TEXT_CMNDEFLINKSHELL_00006_FIRST_TALK_004<tab>Nur beim Einladen müsst ihr euch persönlich gegen<var 16 /var>über<var 16 /var>stehen. Etwas lästig, ich weiß, aber das dient auch deinem eigenen Schutz. Du möchtest doch sicher wissen, wen du da in dein Netzwerk lässt.","","False","0x00000011","",""
"","TEXT_CMNDEFLINKSHELL_00006_FIRST_TALK_005<tab>Would you care to give it a try? I can create a personal linkshell for you now, if you like.","TEXT_CMNDEFLINKSHELL_00006_FIRST_TALK_005<tab>Möchtest du es mal versuchen? Ich kann dir einen eigenen Kontaktkreis erstellen, wenn du magst.","","False","0x00000012","",""
"","TEXT_CMNDEFLINKSHELL_00006_MAIN_TALK_001<tab>Would you like to learn more about linkshells? Or are you perhaps interested in creating your own?","TEXT_CMNDEFLINKSHELL_00006_MAIN_TALK_001<tab>Möchtest du mehr über Kontaktkreise erfahren? Oder hast du Interesse daran, deinen eigenen Kontaktkreis zu erstellen?","","False","0x00000013","",""
"","TEXT_CMNDEFLINKSHELL_00006_MAINMENU_Q1_000_1<tab>What would you like to do?","TEXT_CMNDEFLINKSHELL_00006_MAINMENU_Q1_000_1<tab>Was möchtest du tun?","","False","0x00000014","",""
"","TEXT_CMNDEFLINKSHELL_00006_MAINMENU_A1_000_1<tab>Hear a basic explanation of linkshells.","TEXT_CMNDEFLINKSHELL_00006_MAINMENU_A1_000_1<tab>Allgemeines über Kontaktkreise erfahren","","False","0x00000015","",""
"","TEXT_CMNDEFLINKSHELL_00006_MAINMENU_A2_000_1<tab>Learn more about using linkshells.","TEXT_CMNDEFLINKSHELL_00006_MAINMENU_A2_000_1<tab>Mehr zur Benutzung von Kontaktkreisen erfahren","","False","0x00000016","",""
"","TEXT_CMNDEFLINKSHELL_00006_MAINMENU_A3_000_1<tab>Create, rename, or disband a linkshell.","TEXT_CMNDEFLINKSHELL_00006_MAINMENU_A3_000_1<tab>Einen Kontaktkreis erstellen, umbenennen oder auflösen","","False","0x00000017","",""
"","TEXT_CMNDEFLINKSHELL_00006_MAINMENU_A4_000_1<tab>Nothing.","TEXT_CMNDEFLINKSHELL_00006_MAINMENU_A4_000_1<tab>Nichts","","False","0x00000018","",""
"","TEXT_CMNDEFLINKSHELL_00006_GUIDEMENU_TALK_001<tab>What would you like to learn more about?","TEXT_CMNDEFLINKSHELL_00006_GUIDEMENU_TALK_001<tab>Worüber möchtest du mehr erfahren?","","False","0x00000019","",""
"","TEXT_CMNDEFLINKSHELL_00006_GUIDEMENU_Q1_000_1<tab>What will you ask?","TEXT_CMNDEFLINKSHELL_00006_GUIDEMENU_Q1_000_1<tab>Was willst du fragen?","","False","0x0000001A","",""
"","TEXT_CMNDEFLINKSHELL_00006_GUIDEMENU_A1_000_1<tab>How do I create a linkshell?","TEXT_CMNDEFLINKSHELL_00006_GUIDEMENU_A1_000_1<tab>Wie erstelle ich einen Kontaktkreis?","","False","0x0000001B","",""
"","TEXT_CMNDEFLINKSHELL_00006_GUIDEMENU_A2_000_1<tab>How do I invite others to join my linkshell?","TEXT_CMNDEFLINKSHELL_00006_GUIDEMENU_A2_000_1<tab>Wie lade ich andere in meinen Kontaktkreis ein?","","False","0x0000001C","",""
"","TEXT_CMNDEFLINKSHELL_00006_GUIDEMENU_A3_000_1<tab>How do I join a linkshell?","TEXT_CMNDEFLINKSHELL_00006_GUIDEMENU_A3_000_1<tab>Wie trete ich einem Kontaktkreis bei?","","False","0x0000001D","",""
"","TEXT_CMNDEFLINKSHELL_00006_GUIDEMENU_A4_000_1<tab>How do I communicate using a linkshell?","TEXT_CMNDEFLINKSHELL_00006_GUIDEMENU_A4_000_1<tab>Wie kommuniziere ich im Kontaktkreis?","","False","0x0000001E","",""
"","TEXT_CMNDEFLINKSHELL_00006_GUIDEMENU_A5_000_1<tab>Who are linkshell leaders and masters?","TEXT_CMNDEFLINKSHELL_00006_GUIDEMENU_A5_000_1<tab>Was sind Kontaktkreis-Meister und -Anführer?","","False","0x0000001F","",""
"","TEXT_CMNDEFLINKSHELL_00006_GUIDEMENU_A6_000_1<tab>How do I quit a linkshell? ","TEXT_CMNDEFLINKSHELL_00006_GUIDEMENU_A6_000_1<tab>Wie trete ich aus einem Kontaktkreis aus?","","False","0x00000020","",""
"","TEXT_CMNDEFLINKSHELL_00006_GUIDEMENU_A7_000_1<tab>How do I disband a linkshell?","TEXT_CMNDEFLINKSHELL_00006_GUIDEMENU_A7_000_1<tab>Wie löse ich einen Kontaktkreis auf?","","False","0x00000021","",""
"","TEXT_CMNDEFLINKSHELL_00006_GUIDEMENU_A8_000_1<tab>Nothing.","TEXT_CMNDEFLINKSHELL_00006_GUIDEMENU_A8_000_1<tab>Nichts.","","False","0x00000022","",""
"","TEXT_CMNDEFLINKSHELL_00006_PROCEDUREMENU_TALK_001<tab>Excellent! Shall I create a new linkshell for you? Or do you wish to make changes to an existing one?","TEXT_CMNDEFLINKSHELL_00006_PROCEDUREMENU_TALK_001<tab>Ausgezeichnet! Soll ich einen neuen Kontaktkreis für dich erstellen? Oder möchtest du Änderungen an einem bereits vorhandenen vornehmen?","","False","0x00000023","",""
"","TEXT_CMNDEFLINKSHELL_00006_PROCEDUREMENU_Q1_000_1<tab>What would you like to do?","TEXT_CMNDEFLINKSHELL_00006_PROCEDUREMENU_Q1_000_1<tab>Was möchtest du tun?","","False","0x00000024","",""
"","TEXT_CMNDEFLINKSHELL_00006_PROCEDUREMENU_A1_000_1<tab>Create a linkshell.","TEXT_CMNDEFLINKSHELL_00006_PROCEDUREMENU_A1_000_1<tab>Kontaktkreis erstellen","","False","0x00000025","",""
"","TEXT_CMNDEFLINKSHELL_00006_PROCEDUREMENU_A2_000_1<tab>Rename a linkshell.","TEXT_CMNDEFLINKSHELL_00006_PROCEDUREMENU_A2_000_1<tab>Kontaktkreis umbenennen","","False","0x00000026","",""
"","TEXT_CMNDEFLINKSHELL_00006_PROCEDUREMENU_A3_000_1<tab>Promote a member to linkshell master.","TEXT_CMNDEFLINKSHELL_00006_PROCEDUREMENU_A3_000_1<tab>Mitglied zum Kontaktkreis-Meister befördern","","False","0x00000027","",""
"","TEXT_CMNDEFLINKSHELL_00006_PROCEDUREMENU_A4_000_1<tab>Disband a linkshell.","TEXT_CMNDEFLINKSHELL_00006_PROCEDUREMENU_A4_000_1<tab>Kontaktkreis auflösen","","False","0x00000028","",""
"","TEXT_CMNDEFLINKSHELL_00006_PROCEDUREMENU_A5_000_1<tab>Nothing.","TEXT_CMNDEFLINKSHELL_00006_PROCEDUREMENU_A5_000_1<tab>Abbrechen","","False","0x00000029","",""
"","TEXT_CMNDEFLINKSHELL_00006_FIRST_GUIDE_001<tab>A linkshell enables you to communicate with others over any distance, as if they were before your very eyes!","TEXT_CMNDEFLINKSHELL_00006_FIRST_GUIDE_001<tab>Über einen Kontaktkreis kannst du mit deinen Freunden sprechen, wo auch immer sie sich gerade aufhalten.","","False","0x0000002A","",""
"","TEXT_CMNDEFLINKSHELL_00006_FIRST_GUIDE_002<tab>You may have as many as eight linkshells open at any given time, allowing you to communicate simultaneously with any number of people.","TEXT_CMNDEFLINKSHELL_00006_FIRST_GUIDE_002<tab>Du kannst Mitglied in bis zu acht Kontaktkreisen sein, sodass du dich jederzeit mit einer Vielzahl von Leuten unterhalten kannst.","","False","0x0000002B","",""
"","TEXT_CMNDEFLINKSHELL_00006_FIRST_GUIDE_003<tab>The only time your physical presence is required is...well, never!","TEXT_CMNDEFLINKSHELL_00006_FIRST_GUIDE_003<tab>Nur beim Einladen müsst ihr euch persönlich gegen<var 16 /var>über<var 16 /var>stehen. Na ja, zumindest wäre es persönlicher.","","False","0x0000002C","",""
"","TEXT_CMNDEFLINKSHELL_00006_FIRST_GUIDE_004<tab>Would you care to give it a try? I can create a personal linkshell for you now, if you like.","TEXT_CMNDEFLINKSHELL_00006_FIRST_GUIDE_004<tab>Möchtest du es mal versuchen? Ich kann dir einen eigenen Kontaktkreis erstellen, wenn du willst.","","False","0x0000002D","",""
