"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_COMDEFGRANDCOMPANYOFFICER_00073_STORMPERSONNEL_000_000<tab>This is Maelstrom Command, headquarters of Limsa Lominsa's Grand Company. Our doors are open to all who would fight on the side of order and justice.","TEXT_COMDEFGRANDCOMPANYOFFICER_00073_STORMPERSONNEL_000_000<tab>Das Mahlstrom-Flotten<var 16 /var>kommando ist das Hauptquartier der Staatlichen Ge<var 16 /var>sell<var 16 /var>schaft von Limsa Lominsa. Wenn dein Herz für die Freiheit schlägt und du bereit bist, dein Blut für das Gemeinwohl zu vergießen, dann empfangen wir dich mit offenen Armen.","","False","0x00000000","",""
"","TEXT_COMDEFGRANDCOMPANYOFFICER_00073_SERPENTPERSONNEL_000_001<tab>You are come to the Adders' Nest, command center of the Order of the Twin Adder. Ever do we welcome they who would toil in the elementals' name for the survival and well-being of our forest nation.","TEXT_COMDEFGRANDCOMPANYOFFICER_00073_SERPENTPERSONNEL_000_001<tab>Das Abaton der Bruderschaft ist das Hauptquartier der Staatlichen Ge<var 16 /var>sell<var 16 /var>schaft von Gridania. Hier scharen wir mutige Abenteurer um uns, die bereit sind, den Wald zu beschützen und den Willen der Gebieter zu erfüllen.","","False","0x00000001","",""
"","TEXT_COMDEFGRANDCOMPANYOFFICER_00073_FLAMEPERSONNEL_000_002<tab>You stand within the Hall of Flames, the burning heart of operations for the Immortal Flames. We're always seeking kindred souls possessed of unquenchable spirit to join our cause.","TEXT_COMDEFGRANDCOMPANYOFFICER_00073_FLAMEPERSONNEL_000_002<tab>Die Ewige Halle ist das Hauptquartier der Staatlichen Ge<var 16 /var>sell<var 16 /var>schaft von Ul'dah. Zielstrebige Abenteurer wie du sind hier stets willkommen.","","False","0x00000002","",""
"","TEXT_COMDEFGRANDCOMPANYOFFICER_00073_STORMPERSONNEL_000_003<tab>I commend your enthusiasm, but the Maelstrom has no need of one so raw. Come back when you have forged a reputation for yourself.","TEXT_COMDEFGRANDCOMPANYOFFICER_00073_STORMPERSONNEL_000_003<tab>Dein Enthusiasmus ist bewundernswert, aber der Mahlstrom kann mit Grünschnäbeln leider nichts anfangen. Komm wieder, wenn du mehr Erfahrungen gesammelt hast und der Wind und das Meer zu deinen besten Freunden zählen.","","False","0x00000003","",""
"","TEXT_COMDEFGRANDCOMPANYOFFICER_00073_SERPENTPERSONNEL_000_004<tab>While your zeal cannot be denied, you must grow stronger if you are to entwine your destiny with ours. Prove you have the fortitude to weather the fiercest of storms, and then return here.","TEXT_COMDEFGRANDCOMPANYOFFICER_00073_SERPENTPERSONNEL_000_004<tab>Dein Eifer ist beneidenswert, aber du musst noch stärker werden, um bei uns als Mitglied in Betracht zu kommen. Beweise, dass du selbst tobenden Stürmen ohne Angst entgegentreten kannst. Komm wieder hier vorbei, wenn deine Kraft nur mehr von deinem Eifer übertroffen wird! ","","False","0x00000004","",""
"","TEXT_COMDEFGRANDCOMPANYOFFICER_00073_FLAMEPERSONNEL_000_005<tab>I sense something of a fire within you, but it flickers as candlelight. Stoke this inner fire till it becomes a raging inferno, and we can speak again of your part in the Immortal Flames.","TEXT_COMDEFGRANDCOMPANYOFFICER_00073_FLAMEPERSONNEL_000_005<tab>Wer dich genau betrachtet, wird tief in deinem Inneren die Anzeichen einer unsterblichen Seele erkennen können. Du bist auf dem richtigen Weg, aber dein Verlangen muss noch stärker werden. Kehre dein Innerstes nach außen, damit wirklich jeder, dem du gegenübertrittst, sofort erkennt, mit wem er es zu tun hat. Dann ist die Zeit gekommen, deinen Beitritt zur Legion der Unsterblichen ernsthaft in Erwägung zu ziehen.","","False","0x00000005","",""
"","TEXT_COMDEFGRANDCOMPANYOFFICER_00073_SYSTEM_000_006<tab>In order to join a Grand Company, you must progress further in the main scenario.","TEXT_COMDEFGRANDCOMPANYOFFICER_00073_SYSTEM_000_006<tab>Bevor du einer Staatlichen Ge<var 16 /var>sell<var 16 /var>schaft beitreten kannst, musst du im Hauptszenario weiter fortgeschritten sein.","","False","0x00000006","",""
"","TEXT_COMDEFGRANDCOMPANYOFFICER_00073_STORMPERSONNEL_000_007<tab>This is Maelstrom Command, headquarters of Limsa Lominsa's Grand Company.","TEXT_COMDEFGRANDCOMPANYOFFICER_00073_STORMPERSONNEL_000_007<tab>Willkommen im Mahlstrom-Flotten<var 16 /var>kommando, dem Hauptquartier der Staatlichen Ge<var 16 /var>sell<var 16 /var>schaft von Limsa Lominsa.","","False","0x00000007","",""
"","TEXT_COMDEFGRANDCOMPANYOFFICER_00073_STORMPERSONNEL_100_007<tab>If you have no business being here, then begone.","TEXT_COMDEFGRANDCOMPANYOFFICER_00073_STORMPERSONNEL_100_007<tab>Leider können wir uns nur um Wünsche unserer Mitglieder kümmern. Wir bitten um Verständnis.","","False","0x00000008","",""
"","TEXT_COMDEFGRANDCOMPANYOFFICER_00073_SERPENTPERSONNEL_000_008<tab>You are come to the Adders' Nest, command center of the Order of the Twin Adder.","TEXT_COMDEFGRANDCOMPANYOFFICER_00073_SERPENTPERSONNEL_000_008<tab>Hier ist das Abaton der Bruderschaft, das Hauptquartier der Staatlichen Ge<var 16 /var>sell<var 16 /var>schaft von Gridania. ","","False","0x00000009","",""
