"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_REGSEAADVGUILD_00050_SDHODJBI_000_1<tab>Welcome to the Drowning Wench. You need anything, you just give me a shout.","TEXT_REGSEAADVGUILD_00050_SDHODJBI_000_1<tab>Salut et bienvenue au Dauphin noyé. N'hésite pas à me demander si tu as des questions sur notrrre éta<var 16 /var>blis<var 16 /var>se<var 16 /var>ment.","","False","0x00000000","",""
"","TEXT_REGSEAADVGUILD_00050_SDHODJBI_000_2<tab>I serve the louts and drunkards that stumble in through the door. Baderon, the owner, quit the mercenary life to open this place, but he's still more comfortable holding a blade than a mop. So I take care of whatever cleaning needs doing as well.","TEXT_REGSEAADVGUILD_00050_SDHODJBI_000_2<tab>Moi, je suis serrrveuse ici. Tu as dû le remarquer, le patron est un vieux baroudeur, il n'est pas très raffiné. Moi, j'apporte un peu de charme et de délicatesse à notre taverrrne.","","False","0x00000001","",""
"","TEXT_REGSEAADVGUILD_00050_SDHODJBI_000_3<tab>It's a damn sight better than what I was doing after the Calamity hit, let me tell you. Lost about as much as a person can lose, and spent my nights puking cheap ale into the gutter. Baderon found me passed out outside his place one morning, so he took me in, cleaned me up, and helped me swear off the worst of the grog.","TEXT_REGSEAADVGUILD_00050_SDHODJBI_000_3<tab>J'ai perdu ma maison et tous mes rrrêves lors du septième fléau. J'en étais réduite à mourir de faim dans la rue lorsque Baderon a eu la gentillesse de parrrtager un pain de maïs avec moi.","","False","0x00000002","",""
"","TEXT_REGSEAADVGUILD_00050_SDHODJBI_000_4<tab>It's not that I'm working to pay off the favor, you see─more like I just started pitching in with the chores one day, and then never got around to leaving.","TEXT_REGSEAADVGUILD_00050_SDHODJBI_000_4<tab>Je n'irais pas dirrre que c'est par obligation, mais sa générosité m'a décidée à l'aider du mieux que je peux en travaillant ici.","","False","0x00000003","",""
"","TEXT_REGSEAADVGUILD_00050_SDHODJBI_000_5<tab>Morbid? Hah, only if you think the lass is drowning in water. The name has more to do with sinful amounts of ale than aught else, and that's how the sailors and scoundrels in here like it.","TEXT_REGSEAADVGUILD_00050_SDHODJBI_000_5<tab>C'est un peu farrrfelu, mais ça serait parce qu'on sert des tord-boyaux si forts qu'un dauphin n'arriverait plus à nager s'il en buvait. En tout cas, les marins de Limsa Lominsa en redemandent... et c'est à peine s'ils arrivent encore à marrrcher quand ils ressortent d'ici. Hi hi hi<var 1D /var>!","","False","0x00000004","",""
"","TEXT_REGSEAADVGUILD_00050_SDHODJBI_000_6<tab>We see more than a few of you adventurer types as well, and that keeps Baderon busy wiping noses and handing out advice to the greenhorns. He never could resist taking in the strays.","TEXT_REGSEAADVGUILD_00050_SDHODJBI_000_6<tab>On sert également beaucoup d'aven<var 16 /var>tu<var 16 /var>rrriers ici, et le patron, Baderon, est généralement très occupé à leur présenter des offres de travail. Je crois que c'est quelqu'un qui adore aider les autrrres.","","False","0x00000005","",""
"","TEXT_REGSEAADVGUILD_00050_Q1_000_1<tab>What would you like to know?","TEXT_REGSEAADVGUILD_00050_Q1_000_1<tab>Que voulez-vous savoir<var 1D /var>?","","False","0x00000006","",""
"","TEXT_REGSEAADVGUILD_00050_A1_000_1<tab>What do you do here?","TEXT_REGSEAADVGUILD_00050_A1_000_1<tab>Qui êtes-vous<var 1D /var>?","","False","0x00000007","",""
"","TEXT_REGSEAADVGUILD_00050_A1_000_2<tab>The “Drowning Wench.” That's a little morbid, isn't it?","TEXT_REGSEAADVGUILD_00050_A1_000_2<tab>D'où vient le nom de cette taverne<var 1D /var>?","","False","0x00000008","",""
"","TEXT_REGSEAADVGUILD_00050_A1_000_3<tab>Nothing.","TEXT_REGSEAADVGUILD_00050_A1_000_3<tab>Rien en particulier","","False","0x00000009","",""
