"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_REGSEASKYLIFT_00071_WYRKRHIT_000_1<tab>That's some cliff, ain't it? Ye'd never get cargo up an' down that thing without this great bloody mess o' wood an' pulleys.","TEXT_REGSEASKYLIFT_00071_WYRKRHIT_000_1<tab>Ist das nicht eine Wahnsinnsfelswand? Was würden wir nur ohne den Himmelszug machen? All die Leute und Waren zu Fuß hochtragen? Unvorstellbar!","","False","0x00000000","",""
"","TEXT_REGSEASKYLIFT_00071_WYRKRHIT_000_2<tab>A collection o' freight companies banded together to come up with the Skylift ye see here. I guess ye could call me the “face” o' the operation.","TEXT_REGSEASKYLIFT_00071_WYRKRHIT_000_2<tab>Ich heiße Wyrkrhit und betreibe den „Himmelszug“, wie ihn die meisten Leute nennen. Technisch korrekt ist es ein „heißluftbetriebener Lastenheber“, aber Himmelszug ist nun mal schöner. Natürlich betreibe ich ihn nicht alleine - ich bin hier nur der Vorarbeiter.","","False","0x00000001","",""
"","TEXT_REGSEASKYLIFT_00071_WYRKRHIT_000_3<tab>Not that I wield aught more authority than the next bloke, ye understand─with Limsa bein' a place built on the ways o' pirates, every bleedin' act is decided by a vote.","TEXT_REGSEASKYLIFT_00071_WYRKRHIT_000_3<tab>Früher nannte man Limsa Lominsa die Stadt der Piraten und auch wenn Admiral Merlwyb viel geändert hat, haben sich manche ihrer Traditionen erhalten. Zum Beispiel entscheiden Piraten wichtige An<var 16 /var>ge<var 16 /var>legen<var 16 /var>heiten, die alle betreffen, immer per Mehrheitsentscheid und so halten wir es auch beim Betrieb des Himmelszugs.","","False","0x00000002","",""
"","TEXT_REGSEASKYLIFT_00071_WYRKRHIT_000_4<tab>So my job is settin' up meetin's an' presidin' over the votes. The grease on the wheels, as it were.","TEXT_REGSEASKYLIFT_00071_WYRKRHIT_000_4<tab>So kommt es, dass ich dem Namen nach zwar Vorarbeiter bin, aber eigentlich nur unsere Treffen und Abstimmungen leite. Ich sorge dafür, dass die Dinge glatt laufen, aber so richtig zu sagen habe ich nichts. Das ist auch gut so, finde ich.","","False","0x00000003","",""
"","TEXT_REGSEASKYLIFT_00071_WYRKRHIT_100_4<tab>Some days, I'd sooner be drivin' one of them wagons, an' gettin' some <var 1A 02 /var>real<var 1A 01 /var> work done.","TEXT_REGSEASKYLIFT_00071_WYRKRHIT_100_4<tab>Wenn alles glatt läuft, kommen die Waren pünktlich und unbeschadet an und die Leute sind zufrieden. So soll es sein.","","False","0x00000004","",""
"","TEXT_REGSEASKYLIFT_00071_WYRKRHIT_000_5<tab>This operation was set up after the Calamity cracked the very ground, an' raised a cliff clear across middle La Noscea.","TEXT_REGSEASKYLIFT_00071_WYRKRHIT_000_5<tab>Die Siebte Katastrophe hat auch landschaftliche Veränderungen bewirkt. Der „Abstieg“, wie die gigantische Felswand heißt, teilt das zentrale La Noscea nun der ganzen Länge nach von Norden nach Süden. Ohne den Himmelszug wäre sie unüberwindbar und das Land geteilt.","","False","0x00000005","",""
"","TEXT_REGSEASKYLIFT_00071_WYRKRHIT_000_6<tab>Ye might rely on cargo ships for deliveries along the coast, but the folk living inland still need our wagons to get through.","TEXT_REGSEASKYLIFT_00071_WYRKRHIT_000_6<tab>Nahe der Küste transportiert man Waren natürlich leichter mit Schiffen, aber im Landesinneren führt kein Weg am Himmelszug vorbei.","","False","0x00000006","",""
"","TEXT_REGSEASKYLIFT_00071_WYRKRHIT_000_7<tab>This scaffoldin' ain't sturdy enough to hold a fully laden wain, so the ideal solution would be to collapse a section o' the cliff an' make us a ramp. 'Course, no bugger has the time or the resources for that sort of undertakin'. For the time bein', we're stuck usin' what we have.","TEXT_REGSEASKYLIFT_00071_WYRKRHIT_000_7<tab>Natürlich werden immer wieder Pläne diskutiert, eine Rampe für Lastenwagen zu errichten, aber für ein so großes Unterfangen stehen nicht genügend Geldmittel zur Verfügung. Ich denke, der Himmelszug wird uns noch eine Weile erhalten bleiben.","","False","0x00000007","",""
"","TEXT_REGSEASKYLIFT_00071_Q1_000_1<tab>What will you ask?","TEXT_REGSEASKYLIFT_00071_Q1_000_1<tab>Was möchtest du wissen?","","False","0x00000008","",""
"","TEXT_REGSEASKYLIFT_00071_A1_000_1<tab>What do you do here?","TEXT_REGSEASKYLIFT_00071_A1_000_1<tab>Erzähl mir etwas über dich selbst.","","False","0x00000009","",""
"","TEXT_REGSEASKYLIFT_00071_A1_000_2<tab>What kind of place is this?","TEXT_REGSEASKYLIFT_00071_A1_000_2<tab>Erzähl mir etwas über diesen Ort hier.","","False","0x0000000A","",""
"","TEXT_REGSEASKYLIFT_00071_A1_000_3<tab>Nothing.","TEXT_REGSEASKYLIFT_00071_A1_000_3<tab>Nichts.","","False","0x0000000B","",""
