"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_REGWILINN_00061_OTOPAPOTTOPA_000<tab><var 08 E3E90C0D ((<var 08 E3E90C05 ((Good evening)) ((Good morrow)) /var>)) ((<var 08 E3E90C12 ((Good day)) ((Good evening)) /var>)) /var> to you, adventurer. Do you seek lodgings at the Hourglass?","TEXT_REGWILINN_00061_OTOPAPOTTOPA_000<tab>ここは宿屋「砂時計亭」です。<br>……ですが、まだ駈け出しの冒険者はお泊めできません。","","False","0x00000000","",""
"","TEXT_REGWILINN_00061_OTOPAPOTTOPA_001<tab>Pardon me, what was your name again? <var 29 EB02 /var>? Hmmm...I've heard nothing from Mistress Momodi about this. Alas, without her express permission, I cannot permit you to stay.","TEXT_REGWILINN_00061_OTOPAPOTTOPA_001<tab>あなたがウルダハでご活躍され、周囲から信頼を得られましたら<br>モモディ様より利用の許可がおりるでしょう。<br>まずはお仕事に励まれることです。","","False","0x00000001","",""
"","TEXT_REGWILINN_00061_Q1_000_1<tab>What would you like to do?","TEXT_REGWILINN_00061_Q1_000_1<tab>何を聞く？","","False","0x00000002","",""
"","TEXT_REGWILINN_00061_A1_000_1<tab>Ask about the Hourglass.","TEXT_REGWILINN_00061_A1_000_1<tab>宿屋「砂時計亭」とは？","","False","0x00000003","",""
"","TEXT_REGWILINN_00061_A1_000_2<tab>Nothing.","TEXT_REGWILINN_00061_A1_000_2<tab>キャンセル","","False","0x00000004","",""
"","TEXT_REGWILINN_00061_OTOPAPOTTOPA_010<tab>The Hourglass is only the most famous inn on the Merchant Strip.","TEXT_REGWILINN_00061_OTOPAPOTTOPA_010<tab>宿屋「砂時計亭」とは、<br>ウルダハでもっとも有名な宿泊施設です。","","False","0x00000005","",""
"","TEXT_REGWILINN_00061_OTOPAPOTTOPA_011<tab>We have accommodations to satisfy every client's tastes, from lavish suites to simple rooms.","TEXT_REGWILINN_00061_OTOPAPOTTOPA_011<tab>豪商の泊まる最高級のお部屋から<br>旅行者の泊まるお手頃価格のお部屋まで<br>各種、お客様にあわせて取り揃えております。","","False","0x00000006","",""
"","TEXT_REGWILINN_00061_OTOPAPOTTOPA_012<tab>Were circumstances different, I would gladly invite you to make use of our facilities. However, we have had to enact certain policies in the wake of the Calamity and the unpleasantness that followed. Only those who have proven themselves trustworthy are permitted to stay.","TEXT_REGWILINN_00061_OTOPAPOTTOPA_012<tab>もちろん、冒険者むきのお部屋もございます。<br>しかし、霊災以降、少々治安が悪化しており……<br>信頼できるお客さまにしかお部屋をお貸ししておりません。","","False","0x00000007","",""
"","TEXT_REGWILINN_00061_OTOPAPOTTOPA_013<tab>Should Mistress Momodi deem you one such individual, you may enjoy our hospitality at will.","TEXT_REGWILINN_00061_OTOPAPOTTOPA_013<tab>あなたが、お部屋をお貸しできる冒険者であると<br>モモディ様に認められるのをお待ちしております。","","False","0x00000008","",""
"","TEXT_REGWILINN_00061_OTOPAPOTTOPA_020<tab><var 08 E3E90C0D ((<var 08 E3E90C05 ((Good evening)) ((Good morrow)) /var>)) ((<var 08 E3E90C12 ((Good day)) ((Good evening)) /var>)) /var> to you, adventurer. How may I serve you?","TEXT_REGWILINN_00061_OTOPAPOTTOPA_020<tab>こちらは宿屋「砂時計亭」です。<br>ご用件を承ります。","","False","0x00000009","",""
"","TEXT_REGWILINN_00061_Q2_000_1<tab>What would you like to do?","TEXT_REGWILINN_00061_Q2_000_1<tab>何をする？","","False","0x0000000A","",""
"","TEXT_REGWILINN_00061_A2_000_1<tab>Retire to an inn room.","TEXT_REGWILINN_00061_A2_000_1<tab>客室に移動する","","False","0x0000000B","",""
"","TEXT_REGWILINN_00061_A2_000_2<tab>Ask about <var 48 F201F4 /var><var 49 F201F5 /var>resting<var 49 01 /var><var 48 01 /var>.","TEXT_REGWILINN_00061_A2_000_2<tab>客室での休息効果について聞く","","False","0x0000000C","",""
"","TEXT_REGWILINN_00061_A2_000_3<tab>Ask about inn rules.","TEXT_REGWILINN_00061_A2_000_3<tab>客室での禁止事項について聞く","","False","0x0000000D","",""
"","TEXT_REGWILINN_00061_A2_000_4<tab>Ask about the Hourglass.","TEXT_REGWILINN_00061_A2_000_4<tab>宿屋「砂時計亭」について聞く","","False","0x0000000E","",""
"","TEXT_REGWILINN_00061_A2_000_5<tab>Nothing.","TEXT_REGWILINN_00061_A2_000_5<tab>キャンセル","","False","0x0000000F","",""
"","TEXT_REGWILINN_00061_OTOPAPOTTOPA_030<tab>As you wish, <var 08 E905 ((madam)) ((sir)) /var>. Right this way.","TEXT_REGWILINN_00061_OTOPAPOTTOPA_030<tab>ご宿泊ですね、<br>どうぞ、ごゆっくり。","","False","0x00000010","",""
"","TEXT_REGWILINN_00061_OTOPAPOTTOPA_040<tab>The key to leading a productive life is to maintain one's health, and to do that you must needs make time to rest and recover.","TEXT_REGWILINN_00061_OTOPAPOTTOPA_040<tab>宿屋「砂時計亭」のベッドでゆっくり休むと、<br>たまっていた疲れが一気にとれますよ。","","False","0x00000011","",""
"","TEXT_REGWILINN_00061_OTOPAPOTTOPA_041<tab>There are few things more rejuvenating than a good night's sleep after a hard day's work.","TEXT_REGWILINN_00061_OTOPAPOTTOPA_041<tab>近場でお仕事を終えた場合は<br>こちらでお休みになるとよいでしょう。","","False","0x00000012","",""
"","TEXT_REGWILINN_00061_SYSTEM_000_13<tab>Entering an inn room grants a <var 48 F201F4 /var><var 49 F201F5 /var>resting<var 49 01 /var><var 48 01 /var> status. This indicates that you are gradually accumulating a <var 48 F201F4 /var><var 49 F201F5 /var>rested bonus<var 49 01 /var><var 48 01 /var>. Should you log out from inside an inn room, the process will continue while you are offline.","TEXT_REGWILINN_00061_SYSTEM_000_13<tab>宿屋の客室では、「レストボーナス」が貯まります。<br>「レストボーナス」は、宿屋からログアウトした<br>場合も、貯まり続けます。","","False","0x00000013","",""
"","TEXT_REGWILINN_00061_SYSTEM_000_14<tab>While a rested bonus is in effect, experience points earned through combat, synthesis, and gathering are increased by 50%.","TEXT_REGWILINN_00061_SYSTEM_000_14<tab>「レストボーナス」が貯まっている状態で<br>「戦闘」・「製作」・「採集」を行うと、<br>取得できる経験値が1.5倍になります。","","False","0x00000014","",""
