"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_REGROCOBSERVATORY_00110_FORLEMORT_000_000<tab>What do you want? I am a busy man, so I would thank you to be concise.","TEXT_REGROCOBSERVATORY_00110_FORLEMORT_000_000<tab>Que voulez-vous<var 1D /var>? Je suis très occupé, alors faites vite.","","False","0x00000000","",""
"","TEXT_REGROCOBSERVATORY_00110_FORLEMORT_000_001<tab>The signs, the signs... The dragon star burns bright, and Dravanians gather. If you must ask questions, then pray be concise─the heavens demand my attention.","TEXT_REGROCOBSERVATORY_00110_FORLEMORT_000_001<tab>Depuis qu'on a entendu le rugissement, les dragons sont de plus en plus agités, aussi nous devons être plus vigilants que jamais. Si vous avez quelque chose à me demander, soyez <var 08 E905 ((brève)) ((bref)) /var>.","","False","0x00000001","",""
"","TEXT_REGROCOBSERVATORY_00110_FORLEMORT_000_002<tab>Can you not see I am busy? I have little and less time for bumbling purveyors of unwanted wisdom.","TEXT_REGROCOBSERVATORY_00110_FORLEMORT_000_002<tab>Dites donc, vous ne voyez pas que je suis occupé<var 1D /var>? Je n'ai pas le temps de discuter, et surtout pas d'astromancie<var 1D /var>!","","False","0x00000002","",""
"","TEXT_REGROCOBSERVATORY_00110_FORLEMORT_100_001<tab>With the fall of Nidhogg, the dragon star dims... There is much work to be done. Charts to be updated... If you must speak, keep it brief.","TEXT_REGROCOBSERVATORY_00110_FORLEMORT_100_001<tab>Depuis la chute de Nidhogg, l'étoile du dragon brille d'une manière très par<var 16 /var>ti<var 16 /var>cu<var 16 /var>liè<var 16 /var>re. Je dois consigner tous ces changements pour que nous puissions les étudier en détail. Si vous avez des choses à me dire, soyez <var 08 E905 ((brève)) ((bref)) /var>.","","False","0x00000003","",""
"","TEXT_REGROCOBSERVATORY_00110_FORLEMORT_000_003<tab>Can you not see I am busy? I have little and less time for bumbling purveyors of unwanted wisdom.","TEXT_REGROCOBSERVATORY_00110_FORLEMORT_000_003<tab>Qu'est-ce que vous voulez<var 1D /var>? Je n'ai de temps à consacrer à personne, et encore moins à des astromanciens<var 1D /var>!","","False","0x00000004","",""
"","TEXT_REGROCOBSERVATORY_00110_FORLEMORT_000_010<tab>I am Forlemort, chief astrologian of the First Dicasterial Observatorium of Aetherial and Astrological Phenomena─or the “Observatorium” for short.","TEXT_REGROCOBSERVATORY_00110_FORLEMORT_000_010<tab>Je me nomme Forlemort et je suis le directeur de l'Observatoire.","","False","0x00000005","",""
"","TEXT_REGROCOBSERVATORY_00110_FORLEMORT_000_011<tab>The observations we make, and the interpretation thereof, may well determine the future of Ishgard. Not even the slightest margin of error can be borne.","TEXT_REGROCOBSERVATORY_00110_FORLEMORT_000_011<tab>Nos observations et les interprétations qui en résultent pourraient bien déterminer l'avenir d'Ishgard. Nous ne pouvons pas nous permettre la moindre erreur.","","False","0x00000006","",""
"","TEXT_REGROCOBSERVATORY_00110_FORLEMORT_000_012<tab>Suffice it to say, such precise work demands no small amount of concentration. Why, I should like it very much if visitors were forbidden altogether.","TEXT_REGROCOBSERVATORY_00110_FORLEMORT_000_012<tab>Il va sans dire qu'un travail aussi précis que le nôtre exige une con<var 16 /var>cen<var 16 /var>tra<var 16 /var>tion totale. Si cela ne tenait qu'à moi, j'interdirais tous les visiteurs en ces lieux.","","False","0x00000007","",""
"","TEXT_REGROCOBSERVATORY_00110_FORLEMORT_000_013<tab>Another neophyte of Jannequinard's church of absurdity? Take your enchanted cards and your whizzling trinkets elsewhere.","TEXT_REGROCOBSERVATORY_00110_FORLEMORT_000_013<tab>Je n'ai pas de temps à consacrer à quelqu'un qui se dévoue à une discipline comme l'astromancie. Merci d'être passé<var 08 E905 ((e)) (()) /var> et bon vent<var 1D /var>!","","False","0x00000008","",""
"","TEXT_REGROCOBSERVATORY_00110_FORLEMORT_000_014<tab>Leave me be. I haven't the time nor patience to deal with “astrologians” of my nephew's ilk.","TEXT_REGROCOBSERVATORY_00110_FORLEMORT_000_014<tab>Je n'ai que faire de votre astromancie<var 1D /var>! Au revoir<var 1D /var>!","","False","0x00000009","",""
"","TEXT_REGROCOBSERVATORY_00110_FORLEMORT_000_020<tab>The Observatorium was established at the archbishop's behest, that we might observe the stars, and through them predict events to come. Mind you, I speak not of romance, riches, or other frivolities. Nay, our predictions concern the very survival of Ishgard itself: the war with dragonkind.","TEXT_REGROCOBSERVATORY_00110_FORLEMORT_000_020<tab>L'Observatoire a été créé sur demande de l'Archevêque. Ses missions consistent à observer les étoiles pour prédire l'avenir. Bien évidemment, je ne parle pas de prédire les histoires d'amour ou la richesse. Ce sont là des choses frivoles. Non, je parle de la survie d'Ishgard et du conflit qui l'oppose aux dragons.","","False","0x0000000A","",""
"","TEXT_REGROCOBSERVATORY_00110_FORLEMORT_000_021<tab>The lifespan of dragons far surpasses that of men, and their life cycles are wholly unlike ours. If we are to read our enemy's movements, we must be able to see ahead tens of years.","TEXT_REGROCOBSERVATORY_00110_FORLEMORT_000_021<tab>Les dragons ont une durée de vie bien plus étendue que celle des hommes. Si nous voulons anticiper leurs mouvements, nous devons prévoir les événements plusieurs décennies à l'avance.","","False","0x0000000B","",""
