"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_REGSEANOTORIOUSMONSTERHINTF6_00188_MOBHUNTERS1F6_000_1<tab>Greetings, adventurer. Here to learn the ways of the elite mark hunter, I take it?","TEXT_REGSEANOTORIOUSMONSTERHINTF6_00188_MOBHUNTERS1F6_000_1<tab>どうやら冒険者のようだね……。<br>貴方も「リスキーモブ」を追っているのかい？","","False","0x00000000","",""
"","TEXT_REGSEANOTORIOUSMONSTERHINTF6_00188_Q1_000_1<tab>What will you ask?","TEXT_REGSEANOTORIOUSMONSTERHINTF6_00188_Q1_000_1<tab>何を聞く？","","False","0x00000001","",""
"","TEXT_REGSEANOTORIOUSMONSTERHINTF6_00188_A1_000_1<tab>What do you do here?","TEXT_REGSEANOTORIOUSMONSTERHINTF6_00188_A1_000_1<tab>あなたのことを教えてほしい","","False","0x00000002","",""
"","TEXT_REGSEANOTORIOUSMONSTERHINTF6_00188_A1_000_2<tab>Tell me about the rank B elite mark. (Vuokho)","TEXT_REGSEANOTORIOUSMONSTERHINTF6_00188_A1_000_2<tab>ランクB：猛禽の人拐い「ヴオコー」について","","False","0x00000003","",""
"","TEXT_REGSEANOTORIOUSMONSTERHINTF6_00188_A1_000_3<tab>Tell me about the rank A elite mark. (Cornu)","TEXT_REGSEANOTORIOUSMONSTERHINTF6_00188_A1_000_3<tab>ランクA：近東の大怪鳥「コンヌ」について","","False","0x00000004","",""
"","TEXT_REGSEANOTORIOUSMONSTERHINTF6_00188_A1_000_4<tab>Tell me about the rank S elite mark. (Chernobog)","TEXT_REGSEANOTORIOUSMONSTERHINTF6_00188_A1_000_4<tab>ランクS：闇黒の老兵「チェルノボーグ」について","","False","0x00000005","",""
"","TEXT_REGSEANOTORIOUSMONSTERHINTF6_00188_A1_000_5<tab>Nothing.","TEXT_REGSEANOTORIOUSMONSTERHINTF6_00188_A1_000_5<tab>キャンセル","","False","0x00000006","",""
"","TEXT_REGSEANOTORIOUSMONSTERHINTF6_00188_MOBHUNTERS1F6_000_10<tab>A hunter-scholar is what some call me. I know the elite marks, read them, and bag them.","TEXT_REGSEANOTORIOUSMONSTERHINTF6_00188_MOBHUNTERS1F6_000_10<tab>私は、モブハンターよ。<br>地域の治安を乱す危険な敵、「リスキーモブ」を追っているの。","","False","0x00000007","",""
"","TEXT_REGSEANOTORIOUSMONSTERHINTF6_00188_MOBHUNTERS1F6_000_11<tab>We'll get something out of the way first. Aye, you get paid. Aye, it's good solid Allied Seals. Rest easy on that score.","TEXT_REGSEANOTORIOUSMONSTERHINTF6_00188_MOBHUNTERS1F6_000_11<tab>討伐に成功すれば、エオルゼア都市軍事同盟から、<br>「同盟記章」っていう報酬があたえられるわ。","","False","0x00000008","",""
"","TEXT_REGSEANOTORIOUSMONSTERHINTF6_00188_MOBHUNTERS1F6_000_12<tab>Now, if you've good solid questions to ask about the marks, I'll give it to you straight from the Raimdelle Codex.","TEXT_REGSEANOTORIOUSMONSTERHINTF6_00188_MOBHUNTERS1F6_000_12<tab>貴方も討伐に挑みたいというなら……<br>この地域の「リスキーモブ」について、教えてあげてもいいわよ。","","False","0x00000009","",""
