"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_REGABR2OKZUNDU_00292_GONAVANU_100_000<tab>Ah, netherling has no feathers! Arrival of one such as you portends coming storm of change.","TEXT_REGABR2OKZUNDU_00292_GONAVANU_100_000<tab>Ça alors, tu n'as pas de plumes<var 1D /var>!? Je vois rarement des êtres humains venir par ici. C'est peut-être signe d'orage...","","False","0x00000000","",""
"","TEXT_REGABR2OKZUNDU_00292_GONAVANU_000_000<tab>Netherling comes at perfect time─watch as young Vanu Vanu dance thunderously as soaring sanuwa! Ok' Zundu culture is rich as soil after summer rains─is there more netherling would know?","TEXT_REGABR2OKZUNDU_00292_GONAVANU_000_000<tab>Je suis en train de donner une leçon de danse du soleil. Que veux-tu, humain<var 08 E905 ((e)) (()) /var><var 1D /var>?","","False","0x00000001","",""
"","TEXT_REGABR2OKZUNDU_00292_GONAVANU_000_003<tab>So, this is the netherling who masters the sundrop dance? Gona is busy training our young to defend Ok' Zundu─what would netherling like to know?","TEXT_REGABR2OKZUNDU_00292_GONAVANU_000_003<tab>Quel joie de te voir, brave humain<var 08 E905 ((e)) (()) /var>. Depuis que tu nous a fait une dé<var 16 /var>mon<var 16 /var>stra<var 16 /var>tion de danse du soleil, nos jeunes se montrent beaucoup plus intéressés par cette tradition vanu vanu. Mais dis-moi, qu'est-ce que je peux faire pour toi<var 1D /var>?","","False","0x00000002","",""
"","TEXT_REGABR2OKZUNDU_00292_Q1_000_000<tab>What will you ask?","TEXT_REGABR2OKZUNDU_00292_Q1_000_000<tab>Que voulez-vous savoir<var 1D /var>?","","False","0x00000003","",""
"","TEXT_REGABR2OKZUNDU_00292_A1_000_001<tab>What do you do here?","TEXT_REGABR2OKZUNDU_00292_A1_000_001<tab>Qui êtes-vous<var 1D /var>?","","False","0x00000004","",""
"","TEXT_REGABR2OKZUNDU_00292_A1_000_002<tab>What kind of place is this?","TEXT_REGABR2OKZUNDU_00292_A1_000_002<tab>Quel est cet endroit<var 1D /var>?","","False","0x00000005","",""
"","TEXT_REGABR2OKZUNDU_00292_A1_000_003<tab>Nothing.","TEXT_REGABR2OKZUNDU_00292_A1_000_003<tab>Annuler","","False","0x00000006","",""
"","TEXT_REGABR2OKZUNDU_00292_GONAVANU_000_010<tab>Gona Vanu is dancemaster of Ok' Zundu, ensures all know tribe's vibrant dance. Just as falling sediment piles up into great mountain, mastery of dance requires practice over many moons!","TEXT_REGABR2OKZUNDU_00292_GONAVANU_000_010<tab>Excellente question, excellente<var 1D /var>! Je suis le plus grand danseur de la tribu des Zundu<var 1D /var>! Je m'entraîne chaque jour, et j'apprends mes techniques à mes disciples.","","False","0x00000007","",""
"","TEXT_REGABR2OKZUNDU_00292_GONAVANU_000_011<tab>Vanu Vanu must move arms with grace of leaf which flutters in gentle breeze, and pound feet with ferocity of rolling thunder. Look upon them, netherling, and know prowess of Ok' Zundu!","TEXT_REGABR2OKZUNDU_00292_GONAVANU_000_011<tab>La tête bouge comme les rayons du soleil qui caressent les îles flottantes... Les mains ondulent comme l'eau de pluie qui ruisselle en apportant ses bienfaits. N'est-ce pas une danse prodigieuse<var 1D /var>?","","False","0x00000008","",""
"","TEXT_REGABR2OKZUNDU_00292_GONAVANU_000_012<tab>Gona Vanu feels netherling's urge to dance rise like welling rain cloud. Very well, netherling may dance the dance of <var 08 E905 ((her)) ((his)) /var> people─just forgive Vanu younglings if they burst into gales of laughter!","TEXT_REGABR2OKZUNDU_00292_GONAVANU_000_012<tab>Je suis sûr que tu veux danser, toi aussi<var 1D /var>! Laisse le rythme guider ton corps<var 1D /var>! Lance-toi, même si tu risques de ne pas y arriver<var 1D /var>!","","False","0x00000009","",""
"","TEXT_REGABR2OKZUNDU_00292_GONAVANU_000_040<tab>Netherling's dance is powerful indeed, few Vanu can hope to stand fearlessly against it. But nonetheless, our sundrop dance protects Zundu from Vundu violence!","TEXT_REGABR2OKZUNDU_00292_GONAVANU_000_040<tab>Bien que notre danse du soleil soit loin d'égaler la tienne, nous savons désormais qu'elle est le meilleur moyen de protéger notre village contre les terribles Vundu.","","False","0x0000000A","",""
"","TEXT_REGABR2OKZUNDU_00292_GONAVANU_000_020<tab>This is Ok' Zundu, means village of Zundu tribe in Vanu Vanu tongue. Gona Vanu knows not netherling's tribe's name, but village is surely glorious!","TEXT_REGABR2OKZUNDU_00292_GONAVANU_000_020<tab>Cet endroit se nomme Ok' Zundu, ce qui veut dire “le village des Zundu” dans notre langue.","","False","0x0000000B","",""
"","TEXT_REGABR2OKZUNDU_00292_GONAVANU_000_021<tab>Tribe of Zundu prefer to be relaxed like still clouds of summer day, unlike Vundu tribe, who thrive in storm of chaos and violence.","TEXT_REGABR2OKZUNDU_00292_GONAVANU_000_021<tab>Nous autres Zundu sommes calmes et placides. Con<var 16 /var>trai<var 16 /var>re<var 16 /var>ment aux cruels Vundu, nous chérissons la paix.","","False","0x0000000C","",""
