"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_REGDRA2CRAFTERGATHERERTRADEFRONT_00274_TALK_Q1<tab>What will you ask?","TEXT_REGDRA2CRAFTERGATHERERTRADEFRONT_00274_TALK_Q1<tab>何を聞く？","","False","0x00000000","",""
"","TEXT_REGDRA2CRAFTERGATHERERTRADEFRONT_00274_TALK_A1<tab>What is splendorous gear?","TEXT_REGDRA2CRAFTERGATHERERTRADEFRONT_00274_TALK_A1<tab>「熟練職人装備」について","","False","0x00000001","",""
"","TEXT_REGDRA2CRAFTERGATHERERTRADEFRONT_00274_TALK_A2<tab>What are favors?","TEXT_REGDRA2CRAFTERGATHERERTRADEFRONT_00274_TALK_A2<tab>「護符」とは？","","False","0x00000002","",""
"","TEXT_REGDRA2CRAFTERGATHERERTRADEFRONT_00274_TALK_A3<tab>What are tomes of regional folklore?","TEXT_REGDRA2CRAFTERGATHERERTRADEFRONT_00274_TALK_A3<tab>「伝承録」とは？","","False","0x00000003","",""
"","TEXT_REGDRA2CRAFTERGATHERERTRADEFRONT_00274_TALK_A4<tab>Nothing.","TEXT_REGDRA2CRAFTERGATHERERTRADEFRONT_00274_TALK_A4<tab>キャンセル","","False","0x00000004","",""
"","TEXT_REGDRA2CRAFTERGATHERERTRADEFRONT_00274_TOBANA_000_000<tab>The House is proud to offer an exclusive line of splendorous gear for Disciples of the Land and Hand. Guaranteed to meet with your satisfaction. No refunds.","TEXT_REGDRA2CRAFTERGATHERERTRADEFRONT_00274_TOBANA_000_000<tab>「熟練職人装備」は、腕利きのギャザラーやクラフターのために、<br>当商会専属の職人たちが、精魂を込めて生み出した逸品。<br>必ずや、ご満足いただける……はずです！","","False","0x00000005","",""
"","TEXT_REGDRA2CRAFTERGATHERERTRADEFRONT_00274_TOBANA_000_005<tab>Favors? I am terribly sorry, <var 08 E905 ((miss)) ((sir)) /var>, but the House is presently rescinding all sales of favors. We have yet to determine the cause, but the blessings placed upon them have been rendered...ineffectual. If you are in possession of any favors, the nearby representative would be happy to relieve you of them.","TEXT_REGDRA2CRAFTERGATHERERTRADEFRONT_00274_TOBANA_000_005<tab>当商会専属の祈祷師が、十二神の祝福を込めたお守りですが……<br>残念ながら現在は、効力を失ってしまっています。<br>お持ちでしたら、隣の「特殊品交換窓口」にて回収いたします。","","False","0x00000006","",""
"","TEXT_REGDRA2CRAFTERGATHERERTRADEFRONT_00274_SYSTEM_000_006<tab>","TEXT_REGDRA2CRAFTERGATHERERTRADEFRONT_00274_SYSTEM_000_006<tab>（★未使用／削除予定★）","","False","0x00000007","",""
"","TEXT_REGDRA2CRAFTERGATHERERTRADEFRONT_00274_SYSTEM_000_007<tab>","TEXT_REGDRA2CRAFTERGATHERERTRADEFRONT_00274_SYSTEM_000_007<tab>（★未使用／削除予定★）","","False","0x00000008","",""
"","TEXT_REGDRA2CRAFTERGATHERERTRADEFRONT_00274_TOBANA_000_010<tab>The House is proud to offer an exclusive selection of tomes filled with regional folklore. Guaranteed to help you discover rare trees, herbs, fish, gems, and so forth. No refunds.","TEXT_REGDRA2CRAFTERGATHERERTRADEFRONT_00274_TOBANA_000_010<tab>「伝承録」は、各地に伝わる稀少な鉱石や木材、<br>魚に関する伝承を、これでもかと書き記した書物なのです！<br>これを読めば、伝説の中の素材と出会える……かもです！","","False","0x00000009","",""
"","TEXT_REGDRA2CRAFTERGATHERERTRADEFRONT_00274_SYSTEM_000_010<tab>By reading tomes of regional folklore, you will discover previously hidden gathering points and fishing holes, which will then be added to your gathering and fishing logs.","TEXT_REGDRA2CRAFTERGATHERERTRADEFRONT_00274_SYSTEM_000_010<tab>「伝承録」は、一度使用すれば、<br>「採集手帳」や「魚類図鑑」に記録され、<br>以後、いつでも参照可能となります。","","False","0x0000000A","",""
