"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_REGROC2ARCOFTHEWORTHY_00277_BELTARDOIS_000_000<tab>...Something I can do for you, <var 08 E905 ((madam)) ((sir)) /var>?","TEXT_REGROC2ARCOFTHEWORTHY_00277_BELTARDOIS_000_000<tab>……む、冒険者か。<br>このイシュガルドで無法を働けば、容赦はせぬぞ……。","","False","0x00000000","",""
"","TEXT_REGROC2ARCOFTHEWORTHY_00277_BELTARDOIS_000_001<tab>Halone's blessings be upon you, <var 08 E905 ((madam)) ((sir)) /var>. How may I be of service?","TEXT_REGROC2ARCOFTHEWORTHY_00277_BELTARDOIS_000_001<tab>……む、冒険者か。<br>皇都の門は、恩人たる貴公に対し、<br>いつでも開かれておるぞ……。","","False","0x00000001","",""
"","TEXT_REGROC2ARCOFTHEWORTHY_00277_BELTARDOIS_000_002<tab>...The Horde is at our gates and you would indulge in idle curiosity!? Well? How may I be of <var 1A 02 /var>service<var 1A 01 /var>?","TEXT_REGROC2ARCOFTHEWORTHY_00277_BELTARDOIS_000_002<tab>……む、このような緊急事態でも、<br>何か聞きたいことがあるというのか？","","False","0x00000002","",""
"","TEXT_REGROC2ARCOFTHEWORTHY_00277_BELTARDOIS_000_003<tab>I bid you welcome, slayer of Nidhogg! Ever do the gates of Ishgard stand open to our savior!","TEXT_REGROC2ARCOFTHEWORTHY_00277_BELTARDOIS_000_003<tab>これはこれは、邪竜殺しの英雄殿ではないか！<br>皇都の門は、恩人たる貴公に対し、<br>いつでも開かれておるぞ……。","","False","0x00000003","",""
"","TEXT_REGROC2ARCOFTHEWORTHY_00277_Q1_000_000<tab>What will you ask?","TEXT_REGROC2ARCOFTHEWORTHY_00277_Q1_000_000<tab>何を聞く？","","False","0x00000004","",""
"","TEXT_REGROC2ARCOFTHEWORTHY_00277_A1_000_001<tab>What do you do here?","TEXT_REGROC2ARCOFTHEWORTHY_00277_A1_000_001<tab>あなたのことを教えてほしい","","False","0x00000005","",""
"","TEXT_REGROC2ARCOFTHEWORTHY_00277_A1_000_002<tab>What kind of place is this?","TEXT_REGROC2ARCOFTHEWORTHY_00277_A1_000_002<tab>ここはどんなところだ？","","False","0x00000006","",""
"","TEXT_REGROC2ARCOFTHEWORTHY_00277_A1_000_003<tab>Nothing.","TEXT_REGROC2ARCOFTHEWORTHY_00277_A1_000_003<tab>キャンセル","","False","0x00000007","",""
"","TEXT_REGROC2ARCOFTHEWORTHY_00277_BELTARDOIS_000_010<tab>My fellow Temple Knights and I have been charged with defending the Arc of the Worthy.","TEXT_REGROC2ARCOFTHEWORTHY_00277_BELTARDOIS_000_010<tab>教皇庁直属の「神殿騎士団」の一員だ。<br>大審門から雲廊を抜けた先……<br>皇都の玄関たる、ここ「聖徒門」の警備を担当しておる。","","False","0x00000008","",""
"","TEXT_REGROC2ARCOFTHEWORTHY_00277_BELTARDOIS_000_011<tab>Before, one would not have expected to encounter Dravanians here. Perhaps that is why so many of our order fell...","TEXT_REGROC2ARCOFTHEWORTHY_00277_BELTARDOIS_000_011<tab>ドラゴン族どもの襲撃により、負傷している騎兵も多いが、<br>ここは、イシュガルド防備の最後の要砦……。<br>やすやすと破らせるわけにはいかん。","","False","0x00000009","",""
"","TEXT_REGROC2ARCOFTHEWORTHY_00277_BELTARDOIS_000_012<tab>Rest assured we will not be caught unawares again. Measures have been taken by both us and the dragoons.","TEXT_REGROC2ARCOFTHEWORTHY_00277_BELTARDOIS_000_012<tab>なに、皇都には対竜戦闘に特化した、<br>「竜騎士団」の精鋭たちも控えておる……。<br>このイシュガルド、そう簡単に屈しはせぬさ。","","False","0x0000000A","",""
"","TEXT_REGROC2ARCOFTHEWORTHY_00277_BELTARDOIS_000_100<tab>My fellow Temple Knights and I have been charged with defending the Arc of the Worthy.","TEXT_REGROC2ARCOFTHEWORTHY_00277_BELTARDOIS_000_100<tab>教皇庁直属の「神殿騎士団」の一員だ。<br>大審門から雲廊を抜けた先……<br>皇都の玄関たる、ここ「聖徒門」の警備を担当しておる。","","False","0x0000000B","",""
"","TEXT_REGROC2ARCOFTHEWORTHY_00277_BELTARDOIS_000_101<tab>Much ado has been made about peace in recent days, but that means little to us here.","TEXT_REGROC2ARCOFTHEWORTHY_00277_BELTARDOIS_000_101<tab>ここは、イシュガルド防備の最後の要砦……。<br>未だにドラゴン族の脅威が去った訳ではないからな……<br>防備を緩めることはできぬのだ。","","False","0x0000000C","",""
"","TEXT_REGROC2ARCOFTHEWORTHY_00277_BELTARDOIS_000_102<tab>Ishgard will ever have her enemies. We cannot afford a moment of complacency.","TEXT_REGROC2ARCOFTHEWORTHY_00277_BELTARDOIS_000_102<tab>なに、皇都には対竜戦闘に特化した、<br>「竜騎士団」の精鋭たちも控えておる……。<br>このイシュガルド、そう簡単に屈しはせぬさ。","","False","0x0000000D","",""
"","TEXT_REGROC2ARCOFTHEWORTHY_00277_BELTARDOIS_000_110<tab>My fellow Temple Knights and I have been charged with defending the Arc of the Worthy.","TEXT_REGROC2ARCOFTHEWORTHY_00277_BELTARDOIS_000_110<tab>教皇庁直属の「神殿騎士団」の一員だ。<br>皇都の玄関たる、ここ「聖徒門」の警備を担当しておる。","","False","0x0000000E","",""
"","TEXT_REGROC2ARCOFTHEWORTHY_00277_BELTARDOIS_000_111<tab>This gate is the last bastion in Ishgard's line of defense, and we shall die before allowing any foe to cross its threshold!","TEXT_REGROC2ARCOFTHEWORTHY_00277_BELTARDOIS_000_111<tab>ここは、イシュガルド防備の最後の要砦……。<br>何としても死守せねばなるまいよ！","","False","0x0000000F","",""
"","TEXT_REGROC2ARCOFTHEWORTHY_00277_BELTARDOIS_000_300<tab>My fellow Temple Knights and I have been charged with defending the Arc of the Worthy.","TEXT_REGROC2ARCOFTHEWORTHY_00277_BELTARDOIS_000_300<tab>教皇庁直属の「神殿騎士団」の一員だ。<br>皇都の玄関たる、ここ「聖徒門」の警備を担当しておる。","","False","0x00000010","",""
"","TEXT_REGROC2ARCOFTHEWORTHY_00277_BELTARDOIS_000_301<tab>Even when the scaly fiends of the Horde clamored at the gate, we surrendered not one ilm!","TEXT_REGROC2ARCOFTHEWORTHY_00277_BELTARDOIS_000_301<tab>ここは、イシュガルド防備の最後の要砦……。<br>邪竜の眷属どもが押し寄せて来た際にも、<br>決して退かず、戦い抜いたものだ。","","False","0x00000011","",""
"","TEXT_REGROC2ARCOFTHEWORTHY_00277_BELTARDOIS_000_302<tab>Many of my comrades perished in that maelstrom of fire and steel, and the cost may have been higher had the dragoons not rushed to reinforce our position. I only stand here before you now by the grace of the Fury Herself.","TEXT_REGROC2ARCOFTHEWORTHY_00277_BELTARDOIS_000_302<tab>当然、仲間にも大きな被害が出たが、<br>「竜騎士団」の精鋭たちが、駆けつけてくれてな。<br>私は、九死に一生を得ることができたのだ。","","False","0x00000012","",""
"","TEXT_REGROC2ARCOFTHEWORTHY_00277_BELTARDOIS_000_020<tab>You stand before the Arc of the Worthy, the sole entrance to and exit from the Holy See of Ishgard. Consequently, it is one of the most heavily fortified sections of our city.","TEXT_REGROC2ARCOFTHEWORTHY_00277_BELTARDOIS_000_020<tab>山の都イシュガルドの玄関である「聖徒門」だ。<br>古来より敵対関係にあるドラゴン族の襲撃を阻むため、<br>最大の警戒をもって防備にあたっておる。","","False","0x00000013","",""
"","TEXT_REGROC2ARCOFTHEWORTHY_00277_BELTARDOIS_000_021<tab>Just beyond these steps is Foundation. If you seek lodgings, Cloud Nine within the Forgotten Knight can accommodate you. You'll find it not far from the Congregation.","TEXT_REGROC2ARCOFTHEWORTHY_00277_BELTARDOIS_000_021<tab>イシュガルドは、大きく「上層」と「下層」にわけられ、<br>この聖徒門があるのは「下層」にあたる場所だ。<br>宿や酒場、神殿騎士団本部などの施設が揃っておる。","","False","0x00000014","",""
"","TEXT_REGROC2ARCOFTHEWORTHY_00277_BELTARDOIS_000_022<tab>Take care when wandering the city. Your status only affords you so much protection.","TEXT_REGROC2ARCOFTHEWORTHY_00277_BELTARDOIS_000_022<tab>貴様のような冒険者が世話になる施設も多かろうが……<br>余所者が大手を振ってうろつくことを好まぬ者も多い。<br>己の立場をわきまえて、行動することだな……。","","False","0x00000015","",""
"","TEXT_REGROC2ARCOFTHEWORTHY_00277_BELTARDOIS_000_200<tab>You stand before the Arc of the Worthy, the sole entrance to and exit from the Holy See of Ishgard. Consequently, it is one of the most heavily fortified sections of our city.","TEXT_REGROC2ARCOFTHEWORTHY_00277_BELTARDOIS_000_200<tab>山の都イシュガルドの玄関である「聖徒門」だ。<br>古来より敵対関係にあるドラゴン族の襲撃を阻むため、<br>最大の警戒をもって防備にあたっておる。","","False","0x00000016","",""
"","TEXT_REGROC2ARCOFTHEWORTHY_00277_BELTARDOIS_000_201<tab>Just beyond these steps is Foundation. If you seek lodgings, Cloud Nine within the Forgotten Knight can accommodate you. You'll find it not far from the Congregation─though I imagine you already know this.","TEXT_REGROC2ARCOFTHEWORTHY_00277_BELTARDOIS_000_201<tab>イシュガルドは、大きく「上層」と「下層」にわけられ、<br>この聖徒門があるのは「下層」にあたる場所だ。<br>宿や酒場、神殿騎士団本部などの施設が揃っておる。","","False","0x00000017","",""
"","TEXT_REGROC2ARCOFTHEWORTHY_00277_BELTARDOIS_000_202<tab>I would advise caution when traversing certain areas...but given your reputation, I expect you can handle yourself well enough.","TEXT_REGROC2ARCOFTHEWORTHY_00277_BELTARDOIS_000_202<tab>貴公のような冒険者が世話になる施設も多かろうが……<br>真実を知ってなお、余所者を嫌う者も少なくないのだ。<br>無礼な態度を取られても、気を悪くせんでもらいたい。","","False","0x00000018","",""
"","TEXT_REGROC2ARCOFTHEWORTHY_00277_BELTARDOIS_000<tab>","TEXT_REGROC2ARCOFTHEWORTHY_00277_BELTARDOIS_000<tab>（★未使用／削除予定★）","","False","0x00000019","",""
