"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_CTSERKEUREKA1EVENTSPHERE4_00470_SYSTEM_000_001<tab>Despite your best efforts, you fail to locate a confluence of aether or any pieces of magicite...","TEXT_CTSERKEUREKA1EVENTSPHERE4_00470_SYSTEM_000_001<tab>Vous avez bel et bien trouvé le nœud éthéré, mais malgré un ratissage en règle, aucune magicite en vue...","","False","0x00000000","",""
"","TEXT_CTSERKEUREKA1EVENTSPHERE4_00470_EJIKATSUNJIKA_000_005<tab>Well, well, if it isn't the hero of the Resistance. I suppose I shouldn't be surprised that you are capable of holding your own this far from Port Surgate.","TEXT_CTSERKEUREKA1EVENTSPHERE4_00470_EJIKATSUNJIKA_000_005<tab>Hmm, vous vous aventurez bien loin du port Surgate... Je vois que <var 08 E905 ((la libératrice)) ((le libérateur)) /var> d'Ala Mhigo n'a pas usurpé sa réputation.","","False","0x00000001","",""
"","TEXT_CTSERKEUREKA1EVENTSPHERE4_00470_EJIKATSUNJIKA_000_006<tab>I came to this dreadful place to investigate a disturbance in the aetherial currents. Perchance you would be so kind as to tell me your reason for being here as well?","TEXT_CTSERKEUREKA1EVENTSPHERE4_00470_EJIKATSUNJIKA_000_006<tab>Toutefois, cela n'explique pas votre présence. Je suis là pour enquêter sur une anomalie dans le flux éthéré, mais vous, qu'est-ce qui vous amène<var 1D /var>?","","False","0x00000002","",""
"","TEXT_CTSERKEUREKA1EVENTSPHERE4_00470_EJIKATSUNJIKA_000_007<tab>So this magicite you seek was the cause of these confluences, was it? I see... Glad to hear that Krile is still capable of conducting the most rudimentary research. I thank you for sharing with me your findings.","TEXT_CTSERKEUREKA1EVENTSPHERE4_00470_EJIKATSUNJIKA_000_007<tab>Krile a conclu à une relation de cause à effet entre les nœuds éthérés et les magicites<var 1D /var>? Voyez-vous ça. Peut-être devrais-je lui remettre un bon point quand nous nous reverrons... En tout cas, merci à vous d'avoir partagé ces in<var 16 /var>for<var 16 /var>ma<var 16 /var>tions avec moi.","","False","0x00000003","",""
"","TEXT_CTSERKEUREKA1EVENTSPHERE4_00470_EJIKATSUNJIKA_000_008<tab>I shall share with you mine own discovery by way of gratitude. I believe this is the stone you were looking for?","TEXT_CTSERKEUREKA1EVENTSPHERE4_00470_EJIKATSUNJIKA_000_008<tab>C'est moi qui ai ramassé le cristal que vous cherchez. Je vais vous le remettre, mais pas en guise de re<var 16 /var>mer<var 16 /var>cie<var 16 /var>ment. Voyez là plutôt un échange de bons procédés<var 1D /var>; vos in<var 16 /var>for<var 16 /var>ma<var 16 /var>tions contre cette <var 1A 02 /var>magicite<var 1A 01 /var>.","","False","0x00000004","",""
"","TEXT_CTSERKEUREKA1EVENTSPHERE4_00470_EJIKATSUNJIKA_000_009<tab>Keep it. I have no use for such baubles. Consider it payment for your information, if you prefer.","TEXT_CTSERKEUREKA1EVENTSPHERE4_00470_EJIKATSUNJIKA_000_009<tab>Je soupçonnais également qu'elle partageait un lien de causalité avec les perturbations du flux éthéré et pensais l'étudier. Mais il me semble que la pierre en elle-même vous sera d'une plus grande utilité qu'à moi.","","False","0x00000005","",""
"","TEXT_CTSERKEUREKA1EVENTSPHERE4_00470_EJIKATSUNJIKA_000_010<tab>This island was ever filled with danger and death. Despite its once-close proximity to the motherland, no one bothered to settle it for that very reason.","TEXT_CTSERKEUREKA1EVENTSPHERE4_00470_EJIKATSUNJIKA_000_010<tab>La topographie de l'île de Val se prête mal à l'éta<var 16 /var>blis<var 16 /var>se<var 16 /var>ment d'ins<var 16 /var>tal<var 16 /var>la<var 16 /var>tions permanentes, les rares espaces habitables sont beaucoup trop disséminés.","","False","0x00000006","",""
"","TEXT_CTSERKEUREKA1EVENTSPHERE4_00470_EJIKATSUNJIKA_000_011<tab>Circumventing these hazards was one of the reasons the Students devoted so many resources to the construction of an expansive Aethernet...","TEXT_CTSERKEUREKA1EVENTSPHERE4_00470_EJIKATSUNJIKA_000_011<tab>Voilà pourquoi elle est restée déserte pendant longtemps, et ce n'est que grâce à l'invention des éthérites que les Élèves de Baldesion ont pu s'y établir.","","False","0x00000007","",""
"","TEXT_CTSERKEUREKA1EVENTSPHERE4_00470_EJIKATSUNJIKA_000_012<tab>...Restoring it is an admirable endeavor, and I wish you and Krile the best of luck in it. You may tell her I said as much.","TEXT_CTSERKEUREKA1EVENTSPHERE4_00470_EJIKATSUNJIKA_000_012<tab>Krile le sait aussi. En rétablissant le réseau d'éthérites insulaires, elle espère pro<var 16 /var>ba<var 16 /var>ble<var 16 /var>ment accéder au cœur de l'île. Vous pourrez lui dire que son raisonnement n'est pas inepte, et que je l'encourage à poursuivre dans cette voie.","","False","0x00000008","",""
"","TEXT_CTSERKEUREKA1EVENTSPHERE4_00470_EJIKATSUNJIKA_000_013<tab>However, I still intend to find my own way to return to our headquarters. Go well, adventurer. I shall find you again if I have information to share.","TEXT_CTSERKEUREKA1EVENTSPHERE4_00470_EJIKATSUNJIKA_000_013<tab>J'ai l'intention de me rendre au même endroit que vous, mais par un autre moyen. C'est donc ici que nos chemins se séparent. J'espère néanmoins que nous aurons à nouveau le loisir d'échanger des in<var 16 /var>for<var 16 /var>ma<var 16 /var>tions.","","False","0x00000009","",""
