"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_REGGYR3ALAMHIGANQUARTER_00403_AURIOL_000_000<tab>Ah, right. You're not from around here. Can't imagine what call you'd have to chat with me, but by all means, if you've got something to ask, ask away.","TEXT_REGGYR3ALAMHIGANQUARTER_00403_AURIOL_000_000<tab><var 08 E3E90C0D ((<var 08 E3E90C05 ((Bonsoir)) ((Bonjour)) /var>)) ((<var 08 E3E90C12 ((Bonjour)) ((Bonsoir)) /var>)) /var>, aventuri<var 08 E905 ((ère)) ((er)) /var><var 1D /var>! Qu'est-ce qui t'amène au Faubourg mhigois<var 1D /var>? Si tu as besoin de ren<var 16 /var>sei<var 16 /var>gne<var 16 /var>ments, je me ferai un plaisir de te les donner.","","False","0x00000000","",""
"","TEXT_REGGYR3ALAMHIGANQUARTER_00403_Q1_000_000<tab>What will you ask?","TEXT_REGGYR3ALAMHIGANQUARTER_00403_Q1_000_000<tab>Sur quoi vous renseignez-vous<var 1D /var>?","","False","0x00000001","",""
"","TEXT_REGGYR3ALAMHIGANQUARTER_00403_A1_000_001<tab>What do you do here?","TEXT_REGGYR3ALAMHIGANQUARTER_00403_A1_000_001<tab>Votre interlocutrice","","False","0x00000002","",""
"","TEXT_REGGYR3ALAMHIGANQUARTER_00403_A1_000_002<tab>What kind of place is this?","TEXT_REGGYR3ALAMHIGANQUARTER_00403_A1_000_002<tab>Cet endroit","","False","0x00000003","",""
"","TEXT_REGGYR3ALAMHIGANQUARTER_00403_A1_000_003<tab>Nothing.","TEXT_REGGYR3ALAMHIGANQUARTER_00403_A1_000_003<tab>Annuler","","False","0x00000004","",""
"","TEXT_REGGYR3ALAMHIGANQUARTER_00403_AURIOL_000_010<tab>Putter about and try to keep my head down like all the other “Peregrines,” that's what.","TEXT_REGGYR3ALAMHIGANQUARTER_00403_AURIOL_000_010<tab>Comme tu peux le constater, je ne suis qu'une vulgaire pérégrine. J'essaie de faire profil bas, comme tous ceux de ma condition.","","False","0x00000005","",""
"","TEXT_REGGYR3ALAMHIGANQUARTER_00403_AURIOL_000_011<tab>That's what some of the Garleans call us Aan. Means “foreigner” or some such. Can you believe that? I'm a foreigner in my own bloody homeland!","TEXT_REGGYR3ALAMHIGANQUARTER_00403_AURIOL_000_011<tab>“Pérégrin” est le nom que les Impériaux ont donné à tous ceux qui n'ont pas le statut de citoyen dans leur société hiérarchisée. Pour faire simple, c'est un terme péjoratif qui leur permet de nous discriminer plus facilement.","","False","0x00000006","",""
"","TEXT_REGGYR3ALAMHIGANQUARTER_00403_AURIOL_000_012<tab>Well, they'll get what's coming to them soon enough. You can't keep kicking a woman while she's down and expect her to just take it. Mark me─a storm of blood approaches.","TEXT_REGGYR3ALAMHIGANQUARTER_00403_AURIOL_000_012<tab>Ça fait un bail qu'ils font la pluie et le beau temps à Ala Mhigo... Il y a de quoi broyer du noir par moments, mais nous ne devons surtout pas nous décourager. Un jour, nous retrouverons notre liberté, quel qu'en soit le prix.","","False","0x00000007","",""
"","TEXT_REGGYR3ALAMHIGANQUARTER_00403_AURIOL_000_015<tab>That's the question, isn't it? Now that we're free, what are we Peregrines─well, former Peregrines, I reckon─what are we to do with ourselves?","TEXT_REGGYR3ALAMHIGANQUARTER_00403_AURIOL_000_015<tab>Comme tu peux le constater, je ne suis qu'une vulgaire pérégrine. Enfin, disons que je l'étais<var 1D /var>!","","False","0x00000008","",""
"","TEXT_REGGYR3ALAMHIGANQUARTER_00403_AURIOL_000_016<tab>That's what some of the Garleans call Aan. Means “foreigner” or some such. Can you believe that? I was a foreigner in my own bloody homeland!","TEXT_REGGYR3ALAMHIGANQUARTER_00403_AURIOL_000_016<tab>“Pérégrin” est le nom que les Impériaux donnaient à tous ceux qui n'avaient pas le statut de citoyen dans leur société hiérarchisée. Pour faire simple, c'est un terme péjoratif qui leur permettait de nous discriminer plus facilement.","","False","0x00000009","",""
