"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_REGHIN3WANDERINGMINSTREL_00421_MINSTREL_GREETING_000<tab>Ah, something heroic this way comes! How fare you, <var 2C ((<var 29 EB02 /var>)) (( )) 02 /var>? As ever, I am seeking inspiration to draw upon for my work. If you have any new experiences to share, I should very much like to hear them.","TEXT_REGHIN3WANDERINGMINSTREL_00421_MINSTREL_GREETING_000<tab>Oh! <var 29 EB02 /var>, <var 08 E905 ((die Garantin)) ((der Garant)) /var> immer neuer Legenden! Wie ist es dir in letzter Zeit ergangen? Ich hätte dringenden Bedarf an frischem Stoff für hehre Balladen.","","False","0x00000000","",""
"","TEXT_REGHIN3WANDERINGMINSTREL_00421_MENU_CONTENT<tab>Talk about <var 08 E4E802F24E4F ((Susano)) ((<var 08 E4E802F24E51 ((Lakshmi)) ((<var 08 E4E802F24E52 ((Shinryu)) ((<var 08 E4E802F27569 ((Bahamut)) ((<var 08 E4E802F27573 ((the Ultima Weapon)) ((<var 08 E4E802F24E54 ((Byakko)) ((<var 08 E4E802F24E58 ((Tsukuyomi)) ((<var 08 E4E802F24E5A ((Suzaku)) ((<var 08 E4E802F24E5D ((Seiryu)) ((<var 08 E4E802F27586 ((Alexander)) (()) /var>)) /var>)) /var>)) /var>)) /var>)) /var>)) /var>)) /var>)) /var>)) /var>","TEXT_REGHIN3WANDERINGMINSTREL_00421_MENU_CONTENT<tab>Vom Kampf gegen <var 08 E4E802F24E4F ((Susano)) ((<var 08 E4E802F24E51 ((Lakshmi)) ((<var 08 E4E802F24E52 ((Shinryu)) ((<var 08 E4E802F27569 ((Bahamut)) ((<var 08 E4E802F27573 ((die Ultima-Waffe)) ((<var 08 E4E802F24E54 ((Byakko)) ((<var 08 E4E802F24E58 ((Tsukuyomi)) ((<var 08 E4E802F24E5A ((Suzaku)) ((<var 08 E4E802F24E5D ((Seiryu)) ((<var 08 E4E802F27586 ((Alexander)) (()) /var>)) /var>)) /var>)) /var>)) /var>)) /var>)) /var>)) /var>)) /var>)) /var> erzählen","","False","0x00000001","",""
"","TEXT_REGHIN3WANDERINGMINSTREL_00421_MENU_CANCEL<tab>Take your leave","TEXT_REGHIN3WANDERINGMINSTREL_00421_MENU_CANCEL<tab>Abwimmeln","","False","0x00000002","",""
"","TEXT_REGHIN3WANDERINGMINSTREL_00421_MINSTREL_NOSELECT_000<tab>Doubtless you are so busy creating legends, you haven't the time to talk about them. Hehe, how brightly your eyes shine as you prepare to set off for the unknown! The gods speed your way, my friend, and let us speak again when you find a moment's respite.","TEXT_REGHIN3WANDERINGMINSTREL_00421_MINSTREL_NOSELECT_000<tab>Oh, aber selbst<var 16 /var>verständ<var 16 /var>lich, du hast natürlich Wichtigeres zu tun, als in der Ver<var 16 /var>gangen<var 16 /var>heit zu verweilen, so heldenhaft sie in deinem Fall auch sein mag. Gegenwart, Zukunft und all das - man hat schließlich zu tun, nicht wahr? Aber falls du einmal Zeit zum Plaudern hast - ich warte mit Spannung auf deine neuesten Abenteuergeschichten.","","False","0x00000003","",""
"","TEXT_REGHIN3WANDERINGMINSTREL_00421_MINSTREL_NOCONTENT_000<tab>In case you weren't aware, those songs I composed of your earlier exploits have been adapted for the stage, and they have proven tremendously popular here at the Mujikoza! While the work is its own reward, 'tis the smile upon the faces of the audience that we artists live for.","TEXT_REGHIN3WANDERINGMINSTREL_00421_MINSTREL_NOCONTENT_000<tab>... Ah, nein, das wäre unverschämt von mir. Du hast mir doch schon so viel Inspiration geschenkt. Ich schmücke einfach weiter deine kühnsten Heldentaten aus. Wenn ich nämlich die Balladen von dir zum Besten gebe, liegt mir das Publikum immer sofort zu Füßen.","","False","0x00000004","",""
"","TEXT_REGHIN3WANDERINGMINSTREL_00421_SYSTEM_OPENCONTENT_000<tab>（★未使用／削除予定★）","TEXT_REGHIN3WANDERINGMINSTREL_00421_SYSTEM_OPENCONTENT_000<tab>（★未使用／削除予定★）","","False","0x00000005","",""
"","TEXT_REGHIN3WANDERINGMINSTREL_00421_WANDERINGMINSTREL_000_000<tab>Oh, what stirring story have you for me today?","TEXT_REGHIN3WANDERINGMINSTREL_00421_WANDERINGMINSTREL_000_000<tab>Lakshmi? Oho! Ich kann die Spannung schon jetzt kaum ertragen! Also, was hat sich zugetragen?","","False","0x00000006","",""
"","TEXT_REGHIN3WANDERINGMINSTREL_00421_WANDERINGMINSTREL_000_001<tab>To lose her beloved daughter not once, but twice─first to the Empire and then to the primal's false promise... 'Tis all I can do to imagine the Qalyana elder's grief.","TEXT_REGHIN3WANDERINGMINSTREL_00421_WANDERINGMINSTREL_000_001<tab>Was für eine tragische Geschichte. Selbst die Göttin konnte Shanti, der höchsten Qalyana, nicht helfen, ihre Tochter ins Leben zurückzuholen. ","","False","0x00000007","",""
"","TEXT_REGHIN3WANDERINGMINSTREL_00421_WANDERINGMINSTREL_000_002<tab>And as if she had not lost enough, unable to bear the reality, she chooses to flee from it─by making an offering of her soul to the primal. 'Tis a tragedy to rend hearts...","TEXT_REGHIN3WANDERINGMINSTREL_00421_WANDERINGMINSTREL_000_002<tab>Der Körper ist geheilt, doch leer und unbeseelt. Das war nicht die Tochter, die sie in so teurer Erinnerung hatte.","","False","0x00000008","",""
"","TEXT_REGHIN3WANDERINGMINSTREL_00421_WANDERINGMINSTREL_000_003<tab>My apologies, <var 2C ((<var 29 EB02 /var>)) (( )) 02 /var>. I know full well that I asked you for a tale, but so private and intense a sorrow should not be made the subject of amusement. However, I would honor the memory of the departed with a verse.","TEXT_REGHIN3WANDERINGMINSTREL_00421_WANDERINGMINSTREL_000_003<tab>Es wäre nicht richtig, ein so trauriges Schicksal dem Johlen des Publikums preiszugeben. Ich will vielmehr einige schlichte Verse ihrem Gedenken widmen.","","False","0x00000009","",""
