"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_CTSDOMRECONSTRUCTTAUYAKU_00530_TAUYAKU_000_000<tab>After clearing away all the rubble, I asked the builders to join the little islands with bridges. Ideally, I would like to make more extensive changes, but it seems that other projects must take priority.","TEXT_CTSDOMRECONSTRUCTTAUYAKU_00530_TAUYAKU_000_000<tab>En enlevant les débris, on s'est aperçu qu'un bassin naturel s'était formé ici. Nos charpentiers ont alors eu l'idée de bâtir des ponts par-dessus pour en faire un petit étang aménagé. Ingénieux, n'est-ce pas<var 1D /var>?","","False","0x00000000","",""
"","TEXT_CTSDOMRECONSTRUCTTAUYAKU_00530_TAUYAKU_000_005<tab>I have several ideas for improvements I would like to make to the garden. Perhaps one day they will come to fruition.","TEXT_CTSDOMRECONSTRUCTTAUYAKU_00530_TAUYAKU_000_005<tab>J'ai bien ma petite idée de ce qu'on pourrait ajouter pour égayer cet étang, mais il est encore trop tôt pour dévoiler mes plans...","","False","0x00000001","",""
"","TEXT_CTSDOMRECONSTRUCTTAUYAKU_00530_TAUYAKU_000_010<tab>I suppose you now know what my old trade was. Not much of a secret, to be sure, but a man must find some way to keep himself entertained.","TEXT_CTSDOMRECONSTRUCTTAUYAKU_00530_TAUYAKU_000_010<tab>... Quel métier j'exerçais avant la guerre<var 1D /var>? Allons, vous n'avez toujours pas deviné<var 1D /var>?","","False","0x00000002","",""
"","TEXT_CTSDOMRECONSTRUCTTAUYAKU_00530_KOZAKURA_000_015<tab>My goodness! I never imagined it would be so spectacular!","TEXT_CTSDOMRECONSTRUCTTAUYAKU_00530_KOZAKURA_000_015<tab>Ouah... C'est splendide<var 1D /var>!","","False","0x00000003","",""
"","TEXT_CTSDOMRECONSTRUCTTAUYAKU_00530_KOZAKURA_000_016<tab>The stunning combination of natural beauty and traditional Doman architecture takes my breath away.","TEXT_CTSDOMRECONSTRUCTTAUYAKU_00530_KOZAKURA_000_016<tab>Je ne suis pas experte en la matière, mais je dois dire que ce jardin respire l'élégance et le raffinement.","","False","0x00000004","",""
"","TEXT_CTSDOMRECONSTRUCTTAUYAKU_00530_KOZAKURA_000_017<tab>The pavilion in particular is certain to impress all who visit. I had no idea you were planning something of this scale, though.","TEXT_CTSDOMRECONSTRUCTTAUYAKU_00530_KOZAKURA_000_017<tab>Mention spéciale pour le pavillon tout au fond. Comme il doit faire bon s'y prélasser en admirant le paysage<var 1D /var>!","","False","0x00000005","",""
"","TEXT_CTSDOMRECONSTRUCTTAUYAKU_00530_HACHISUBA_000_018<tab>Actually, Tauyaku came up with the overall design, while I saw to its construction. Though I have to say, even I am pleasantly surprised by the end result.","TEXT_CTSDOMRECONSTRUCTTAUYAKU_00530_HACHISUBA_000_018<tab>Moi-même, j'étais loin de me douter que le résultat serait aussi grandiose... Je me suis contenté de suivre les in<var 16 /var>struc<var 16 /var>tions de m'sieur Tauyaku, et puis voilà<var 1D /var>!","","False","0x00000006","",""
"","TEXT_CTSDOMRECONSTRUCTTAUYAKU_00530_HACHISUBA_000_019<tab>I am curious, Tauyaku─ How did you become such a gardening expert?","TEXT_CTSDOMRECONSTRUCTTAUYAKU_00530_HACHISUBA_000_019<tab>M'sieur Tauyaku, je me demandais, où est-ce que vous avez acquis un savoir-faire aussi abouti<var 1D /var>?","","False","0x00000007","",""
"","TEXT_CTSDOMRECONSTRUCTTAUYAKU_00530_HACHISUBA_000_020<tab>Surely, the imperial occupation all but brought an end to such leisurely pursuits?","TEXT_CTSDOMRECONSTRUCTTAUYAKU_00530_HACHISUBA_000_020<tab>Ça m'étonnerait que vous ayez travaillé sur beaucoup de jardins domiens durant l'occupation impériale. Je me souviens qu'à l'époque, les nouveaux lieux de détente étaient presque tous réalisés dans le style garlemaldais.","","False","0x00000008","",""
"","TEXT_CTSDOMRECONSTRUCTTAUYAKU_00530_TAUYAKU_000_021<tab>Yes, those damnable Garleans have no respect for the finer things in life. Until they came and ruined everything, I was an apprentice gardener.","TEXT_CTSDOMRECONSTRUCTTAUYAKU_00530_TAUYAKU_000_021<tab>En effet... J'ai appris le métier sur le tas, bien avant cette période sombre. Toutes mes techniques, je les tiens de mon père, qui était jardinier.","","False","0x00000009","",""
