"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_CTSERKEUREKA2EVENTEJIKA_00503_EJIKATSUNJIKA_000_330<tab>Well, if it isn't the adventurer. Still running all over trying to find confluences and magicite for Krile?","TEXT_CTSERKEUREKA2EVENTEJIKA_00503_EJIKATSUNJIKA_000_330<tab>……む、貴様か。<br>探索は順調のようだが、何かあったのか？","","False","0x00000000","",""
"","TEXT_CTSERKEUREKA2EVENTEJIKA_00503_EJIKATSUNJIKA_000_331<tab>The vaunted Echo yields up more information, does it? Of course it does. How you two must delight in stumbling upon revelations and rubbing it in the faces of us mere mortals.","TEXT_CTSERKEUREKA2EVENTEJIKA_00503_EJIKATSUNJIKA_000_331<tab>チッ……さすがは「超える力」だな。<br>才も能もない俺が何の情報も掴めないのを、<br>あざ笑うためにそんな話をしたのか？","","False","0x00000001","",""
"","TEXT_CTSERKEUREKA2EVENTEJIKA_00503_EJIKATSUNJIKA_000_332<tab>...That was rude. I apologize. You've given me no reason to believe you would harbor such motives. I allowed my personal feelings to cloud my judgment.","TEXT_CTSERKEUREKA2EVENTEJIKA_00503_EJIKATSUNJIKA_000_332<tab>……すまない、下らんことを言った。<br>そんな意図がないのは理解している。<br>特別な力を持つ貴様に嫉妬し、愚かな発言をしてしまった。","","False","0x00000002","",""
"","TEXT_CTSERKEUREKA2EVENTEJIKA_00503_EJIKATSUNJIKA_000_333<tab>I'll not deny it. I resent you and Krile for your gift. To we who have toiled and suffered for every scrap to our name, the very idea that another was simply “chosen” is infuriating.","TEXT_CTSERKEUREKA2EVENTEJIKA_00503_EJIKATSUNJIKA_000_333<tab>ああ、そうだ。<br>俺は貴様やクルルが妬ましい。<br>努力では決して手に入れられない力を持つ、貴様らがな。","","False","0x00000003","",""
"","TEXT_CTSERKEUREKA2EVENTEJIKA_00503_EJIKATSUNJIKA_000_334<tab>I was born into poverty. What I have achieved, what I have become─all was through mine own effort. I <var 1A 02 /var>earned<var 1A 01 /var> my place with Galuf and the others.","TEXT_CTSERKEUREKA2EVENTEJIKA_00503_EJIKATSUNJIKA_000_334<tab>生まれは貧しくとも、努力すれば道も開けると、<br>俺はずっと研鑽を積み重ねてきた。<br>なればこそ、ガラフ様に見出してもらえたとの自負もある。","","False","0x00000004","",""
"","TEXT_CTSERKEUREKA2EVENTEJIKA_00503_EJIKATSUNJIKA_000_335<tab>Yet no matter how hard I strive to better myself, I will never be held in the same esteem as the Leveilleurs and Kriles of the world.","TEXT_CTSERKEUREKA2EVENTEJIKA_00503_EJIKATSUNJIKA_000_335<tab>だが、努力をどれだけ重ねようとも、<br>ルヴェユール家の神童のような天才や、<br>クルルのような異能者には、絶対に届かない。","","False","0x00000005","",""
"","TEXT_CTSERKEUREKA2EVENTEJIKA_00503_EJIKATSUNJIKA_000_336<tab>There was a time when the question kept me up at nights. What do they have that I lack? What indispensable, indescribable quality do these esteemed personages possess that sets them apart?","TEXT_CTSERKEUREKA2EVENTEJIKA_00503_EJIKATSUNJIKA_000_336<tab>ヤツらと俺の、何が違うのだ？<br>何をすれば、ヤツらに追いつける？<br>そんな無意味な問いを、未熟な俺はずっと消せずにいる……。","","False","0x00000006","",""
"","TEXT_CTSERKEUREKA2EVENTEJIKA_00503_EJIKATSUNJIKA_000_337<tab>This must all seem so very petty to you. Doubtless you will claim that your gift, your Echo, is not at all the blessing the rest of us believe it to be.","TEXT_CTSERKEUREKA2EVENTEJIKA_00503_EJIKATSUNJIKA_000_337<tab>このような弱音、貴様に話すものではなかったな。<br>「超える力」など、持っていたところで、<br>いいことばかりでもなかっただろう？","","False","0x00000007","",""
"","TEXT_CTSERKEUREKA2EVENTEJIKA_00503_Q3_000_000<tab>What will you say?","TEXT_CTSERKEUREKA2EVENTEJIKA_00503_Q3_000_000<tab>何と答える？","","False","0x00000008","",""
"","TEXT_CTSERKEUREKA2EVENTEJIKA_00503_A3_000_001<tab>It definitely has its drawbacks.","TEXT_CTSERKEUREKA2EVENTEJIKA_00503_A3_000_001<tab>そのとおり","","False","0x00000009","",""
"","TEXT_CTSERKEUREKA2EVENTEJIKA_00503_A3_000_002<tab>No, it's pretty much a blessing.","TEXT_CTSERKEUREKA2EVENTEJIKA_00503_A3_000_002<tab>そうでもない","","False","0x0000000A","",""
