"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_CTSERKEUREKA3ADJUSTTOOL_00539_Q1_000_000<tab>What would you like to do?","TEXT_CTSERKEUREKA3ADJUSTTOOL_00539_Q1_000_000<tab>Wähle eine Option.","","False","0x00000000","",""
"","TEXT_CTSERKEUREKA3ADJUSTTOOL_00539_A1_000_001<tab>Enhance Eureka weapon with mnemes.","TEXT_CTSERKEUREKA3ADJUSTTOOL_00539_A1_000_001<tab>Sub-Parameter implantieren","","False","0x00000001","",""
"","TEXT_CTSERKEUREKA3ADJUSTTOOL_00539_A1_000_002<tab>Read the manual.","TEXT_CTSERKEUREKA3ADJUSTTOOL_00539_A1_000_002<tab>Anleitung lesen","","False","0x00000002","",""
"","TEXT_CTSERKEUREKA3ADJUSTTOOL_00539_A1_000_003<tab>Nothing.","TEXT_CTSERKEUREKA3ADJUSTTOOL_00539_A1_000_003<tab>Abbrechen","","False","0x00000003","",""
"","TEXT_CTSERKEUREKA3ADJUSTTOOL_00539_SYSTEM_000_000<tab>You do not possess a Eureka weapon which can be enhanced with mnemes.","TEXT_CTSERKEUREKA3ADJUSTTOOL_00539_SYSTEM_000_000<tab>Du hast keine Waffe, in die Sub-Parameter implantiert werden können.","","False","0x00000004","",""
"","TEXT_CTSERKEUREKA3ADJUSTTOOL_00539_Q1_001_000<tab>Select a Eureka weapon.","TEXT_CTSERKEUREKA3ADJUSTTOOL_00539_Q1_001_000<tab>Auf welche Waffe möchtest du einen Sub-Parameter implantieren?","","False","0x00000005","",""
"","TEXT_CTSERKEUREKA3ADJUSTTOOL_00539_A1_001_001<tab><var 28 ((Item)) E8020A /var>.","TEXT_CTSERKEUREKA3ADJUSTTOOL_00539_A1_001_001<tab><var 2B ((<var 32 ((Item)) 06E802020202 /var>)) /var>","","False","0x00000006","",""
"","TEXT_CTSERKEUREKA3ADJUSTTOOL_00539_A1_001_002<tab>Cancel.","TEXT_CTSERKEUREKA3ADJUSTTOOL_00539_A1_001_002<tab>Abbrechen","","False","0x00000007","",""
"","TEXT_CTSERKEUREKA3ADJUSTTOOL_00539_SYSTEM_000_010<tab>You do not have the required <var 31 ((Item)) 04F25E3A0302 /var> to enhance <var 31 ((Item)) 03E8020202 /var> with mnemes.","TEXT_CTSERKEUREKA3ADJUSTTOOL_00539_SYSTEM_000_010<tab>Du verfügst nicht über ausreichend <var 32 ((Item)) 06F25E3A030502 /var>, daher konnte der Sub-Parameter nicht in <var 32 ((Item)) 04E802020502 /var> implantiert werden.","","False","0x00000008","",""
"","TEXT_CTSERKEUREKA3ADJUSTTOOL_00539_SYSTEM_000_011<tab>In order to enhance <var 31 ((Item)) 03E8020202 /var> with mnemes, <var 08 E803 ((<var 08 E2E8030B ((<var 09 E803 ((one)) ((two)) ((three)) ((four)) ((five)) ((six)) ((seven)) ((eight)) ((nine)) ((ten)) /var>)) ((<var 20 E803 /var>)) /var>)) ((<var 20 E803 /var>)) /var> <var 31 ((Item)) 04F25E3A0302 /var> are required.","TEXT_CTSERKEUREKA3ADJUSTTOOL_00539_SYSTEM_000_011<tab>Um die Mneme zu extrahieren und als Sub-Parameter in <var 32 ((Item)) 03E802020502 /var> zu implantieren, benötigst du noch <var 32 ((Item)) 02F25E3AE8030502 /var>.","","False","0x00000009","",""
"","TEXT_CTSERKEUREKA3ADJUSTTOOL_00539_YESNO_000<tab>Extract and transubstantiate mnemes from <var 08 E803 ((<var 08 E2E8030B ((<var 09 E803 ((one)) ((two)) ((three)) ((four)) ((five)) ((six)) ((seven)) ((eight)) ((nine)) ((ten)) /var>)) ((<var 20 E803 /var>)) /var>)) ((<var 20 E803 /var>)) /var> <var 31 ((Item)) 04F25E3A0302 /var> in order to enhance <var 31 ((Item)) 03E8020202 /var>?","TEXT_CTSERKEUREKA3ADJUSTTOOL_00539_YESNO_000<tab><var 2B ((<var 32 ((Item)) 02F25E3AE8030502 /var>)) /var> verbrauchen und die extrahierte Mneme in <var 32 ((Item)) 03E802020502 /var> als Sub-Parameter implantieren?","","False","0x0000000A","",""
"","TEXT_CTSERKEUREKA3ADJUSTTOOL_00539_YESNO_001<tab>Once again extract and transubstantiate mnemes from <var 08 E803 ((<var 08 E2E8030B ((<var 09 E803 ((one)) ((two)) ((three)) ((four)) ((five)) ((six)) ((seven)) ((eight)) ((nine)) ((ten)) /var>)) ((<var 20 E803 /var>)) /var>)) ((<var 20 E803 /var>)) /var> <var 31 ((Item)) 04F25E3A0302 /var> in order to enhance <var 31 ((Item)) 03E8020202 /var>?","TEXT_CTSERKEUREKA3ADJUSTTOOL_00539_YESNO_001<tab><var 2B ((<var 32 ((Item)) 02F25E3AE8030502 /var>)) /var> verbrauchen und erneut die extrahierte Mneme in <var 32 ((Item)) 03E802020502 /var> als Sub-Parameter implantieren?","","False","0x0000000B","",""
"","TEXT_CTSERKEUREKA3ADJUSTTOOL_00539_Q2_000_000<tab>Select a topic.","TEXT_CTSERKEUREKA3ADJUSTTOOL_00539_Q2_000_000<tab>Wähle eine Kategorie.","","False","0x0000000C","",""
"","TEXT_CTSERKEUREKA3ADJUSTTOOL_00539_A2_000_001<tab>Enhancing Eureka weapons with mnemes.","TEXT_CTSERKEUREKA3ADJUSTTOOL_00539_A2_000_001<tab>Erklärung zu den Sub-Parametern","","False","0x0000000D","",""
"","TEXT_CTSERKEUREKA3ADJUSTTOOL_00539_A2_000_002<tab>Required materials.","TEXT_CTSERKEUREKA3ADJUSTTOOL_00539_A2_000_002<tab>Benötigte Materialien","","False","0x0000000E","",""
"","TEXT_CTSERKEUREKA3ADJUSTTOOL_00539_A2_000_003<tab>Return.","TEXT_CTSERKEUREKA3ADJUSTTOOL_00539_A2_000_003<tab>Zurück","","False","0x0000000F","",""
"","TEXT_CTSERKEUREKA3ADJUSTTOOL_00539_MANUAL00539_000_020<tab>(-Mnemeworks Manual-)“It is strongly recommended that you familiarize yourself with all aspects of the mnemeworks station before attempting to enhance an armament. Failure to do so may lead to catastrophic failure and/or grievous bodily harm and/or death...”","TEXT_CTSERKEUREKA3ADJUSTTOOL_00539_MANUAL00539_000_020<tab>(-Anleitung des Mnemskriptors-)<var 1A 02 /var>Der <var 32 ((EObj)) 06F61EAA2F020202 /var> dient dazu, „Mnemen“ genannte Eigenschaften als Sub-Parameter in Waffen zu implantieren und diese dadurch zu verstärken.
Hinweis: Der Erfinder dieser grandiosen Apparatur empfiehlt, die Bedienungsanleitung gründlich zu studieren!<var 1A 01 /var>","","False","0x00000010","",""
"","TEXT_CTSERKEUREKA3ADJUSTTOOL_00539_SYSTEM_000_021<tab>Through the use of the mnemeworks, you may imbue your Pyros weapon with additional properties.","TEXT_CTSERKEUREKA3ADJUSTTOOL_00539_SYSTEM_000_021<tab>Wenn man die Option „Sub-Parameter implantieren“ wählt, kann man sogenannte Sub-Parameter auf Pyros-Waffen übertragen und sie so verstärken.","","False","0x00000011","",""
