"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_CTSERKEUREKA3KRILE1_00512_KRILE_000_000<tab>Always a pleasure, <var 2C ((<var 29 EB02 /var>)) (( )) 02 /var>. I'm sure you're eager to get to it, but before we begin, I want to make sure you remember where we left off.","TEXT_CTSERKEUREKA3KRILE1_00512_KRILE_000_000<tab>Ah, <var 2C ((<var 29 EB02 /var>)) (( )) 02 /var>, schön, dich wiederzusehen! Gestatte mir, kurz die gegenwärtige Situation auf Eureka zu rekapitulieren, bevor wir unsere Untersuchung fortsetzen.","","False","0x00000000","",""
"","TEXT_CTSERKEUREKA3KRILE1_00512_KRILE_000_001<tab>To review, we established a base camp here so we could make use of a proto-aetheryte nearby. This aetheryte was constructed several thousand years ago, and is a precursor to the designs we use today. As such, we used it primarily for monitoring aetherial fluctuations, and rarely for teleportation.","TEXT_CTSERKEUREKA3KRILE1_00512_KRILE_000_001<tab>Wir sind hier, um den sogenannten „Proto-Ätheryten“ zu benutzen. Ein Konstrukt, das vor rund tausend Jahren errichtet wurde, um Theorien rund ums Teleportieren experimentell zu überprüfen. Mein Großvater und seine Gefährten machten sich den Proto-Ätheryten jedoch für einen anderen Zweck zunutze: der Messung des Ätherflusses.","","False","0x00000001","",""
"","TEXT_CTSERKEUREKA3KRILE1_00512_KRILE_000_002<tab>Per Ejika's suggestion, we've decided to study this proto-aetheryte that we might gain greater insight into the many mysteries surrounding the Isle of Val and its current state. If, in doing so, we can further stabilize the regional Aethernet, then all the better.","TEXT_CTSERKEUREKA3KRILE1_00512_KRILE_000_002<tab>Ejika vermutet, dass Eurekas Geheimnisse in direktem Zusammenhang mit den Ätherströmen stehen, die sich kreuz und quer durch die Insel ziehen. Mit dem Proto-Ätheryten sollten wir dazu in der Lage sein, den Ätherfluss zu stabilisieren und Ejikas Theorie zu verifizieren, womit wir gleich zwei Fliegen mit einer Klappe schlagen.","","False","0x00000002","",""
"","TEXT_CTSERKEUREKA3KRILE1_00512_KRILE_000_003<tab>Our primary objective, as ever, remains the same: find a way to reach the headquarters of the Students of Baldesion at the isle's center, and there seek out and aid any survivors.","TEXT_CTSERKEUREKA3KRILE1_00512_KRILE_000_003<tab>So weit die Zusammenfassung unseres bisherigen Wissens. Wir sind nur noch einen Schritt davon entfernt, das Hauptquartier von Baldesions Gelehrten zu erreichen, wo wir hoffentlich Großvater und die anderen wiedertreffen.","","False","0x00000003","",""
"","TEXT_CTSERKEUREKA3KRILE1_00512_KRILE_000_004<tab>And that about covers it. Did you see Ejika on your way in, by the way? He should have arrived by now...","TEXT_CTSERKEUREKA3KRILE1_00512_KRILE_000_004<tab>Apropos Ejika. Du hast ihn nicht zufälligerweise gesehen? Er wollte nämlich eigentlich auch hierherkommen<var 1D /var>...","","False","0x00000004","",""
"","TEXT_CTSERKEUREKA3KRILE1_00512_KRILE_000_005<tab>Speak of the devil...
Ejika! Surely you saw us standing over here? Don't be a stranger─come and speak with us!","TEXT_CTSERKEUREKA3KRILE1_00512_KRILE_000_005<tab>Wenn man vom<var 1D /var>... He, Ejika! Ignorierst du uns jetzt etwa schon? Du könntest wenigstens grüßen!","","False","0x00000005","",""
"","TEXT_CTSERKEUREKA3KRILE1_00512_EJIKATSUNJIKA_000_006<tab>...Oh, you two. Forgive me, I was lost in thought.","TEXT_CTSERKEUREKA3KRILE1_00512_EJIKATSUNJIKA_000_006<tab>Hmm? Oh, Krile, <var 2C ((<var 29 EB02 /var>)) (( )) 02 /var>. Verzeiht, ich war in Gedanken versunken.","","False","0x00000006","",""
"","TEXT_CTSERKEUREKA3KRILE1_00512_KRILE_000_007<tab>Hmm... I've never known you to be that oblivious as to your surroundings. What troubles you, Ejika? ","TEXT_CTSERKEUREKA3KRILE1_00512_KRILE_000_007<tab>Da ist doch etwas im Busch, wenn du so gedankenverloren bist. Ist etwas passiert?","","False","0x00000007","",""
"","TEXT_CTSERKEUREKA3KRILE1_00512_EJIKATSUNJIKA_000_008<tab>Well, I... You know, this place and... Ahem. It is of no moment. Would that I had new information to share, but alas, I do not.","TEXT_CTSERKEUREKA3KRILE1_00512_EJIKATSUNJIKA_000_008<tab>E-Etwas passiert? N-Nein, alles in bester Ordnung. ","","False","0x00000008","",""
"","TEXT_CTSERKEUREKA3KRILE1_00512_EJIKATSUNJIKA_000_009<tab>I can but hope that I can be of greater use to you all in the future. Best of luck to you both in your many endeavors.","TEXT_CTSERKEUREKA3KRILE1_00512_EJIKATSUNJIKA_000_009<tab>Ich kann euch momentan leider nicht behilflich sein, aber ich werde meinen Teil der Untersuchungen von Galufs Siegel fortsetzen. Wir sehen uns später.","","False","0x00000009","",""
"","TEXT_CTSERKEUREKA3KRILE1_00512_KRILE_000_010<tab>Gods, he's a terrible liar. Nevertheless, I know better than to pester him for answers when he's behaving like that. It's the same as when he's wrestling with his research.","TEXT_CTSERKEUREKA3KRILE1_00512_KRILE_000_010<tab>Typisch Ejika<var 1D /var>... So ist er immer, wenn er sich einmal in eine Sache festgebissen hat. Dann ist er kaum ansprechbar und lässt nicht mehr locker. ","","False","0x0000000A","",""
"","TEXT_CTSERKEUREKA3KRILE1_00512_KRILE_000_011<tab>He'll talk when he's good and ready─which will hopefully be sooner than later. Or maybe he'll be more forthcoming if and when you run into him in the wild, like before? Maybe try asking him then.","TEXT_CTSERKEUREKA3KRILE1_00512_KRILE_000_011<tab>Lassen wir ihn seine Sache machen, er wird schon wieder zu sich kommen. Falls du ihn während unserer Nach<var 16 /var>for<var 16 /var>schungen treffen solltest, kannst du ihm ja mal unauffällig auf die Finger schauen.","","False","0x0000000B","",""
