"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_FESSUM2018_00505_ETHELIA_000_000<tab>Phew! It's another scorching summer. I can't tell you how thankful I am for this sea breeze! Did you come for the Moonfire Faire? I'm here to help visitors join in the fun, so if there's anything you'd like to know, ask away!","TEXT_FESSUM2018_00505_ETHELIA_000_000<tab>Phew! It's another scorching summer. I can't tell you how thankful I am for this sea breeze! Did you come for the Moonfire Faire? I'm here to help visitors join in the fun, so if there's anything you'd like to know, ask away!","","False","0x00000000","",""
"","TEXT_FESSUM2018_00505_ETHELIA_000_010<tab>Perhaps you're wondering what all of these decorations are for? Why, it's the Moonfire Faire, of course! If you have any questions, I'd be more than happy to help.","TEXT_FESSUM2018_00505_ETHELIA_000_010<tab>Perhaps you're wondering what all of these decorations are for? Why, it's the Moonfire Faire, of course! If you have any questions, I'd be more than happy to help.","","False","0x00000001","",""
"","TEXT_FESSUM2018_00505_Q1_000_000<tab>What will you ask?","TEXT_FESSUM2018_00505_Q1_000_000<tab>What will you ask?","","False","0x00000002","",""
"","TEXT_FESSUM2018_00505_A1_000_001<tab>What is the Moonfire Faire?","TEXT_FESSUM2018_00505_A1_000_001<tab>What is the Moonfire Faire?","","False","0x00000003","",""
"","TEXT_FESSUM2018_00505_A1_000_002<tab>What is the Eorzean Nimble Warrior course?","TEXT_FESSUM2018_00505_A1_000_002<tab>What is the Eorzean Nimble Warrior course?","","False","0x00000004","",""
"","TEXT_FESSUM2018_00505_A1_000_003<tab>How do I take part in the course?","TEXT_FESSUM2018_00505_A1_000_003<tab>How do I take part in the course?","","False","0x00000005","",""
"","TEXT_FESSUM2018_00505_A1_000_004<tab>What are the rules?","TEXT_FESSUM2018_00505_A1_000_004<tab>What are the rules?","","False","0x00000006","",""
"","TEXT_FESSUM2018_00505_A1_000_005<tab>Nothing.","TEXT_FESSUM2018_00505_A1_000_005<tab>Nothing.","","False","0x00000007","",""
"","TEXT_FESSUM2018_00505_ETHELIA_000_020<tab>Several years ago, the Adventurers' Guild formed the Cascadiers to combat an invasion of rampaging Bombards. The Moonfire Faire was first held to attract new members to the cause.","TEXT_FESSUM2018_00505_ETHELIA_000_020<tab>Several years ago, the Adventurers' Guild formed the Cascadiers to combat an invasion of rampaging Bombards. The Moonfire Faire was first held to attract new members to the cause.","","False","0x00000008","",""
"","TEXT_FESSUM2018_00505_ETHELIA_000_021<tab>It proved so popular that it has been held annually ever since, whether the Bombards appear or not. It helps spread word of the guild's activities and generate interest among potential new recruits. In charge of the proceedings is the grand chaperone, Haermaga.","TEXT_FESSUM2018_00505_ETHELIA_000_021<tab>It proved so popular that it has been held annually ever since, whether the Bombards appear or not. It helps spread word of the guild's activities and generate interest among potential new recruits. In charge of the proceedings is the grand chaperone, Haermaga.","","False","0x00000009","",""
"","TEXT_FESSUM2018_00505_ETHELIA_000_022<tab>He has decided to have members of the Adventurers' Guild demonstrate their courage and physical prowess to faire-goers through a series of challenges in Costa del Sol.","TEXT_FESSUM2018_00505_ETHELIA_000_022<tab>He has decided to have members of the Adventurers' Guild demonstrate their courage and physical prowess to faire-goers through a series of challenges in Costa del Sol.","","False","0x0000000A","",""
"","TEXT_FESSUM2018_00505_ETHELIA_000_030<tab>Master Gegeruju has once again provided the space and funding for the event. It's sure to be the most spectacular Moonfire Faire held to date!","TEXT_FESSUM2018_00505_ETHELIA_000_030<tab>Master Gegeruju has once again provided the space and funding for the event. It's sure to be the most spectacular Moonfire Faire held to date!","","False","0x0000000B","",""
"","TEXT_FESSUM2018_00505_ETHELIA_000_031<tab>Since you're here, why not join in the festivities?","TEXT_FESSUM2018_00505_ETHELIA_000_031<tab>Since you're here, why not join in the festivities?","","False","0x0000000C","",""
"","TEXT_FESSUM2018_00505_ETHELIA_000_032<tab>The event is being held as we speak, courtesy of the ever-generous Master Gegeruju. Your participation would be most appreciated!","TEXT_FESSUM2018_00505_ETHELIA_000_032<tab>The event is being held as we speak, courtesy of the ever-generous Master Gegeruju. Your participation would be most appreciated!","","False","0x0000000D","",""
"","TEXT_FESSUM2018_00505_ETHELIA_000_040<tab>The Eorzean Nimble Warrior course offers adventurers unparalleled challenge and excitement!","TEXT_FESSUM2018_00505_ETHELIA_000_040<tab>The Eorzean Nimble Warrior course offers adventurers unparalleled challenge and excitement!","","False","0x0000000E","",""
"","TEXT_FESSUM2018_00505_ETHELIA_000_041<tab>Built under the supervision of Haermaga and with the financial backing of Master Gegeruju, this three-part obstacle course tests the physical limits of those brave enough to face it.","TEXT_FESSUM2018_00505_ETHELIA_000_041<tab>Built under the supervision of Haermaga and with the financial backing of Master Gegeruju, this three-part obstacle course tests the physical limits of those brave enough to face it.","","False","0x0000000F","",""
"","TEXT_FESSUM2018_00505_ETHELIA_000_042<tab>To succeed, challengers will need endurance, dexterity, and nerves of steel─qualities required of an adventurer when exploring monster-infested catacombs and the like. Only in this case, there's no chance of them being horribly killed! Well, almost none.","TEXT_FESSUM2018_00505_ETHELIA_000_042<tab>To succeed, challengers will need endurance, dexterity, and nerves of steel─qualities required of an adventurer when exploring monster-infested catacombs and the like. Only in this case, there's no chance of them being horribly killed! Well, almost none.","","False","0x00000010","",""
"","TEXT_FESSUM2018_00505_ETHELIA_000_043<tab>Naturally, a prize awaits those who overcome this seemingly insurmountable trial. So? Has your interest been piqued?","TEXT_FESSUM2018_00505_ETHELIA_000_043<tab>Naturally, a prize awaits those who overcome this seemingly insurmountable trial. So? Has your interest been piqued?","","False","0x00000011","",""
"","TEXT_FESSUM2018_00505_ETHELIA_000_050<tab>To test your skills in the Eorzean Nimble Warrior course, register with Beaudefoin, one of our chaperones stationed near the starting point.","TEXT_FESSUM2018_00505_ETHELIA_000_050<tab>To test your skills in the Eorzean Nimble Warrior course, register with Beaudefoin, one of our chaperones stationed near the starting point.","","False","0x00000012","",""
"","TEXT_FESSUM2018_00505_ETHELIA_000_051<tab>Don't forget to speak to him beforehand, otherwise you won't be able to claim the prize for reaching the end!","TEXT_FESSUM2018_00505_ETHELIA_000_051<tab>Don't forget to speak to him beforehand, otherwise you won't be able to claim the prize for reaching the end!","","False","0x00000013","",""
"","TEXT_FESSUM2018_00505_ETHELIA_000_052<tab>In fact, you can complete the course and collect the reward as many times as you like. Just be sure to let Beaudefoin know before starting again from the beginning.","TEXT_FESSUM2018_00505_ETHELIA_000_052<tab>In fact, you can complete the course and collect the reward as many times as you like. Just be sure to let Beaudefoin know before starting again from the beginning.","","False","0x00000014","",""
"","TEXT_FESSUM2018_00505_ETHELIA_000_060<tab>The rules are simple. Make your way to the platform at the end of each of the three sections and present yourself to the chaperone waiting there.","TEXT_FESSUM2018_00505_ETHELIA_000_060<tab>The rules are simple. Make your way to the platform at the end of each of the three sections and present yourself to the chaperone waiting there.","","False","0x00000015","",""
"","TEXT_FESSUM2018_00505_ETHELIA_000_061<tab>Once they have marked your completion of their section, you may proceed to the next. Make sure you complete the three sections in the correct order, and don't try to skip any!","TEXT_FESSUM2018_00505_ETHELIA_000_061<tab>Once they have marked your completion of their section, you may proceed to the next. Make sure you complete the three sections in the correct order, and don't try to skip any!","","False","0x00000016","",""
"","TEXT_FESSUM2018_00505_ETHELIA_000_062<tab>It may seem tricky at first, but there's no need to rush. There is no time limit, and the prize is the same regardless of how long it takes you to reach the end.","TEXT_FESSUM2018_00505_ETHELIA_000_062<tab>It may seem tricky at first, but there's no need to rush. There is no time limit, and the prize is the same regardless of how long it takes you to reach the end.","","False","0x00000017","",""
