"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_REGNOR4GARIK_00597_RHENREN_000_000<tab>Can I interest you in some rock wrigglers? Plump, juicy, and wriggly! No? Is there something else I can help you with?","TEXT_REGNOR4GARIK_00597_RHENREN_000_000<tab>旅人さん、お買い物ネ？<br>悪いけれど、旅人向けの商品、扱ってないネ。<br>……え、違う用件ネ？","","False","0x00000000","",""
"","TEXT_REGNOR4GARIK_00597_RHENREN_000_010<tab>Very dark, very cool, the nights are. A good time for traveling, but a good time for flesh-eating predators, too!","TEXT_REGNOR4GARIK_00597_RHENREN_000_010<tab>暗い中の移動は、ちょっと大変ネ。<br>行商のやり方、変える必要あるネ。<br>……さて、旅人さんは何の用ネ？","","False","0x00000001","",""
"","TEXT_REGNOR4GARIK_00597_RHENREN_000_020<tab>Easier to see where you are going with all this Light, it is true. Still, no one needs <var 1A 02 /var>this<var 1A 01 /var> much Light, do they? Especially when you have Rhen Ren's advice to guide you!","TEXT_REGNOR4GARIK_00597_RHENREN_000_020<tab>空に光があると、移動はしやすいけど、<br>なんだかとっても嫌な感じなるネ……。<br>さて、旅人さんは何の用ネ？","","False","0x00000002","",""
"","TEXT_REGNOR4GARIK_00597_RHENREN_000_030<tab>Light and dark, night and day. All is in perfect balance! Happy times are here, but we must still be careful when crossing the desert.","TEXT_REGNOR4GARIK_00597_RHENREN_000_030<tab>光がなくなって、暗い夜が戻ってきて、嬉しいネ！<br>移動はやりにくいけど、そんなの些細なことヨ！<br>ところで、旅人さんは何の用ネ？","","False","0x00000003","",""
"","TEXT_REGNOR4GARIK_00597_Q1_000_000<tab>What will you ask?","TEXT_REGNOR4GARIK_00597_Q1_000_000<tab>何を聞く？","","False","0x00000004","",""
"","TEXT_REGNOR4GARIK_00597_A1_000_001<tab>What do you do here?","TEXT_REGNOR4GARIK_00597_A1_000_001<tab>あなたのことを教えてほしい","","False","0x00000005","",""
"","TEXT_REGNOR4GARIK_00597_A1_000_002<tab>What kind of place is this?","TEXT_REGNOR4GARIK_00597_A1_000_002<tab>ここはどんなところだ？","","False","0x00000006","",""
"","TEXT_REGNOR4GARIK_00597_A1_000_003<tab>Nothing.","TEXT_REGNOR4GARIK_00597_A1_000_003<tab>キャンセル","","False","0x00000007","",""
"","TEXT_REGNOR4GARIK_00597_RHENREN_000_100<tab>I am what we call a “middle Mord” between Twine and the Crystalline Mean. The Crystarium is too far away for most of the miners, so I buy their gemstones and ore and sell them for a higher price!","TEXT_REGNOR4GARIK_00597_RHENREN_000_100<tab>私、この村を拠点にしてる行商人ネ。<br>トゥワインで採掘された鉱石を、<br>ミーン工芸館に売りに行くの多いネ。","","False","0x00000008","",""
"","TEXT_REGNOR4GARIK_00597_RHENREN_000_101<tab>I only sell by the crate, so if you are looking for individual items, try the other merchants! They have many goods for travelers like you!","TEXT_REGNOR4GARIK_00597_RHENREN_000_101<tab>だから、旅人向けの商品は扱ってないネ。<br>何かほしいなら他の商人あたってヨ。<br>同胞が儲かれば、私も嬉しいネ！","","False","0x00000009","",""
"","TEXT_REGNOR4GARIK_00597_RHENREN_000_200<tab>Garik was once a mining town. Until all of the miners moved out, that is!","TEXT_REGNOR4GARIK_00597_RHENREN_000_200<tab>ここ、「ガリク村」ネ。<br>昔は鉱山労働者がいっぱい住んでたところヨ。","","False","0x0000000A","",""
"","TEXT_REGNOR4GARIK_00597_RHENREN_000_201<tab>They were kind enough to leave their houses for us Mord to use. And like we always say, “Waste not, want not!”","TEXT_REGNOR4GARIK_00597_RHENREN_000_201<tab>でも、いまはもういないネ。<br>代わりに私たち、モルド族が住んでるヨ。","","False","0x0000000B","",""
"","TEXT_REGNOR4GARIK_00597_RHENREN_000_202<tab>As you can see, there is not much here, but a lot of people traveling to and from the Crystarium pass through, mainly to rest or use our well. It is the closest thing this place has to an oasis!","TEXT_REGNOR4GARIK_00597_RHENREN_000_202<tab>この村、行商の中継地にとっても便利だからネ！<br>私みたいに、クリスタリウムへ行く行商人、<br>いっぱいいっぱい立ち寄るネ！","","False","0x0000000C","",""
"","TEXT_REGNOR4GARIK_00597_TALK_ACTOR<tab>","TEXT_REGNOR4GARIK_00597_TALK_ACTOR<tab>（★未使用／削除予定★）","","False","0x0000000D","",""
