"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_CTSOPN60NEMJIJI_00732_CFC_TO_INSTANCE_CONTENT<tab><var 28 ((ContentFinderCondition)) E80204 /var>","TEXT_CTSOPN60NEMJIJI_00732_CFC_TO_INSTANCE_CONTENT<tab><var 28 ((ContentFinderCondition)) E80204 /var>","","True","0x00000000","",""
"","TEXT_CTSOPN60NEMJIJI_00732_NEMJIJI_000_000<tab><var 2C ((<var 29 EB02 /var>)) (( )) 02 /var>! Allow me to thank you personally for your contribution to our research. Your stories of the ancients' creations have planted the seeds of a great many theories, and I cannot wait for them to flourish!","TEXT_CTSOPN60NEMJIJI_00732_NEMJIJI_000_000<tab>Wir danken dir für einen wertvollen Beitrag zu Forschung und Fortschritt, <var 2C ((<var 29 EB02 /var>)) (( )) 02 /var>! Die Kreaturen, gegen die du kämpfen musstest<var 1D /var>... klar, sie waren schrecklich gefährlich, tut uns leid wegen der Umstände und der Lebensgefahr und so weiter, aber<var 1D /var>... sie sind ja so aufregend! Was deine Berichte alles über ihre Lebensweise verraten, hnnng! Mein Genie wächst mit jeder Minute, die ich darüber nachdenke!","","True","0x00000001","",""
"","TEXT_CTSOPN60NEMJIJI_00732_Q1_000_000<tab>What will you say?","TEXT_CTSOPN60NEMJIJI_00732_Q1_000_000<tab>Was möchtest du fragen?","","True","0x00000002","",""
"","TEXT_CTSOPN60NEMJIJI_00732_A1_000_003<tab>How goes the investigation?","TEXT_CTSOPN60NEMJIJI_00732_A1_000_003<tab>Was tun die Nach<var 16 /var>for<var 16 /var>schungen?","","True","0x00000003","",""
"","TEXT_CTSOPN60NEMJIJI_00732_A1_000_004<tab>Nothing.","TEXT_CTSOPN60NEMJIJI_00732_A1_000_004<tab>Nichts.","","True","0x00000004","",""
"","TEXT_CTSOPN60NEMJIJI_00732_NEMJIJI_000_100<tab>Professor Claudien has asked me to write detailed records of your investigation. If you wouldn't mind staying for a while, I would ask you to tell me more of your adventures in the past.","TEXT_CTSOPN60NEMJIJI_00732_NEMJIJI_000_100<tab>Ich hoffe, du hast Zeit mitgebracht, denn jetzt folgt eine ausführliche Zusammenfassung unserer Kenntnisse, unseres Forschungsablaufs <var 1A 02 /var>und<var 1A 01 /var> allem, was mir sonst noch einfällt. Ähem!","","True","0x00000005","",""
"","TEXT_CTSOPN60NEMJIJI_00732_NEMJIJI_000_101<tab>Adventures that started with that mysterious crystal, seemingly containing a message declaring a crisis in this “Pandæmonium”... Of course, Professor Claudien will eventually make a report, but we are deficient on concrete facts at present.","TEXT_CTSOPN60NEMJIJI_00732_NEMJIJI_000_101<tab>Fangen wir von vorne an. Der Kristall, den wir aus dem Sternengrund bargen, enthält eine Warnung bezüglich einer Gefahr, die vom Pandæmonium ausgeht. Professor Claudien widmet sich der Studie dieses Kristalls und wird alle Erkenntnisse sowie Geschehnisse rund um diese Thematik irgendwann der Akademie vorlegen. Wenn die Sache abgeschlossen ist, bestenfalls.","","True","0x00000006","",""
"","TEXT_CTSOPN60NEMJIJI_00732_NEMJIJI_000_102<tab>To that end, I suppose a comprehensive catalog of the beasts you encountered in the “Asphodelos” circles would be a fine starting point. Yes...I require every gory detail, every hair-raising description!","TEXT_CTSOPN60NEMJIJI_00732_NEMJIJI_000_102<tab>Zu diesem Zweck dokumentiere ich <var 1A 02 /var>alles<var 1A 01 /var>, was damit zu tun hat. Im Moment<var 1D /var>... Ja, im Moment will ich unbedingt mehr über die gefährlichen Kreaturen erfahren, denen du in Asphodelos begegnet bist. Spare nicht das kleinste Detail aus, hörst du?","","True","0x00000007","",""
"","TEXT_CTSOPN60NEMJIJI_00732_RUISSENAUD_000_103<tab>Nemjiji! I've brought the volumes you asked for, but...are you quite certain we need all of this just to research the crystals?","TEXT_CTSOPN60NEMJIJI_00732_RUISSENAUD_000_103<tab>He, Nemjiji. Ich habe die Materialien und Referenzen besorgt, nach denen du gefragt hattest. Aber, hör mal<var 1D /var>... Sind sie wirklich <var 1A 02 /var>alle<var 1A 01 /var> notwendig, um die im Kristall verborgenen Worte zu entschlüsseln?","","True","0x00000008","",""
"","TEXT_CTSOPN60NEMJIJI_00732_RUISSENAUD_000_104<tab>Some of these─<var 1A 02 /var>Habitats of Aquatic Life-forms<var 1A 01 /var> and <var 1A 02 /var>Myths and Folklore of the Phoenix<var 1A 01 /var>, for example─seem to have little bearing on the subject. In fact, many of these tomes seem to be related to the creatures of Pandæmonium <var 2C ((<var 29 EB02 /var>)) (( )) 02 /var> spoke of...","TEXT_CTSOPN60NEMJIJI_00732_RUISSENAUD_000_104<tab>Besonders wundere ich mich über die beiden Ausgaben „Ökologische Studien zu aquatischen Lebensformen aller Art“ und „Der Phönix<var 1D /var>- Die Folklore des Feuervogels im Querschnitt diverser Kulturen“. Sicher, sie haben mit den Kreaturen des Pandæmoniums zu tun, aber<var 1D /var>...","","True","0x00000009","",""
"","TEXT_CTSOPN60NEMJIJI_00732_RUISSENAUD_000_105<tab>Surely we have better things to do with our time! <var 2C ((<var 29 EB02 /var>)) (( )) 02 /var> has already encountered and subdued them, so what use could further insight offer? ","TEXT_CTSOPN60NEMJIJI_00732_RUISSENAUD_000_105<tab>Gerade diese beiden hat <var 2C ((<var 29 EB02 /var>)) (( )) 02 /var> ja nun schon bezwungen und sicher gebannt, also<var 1D /var>... Was willst du noch damit?","","True","0x0000000A","",""
"","TEXT_CTSOPN60NEMJIJI_00732_NEMJIJI_000_106<tab>On the contrary, Ruissenaud, we would be remiss in our duty as academics <var 1A 02 /var>not<var 1A 01 /var> to take every opportunity to learn more of these subjects. To view the creatures of bygone times through the lens of modern science is a dream so few have the chance to achieve!","TEXT_CTSOPN60NEMJIJI_00732_NEMJIJI_000_106<tab>Ruissenaud, dein Horizont ist aber auch beschränkt! Die Schilderungen von <var 2C ((<var 29 EB02 /var>)) (( )) 02 /var> bieten eine einmalige Gelegenheit, lang ausgestorbene Lebewesen aus der Perspektive moderner Wissenschaft zu betrachten. Man stelle sich nur vor, welche Erkenntnisse wir aus einem solchen Unterfangen gewinnen werden!","","True","0x0000000B","",""
"","TEXT_CTSOPN60NEMJIJI_00732_NEMJIJI_000_107<tab>Of course, I'll not deny a personal interest in the matter.","TEXT_CTSOPN60NEMJIJI_00732_NEMJIJI_000_107<tab>... Und außerdem finde ich es einfach ungemein spannend.","","True","0x0000000C","",""
"","TEXT_CTSOPN60NEMJIJI_00732_RUISSENAUD_000_108<tab>Hmph─as I thought. While there were enough relevant volumes for me to fulfill your request this once, if you wish to sate your appetite for knowledge again, might you do so on your own time?","TEXT_CTSOPN60NEMJIJI_00732_RUISSENAUD_000_108<tab>Also doch. Du schickst mich los, um deinen ganz persönlichen Wissensdurst zu stillen. Diesmal drücke ich ein Auge zu, die Schriften sind ja durchaus relevant, aber<var 1D /var>... in Zukunft bemühst du dich selbst darum, ja?","","True","0x0000000D","",""
"","TEXT_CTSOPN60NEMJIJI_00732_NEMJIJI_000_110<tab>Ahem, shall we proceed? Tell me everything you remember. And please, spare not a single detail─I don't easily frighten, you may be assured.","TEXT_CTSOPN60NEMJIJI_00732_NEMJIJI_000_110<tab>Ähem! Wo waren wir? Richtig. Deine Kämpfe! Du wolltest mir gerade jedes einzelne Detail dazu schildern.","","True","0x0000000E","",""
"","TEXT_CTSOPN60NEMJIJI_00732_NEMJIJI_000_111<tab>We might start with your battle with this transformed warder─Erichthonios, was it? I would also like to hear of the keyward and the nature of his metamorphosis.","TEXT_CTSOPN60NEMJIJI_00732_NEMJIJI_000_111<tab>Insbesondere von deiner ersten Begegnung mit Erichthonios und seiner absonderlichen Erscheinung. Und natürlich von dem Hohen Wächter, der zu einem <var 1A 02 /var>Hemitheos<var 1A 01 /var> fusioniert ist. Beide sind hochinteressant<var 1D /var>... Faszinierend, gar! Fesselnd!","","True","0x0000000F","",""
"","TEXT_CTSOPN60NEMJIJI_00732_NEMJIJI_000_112<tab>Good, good. Thank you for this priceless information. While I'm disappointed I couldn't behold your foes with my own eyes, your stories have given me more than enough to write sufficiently lurid─I mean, thorough─descriptions.","TEXT_CTSOPN60NEMJIJI_00732_NEMJIJI_000_112<tab>Ich verstehe, ich verstehe. Das sind sehr anschauliche Beschreibungen, ich danke dir. Zu schade nur, dass ich es nicht mit meinen eigenen Augen mit ansehen durfte<var 1D /var>... Umso wichtiger, dass du dir alles haargenau einprägst, was du erlebst, hörst du?","","True","0x00000010","",""
"","TEXT_CTSOPN60NEMJIJI_00732_NEMJIJI_000_113<tab>Perhaps we should also include basic theories concerning the growth and behavior of these creatures. It would give our little catalog some flavor, wouldn't you agree?","TEXT_CTSOPN60NEMJIJI_00732_NEMJIJI_000_113<tab>Hmm<var 1D /var>... Versteh mich nicht falsch, deine Schilderungen sind schon sehr spannend, aber was wäre denn ein wissenschaftlicher Bericht ohne ein paar Mutmaßungen und Theorien? Irgendetwas fehlt da noch.","","True","0x00000011","",""
"","TEXT_CTSOPN60NEMJIJI_00732_NEMJIJI_000_114<tab>We could start with... Ah, I have it! Aquatic life-forms in our time have been observed to grow to sizes that are orders of magnitude larger than their larval forms.","TEXT_CTSOPN60NEMJIJI_00732_NEMJIJI_000_114<tab>Vielleicht<var 1D /var>... Ja! Einige aquatische Organismen der heutigen Zeit sind während ihres Larvenstadiums winzig, wachsen jedoch um ein Vielfaches, bis sie zum Adultus werden!","","True","0x00000012","",""
"","TEXT_CTSOPN60NEMJIJI_00732_NEMJIJI_000_115<tab>In fact, it may not be so preposterous to posit that the hippokampos you encountered was merely the larval form of a much more massive─and dare I say, horrific─entity!","TEXT_CTSOPN60NEMJIJI_00732_NEMJIJI_000_115<tab>Wer weiß, ob der Hippokampos, mit dem du es zu tun hattest, überhaupt schon im adulten Stadium war! Am Ende steckte er mitten in seiner juvenilen Phase und wird noch zehnmal so groß!","","True","0x00000013","",""
"","TEXT_CTSOPN60NEMJIJI_00732_NEMJIJI_000_116<tab>Now, don't look at me like I'm some mad magus. Breakthroughs have been precipitated by even wilder theories than that. As the professor always says─we mustn't let logic stand in the way of brilliance!","TEXT_CTSOPN60NEMJIJI_00732_NEMJIJI_000_116<tab>Schau mich doch nicht so an<var 1D /var>... Jaja, ich gebe zu, dass diese Theorie vielleicht etwas übers Ziel hinausschießt.","","True","0x00000014","",""
"","TEXT_CTSOPN60NEMJIJI_00732_NEMJIJI_000_117<tab>Until proven one way or the other, every hypothesis is a valid one. Ah, there is nothing quite like the ambrosia of inspiration!","TEXT_CTSOPN60NEMJIJI_00732_NEMJIJI_000_117<tab>Aber unmöglich ist es nicht, oder? Schließlich haben wir es mit Schöpfungsmagie zu tun und der Fantasie ist ja bekannterweise keine Grenzen gesetzt. Denk nur an all die Möglichkeiten! Bei Nyunkrepf, bin ich aufgeregt!","","True","0x00000015","",""
"","TEXT_CTSOPN60NEMJIJI_00732_Q1_100_100<tab>What will you say?","TEXT_CTSOPN60NEMJIJI_00732_Q1_100_100<tab>Was sagst du?","","True","0x00000016","",""
"","TEXT_CTSOPN60NEMJIJI_00732_A1_100_100<tab>Are we making records or creating faerie tales?","TEXT_CTSOPN60NEMJIJI_00732_A1_100_100<tab>Ist in einem <var 1A 02 /var>faktischen Bericht<var 1A 01 /var> denn Platz für solche Spekulationen<var 1D /var>...?","","True","0x00000017","",""
"","TEXT_CTSOPN60NEMJIJI_00732_A2_100_100<tab>Your ideas are intriguing to me...","TEXT_CTSOPN60NEMJIJI_00732_A2_100_100<tab>Das ist tatsächlich faszinierend!","","True","0x00000018","",""
"","TEXT_CTSOPN60NEMJIJI_00732_NEMJIJI_000_120<tab>So long as I make a note in the margins of my records indicating that a theory is unproven, we can let our imaginations run wild! Yes, I said <var 1A 02 /var>our<var 1A 01 /var>─you needn't be a researcher to have an idea that will leave its mark for generations!","TEXT_CTSOPN60NEMJIJI_00732_NEMJIJI_000_120<tab>Hehehehe! Ich kann all meine Theorien in den Bericht schreiben, solange ich sie mit dem Vermerk „Unbestätigte Annahme“ markiere. Und nun lass deiner Fantasie freien Lauf, <var 2C ((<var 29 EB02 /var>)) (( )) 02 /var>, und denke darüber nach, wie viel garstiger die Kreaturen hätten sein können, denen du dich gestellt hast!","","True","0x00000019","",""
"","TEXT_CTSOPN60NEMJIJI_00732_NEMJIJI_000_400<tab>By Professor Claudien's order, our reports to the other research bodies have been somewhat scarce on concrete information.","TEXT_CTSOPN60NEMJIJI_00732_NEMJIJI_000_400<tab>Auf Anweisung von Professor Claudien leiten wir nur das Allernötigste an die entsprechenden akademischen Stellen weiter, damit so wenig wie möglich nach draußen dringt.","","True","0x0000001A","",""
"","TEXT_CTSOPN60NEMJIJI_00732_NEMJIJI_000_401<tab>Even if we wanted to go into further detail, there are too many unknown variables concerning how this crisis might affect our present...","TEXT_CTSOPN60NEMJIJI_00732_NEMJIJI_000_401<tab>Aber selbst wenn wir einen detaillierten Bericht einreichen wollen würden, hätten wir doch noch viel zu wenig Ahnung davon, in wie weit der Vorfall im Pandæmonium unsere gelebte Gegenwart beeinflussen kann.","","True","0x0000001B","",""
"","TEXT_CTSOPN60NEMJIJI_00732_NEMJIJI_000_402<tab>We only know for certain that the crystal we found ties us to the past. We've had no luck eliciting further memories from its depths.","TEXT_CTSOPN60NEMJIJI_00732_NEMJIJI_000_402<tab>Klar ist nur, dass der Erinnerungskristall aus dem Sternengrund die konkrete Brücke zwischen Heute und Damals ist. Leider konnten wir ihm bislang keine weiteren Worte entlocken<var 1D /var>...","","True","0x0000001C","",""
"","TEXT_CTSOPN60NEMJIJI_00732_NEMJIJI_000_403<tab>We're at present gathering as many soul crystals and shards as we can to conduct thorough comparisons, but those experiments have yet to bear fruit.","TEXT_CTSOPN60NEMJIJI_00732_NEMJIJI_000_403<tab>Im Moment vergleichen wir ihn mit ähnlichen Kristallen unserer Zeit, aber einen Durchbruch hatten wir damit auch noch nicht.","","True","0x0000001D","",""
"","TEXT_CTSOPN60NEMJIJI_00732_NEMJIJI_000_404<tab>Of course, the fact that none but you can hear our enigma's voice to begin with puts something of a damper on our potential progress. Yet even so, Professor Claudien is doing all within his power to move things forward!","TEXT_CTSOPN60NEMJIJI_00732_NEMJIJI_000_404<tab>Es hilft auch überhaupt nicht, dass du <var 08 E905 ((die)) ((der)) /var> einzige bist, <var 08 E905 ((die)) ((der)) /var> die Warnung des Kristalls hören kann. Sonst könnte unsereins viel intensiver daran forschen. Professor Claudien bricht diese Tatsache auch Tag um Tag das Forscherherz<var 1D /var>...","","True","0x0000001E","",""
