"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_REGISB5GIANTSGALLGROUNDS_00749_AFIRAZ_000_000<tab>Something tells me you're not here to buy giantsgall... Pity. What is it, then?","TEXT_REGISB5GIANTSGALLGROUNDS_00749_AFIRAZ_000_000<tab>Tu n'as pas l'air d'être là pour acheter du fiel-de-géant, toi, je me trompe<var 1D /var>? Je peux t'aider<var 1D /var>?","","True","0x00000000","",""
"","TEXT_REGISB5GIANTSGALLGROUNDS_00749_Q1_000_000<tab>What will you ask?","TEXT_REGISB5GIANTSGALLGROUNDS_00749_Q1_000_000<tab>Sur quoi vous renseignez-vous<var 1D /var>?","","True","0x00000001","",""
"","TEXT_REGISB5GIANTSGALLGROUNDS_00749_A1_000_001<tab>Who are you?","TEXT_REGISB5GIANTSGALLGROUNDS_00749_A1_000_001<tab>Votre interlocuteur","","True","0x00000002","",""
"","TEXT_REGISB5GIANTSGALLGROUNDS_00749_A1_000_002<tab>What is this place?","TEXT_REGISB5GIANTSGALLGROUNDS_00749_A1_000_002<tab>Cet endroit","","True","0x00000003","",""
"","TEXT_REGISB5GIANTSGALLGROUNDS_00749_A1_000_003<tab>Nothing.","TEXT_REGISB5GIANTSGALLGROUNDS_00749_A1_000_003<tab>Annuler","","True","0x00000004","",""
"","TEXT_REGISB5GIANTSGALLGROUNDS_00749_AFIRAZ_000_010<tab>I'm a stonemason here at the quarry, just like my father before me.","TEXT_REGISB5GIANTSGALLGROUNDS_00749_AFIRAZ_000_010<tab>Comme tu peux le voir, je suis l'un des tailleurs de pierre de cette carrière. J'ai grandi en observant mon père depuis tout petit, et maintenant on travaille ensemble à l'extraction de fiel-de-géant.","","True","0x00000005","",""
"","TEXT_REGISB5GIANTSGALLGROUNDS_00749_AFIRAZ_000_011<tab>It's dangerous work, but I take pride in providing Thavnair with the quality giantsgall we're famed for.","TEXT_REGISB5GIANTSGALLGROUNDS_00749_AFIRAZ_000_011<tab>C'est pas facile et on peut toujours se ramasser des bouts de caillou dans l'œil, mais je suis fier de participer à ma façon à la promotion de cette ressource de ma région.","","True","0x00000006","",""
"","TEXT_REGISB5GIANTSGALLGROUNDS_00749_AFIRAZ_000_020<tab>As you've like as not gathered, this is where we quarry giantsgall. It's sturdy and conducts aether like no other stone, so it makes for fine armor and weapons.","TEXT_REGISB5GIANTSGALLGROUNDS_00749_AFIRAZ_000_020<tab>Tu te trouves devant les mines de fiel-de-géant, <var 08 E905 ((ma bonne dame)) ((mon p'tit gars)) /var><var 1D /var>! Le minerai qu'on extrait ici est célèbre, tu sais<var 1D /var>! Il est très résistant et hautement éthéroconducteur, et peut donc être utilisé pour fabriquer des armures.","","True","0x00000007","",""
"","TEXT_REGISB5GIANTSGALLGROUNDS_00749_AFIRAZ_000_021<tab>I'd direct you to the Hamsa Hatchery for livelier sightseeing fare, but those nightmares from the tower destroyed it. It's only a matter of time before the same happens here, like as not...","TEXT_REGISB5GIANTSGALLGROUNDS_00749_AFIRAZ_000_021<tab>Il y avait le couvoir des hamsa dans le coin avant, mais les créatures qui sont sorties de la tour l'ont com<var 16 /var>plè<var 16 /var>te<var 16 /var>ment détruit... Je ne sais pas combien de temps je vais pouvoir continuer à travailler ici...","","True","0x00000008","",""
"","TEXT_REGISB5GIANTSGALLGROUNDS_00749_AFIRAZ_000_022<tab>I'd direct you to the Hamsa Hatchery for livelier sightseeing fare, but those nightmares from the tower destroyed it. Praise the divine that that damned spire's gone...","TEXT_REGISB5GIANTSGALLGROUNDS_00749_AFIRAZ_000_022<tab>Il y avait le couvoir des hamsa dans le coin avant, mais les créatures qui sont sorties de la tour l'ont com<var 16 /var>plè<var 16 /var>te<var 16 /var>ment détruit... Je peux te dire que je suis soulagé qu'elle ait disparu avant que les mines n'aient subi trop de dégâts...","","True","0x00000009","",""
