"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_CTSDDD3REWARD_00819_DD3ITEMSHOP_000_000<tab><blip> <buzz> Resources required for item synthesis.","TEXT_CTSDDD3REWARD_00819_DD3ITEMSHOP_000_000<tab>ピピピ……ガガガ……
リソースを投入してクダサイ。
ステキなアイテムを創出しマス！","","False","0x00000000","",""
"","TEXT_CTSDDD3REWARD_00819_DD3ITEMSHOP_000_010<tab><beep> Awakening from sleep mode. Awaiting orders.","TEXT_CTSDDD3REWARD_00819_DD3ITEMSHOP_000_010<tab>ピピッ！
創出システム、スリープを解除しマス。
ご用件は何でしょうか？","","False","0x00000001","",""
"","TEXT_CTSDDD3REWARD_00819_Q1_000_020<tab>What will you do?","TEXT_CTSDDD3REWARD_00819_Q1_000_020<tab>何をする？","","False","0x00000002","",""
"","TEXT_CTSDDD3REWARD_00819_A1_000_021<tab>Exchange artifacts.","TEXT_CTSDDD3REWARD_00819_A1_000_021<tab>アイテムの交換","","False","0x00000003","",""
"","TEXT_CTSDDD3REWARD_00819_A1_100_021<tab>Exchange Orthos tomestones.","TEXT_CTSDDD3REWARD_00819_A1_100_021<tab>「<var 28 ((Item)) F2981E01 /var>」の交換","","False","0x00000004","",""
"","TEXT_CTSDDD3REWARD_00819_A1_000_022<tab>Request to keep your aetherpool gear.","TEXT_CTSDDD3REWARD_00819_A1_000_022<tab>魔器装備の持ち出し","","False","0x00000005","",""
"","TEXT_CTSDDD3REWARD_00819_A1_000_023<tab>Synthesize an Orthos aetherpool grip.","TEXT_CTSDDD3REWARD_00819_A1_000_023<tab>「<var 28 ((Item)) F2981F01 /var>」の作成","","False","0x00000006","",""
"","TEXT_CTSDDD3REWARD_00819_A1_000_024<tab>Learn more.","TEXT_CTSDDD3REWARD_00819_A1_000_024<tab>説明を聞く","","False","0x00000007","",""
"","TEXT_CTSDDD3REWARD_00819_A1_000_025<tab>Nothing.","TEXT_CTSDDD3REWARD_00819_A1_000_025<tab>キャンセル","","False","0x00000008","",""
"","TEXT_CTSDDD3REWARD_00819_DD3ITEMSHOP_000_030<tab><bzzzt> Request denied. By Archmagus Noah's orders, aetherpool equipment must not be taken from the premises until she has given explicit approval.","TEXT_CTSDDD3REWARD_00819_DD3ITEMSHOP_000_030<tab>ブブー！　申し訳ございマセン。
ノア様がお作りになった魔器装備を外界で使うには、
特別な準備が必要となっておりマス。","","False","0x00000009","",""
"","TEXT_CTSDDD3REWARD_00819_SYSTEM_000_031<tab>You must first clear floor 30 and complete the subsequent quest in order to use aetherpool gear outside of Eureka Orthos.","TEXT_CTSDDD3REWARD_00819_SYSTEM_000_031<tab>オルト・エウレカ用の魔器装備を外へ持ち出すためには、
「B30」を踏破することで発生するクエストを、
コンプリートする必要があります。","","False","0x0000000A","",""
"","TEXT_CTSDDD3REWARD_00819_DD3ITEMSHOP_000_040<tab><blip> <buzz> Functionality not yet implemented. Continue current task until upgrade is complete.","TEXT_CTSDDD3REWARD_00819_DD3ITEMSHOP_000_040<tab>ガ……ガガガ……。
その機能は、ただいま準備中となりマス。
研究所の探索を進めつつ、お待ちクダサイ！","","False","0x0000000B","",""
"","TEXT_CTSDDD3REWARD_00819_SYSTEM_000_041<tab>You must first clear floor 30 of Eureka Orthos and complete the subsequent quest in order to synthesize an Orthos aetherpool grip.","TEXT_CTSDDD3REWARD_00819_SYSTEM_000_041<tab>「<var 28 ((Item)) F2981F01 /var>」を作成するには、
「B30」を踏破することで発生するクエストを、
コンプリートする必要があります。","","False","0x0000000C","",""
"","TEXT_CTSDDD3REWARD_00819_DD3ITEMSHOP_000_050<tab>Aether absorbed in battle may be used to stabilize aetherpool arms. However, the current amount of aether present in your equipment is insufficient for the operation.","TEXT_CTSDDD3REWARD_00819_DD3ITEMSHOP_000_050<tab>魔器装備の存在を固定する「<var 28 ((Item)) F2981F01 /var>」は、
実戦を経て武具に吸収されたエーテルから創出しマス。
現状ではまだエーテル不足デス。","","False","0x0000000D","",""
