"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_CTSETCAOZPYANDIHTALK_00847_PYANDIH_000_000<tab>We've had no word from the guildmaster since he left for Kugane. I do hope he hasn't gotten lost...or worse.","TEXT_CTSETCAOZPYANDIHTALK_00847_PYANDIH_000_000<tab><var 2C ((<var 29 EB02 /var>)) (( )) 02 /var>さん。
クガネに旅立った先生からは、まだ連絡がありません。
迷子になっていなければいいのですが……。","","False","0x00000000","",""
"","TEXT_CTSETCAOZPYANDIHTALK_00847_PYANDIH_000_010<tab>I have everything under control here, <var 2C ((<var 29 EB02 /var>)) (( )) 02 /var>. It sounds like Martyn's the one who really needs your help right now.","TEXT_CTSETCAOZPYANDIHTALK_00847_PYANDIH_000_010<tab><var 2C ((<var 29 EB02 /var>)) (( )) 02 /var>さん。
マスクカーニバルは私に任せて、
クガネにいる先生を手伝ってあげてくださいな。","","False","0x00000001","",""
"","TEXT_CTSETCAOZPYANDIHTALK_00847_PYANDIH_000_020<tab>I don't care how good this Gogo thinks he is, no paltry imitator stands a chance against you, <var 2C ((<var 29 EB02 /var>)) (( )) 02 /var>!","TEXT_CTSETCAOZPYANDIHTALK_00847_PYANDIH_000_020<tab><var 2C ((<var 29 EB02 /var>)) (( )) 02 /var>さんなら、
きっとゴゴを倒せると私は信じていますよ！","","False","0x00000002","",""
"","TEXT_CTSETCAOZPYANDIHTALK_00847_PYANDIH_000_030<tab>Three cheers for <var 2C ((<var 29 EB02 /var>)) (( )) 02 /var>!","TEXT_CTSETCAOZPYANDIHTALK_00847_PYANDIH_000_030<tab>お待ちしていましたよ、<var 2C ((<var 29 EB02 /var>)) (( )) 02 /var>さん!","","False","0x00000003","",""
"","TEXT_CTSETCAOZPYANDIHTALK_00847_PYANDIH_000_040<tab>Still no word from Martyn, but never fear─it shouldn't be long before he's found a prospective rival for you.","TEXT_CTSETCAOZPYANDIHTALK_00847_PYANDIH_000_040<tab>すみません、新たな<var 4A ((敵役)) ((ヒール)) /var>探しの旅に出た先生からは、
まだ連絡が来てないです。","","False","0x00000004","",""
"","TEXT_CTSETCAOZPYANDIHTALK_00847_PYANDIH_000_050<tab>I can only imagine what Martyn is up to in Limsa, but you'll look after him, won't you?","TEXT_CTSETCAOZPYANDIHTALK_00847_PYANDIH_000_050<tab>リムサ・ロミンサにいる先生のことを、
どうかよろしくお願いします。","","False","0x00000005","",""
"","TEXT_CTSETCAOZPYANDIHTALK_00847_PYANDIH_000_060<tab>The Arcanists' Guild? He wasn't offering more of his private lessons again, was he? Given the opportunity to flaunt his knowledge, the man simply can't help himself.","TEXT_CTSETCAOZPYANDIHTALK_00847_PYANDIH_000_060<tab>先生、巴術士ギルドで調子に乗ってなかったですか？
絶対、先輩風を吹かすタイプですよ。","","False","0x00000006","",""
"","TEXT_CTSETCAOZPYANDIHTALK_00847_PYANDIH_000_070<tab>Martyn said he has a good feeling about Gridania. I certainly hope he's right.","TEXT_CTSETCAOZPYANDIHTALK_00847_PYANDIH_000_070<tab>グリダニアにいる先生に、
どうか付き合ってあげてください。","","False","0x00000007","",""
"","TEXT_CTSETCAOZPYANDIHTALK_00847_PYANDIH_000_080<tab>I heard Martyn was actually after a bounty, is that right? Somehow I'm not surprised.","TEXT_CTSETCAOZPYANDIHTALK_00847_PYANDIH_000_080<tab>先生、野盗にかけられた懸賞金を狙っていたそうですね。
フッフッフ……青魔道士仲間から情報は筒抜けですよ。","","False","0x00000008","",""
"","TEXT_CTSETCAOZPYANDIHTALK_00847_PYANDIH_000_090<tab>He wasn't ruffling any feathers at the stables, was he? Surely not...","TEXT_CTSETCAOZPYANDIHTALK_00847_PYANDIH_000_090<tab>イシュガルドにいる先生に、
どうか力を貸してあげてください。","","False","0x00000009","",""
"","TEXT_CTSETCAOZPYANDIHTALK_00847_PYANDIH_000_100<tab>To be honest, it's hard to picture Martyn as a villain, even if he's only acting.","TEXT_CTSETCAOZPYANDIHTALK_00847_PYANDIH_000_100<tab>先生の<var 4A ((敵役)) ((ヒール)) /var>、どんな風になるか楽しみですね……！","","False","0x0000000A","",""
"","TEXT_CTSETCAOZPYANDIHTALK_00847_PYANDIH_000_110<tab>By the sounds of it, Royse has afforded Martyn more than an unfair advantage, so don't worry about holding back.","TEXT_CTSETCAOZPYANDIHTALK_00847_PYANDIH_000_110<tab>先生に手加減は無用ですよ。
ゴールドルをケチョンケチョンにしてやってください！","","False","0x0000000B","",""
"","TEXT_CTSETCAOZPYANDIHTALK_00847_PYANDIH_000_120<tab>You were absolutely brilliant, <var 2C ((<var 29 EB02 /var>)) (( )) 02 /var>! I can scarcely remember the last time the Celestium was so lively.","TEXT_CTSETCAOZPYANDIHTALK_00847_PYANDIH_000_120<tab>素晴らしかったです、<var 2C ((<var 29 EB02 /var>)) (( )) 02 /var>さん！","","False","0x0000000C","",""

