"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_VOICEMAN_02500_000010_MINFILIA<tab>We have a guest from Ishgard who wishes to speak with you.","TEXT_VOICEMAN_02500_000010_MINFILIA<tab>Quelqu'un d'Ishgard est venu pour te voir.","","False","0x00000000","",""
"","TEXT_VOICEMAN_02500_000020_MINFILIA<tab>I believe the two of you have met?","TEXT_VOICEMAN_02500_000020_MINFILIA<tab>Vous vous connaissez déjà, n'est-ce pas<var 1D /var>?","","False","0x00000001","",""
"","TEXT_VOICEMAN_02500_000030_LUCIA<tab>We have. I had hoped to speak with Commander Leveilleur as well, but I cannot afford to wait any longer.","TEXT_VOICEMAN_02500_000030_LUCIA<tab>En effet. J'aurais aussi aimé parler au commandant Leveilleur, mais le temps presse malheureusement.","","False","0x00000002","",""
"","TEXT_VOICEMAN_02500_000040_LUCIA<tab>The lord commander sent me hither to request your aid in a matter of grave import.","TEXT_VOICEMAN_02500_000040_LUCIA<tab>Messire Aymeric désire obtenir de l'aide pour une affaire de la plus haute importance. Étant donné la façon dont vous avez su vaincre Shiva, vous me paraissez être <var 08 E905 ((la)) ((le)) /var> plus apte pour cette mission.","","False","0x00000003","",""
"","TEXT_VOICEMAN_02500_000050_MOENBRYDA<tab>You see now why I had Tataru summon you.","TEXT_VOICEMAN_02500_000050_MOENBRYDA<tab>Tu comprends pourquoi j'ai demandé à Tataru de t'appeler.","","False","0x00000004","",""
"","TEXT_VOICEMAN_02500_000060_MINFILIA<tab>Now that we are all assembled, perhaps you would be good enough to elaborate on the nature of the matter which brought you to us.","TEXT_VOICEMAN_02500_000060_MINFILIA<tab>Vous voulez bien nous en dire un peu plus sur cette affaire urgente, s'il vous plaît<var 1D /var>?","","False","0x00000005","",""
"","TEXT_VOICEMAN_02500_000070_LUCIA<tab>The Observatorium's astrologians have sounded the alarum.","TEXT_VOICEMAN_02500_000070_LUCIA<tab>Les astrologues de l'Observatoire ont alerté le Saint-Siège en toute urgence.","","False","0x00000006","",""
"","TEXT_VOICEMAN_02500_000080_LUCIA<tab>Last night, the dragon star burned with an intensity not seen in fifteen summers.","TEXT_VOICEMAN_02500_000080_LUCIA<tab>La nuit dernière, l'étoile du dragon brillait d'une intensité qui n'a pas été constatée depuis quinze ans, selon eux. Cet astre du ciel septentrional est réputé annoncer les mauvais présages.","","False","0x00000007","",""
"","TEXT_VOICEMAN_02500_000090_LUCIA<tab>Not since the Dravanians engaged the Empire in the Battle of Silvertear Skies.","TEXT_VOICEMAN_02500_000090_LUCIA<tab>La dernière fois que ce phénomène a été aperçu, c'était lorsque les Dravaniens se sont lancés dans la bataille contre Garlemald, à Pleurargent.","","False","0x00000008","",""
"","TEXT_VOICEMAN_02500_000100_URIANGER<tab>“The northern sky doth burn full bright upon the wyrm lord's call. The red behemoth beckoneth, and flame consumeth all.”","TEXT_VOICEMAN_02500_000100_URIANGER<tab>“Quand le ciel s'illuminera à l'appel du seigneur des dragons, le monstre de fer rouge apparaîtra et le monde connaîtra l'enfer des flammes.”","","False","0x00000009","",""
"","TEXT_VOICEMAN_02500_000110_LUCIA<tab>The old Coerthan rhyme, aye.","TEXT_VOICEMAN_02500_000110_LUCIA<tab>Une ancienne fable que se transmettaient ceux qui vivaient autrefois dans l'ouest du Coerthas. Je suis étonnée que vous la connaissiez.","","False","0x0000000A","",""
"","TEXT_VOICEMAN_02500_000120_LUCIA<tab>The brightening of the dragon star is said to accompany the roar of a great wyrm. The astrologians believe that it was Midgardsormr himself who cried out on this occasion.","TEXT_VOICEMAN_02500_000120_LUCIA<tab>La croyance veut que cette étoile réagisse au rugissement des plus grands dragons, et nous craignons que Midgardsormr ne soit à l'origine du changement observé la nuit dernière.","","False","0x0000000B","",""
"","TEXT_VOICEMAN_02500_000130_URIANGER<tab>After an absence of centuries, the king of kings did return to lead his kind against the might of Garlemald...","TEXT_VOICEMAN_02500_000130_URIANGER<tab>Après des siècles d'absence, ce seigneur parmi les seigneurs était revenu pour guider son peuple contre l'Empire...","","False","0x0000000C","",""
