"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_VOICEMAN_05400_000010_ALPHINAUD<tab>Well, my friends─now that we have all settled back into our bodies, it is time we resumed our duties in earnest. Let us speak of our plans.","TEXT_VOICEMAN_05400_000010_ALPHINAUD<tab>Ich schätze, wir haben uns inzwischen alle wieder an unsere Körper gewöhnt. Daher schlage ich vor, nun gemeinsam unsere nächsten Schritte zu besprechen.","","True","0x00000000","",""
"","TEXT_VOICEMAN_05400_000020_THANCRED<tab>Ever since the Emperor's death, it's been one unsettling rumor after another. I've a mind to pay a visit to Garlemald to ascertain the truth of the matter.","TEXT_VOICEMAN_05400_000020_THANCRED<tab>Ein aus<var 16 /var>gezeich<var 16 /var>neter Vorschlag. Ich will mir ein Bild von der Situation im Kaiserreich machen. Die Gerüchteküche brodelt dort seit Ableben des Kaisers ganz ordentlich. Da dachte ich, dass ich der Hauptstadt einen kleinen Besuch abstatten sollte.","","True","0x00000001","",""
"","TEXT_VOICEMAN_05400_000030_URIANGER<tab>A prudent endeavor. 'Tis of the essence that we establish the full extent of the threat. Not least if it should prove that Zenos doth indeed orchestrate events from the shadows.","TEXT_VOICEMAN_05400_000030_URIANGER<tab>In der Tat. Eine Spionagemission könnte wichtige Erkenntnisse zu Tage fördern. Und da wäre auch noch Zenos. Der Mann, den selbst der Tod nicht zu bändigen vermag.","","True","0x00000002","",""
"","TEXT_VOICEMAN_05400_000040_URIANGER<tab>In light of which possibility, I shall accompany thee on thy mission.","TEXT_VOICEMAN_05400_000040_URIANGER<tab>Erlaube mir, dich zu begleiten, Thancred.","","True","0x00000003","",""
"","TEXT_VOICEMAN_05400_000050_URIANGER<tab>Be assured that thou shalt find me more a help than a hindrance. Thou requirest another to imbue thine ammunition, dost thou not?","TEXT_VOICEMAN_05400_000050_URIANGER<tab>Sei unbesorgt, ich werde dir nicht zu Last fallen. Im Gegenteil. Oder laden sich deine Erda-Patronen inzwischen von selbst mit magischen Energien, Revolverheld?","","True","0x00000004","",""
"","TEXT_VOICEMAN_05400_000051_YSHTOLA<tab>For DE and FR only. Report if displayed.","TEXT_VOICEMAN_05400_000051_YSHTOLA<tab>※独・仏、アドリブ用ラベル1","","True","0x00000005","",""
"","TEXT_VOICEMAN_05400_000060_ALISAIE<tab>Assuming that's settled, there's something I've been meaning to look into as well.","TEXT_VOICEMAN_05400_000060_ALISAIE<tab>Habt ihr das dann geklärt, ja? Ich<var 1D /var>... Ich hab mir nämlich auch etwas überlegt.","","True","0x00000006","",""
"","TEXT_VOICEMAN_05400_000070_LYSE<tab>Welcome back, everyone!","TEXT_VOICEMAN_05400_000070_LYSE<tab>Willkommen zu Hause, meine Lieben!","","True","0x00000007","",""
"","TEXT_VOICEMAN_05400_000080_ALPHINAUD<tab>Lyse!","TEXT_VOICEMAN_05400_000080_ALPHINAUD<tab>Lyse!","","True","0x00000008","",""
"","TEXT_VOICEMAN_05400_000090_LYSE<tab>You're fine now, right? No more headaches or keeling over?","TEXT_VOICEMAN_05400_000090_LYSE<tab>Solltet ihr wirklich schon wieder auf den Beinen sein? Ihr wart doch so lange außer Gefecht gesetzt<var 1D /var>...","","True","0x00000009","",""
"","TEXT_VOICEMAN_05400_000100_ALISAIE<tab>That's right. We're fighting fit, and raring to go!","TEXT_VOICEMAN_05400_000100_ALISAIE<tab>Du brauchst dich nicht zu sorgen, Lyse. Wir sind gesund und munter!","","True","0x0000000A","",""
