"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_VOICEMAN_05401_000010_GAIA<tab>I'm drawing out the Darkness. Get ready!","TEXT_VOICEMAN_05401_000010_GAIA<tab>疑似妖異召喚……開始するわ！","","True","0x00000000","",""
"","TEXT_VOICEMAN_05401_000020_RYNE<tab>It worked, Gaia! We've done it!","TEXT_VOICEMAN_05401_000020_RYNE<tab>やったねガイア、成功したよ！","","True","0x00000001","",""
"","TEXT_VOICEMAN_05401_000030_RYNE<tab>So this all took place a hundred years ago...","TEXT_VOICEMAN_05401_000030_RYNE<tab>100年前の戦いの再現……","","True","0x00000002","",""
"","TEXT_VOICEMAN_05401_000040_RYNE<tab>But what does it have to do with Gaia?","TEXT_VOICEMAN_05401_000040_RYNE<tab>ガイアの記憶と、どう関係が……？","","True","0x00000003","",""
"","TEXT_VOICEMAN_05401_000050_RYNE<tab>I know this place...! It's the gaol in Eulmore!","TEXT_VOICEMAN_05401_000050_RYNE<tab>これは……ユールモアの監獄棟！？","","True","0x00000004","",""
"","TEXT_VOICEMAN_05401_000060_RYNE<tab>Whatever stands in our way...","TEXT_VOICEMAN_05401_000060_RYNE<tab>たとえ何が立ちふさがろうとも……","","True","0x00000005","",""
"","TEXT_VOICEMAN_05401_000070_RYNE<tab>...we will never give up hope!","TEXT_VOICEMAN_05401_000070_RYNE<tab>絶対に希望を捨てません！","","True","0x00000006","",""
"","TEXT_VOICEMAN_05401_000080_EDEN3BOSS3<tab>She deserves...all the happiness...in the world...","TEXT_VOICEMAN_05401_000080_EDEN3BOSS3<tab>我が娘の征く明日に  祝福を……","","True","0x00000007","",""
"","TEXT_VOICEMAN_05401_000090_EDEN3BOSS4<tab>Eden will become a utopia...","TEXT_VOICEMAN_05401_000090_EDEN3BOSS4<tab>二度と分かたれることのないよう……。","","True","0x00000008","",""
"","TEXT_VOICEMAN_05401_000100_EDEN3BOSS4<tab>One that we may share for all eternity.","TEXT_VOICEMAN_05401_000100_EDEN3BOSS4<tab>エデンを真なる理想郷に……！","","True","0x00000009","",""
"","TEXT_VOICEMAN_05401_000110_RYNE<tab>She's still in there, somewhere...","TEXT_VOICEMAN_05401_000110_RYNE<tab>まだ、彼女の意識は残っているはず……","","True","0x0000000A","",""
"","TEXT_VOICEMAN_05401_000120_RYNE<tab>I won't give up on our future, Gaia! No matter what!","TEXT_VOICEMAN_05401_000120_RYNE<tab>必ず、一緒に明日を迎えよう……ガイア……！","","True","0x0000000B","",""
"","TEXT_VOICEMAN_05401_000130_EDEN3BOSS4<tab>Our utopia... Our dream!","TEXT_VOICEMAN_05401_000130_EDEN3BOSS4<tab>刻が……流れていく……！","","True","0x0000000C","",""
"","TEXT_VOICEMAN_05401_000140_EDEN3BOSS5<tab>I...shall...return...","TEXT_VOICEMAN_05401_000140_EDEN3BOSS5<tab>いつかまた転生し……そして……","","True","0x0000000D","",""
