"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_VOICEMAN_06006_000010_YSHTOLA<tab>Your business with Tataru is finished?","TEXT_VOICEMAN_06006_000010_YSHTOLA<tab>Закончили ваши дела с Татару?","","False","0x00000000","",""
"","TEXT_VOICEMAN_06006_000020_YSHTOLA<tab>My, what a thoughtful surprise. Whatever would we do without her?","TEXT_VOICEMAN_06006_000020_YSHTOLA<tab>Ой, какой полезный сюрприз. И что бы мы без неё делали?","","False","0x00000001","",""
"","TEXT_VOICEMAN_06006_000030_THANCRED<tab>Indeed. And she's right, you know─it hasn't been all doom and gloom.","TEXT_VOICEMAN_06006_000030_THANCRED<tab>И правда. Она права, знаешь ли - на нашем пути есть и светлые моменты.","","False","0x00000002","",""
"","TEXT_VOICEMAN_06006_000040_YSHTOLA<tab>It feels like a lifetime ago that Master Louisoix gathered us together to form the Circle of Knowing.","TEXT_VOICEMAN_06006_000040_YSHTOLA<tab>Ощущение, будто целую жизнь назад мастер Луисуа собрал нас вместе и основал Круг Знающих.","","False","0x00000003","",""
"","TEXT_VOICEMAN_06006_000050_YSHTOLA<tab>Since then, we have experienced much. But rather than feeling wiser, the more I learn, the more I find my knowledge lacking.","TEXT_VOICEMAN_06006_000050_YSHTOLA<tab>С тех пор мы многое пережила. Но накопление познаний приводит лишь к тому, что их постоянно не хватает.","","False","0x00000004","",""
"","TEXT_VOICEMAN_06006_000060_URIANGER<tab>Forsooth. As a student, vainly did I believe that I held the secrets of creation in my grasp. Yet that which I had seized was but an insignificant sliver of what awaited in the wider world.","TEXT_VOICEMAN_06006_000060_URIANGER<tab>Воистину! Будучи студентом, я охотно верил, будто мне открылись законы бытия. Но те знания, кои я обрёл, были лишь малой часть того, что предстояло мне познать в будущем.","","False","0x00000005","",""
"","TEXT_VOICEMAN_06006_000070_URIANGER<tab>Every encounter, every experience, hath served to open mine eyes, enlightening and humbling me in equal measure. Even from those whom I called enemies have I learned many a valuable lesson.","TEXT_VOICEMAN_06006_000070_URIANGER<tab>Ибо каждая встреча и каждое происшествие словно шире открывало мне глаза - просветляло, но вместе с тем делало смиреннее. Даже от тех, кого я звал врагами, узнал множество бесценных уроков.","","False","0x00000006","",""
"","TEXT_VOICEMAN_06006_000080_YSHTOLA<tab>What will we learn at the edge of the universe, I wonder...","TEXT_VOICEMAN_06006_000080_YSHTOLA<tab>Интересно, что нам откроется на краю вселенной?..","","False","0x00000007","",""
"","TEXT_VOICEMAN_06006_000090_THANCRED<tab>Ultima Thule, where the bringer of the end makes her nest... I for one can't possibly imagine.","TEXT_VOICEMAN_06006_000090_THANCRED<tab>Крайний Предел, где вестница конца света свила себе гнездо... Лично мне и представить трудно.","","False","0x00000008","",""
"","TEXT_VOICEMAN_06006_000100_THANCRED<tab>But whatever awaits us there, we will survive. We <var 1A 02 /var>must<var 1A 01 /var>... For her.","TEXT_VOICEMAN_06006_000100_THANCRED<tab>Но что бы нас там ни ждало, мы выживем. Мы <var 1A 02 /var>должны<var 1A 01 /var>... Ради неё.","","False","0x00000009","",""
"","TEXT_VOICEMAN_06006_Q1_000_001_NONE_VOICE<tab>What will you say?","TEXT_VOICEMAN_06006_Q1_000_001_NONE_VOICE<tab>Что вы скажете?","","False","0x0000000A","",""
"","TEXT_VOICEMAN_06006_A1_000_001_NONE_VOICE<tab>You've nothing left to prove. Not to Ryne. Nor Minfilia.","TEXT_VOICEMAN_06006_A1_000_001_NONE_VOICE<tab>Ты им больше ничего не должен. Ни Рин, ни Минфилии.","","False","0x0000000B","",""
"","TEXT_VOICEMAN_06006_A1_000_002_NONE_VOICE<tab>We'll get through this. Together.","TEXT_VOICEMAN_06006_A1_000_002_NONE_VOICE<tab>Мы справимся. Вместе.","","False","0x0000000C","",""
"","TEXT_VOICEMAN_06006_A1_000_003_NONE_VOICE<tab>Just make sure you bring enough ammunition.","TEXT_VOICEMAN_06006_A1_000_003_NONE_VOICE<tab>Главное, захвати побольше амуниции.","","False","0x0000000D","",""
