"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","<tab><tab>","<tab><tab>","","False","0x00000000","",""
"","Alphinaud<tab>Academician<tab>Academician","Альфино<tab>Академик<tab>Академик","","False","0x00000001","",""
"","Alisaie<tab>Red Mage<tab>Red Mage","Ализе<tab>Красный маг<tab>Красный маг","","False","0x00000002","",""
"","Thancred<tab>Gunbreaker<tab>Gunbreaker","Танкред<tab>Ганбрейкер<tab>Ганбрейкер","","False","0x00000003","",""
"","Minfilia<tab>Oracle of Light<tab>Oracle of Light","Минфилия<tab>Оракул света<tab>Оракул света","","False","0x00000004","",""
"","Urianger<tab>Astrologian<tab>Astrologian","Урианже<tab>Астролог<tab>Астролог","","False","0x00000005","",""
"","Y'shtola<tab>Sorceress<tab>Sorceress","Я'штола<tab>Волшебница<tab>Волшебница","","False","0x00000006","",""
"","Ryne<tab>Oracle of Light<tab>Oracle of Light","Рин<tab>Оракул света<tab>Оракул света","","False","0x00000007","",""
"","Lyna<tab>Guard Captain<tab>Guard Captain","Лина<tab>Капитан стражи<tab>Капитан стражи","","False","0x00000008","",""
"","Crystal Exarch<tab>All-rounder<tab>All-Rounder","Кристальный экзарх<tab>Универсал<tab>Универсал","","False","0x00000009","",""
"","G'raha Tia<tab>All-rounder<tab>All-Rounder","Г'раха Тиа<tab>Универсал<tab>Универсал","","False","0x0000000A","",""
"","Alphinaud<tab>Sage<tab>Sage","Альфино<tab>Мудрец<tab>Мудрец","","False","0x0000000B","",""
"","Estinien<tab>Dragoon<tab>Dragoon","Эстиниен<tab>Драгун<tab>Драгун","","False","0x0000000C","",""
"","Urianger<tab>Lithomancer<tab>Lithomancer","Урианже<tab>Литомант<tab>Литомант","","False","0x0000000D","",""
"","Venat<tab>All-rounder<tab>All-Rounder","Вена<tab>Универсал<tab>Универсал","","False","0x0000000E","",""
"","Emet-Selch<tab>The Third Seat<tab>The Third Seat","Эмет-Селх<tab>Терциус<tab>Терциус","","False","0x0000000F","",""
"","Hythlodaeus<tab>Soulseer<tab>Soulseer","Гитлодей<tab>Душелов<tab>Душелов","","False","0x00000010","",""
"","Eager Marauder<tab>Marauder<tab>Marauder","Нетерпеливый мародёр<tab>Мародёр<tab>Мародёр","","False","0x00000011","",""
"","Eager Lancer<tab>Lancer<tab>Lancer","Нетерпеливый копейщик<tab>Копейщик<tab>Копейщик","","False","0x00000012","",""
"","Eager Thaumaturge<tab>Thaumaturge<tab>Thaumaturge","Нетерпеливый оккультист<tab>Оккультист<tab>Оккультист","","False","0x00000013","",""
"","Eager Conjurer<tab>Conjurer<tab>Conjurer","Нетерпеливый элементалист<tab>Элементалист<tab>Элементалист","","False","0x00000014","",""
"","Scion Marauder<tab>Marauder<tab>Marauder","Хранитель-мародёр<tab>Мародёр<tab>Мародёр","","False","0x00000015","",""
"","Scion Lancer<tab>Lancer<tab>Lancer","Хранитель-копейщик<tab>Копейщик<tab>Копейщик","","False","0x00000016","",""
"","Scion Thaumaturge<tab>Thaumaturge<tab>Thaumaturge","Хранитель-оккультист<tab>Оккультист<tab>Оккультист","","False","0x00000017","",""
"","Scion Conjurer<tab>Conjurer<tab>Conjurer","Хранитель-элементалист<tab>Элементалист<tab>Элементалист","","False","0x00000018","",""
"","Storm Marauder<tab>Marauder<tab>Marauder","Мародёр Водоворота<tab>Мародёр<tab>Мародёр","","False","0x00000019","",""
"","Serpent Lancer<tab>Lancer<tab>Lancer","Копейщик Ордена<tab>Копейщик<tab>Копейщик","","False","0x0000001A","",""
"","Flame Thaumaturge<tab>Thaumaturge<tab>Thaumaturge","Оккультист Пламени<tab>Оккультист<tab>Оккультист","","False","0x0000001B","",""
"","Serpent Conjurer<tab>Conjurer<tab>Conjurer","Элементалист Ордена<tab>Элементалист<tab>Элементалист","","False","0x0000001C","",""
"","Varshahn<tab>Satrap<tab>Satrap","Варшан<tab>Сатрап<tab>Сатрап","","False","0x0000001D","",""
"","Ysayle<tab>Oracle of Frost<tab>Oracle of Frost","Исель<tab>Оракул Мороза<tab>Оракул Мороза","","False","0x0000001E","",""
"","Temple Knight<tab>Knight<tab>Temple Knight","Храмовник<tab>Рыцарь<tab>Храмовник","","False","0x0000001F","",""
"","Temple Banneret<tab>Banneret<tab>Temple Banneret","Храмовник-баннерет<tab>Баннерет<tab>Храмовник-баннерет","","False","0x00000020","",""
"","Temple Chirurgeon<tab>Chirurgeon<tab>Temple Chirurgeon","Храмовник-медик<tab>Хирург<tab>Храмовник-медик","","False","0x00000021","",""
"","Haurchefant<tab>Chivalric Knight<tab>Chivalric Knight","Оршефан<tab>Доблестный рыцарь<tab>Доблестный рыцарь","","False","0x00000022","",""
"","Pero Roggo<tab>Poroggo<tab>Poroggo","Pero Roggo<tab>Poroggo<tab>Poroggo","","True","0x00000023","",""
"","Aymeric<tab>Lord Commander<tab>Lord Commander","Aymeric<tab>Lord Commander<tab>Lord Commander","","True","0x00000024","",""
"","House Fortemps Knight<tab>Knight<tab>Knight","House Fortemps Knight<tab>Knight<tab>Knight","","True","0x00000025","",""
"","House Fortemps Banneret<tab>Banneret<tab>Banneret","House Fortemps Banneret<tab>Banneret<tab>Banneret","","True","0x00000026","",""
