"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","","","","True","0x00000000","",""
"","Surprised","Удивление","","True","0x00000001","",""
"","Angry","Злость","","True","0x00000002","",""
"","Furious","Гнев","","True","0x00000003","",""
"","Blush","Покраснеть","","True","0x00000004","",""
"","Bow","Поклон","","True","0x00000005","",""
"","Cheer","Поддержать","","True","0x00000006","",""
"","Clap","Похлопать","","True","0x00000007","",""
"","Beckon","Позвать к себе","","True","0x00000008","",""
"","Comfort","Утешить","","True","0x00000009","",""
"","Cry","Плач","","True","0x0000000A","",""
"","Dance","Танец","","True","0x0000000B","",""
"","Doubt","Сомнение","","True","0x0000000C","",""
"","Doze","Дремать","","True","0x0000000D","",""
"","Fume","Вспылиться","","True","0x0000000E","",""
"","Goodbye","Прощание","","True","0x0000000F","",""
"","Wave","Помахать рукой","","True","0x00000010","",""
"","Huh","Хм","","True","0x00000011","",""
"","Joy","Радость","","True","0x00000012","",""
"","Kneel","Преклониться","","True","0x00000013","",""
"","Chuckle","Хихикнуть","","True","0x00000014","",""
"","Laugh","Смех","","True","0x00000015","",""
"","Lookout","Осмотреться","","True","0x00000016","",""
"","Me","Я","","True","0x00000017","",""
"","No","Нет","","True","0x00000018","",""
"","Deny","Отказ","","True","0x00000019","",""
"","Panic","Паника","","True","0x0000001A","",""
"","Point","Показать","","True","0x0000001B","",""
"","Poke","Ткнуть","","True","0x0000001C","",""
"","Congratulate","Поздравить","","True","0x0000001D","",""
"","Psych","Взбодрить","","True","0x0000001E","",""
"","Salute","Салют","","True","0x0000001F","",""
"","Shocked","Шок","","True","0x00000020","",""
"","Shrug","Пожать плечами","","True","0x00000021","",""
"","Rally","Вернуть боевой дух","","True","0x00000022","",""
"","Soothe","Успокоить","","True","0x00000023","",""
"","Stagger","Пошатнуться","","True","0x00000024","",""
"","Stretch","Потянуться","","True","0x00000025","",""
"","Sulk","Дуться","","True","0x00000026","",""
"","Think","Подумать","","True","0x00000027","",""
"","Upset","Расстроиться","","True","0x00000028","",""
"","Welcome","Приглашение","","True","0x00000029","",""
"","Yes","Да","","True","0x0000002A","",""
"","Thumbs Up","Палец вверх","","True","0x0000002B","",""
"","Examine Self","Осмотреть себя","","True","0x0000002C","",""
"","Pose","Позировать","","True","0x0000002D","",""
"","Blow Kiss","Воздушный поцелуй","","True","0x0000002E","",""
"","Grovel","Пасть ниц","","True","0x0000002F","",""
"","Happy","Счастье","","True","0x00000030","",""
"","Disappointed","Разочарование","","True","0x00000031","",""
"","Sit","Сесть","","True","0x00000032","",""
"","Stand Up","Встать","","True","0x00000033","",""
"","Sit on Ground","Сесть на землю","","True","0x00000034","",""
"","Stand Up","Встать","","True","0x00000035","",""
"","Air Quotes","Кавычки","","True","0x00000036","",""
"","Storm Salute","Салют - Storm","","True","0x00000037","",""
"","Serpent Salute","Салют - Serpent","","True","0x00000038","",""
"","Flame Salute","Салют - Flame","","True","0x00000039","",""
"","Pray","Помолиться","","True","0x0000003A","",""
"","Imperial Salute","Салют Империи","","True","0x0000003B","",""
"","Visor","Забрало","","True","0x0000003C","",""
"","Visor","Забрало","","True","0x0000003D","",""
"","Megaflare","Мегафлэйр","","True","0x0000003E","",""
"","Crimson Lotus","Алый Лотос","","True","0x0000003F","",""
"","Charmed","Очарование","","True","0x00000040","",""
"","Cheer On","Поддержать (синий)","","True","0x00000041","",""
"","Cheer Wave","Поддержать (жёлтый)","","True","0x00000042","",""
"","Cheer Jump","Поддержать (красный)","","True","0x00000043","",""
"","Straight Face","Бесстрастное лицо","","True","0x00000044","",""
"","Smile","Улыбка","","True","0x00000045","",""
"","Grin","Ухмылка","","True","0x00000046","",""
"","Smirk","Уверенность","","True","0x00000047","",""
"","Taunt","Высокомерность","","True","0x00000048","",""
"","Shut Eyes","Закрыть глаза","","True","0x00000049","",""
"","Sad","Грусть","","True","0x0000004A","",""
"","Scared","Страх","","True","0x0000004B","",""
"","Amazed","Восторг","","True","0x0000004C","",""
"","Ouch","Ауч","","True","0x0000004D","",""
"","Annoyed","Недовольство","","True","0x0000004E","",""
"","Alert","Тревога","","True","0x0000004F","",""
"","Worried","Беспокойство","","True","0x00000050","",""
"","Big Grin","Большая ухмылка","","True","0x00000051","",""
"","Reflect","Задумчивость","","True","0x00000052","",""
"","Furrow","Нахмуриться","","True","0x00000053","",""
"","Scoff","Издёвка","","True","0x00000054","",""
"","Throw","Бросить","","True","0x00000055","",""
"","Snowball","Бросить снежок","","True","0x00000056","",""
"","Snowball","Бросить снежок","","True","0x00000057","",""
"","Sleep","Спать","","True","0x00000058","",""
"","","","","True","0x00000059","",""
"","Change Pose","Сменить позу","","True","0x0000005A","",""
"","","","","True","0x0000005B","",""
"","","","","True","0x0000005C","",""
"","","","","True","0x0000005D","",""
"","","","","True","0x0000005E","",""
"","","","","True","0x0000005F","",""
"","","","","True","0x00000060","",""
"","","","","True","0x00000061","",""
"","","","","True","0x00000062","",""
"","","","","True","0x00000063","",""
"","","","","True","0x00000064","",""
"","Step Dance","Чечётка","","True","0x00000065","",""
"","Harvest Dance","Танец урожая","","True","0x00000066","",""
"","Ball Dance","Танец придворных","","True","0x00000067","",""
"","Manderville Dance","Танец Мандервилля","","True","0x00000068","",""
"","Pet","Погладить","","True","0x00000069","",""
"","Hand Over","Передать","","True","0x0000006A","",""
"","","","","True","0x0000006B","",""
"","","","","True","0x0000006C","",""
"","Bomb Dance","Танец бомбы","","True","0x0000006D","",""
"","Huzzah","Ура!","","True","0x0000006E","",""
"","Slap","Шлёпнуть","","True","0x0000006F","",""
"","Hug","Объятие","","True","0x00000070","",""
"","Embrace","Прижать к себе","","True","0x00000071","",""
"","Most Gentlemanly","Поза Детектива","","True","0x00000072","",""
"","Fist Bump","Отбей кулачок","","True","0x00000073","",""
"","","","","True","0x00000074","",""
"","","","","True","0x00000075","",""
"","Thavnairian Dance","Танец Тавнэйра","","True","0x00000076","",""
"","Gold Dance","Золотой танец","","True","0x00000077","",""
"","Sundrop Dance","Солнечный танец","","True","0x00000078","",""
"","Battle Stance","Боевая стойка","","True","0x00000079","",""
"","Victory","Победа","","True","0x0000007A","",""
"","Backflip","Кувырок назад","","True","0x0000007B","",""
"","Eastern Greeting","Восточное приветствие","","True","0x0000007C","",""
"","Eureka","Эврика","","True","0x0000007D","",""
