"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","","","","True","0x00000000","",""
"","Surprised","Surprised","","True","0x00000001","",""
"","Angry","Angry","","True","0x00000002","",""
"","Furious","Furious","","True","0x00000003","",""
"","Blush","Blush","","True","0x00000004","",""
"","Bow","Bow","","True","0x00000005","",""
"","Cheer","Cheer","","True","0x00000006","",""
"","Clap","Clap","","True","0x00000007","",""
"","Beckon","Beckon","","True","0x00000008","",""
"","Comfort","Comfort","","True","0x00000009","",""
"","Cry","Cry","","True","0x0000000A","",""
"","Dance","Dance","","True","0x0000000B","",""
"","Doubt","Doubt","","True","0x0000000C","",""
"","Doze","Doze","","True","0x0000000D","",""
"","Fume","Fume","","True","0x0000000E","",""
"","Goodbye","Goodbye","","True","0x0000000F","",""
"","Wave","Wave","","True","0x00000010","",""
"","Huh","Huh","","True","0x00000011","",""
"","Joy","Joy","","True","0x00000012","",""
"","Kneel","Kneel","","True","0x00000013","",""
"","Chuckle","Chuckle","","True","0x00000014","",""
"","Laugh","Laugh","","True","0x00000015","",""
"","Lookout","Lookout","","True","0x00000016","",""
"","Me","Me","","True","0x00000017","",""
"","No","No","","True","0x00000018","",""
"","Deny","Deny","","True","0x00000019","",""
"","Panic","Panic","","True","0x0000001A","",""
"","Point","Point","","True","0x0000001B","",""
"","Poke","Poke","","True","0x0000001C","",""
"","Congratulate","Congratulate","","True","0x0000001D","",""
"","Psych","Psych","","True","0x0000001E","",""
"","Salute","Salute","","True","0x0000001F","",""
"","Shocked","Shocked","","True","0x00000020","",""
"","Shrug","Shrug","","True","0x00000021","",""
"","Rally","Rally","","True","0x00000022","",""
"","Soothe","Soothe","","True","0x00000023","",""
"","Stagger","Stagger","","True","0x00000024","",""
"","Stretch","Stretch","","True","0x00000025","",""
"","Sulk","Sulk","","True","0x00000026","",""
"","Think","Think","","True","0x00000027","",""
"","Upset","Upset","","True","0x00000028","",""
"","Welcome","Welcome","","True","0x00000029","",""
"","Yes","Yes","","True","0x0000002A","",""
"","Thumbs Up","Thumbs Up","","True","0x0000002B","",""
"","Examine Self","Examine Self","","True","0x0000002C","",""
"","Pose","Pose","","True","0x0000002D","",""
"","Blow Kiss","Blow Kiss","","True","0x0000002E","",""
"","Grovel","Grovel","","True","0x0000002F","",""
"","Happy","Happy","","True","0x00000030","",""
"","Disappointed","Disappointed","","True","0x00000031","",""
"","Sit","Sit","","True","0x00000032","",""
"","Stand Up","Stand Up","","True","0x00000033","",""
"","Sit on Ground","Sit on Ground","","True","0x00000034","",""
"","Stand Up","Stand Up","","True","0x00000035","",""
"","Air Quotes","Air Quotes","","True","0x00000036","",""
"","Storm Salute","Storm Salute","","True","0x00000037","",""
"","Serpent Salute","Serpent Salute","","True","0x00000038","",""
"","Flame Salute","Flame Salute","","True","0x00000039","",""
"","Pray","Pray","","True","0x0000003A","",""
"","Imperial Salute","Imperial Salute","","True","0x0000003B","",""
"","Visor","Visor","","True","0x0000003C","",""
"","Visor","Visor","","True","0x0000003D","",""
"","Megaflare","Megaflare","","True","0x0000003E","",""
"","Crimson Lotus","Crimson Lotus","","True","0x0000003F","",""
"","Charmed","Charmed","","True","0x00000040","",""
"","Cheer On","Cheer On","","True","0x00000041","",""
"","Cheer Wave","Cheer Wave","","True","0x00000042","",""
"","Cheer Jump","Cheer Jump","","True","0x00000043","",""
"","Straight Face","Straight Face","","True","0x00000044","",""
"","Smile","Smile","","True","0x00000045","",""
"","Grin","Grin","","True","0x00000046","",""
"","Smirk","Smirk","","True","0x00000047","",""
"","Taunt","Taunt","","True","0x00000048","",""
"","Shut Eyes","Shut Eyes","","True","0x00000049","",""
"","Sad","Sad","","True","0x0000004A","",""
"","Scared","Scared","","True","0x0000004B","",""
"","Amazed","Amazed","","True","0x0000004C","",""
"","Ouch","Ouch","","True","0x0000004D","",""
"","Annoyed","Annoyed","","True","0x0000004E","",""
"","Alert","Alert","","True","0x0000004F","",""
"","Worried","Worried","","True","0x00000050","",""
"","Big Grin","Big Grin","","True","0x00000051","",""
"","Reflect","Reflect","","True","0x00000052","",""
"","Furrow","Furrow","","True","0x00000053","",""
"","Scoff","Scoff","","True","0x00000054","",""
"","Throw","Throw","","True","0x00000055","",""
"","Snowball","Snowball","","True","0x00000056","",""
"","Snowball","Snowball","","True","0x00000057","",""
"","Sleep","Sleep","","True","0x00000058","",""
"","","","","True","0x00000059","",""
"","Change Pose","Change Pose","","True","0x0000005A","",""
"","","","","True","0x0000005B","",""
"","","","","True","0x0000005C","",""
"","","","","True","0x0000005D","",""
"","","","","True","0x0000005E","",""
"","","","","True","0x0000005F","",""
"","","","","True","0x00000060","",""
"","","","","True","0x00000061","",""
"","","","","True","0x00000062","",""
"","","","","True","0x00000063","",""
"","","","","True","0x00000064","",""
"","Step Dance","Step Dance","","True","0x00000065","",""
"","Harvest Dance","Harvest Dance","","True","0x00000066","",""
"","Ball Dance","Ball Dance","","True","0x00000067","",""
"","Manderville Dance","Manderville Dance","","True","0x00000068","",""
"","Pet","Pet","","True","0x00000069","",""
"","Hand Over","Hand Over","","True","0x0000006A","",""
"","","","","True","0x0000006B","",""
"","","","","True","0x0000006C","",""
"","Bomb Dance","Bomb Dance","","True","0x0000006D","",""
"","Huzzah","Huzzah","","True","0x0000006E","",""
"","Slap","Slap","","True","0x0000006F","",""
"","Hug","Hug","","True","0x00000070","",""
"","Embrace","Embrace","","True","0x00000071","",""
"","Most Gentlemanly","Most Gentlemanly","","True","0x00000072","",""
"","Fist Bump","Fist Bump","","True","0x00000073","",""
"","","","","True","0x00000074","",""
"","","","","True","0x00000075","",""
"","Thavnairian Dance","Thavnairian Dance","","True","0x00000076","",""
"","Gold Dance","Gold Dance","","True","0x00000077","",""
"","Sundrop Dance","Sundrop Dance","","True","0x00000078","",""
"","Battle Stance","Battle Stance","","True","0x00000079","",""
"","Victory","Victory","","True","0x0000007A","",""
"","Backflip","Backflip","","True","0x0000007B","",""
"","Eastern Greeting","Eastern Greeting","","True","0x0000007C","",""
"","Eureka","Eureka","","True","0x0000007D","",""
"","Moogle Dance","Moogle Dance","","True","0x0000007E","",""
"","Haurchefant","Haurchefant","","True","0x0000007F","",""
"","Eastern Stretch","Eastern Stretch","","True","0x00000080","",""
"","Eastern Dance","Eastern Dance","","True","0x00000081","",""
"","Red Ranger Pose A","Red Ranger Pose A","","True","0x00000082","",""
"","Black Ranger Pose A","Black Ranger Pose A","","True","0x00000083","",""
"","Yellow Ranger Pose A","Yellow Ranger Pose A","","True","0x00000084","",""
"","Wink (Right)","Wink (Right)","","True","0x00000085","",""
"","Red Ranger Pose B","Red Ranger Pose B","","True","0x00000086","",""
"","Black Ranger Pose B","Black Ranger Pose B","","True","0x00000087","",""
"","Yellow Ranger Pose B","Yellow Ranger Pose B","","True","0x00000088","",""
"","Facepalm","Facepalm","","True","0x00000089","",""
"","Zantetsuken","Zantetsuken","","True","0x0000008A","",""
"","Flex","Flex","","True","0x0000008B","",""
"","Pay Respects","Pay Respects","","True","0x0000008C","",""
"","Sneer","Sneer","","True","0x0000008D","",""
"","Pretty Please","Pretty Please","","True","0x0000008E","",""
"","Play Dead","Play Dead","","True","0x0000008F","",""
"","Diamond Dust","Diamond Dust","","True","0x00000090","",""
"","Moonlift Dance","Moonlift Dance","","True","0x00000091","",""
"","Dote","Dote","","True","0x00000092","",""
"","Dote","Dote","","True","0x00000093","",""
"","Spectacles","Spectacles","","True","0x00000094","",""
"","Songbird","Songbird","","True","0x00000095","",""
"","Water Float","Water Float","","True","0x00000096","",""
"","Water Flip","Water Flip","","True","0x00000097","",""
"","Pucker Up","Pucker Up","","True","0x00000098","",""
"","Power Up","Power Up","","True","0x00000099","",""
"","Eastern Bow","Eastern Bow","","True","0x0000009A","",""
"","Squats","Squats","","True","0x0000009B","",""
"","Push-ups","Push-ups","","True","0x0000009C","",""
"","Sit-ups","Sit-ups","","True","0x0000009D","",""
"","Breath Control","Breath Control","","True","0x0000009E","",""
"","Converse","Converse","","True","0x0000009F","",""
"","Concentrate","Concentrate","","True","0x000000A0","",""
"","Confused","Confused","","True","0x000000A1","",""
"","Simper","Simper","","True","0x000000A2","",""
"","Beam","Beam","","True","0x000000A3","",""
"","Attention","Attention","","True","0x000000A4","",""
"","At Ease","At Ease","","True","0x000000A5","",""
"","Box","Box","","True","0x000000A6","",""
"","Ritual Prayer","Ritual Prayer","","True","0x000000A7","",""
"","","","","True","0x000000A8","",""
"","Tremble","Tremble","","True","0x000000A9","",""
"","Winded","Winded","","True","0x000000AA","",""
"","Aback","Aback","","True","0x000000AB","",""
"","Greeting","Greeting","","True","0x000000AC","",""
"","Box Step","Box Step","","True","0x000000AD","",""
"","Side Step","Side Step","","True","0x000000AE","",""
"","Ultima","Ultima","","True","0x000000AF","",""
"","Yol Dance","Yol Dance","","True","0x000000B0","",""
"","","","","True","0x000000B1","",""
"","Splash","Splash","","True","0x000000B2","",""
"","","","","True","0x000000B3","",""
"","Sweat","Sweat","","True","0x000000B4","",""
"","Shiver","Shiver","","True","0x000000B5","",""
"","Elucidate","Elucidate","","True","0x000000B6","",""
"","Ponder","Ponder","","True","0x000000B7","",""
"","Wink (Left)","Wink (Left)","","True","0x000000B8","",""
"","Get Fantasy","Get Fantasy","","True","0x000000B9","",""
"","Popoto Step","Popoto Step","","True","0x000000BA","",""
"","Hum","Hum","","True","0x000000BB","",""
"","Confirm","Confirm","","True","0x000000BC","",""
"","Scheme","Scheme","","True","0x000000BD","",""
"","Endure","Endure","","True","0x000000BE","",""
"","Tomestone","Tomestone","","True","0x000000BF","",""
"","Heel Toe","Heel Toe","","True","0x000000C0","",""
"","Goobbue Do","Goobbue Do","","True","0x000000C1","",""
"","Gratuity","Gratuity","","True","0x000000C2","",""
"","Fist Pump","Fist Pump","","True","0x000000C3","",""
"","Reprimand","Reprimand","","True","0x000000C4","",""
"","Senor Sabotender","Senor Sabotender","","True","0x000000C5","",""
"","Manderville Mambo","Manderville Mambo","","True","0x000000C6","",""
"","Lali-ho","Lali-ho","","True","0x000000C7","",""
"","Simulation M","Simulation M","","True","0x000000C8","",""
"","Simulation F","Simulation F","","True","0x000000C9","",""
"","Toast","Toast","","True","0x000000CA","",""
"","Lean","Lean","","True","0x000000CB","",""
"","Headache","Headache","","True","0x000000CC","",""
"","Snap","Snap","","True","0x000000CD","",""
"","Break Fast","Break Fast","","True","0x000000CE","",""
"","Read","Read","","True","0x000000CF","",""
"","Insist","Insist","","True","0x000000D0","",""
"","Consider","Consider","","True","0x000000D1","",""
"","Wasshoi","Wasshoi","","True","0x000000D2","",""
"","Flower Shower","Flower Shower","","True","0x000000D3","",""
"","Flame Dance","Flame Dance","","True","0x000000D4","",""
"","High Five","High Five","","True","0x000000D5","",""
"","Guard","Guard","","True","0x000000D6","",""
"","Malevolence","Malevolence","","True","0x000000D7","",""
"","Bee's Knees","Bee's Knees","","True","0x000000D8","",""
"","Lali Hop","Lali Hop","","True","0x000000D9","",""
"","Change Pose","Change Pose","","True","0x000000DA","",""
"","Change Pose","Change Pose","","True","0x000000DB","",""
"","Eat Rice Ball","Eat Rice Ball","","True","0x000000DC","",""
"","Eat Apple","Eat Apple","","True","0x000000DD","",""
"","Wring Hands","Wring Hands","","True","0x000000DE","",""
"","Sweep Up","Sweep Up","","True","0x000000DF","",""
"","Paint It Black","Paint It Black","","True","0x000000E0","",""
"","Paint It Red","Paint It Red","","True","0x000000E1","",""
"","Paint It Yellow","Paint It Yellow","","True","0x000000E2","",""
"","Paint It Blue","Paint It Blue","","True","0x000000E3","",""
"","Fake Smile","Fake Smile","","True","0x000000E4","",""
"","Pantomime","Pantomime","","True","0x000000E5","",""
"","Vexed","Vexed","","True","0x000000E6","",""
"","Shush","Shush","","True","0x000000E7","",""
"","Eat Pizza","Eat Pizza","","True","0x000000E8","",""
"","Clutch Head","Clutch Head","","True","0x000000E9","",""
"","","","","True","0x000000EA","",""
"","Eat Egg","Eat Egg","","True","0x000000EB","",""
"","Content","Content","","True","0x000000EC","",""
"","Sheathe Weapon","Sheathe Weapon","","True","0x000000ED","",""
"","Draw Weapon","Draw Weapon","","True","0x000000EE","",""
"","Drink Tea","Drink Tea","","True","0x000000EF","",""
"","Determined","Determined","","True","0x000000F0","",""
"","Show Right","Show Right","","True","0x000000F1","",""
"","Show Left","Show Left","","True","0x000000F2","",""
"","","","","True","0x000000F3","",""
"","","","","True","0x000000F4","",""
