"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","","","","False","0x00000000","",""
"","Interacting","Interacting","","False","0x00000001","",""
"","Interacting","Interacting","","False","0x00000002","",""
"","Interacting","Interacting","","False","0x00000003","",""
"","Interacting","Interacting","","False","0x00000004","",""
"","Interacting","Interacting","","False","0x00000005","",""
"","Interacting","Interacting","","False","0x00000006","",""
"","Interacting","Interacting","","False","0x00000007","",""
"","Interacting","Interacting","","False","0x00000008","",""
"","Interacting","Interacting","","False","0x00000009","",""
"","Waiting","Waiting","","False","0x0000000A","",""
"","Waiting","Waiting","","False","0x0000000B","",""
"","Waiting","Waiting","","False","0x0000000C","",""
"","Waiting","Waiting","","False","0x0000000D","",""
"","Interacting","Interacting","","False","0x0000000E","",""
"","Interacting","Interacting","","False","0x0000000F","",""
"","Interacting","Interacting","","False","0x00000010","",""
"","Interacting","Interacting","","False","0x00000011","",""
"","Interacting","Interacting","","False","0x00000012","",""
"","Attuning","Attuning","","False","0x00000013","",""
"","Interacting","Interacting","","False","0x00000014","",""
"","Interacting","Interacting","","False","0x00000015","",""
"","Interacting","Interacting","","False","0x00000016","",""
"","Interacting","Interacting","","False","0x00000017","",""
"","Interacting","Interacting","","False","0x00000018","",""
"","Interacting","Interacting","","False","0x00000019","",""
"","Aiding","Aiding","","False","0x0000001A","",""
"","Whistling","Whistling","","False","0x0000001B","",""
"","Standing Watch","Standing Watch","","False","0x0000001C","",""
"","Recording","Recording","","False","0x0000001D","",""
"","Whistling","Whistling","","False","0x0000001E","",""
"","Interacting","Interacting","","False","0x0000001F","",""
"","Interacting","Interacting","","False","0x00000020","",""
"","Interacting","Interacting","","False","0x00000021","",""
"","Aiding","Aiding","","False","0x00000022","",""
"","Aiding","Aiding","","False","0x00000023","",""
"","Aiding","Aiding","","False","0x00000024","",""
"","Interacting","Interacting","","False","0x00000025","",""
"","Aiding","Aiding","","False","0x00000026","",""
"","Aiding","Aiding","","False","0x00000027","",""
"","Aiding","Aiding","","False","0x00000028","",""
"","Surveying","Surveying","","False","0x00000029","",""
"","Untying","Untying","","False","0x0000002A","",""
"","Interacting","Interacting","","False","0x0000002B","",""
"","Interacting","Interacting","","False","0x0000002C","",""
"","Interacting","Interacting","","False","0x0000002D","",""
"","Interacting","Interacting","","False","0x0000002E","",""
"","Interacting","Interacting","","False","0x0000002F","",""
"","Spooking","Spooking","","False","0x00000030","",""
"","Closing Valve","Closing Valve","","False","0x00000031","",""
"","Surveying","Surveying","","False","0x00000032","",""
"","Opening Valve","Opening Valve","","False","0x00000033","",""
"","Interacting","Interacting","","False","0x00000034","",""
"","Interacting","Interacting","","False","0x00000035","",""
"","Interacting","Interacting","","False","0x00000036","",""
"","Interacting","Interacting","","False","0x00000037","",""
"","Standing Watch","Standing Watch","","False","0x00000038","",""
"","Occupying","Occupying","","False","0x00000039","",""
"","Occupying","Occupying","","False","0x0000003A","",""
"","Occupying","Occupying","","False","0x0000003B","",""
"","Attuning","Attuning","","False","0x0000003C","",""
"","Interacting","Interacting","","False","0x0000003D","",""
"","Interacting","Interacting","","False","0x0000003E","",""
"","Interacting","Interacting","","False","0x0000003F","",""
"","Interacting","Interacting","","False","0x00000040","",""
"","Refueling","Refueling","","False","0x00000041","",""
"","Claiming","Claiming","","False","0x00000042","",""
"","Mounting","Mounting","","False","0x00000043","",""
"","Surveying","Surveying","","False","0x00000044","",""
"","Interacting","Interacting","","False","0x00000045","",""
"","Carving","Carving","","False","0x00000046","",""
"","Invoke","Invoke","","False","0x00000047","",""
"","Assisting","Assisting","","False","0x00000048","",""
"","Healing","Healing","","False","0x00000049","",""
"","Gathering","Gathering","","False","0x0000004A","",""
"","Obtaining","Obtaining","","False","0x0000004B","",""
"","Processing","Processing","","False","0x0000004C","",""
"","Assembling","Assembling","","False","0x0000004D","",""
"","Feeding","Feeding","","False","0x0000004E","",""
"","Claiming","Claiming","","False","0x0000004F","",""
"","Loading","Loading","","False","0x00000050","",""
"","Breaking","Breaking","","False","0x00000051","",""
"","Mixing","Mixing","","False","0x00000052","",""
"","Sweeping","Sweeping","","False","0x00000053","",""
"","Obtaining","Obtaining","","False","0x00000054","",""
"","Repairing","Repairing","","False","0x00000055","",""
"","Touching Shrine","Touching Shrine","","False","0x00000056","",""
"","Building","Building","","False","0x00000057","",""
"","Feeding","Feeding","","False","0x00000058","",""
"","Obtaining","Obtaining","","False","0x00000059","",""
"","Sewing","Sewing","","False","0x0000005A","",""
"","Transporting","Transporting","","False","0x0000005B","",""
"","Loading","Loading","","False","0x0000005C","",""
"","Examining","Examining","","False","0x0000005D","",""
"","Mounting","Mounting","","False","0x0000005E","",""
"","Handing Over","Handing Over","","False","0x0000005F","",""
"","Setting Explosives","Setting Explosives","","False","0x00000060","",""
"","Eating","Eating","","False","0x00000061","",""
"","Eating","Eating","","False","0x00000062","",""
"","Refueling","Refueling","","False","0x00000063","",""
"","Listening","Listening","","False","0x00000064","",""
"","Calming","Calming","","False","0x00000065","",""
"","Gift Aether","Gift Aether","","False","0x00000066","",""
"","Whistling","Whistling","","False","0x00000067","",""
"","Aiding","Aiding","","False","0x00000068","",""
"","Interacting","Interacting","","False","0x00000069","",""

