"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","<tab><tab><tab>","<tab><tab><tab>","","True","0x00000000","",""
"","Serpent Private Third Class<tab>Serpent Privates Third Class<tab>private<tab>","Рекрут Ордена<tab>рекруты Ордена<tab>рекрут<tab>","","True","0x00000001","",""
"","Serpent Private Second Class<tab>Serpent Privates Second Class<tab>private<tab>","Рядовой Ордена<tab>рядовые Ордена<tab>рядовой<tab>","","True","0x00000002","",""
"","Serpent Private First Class<tab>Serpent Privates First Class<tab>private<tab>","Ефрейтор Ордена<tab>ефрейторы Ордена<tab>ефрейтор<tab>","","True","0x00000003","",""
"","Serpent Corporal<tab>Serpent Corporals<tab>corporal<tab>","Младший сержант Ордена<tab>младшие сержанты Ордена<tab>сержант<tab>","","True","0x00000004","",""
"","Serpent Sergeant Third Class<tab>Serpent Sergeants Third Class<tab>sergeant<tab>","Сержант Ордена<tab>сержанты Ордена<tab>сержант<tab>","","True","0x00000005","",""
"","Serpent Sergeant Second Class<tab>Serpent Sergeants Second Class<tab>sergeant<tab>","Старший сержант Ордена<tab>старшие сержанты Ордена<tab>сержант<tab>","","True","0x00000006","",""
"","Serpent Sergeant First Class<tab>Serpent Sergeants First Class<tab>sergeant<tab>","Прапорщик Ордена<tab>прапорщики Ордена<tab>прапорщик<tab>","","True","0x00000007","",""
"","Chief Serpent Sergeant<tab>Chief Serpent Sergeants<tab>sergeant<tab>","Старший прапорщик Ордена<tab>старшие прапорщики Ордена<tab>прапорщик<tab>","","True","0x00000008","",""
"","Second Serpent Lieutenant<tab>Second Serpent Lieutenants<tab>lieutenant<tab>","Лейтенант Ордена<tab>лейтенанты Ордена<tab>лейтенант<tab>","","True","0x00000009","",""
"","First Serpent Lieutenant<tab>First Serpent Lieutenants<tab>lieutenant<tab>","Старший лейтенант Ордена<tab>старшие лейтенанты Ордена<tab>лейтенант<tab>","","True","0x0000000A","",""
"","Serpent Captain<tab>Serpent Captains<tab>captain<tab>","Капитан Ордена<tab>капитаны Ордена<tab>капитан<tab>","","True","0x0000000B","",""
"","Second Serpent Commander<tab>Second Serpent Commanders<tab>commander<tab>","Майор Ордена<tab>майоры Ордена<tab>майор<tab>","","True","0x0000000C","",""
"","First Serpent Commander<tab>First Serpent Commanders<tab>commander<tab>","Подполковник Ордена<tab>подполковники Ордена<tab>подполковник<tab>","","True","0x0000000D","",""
"","High Serpent Commander<tab>High Serpent Commanders<tab>commander<tab>","Полковник Ордена<tab>полковники Ордена<tab>полковник<tab>","","True","0x0000000E","",""
"","Rear Serpent Marshal<tab>Rear Serpent Marshals<tab>rear marshal<tab>","Генерал-майор Ордена<tab>генерал-майоры Ордена<tab>генерал-майор<tab>","","True","0x0000000F","",""
"","Vice Serpent Marshal<tab>Vice Serpent Marshals<tab>vice marshal<tab>","Генерал-лейтенант Ордена<tab>генерал-лейтенанты Ордена<tab>генерал-лейтенанты<tab>","","True","0x00000010","",""
"","Serpent Marshal<tab>Serpent Marshals<tab>marshal<tab>","Генерал-полковник Ордена<tab>генерал-полковники Ордена<tab>генерал-полковник<tab>","","True","0x00000011","",""
"","Grand Serpent Marshal<tab>Grand Serpent Marshals<tab>grand marshal<tab>","Генерал Армии Ордена<tab>генералы Армии Ордена<tab>генерал армии<tab>","","True","0x00000012","",""
"","Serpent Champion<tab>Serpent Champions<tab>champion<tab>","Чемпион Ордена<tab>чемпионы Ордена<tab>чемпион<tab>","","True","0x00000013","",""
