"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","","","","False","0x00040000","",""
"","","","","False","0x00040001","",""
"","Purchase Items","","","False","0x00040007","",""
"","Purchase Lalafellin Gear","Купить одежду для Lalafell'ей","","False","0x00040008","",""
"","Purchase Roegadyn Gear","Купить одежду для Roegadyn'ов","","False","0x00040009","",""
"","Purchase Elezen Gear","Купить одежду для Elezen'ов","","False","0x0004000A","",""
"","Purchase Hyuran Gear","Купить одежду для Hyur'ов","","False","0x0004000B","",""
"","Purchase Miqo'te Gear","Купить одежду для Miqo'te","","False","0x0004000C","",""
"","","","","False","0x0004000D","",""
"","Purchase Items","","","False","0x0004000E","",""
"","Purchase Lalafellin Gear","Купить одежду для Lalafell'ов","","False","0x0004000F","",""
"","Purchase Roegadyn Gear","Купить одежду для Roegadyn'ов","","False","0x00040010","",""
"","Purchase Elezen Gear","Купить одежду для Elezen'ов","","False","0x00040011","",""
"","Purchase Hyuran Gear","Купить одежду для Hyur'ов","","False","0x00040012","",""
"","Purchase Miqo'te Gear","Купить одежду для Miqo'te","","False","0x00040013","",""
"","Purchase Items","","","False","0x00040014","",""
"","Purchase Lalafellin Gear","Купить одежду для Lalafell'ов","","False","0x00040015","",""
"","Purchase Roegadyn Gear","Купить одежду для Roegadyn'ов","","False","0x00040016","",""
"","Purchase Elezen Gear","Купить одежду для Elezen'ов","","False","0x00040017","",""
"","Purchase Hyuran Gear","Купить одежду для Hyur'ов","","False","0x00040018","",""
"","Purchase Miqo'te Gear","Купить одежду для Miqo'te","","False","0x00040019","",""
"","","","","False","0x0004001A","",""
"","","","","False","0x0004001B","",""
"","","","","False","0x0004001C","",""
"","","","","False","0x0004001D","",""
"","","","","False","0x0004001E","",""
"","","","","False","0x0004001F","",""
"","","","","False","0x00040020","",""
"","","","","False","0x00040021","",""
"","Purchase Battle Accessories","","","False","0x00040022","",""
"","Purchase Field Accessories","","","False","0x00040023","",""
"","","","","False","0x00040024","",""
"","Purchase Items","","","False","0x00040025","",""
"","","","","False","0x00040026","",""
"","Purchase Tools","","","False","0x00040027","",""
"","Purchase Weapons","","","False","0x00040028","",""
"","","","","False","0x00040029","",""
"","Purchase Battle Gear","","","False","0x0004002A","",""
"","Purchase Field Gear","","","False","0x0004002B","",""
"","Purchase Battle Accessories","","","False","0x0004002C","",""
"","Purchase Field Accessories","","","False","0x0004002D","",""
"","","","","False","0x0004002E","",""
"","Purchase Items","","","False","0x0004002F","",""
"","","","","False","0x00040030","",""
"","Purchase Tools","","","False","0x00040031","",""
"","Purchase Weapons","","","False","0x00040032","",""
"","Purchase Battle Gear","","","False","0x00040033","",""
"","Purchase Field Gear","","","False","0x00040034","",""
"","","","","False","0x00040035","",""
"","Purchase Battle Accessories","","","False","0x00040036","",""
"","Purchase Field Accessories","","","False","0x00040037","",""
"","","","","False","0x00040038","",""
"","Purchase Items","","","False","0x00040039","",""
"","","","","False","0x0004003A","",""
"","Purchase Tools","","","False","0x0004003B","",""
"","Purchase Weapons","","","False","0x0004003C","",""
"","Purchase Battle Gear","","","False","0x0004003D","",""
"","Purchase Field Gear","","","False","0x0004003E","",""
"","","","","False","0x0004003F","",""
"","","","","False","0x00040040","",""
"","Purchase Weapons","","","False","0x00040041","",""
"","","","","False","0x00040042","",""
"","","","","False","0x00040043","",""
"","Purchase Battle Accessories","","","False","0x00040044","",""
"","Purchase Battle Gear","","","False","0x00040045","",""
"","Purchase Field Gear","","","False","0x00040046","",""
"","Purchase Weapons","","","False","0x00040047","",""
"","Purchase Tools","","","False","0x00040048","",""
"","Purchase Weapons","","","False","0x00040049","",""
"","Purchase Battle Gear","","","False","0x0004004A","",""
"","Purchase Field Gear","","","False","0x0004004B","",""
"","Purchase Tools","","","False","0x0004004D","",""
"","Purchase Weapons","","","False","0x0004004E","",""
"","Purchase Battle Gear","","","False","0x0004004F","",""
"","Purchase Field Gear","","","False","0x00040050","",""
"","Purchase Tools","","","False","0x00040051","",""
"","Purchase Weapons","","","False","0x00040052","",""
"","Purchase Battle Gear","","","False","0x00040053","",""
"","Purchase Field Gear","","","False","0x00040054","",""
"","Purchase Tools","","","False","0x00040055","",""
"","Purchase Weapons","","","False","0x00040056","",""
