"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","","","","False","0x00000000","",""
"","","","","False","0x00000001","",""
"","","","","False","0x00000002","",""
"","","","","False","0x00000003","",""
"","","","","False","0x00000004","",""
"","","","","False","0x00000005","",""
"","","","","False","0x00000006","",""
"","","","","False","0x00000007","",""
"","","","","False","0x00000008","",""
"","","","","False","0x00000009","",""
"","","","","False","0x0000000A","",""
"","Training Course","Übungsbahn","","False","0x0000000B","",""
"","Sagolii Road","Sagolii-Straße","","False","0x0000000C","",""
"","Costa del Sol","Sonnenküste","","False","0x0000000D","",""
"","Tranquil Paths","Pfad der Seelenruhe","","False","0x0000000E","",""
"","Training Course","Übungslauf","","False","0x0000000F","",""
"","Maiden","Einsteigerklasse","","False","0x00000010","",""
"","R-40","Klasse 40","","False","0x00000011","",""
"","R-60","Klasse 60","","False","0x00000012","",""
"","R-80","Klasse 80","","False","0x00000013","",""
"","R-100","Klasse 100","","False","0x00000014","",""
"","R-120","Klasse 120","","False","0x00000015","",""
"","R-140","Klasse 140","","False","0x00000016","",""
"","R-160","Klasse 160","","False","0x00000017","",""
"","R-180","Klasse 180","","False","0x00000018","",""
"","R-200","Klasse 200","","False","0x00000019","",""
"","R-220","Klasse 220","","False","0x0000001A","",""
"","R-240","Klasse 240","","False","0x0000001B","",""
"","R-300","Klasse 300","","False","0x0000001C","",""
"","Open","Freie Klasse","","False","0x0000001D","",""
"","1st","1.","","False","0x0000001E","",""
"","2nd","2.","","False","0x0000001F","",""
"","3rd","3.","","False","0x00000020","",""
"","4th","4.","","False","0x00000021","",""
"","5th","5.","","False","0x00000022","",""
"","6th","6.","","False","0x00000023","",""
"","7th","7.","","False","0x00000024","",""
"","8th","8.","","False","0x00000025","",""
"","<var 28 ((GoldSaucerTextData)) E80301 /var>: <var 28 ((GoldSaucerTextData)) E80201 /var>","<var 28 ((GoldSaucerTextData)) E80301 /var>    <var 28 ((GoldSaucerTextData)) E80201 /var>","","False","0x00000026","",""
"","Progress: <var 20 E802 /var>%","Strecke: <var 20 E802 /var> %","","False","0x00000027","",""
"","Place: <var 29 EA02 /var>","Platz: <var 29 EA02 /var>","","False","0x00000028","",""
"","","","","False","0x00000029","",""
"","","","","False","0x0000002A","",""
"","","","","False","0x0000002B","",""
"","","","","False","0x0000002C","",""
"","","","","False","0x0000002D","",""
"","","","","False","0x0000002E","",""
"","","","","False","0x0000002F","",""
"","","","","False","0x00000030","",""
"","","","","False","0x00000031","",""
"","","","","False","0x00000032","",""
"","Vase Off","Achtung, zerbrechlich!","","False","0x00000033","",""
"","Vases Delivered","Abgelieferte Vasen","","False","0x00000034","",""
"","","","","False","0x00000035","",""
"","","","","False","0x00000036","",""
"","","","","False","0x00000037","",""
"","","","","False","0x00000038","",""
"","","","","False","0x00000039","",""
"","","","","False","0x0000003A","",""
"","","","","False","0x0000003B","",""
"","","","","False","0x0000003C","",""
