"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","無効値<tab>","無効値<tab>","","False","0x00000000","",""
"","食い荒らされたパンプキン<tab>","食い荒らされたパンプキン<tab>","","False","0x00000001","",""
"","食い荒らされたキャベツ<tab>","食い荒らされたキャベツ<tab>","","False","0x00000002","",""
"","トワランツリー<tab>","トワランツリー<tab>","","False","0x00000003","",""
"","パームツリー<tab>","パームツリー<tab>","","False","0x00000004","",""
"","アイルアップルツリー<tab>","アイルアップルツリー<tab>","","False","0x00000005","",""
"","マホガニーツリー<tab>","マホガニーツリー<tab>","","False","0x00000006","",""
"","青みを帯びた岩<tab>","青みを帯びた岩<tab>","","False","0x00000007","",""
"","白いなめらかな岩<tab>","白いなめらかな岩<tab>","","False","0x00000008","",""
"","結晶を帯びた岩<tab>","結晶を帯びた岩<tab>","","False","0x00000009","",""
"","土山<tab>","土山<tab>","","False","0x0000000A","",""
"","成熟しきったポポト<tab>","成熟しきったポポト<tab>","","False","0x0000000B","",""
"","成熟しきったパースニップ<tab>","成熟しきったパースニップ<tab>","","False","0x0000000C","",""
"","川底の砂<tab>","川底の砂<tab>","","False","0x0000000D","",""
"","サトウキビ<tab>","サトウキビ<tab>","","False","0x0000000E","",""
"","綿花<tab>","綿花<tab>","","False","0x0000000F","",""
"","サイザルアサ<tab>","サイザルアサ<tab>","","False","0x00000010","",""
"","大きな貝<tab>","大きな貝<tab>","","False","0x00000011","",""
"","海藻の茂み<tab>","海藻の茂み<tab>","","False","0x00000012","",""
"","珊瑚礁<tab>","珊瑚礁<tab>","","False","0x00000013","",""
"","深い黒色の岩<tab>","深い黒色の岩<tab>","","False","0x00000014","",""
"","水晶塊<tab>","水晶塊<tab>","","False","0x00000015","",""
"","まだら模様の岩<tab>","まだら模様の岩<tab>","","False","0x00000016","",""
