"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","<tab><tab>","<tab><tab>","","False","0x00000000","",""
"","The Coziest of Cabins<tab><color2 #FFFFFF><glow2 #0A6992>Speak with the felicitous furball.</glow2></color2><tab>","Objectif de développement : construire votre hutte placide<tab><color2 #FFFFFF><glow2 #0A6992>Parler à Chamoiselle</glow2></color2><tab>","","False","0x00000001","",""
"","The Coziest of Cabins<tab><color2 #FFFFFF><glow2 #0A6992>Speak with the felicitous furball again.</glow2></color2><tab>Speak with the felicitous furball.","Objectif de développement : construire votre hutte placide<tab><color2 #FFFFFF><glow2 #0A6992>Reparler à Chamoiselle</glow2></color2><tab>Parler à Chamoiselle","","False","0x00000002","",""
"","The Coziest of Cabins<tab><color2 #FFFFFF><glow2 #0A6992>With the Gather mode enabled, collect the necessary materials and report back to the felicitous furball.</glow2></color2><tab>Speak with the felicitous furball again.","Objectif de développement : construire votre hutte placide<tab><color2 #FFFFFF><glow2 #0A6992>Utiliser le mode “Collecter” pour amasser des matériaux, puis parler à Chamoiselle</glow2></color2><tab>Reparler à Chamoiselle","","False","0x00000003","",""
"","The Coziest of Cabins<tab><color2 #FFFFFF><glow2 #0A6992>Craft an islekeep's stone hatchet and report back to the felicitous furball.</glow2></color2><tab>With the Gather mode enabled, collect the necessary materials and report back to the felicitous furball.","Objectif de développement : construire votre hutte placide<tab><color2 #FFFFFF><glow2 #0A6992>Accéder à l'atelier pour fabriquer une hache en pierre de pionnier, puis parler à Chamoiselle</glow2></color2><tab>Utiliser le mode ""Collecter"" pour amasser des matériaux, puis parler à Chamoiselle","","False","0x00000004","",""
"","The Coziest of Cabins<tab><color2 #FFFFFF><glow2 #0A6992>Construct the cozy cabin after collecting the requisite materials.</glow2></color2><tab>Craft an islekeep's stone hatchet and report back to the felicitous furball.","Objectif de développement : construire votre hutte placide<tab><color2 #FFFFFF><glow2 #0A6992>Construire la hutte placide après avoir collecté les matériaux nécéssaires</glow2></color2><tab>Accéder à l'atelier pour fabriquer une hache en pierre de pionnier, puis parler à Chamoiselle","","False","0x00000005","",""
"","The Coziest of Cabins<tab><color2 #FFFFFF><glow2 #0A6992>Report to the felicitous furball.</glow2></color2><tab>Construct the cozy cabin after collecting the requisite materials.","Objectif de développement : construire votre hutte placide<tab><color2 #FFFFFF><glow2 #0A6992>Parler à Chamoiselle</glow2></color2><tab>Construire la hutte placide après avoir collecté les matériaux nécéssaires","","False","0x00000006","",""
"","Top Crops<tab><color2 #FFFFFF><glow2 #0A6992>Speak with the felicitous furball.</glow2></color2><tab>","Objectif de développement : cultiver vos champs<tab><color2 #FFFFFF><glow2 #0A6992>Parler à Chamoiselle</glow2></color2><tab><nl>","","False","0x00000007","",""
"","Top Crops<tab><color2 #FFFFFF><glow2 #0A6992>Request the produce producer to till the earth.</glow2></color2><tab>Speak with the felicitous furball.","Objectif de développement : cultiver vos champs<tab><color2 #FFFFFF><glow2 #0A6992>Demander à Rodolfermier de préparer les terres arables</glow2></color2><tab>Parler à Chamoiselle","","False","0x00000008","",""
"","Top Crops<tab><color2 #FFFFFF><glow2 #0A6992>Speak with the produce producer.</glow2></color2><tab>Request the produce producer to till the earth.","Objectif de développement : cultiver vos champs<tab><color2 #FFFFFF><glow2 #0A6992>Parler à Rodolfermier</glow2></color2><tab>Demander à Rodolfermier de préparer les terres arables","","False","0x00000009","",""
