"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","<tab>","<tab>","","True","0x00000000","",""
"","Offensive<tab>Offensive","Attaquant<tab>Attaquant","","True","0x00000001","",""
"","Defensive<tab>Defensive","Défenseur<tab>Défenseur","","True","0x00000002","",""
"","Restorative<tab>Restorative","Soigneur<tab>Soigneur","","True","0x00000003","",""
"","Beneficial<tab>Beneficial","Auxiliaire<tab>Auxiliaire","","True","0x00000004","",""
"","Tactical<tab>Tactical","Éclaireur<tab>Éclaireur","","True","0x00000005","",""
"","Detrimental<tab>Detrimental","Sapeur<tab>Sapeur","","True","0x00000006","",""
"","Item-related<tab>Item-related","Objets<tab>Objets","","True","0x00000007","",""
"","<tab>","<tab>","","True","0x00000008","",""
"","<tab>","<tab>","","True","0x00000009","",""
