"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","","","","False","0x00000000","",""
"","Master Recipes","Recettes expertes","","False","0x00000001","",""
"","Housing","Logement","","False","0x00000002","",""
"","Others","Divers","","False","0x00000003","",""
"","Class","Quêtes de classes","","False","0x00000004","",""
"","Tribal Quests","Quêtes tribales","","False","0x00000005","",""
"","Custom Deliveries","Commandes spéciales","","False","0x00000006","",""
"","Sidequests","Quêtes annexes","","False","0x00000007","",""
"","Collectables","Objets collectionnables","","False","0x00000008","",""
"","Collectables","Objets collectionnables","","False","0x00000009","",""
"","Regional Folklore","Légendes locales","","False","0x0000000A","",""
"","Sidequests","Quêtes annexes","","False","0x0000000B","",""
"","","","","False","0x0000000C","",""

