"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","","","","False","0x00000000","",""
"","Master Recipes","秘伝書","","False","0x00000001","",""
"","Housing","ハウジング","","False","0x00000002","",""
"","Others","その他","","False","0x00000003","",""
"","Story","ストーリー関連","","False","0x00000004","",""
"","Beast Tribe Quests","蛮族クエスト","","False","0x00000005","",""
"","Custom Deliveries","お得意様取引","","False","0x00000006","",""
"","Ishgard Restoration","イシュガルド復興","","False","0x00000007","",""
"","Collectables","収集品取引","","False","0x00000008","",""
"","Collectables","収集品取引","","False","0x00000009","",""
"","Regional Folklore","伝承録","","False","0x0000000A","",""
"","Ishgard Restoration","イシュガルド復興","","False","0x0000000B","",""
"","","","","False","0x0000000C","",""
