"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_CLSCNJ003_00092_SEQ_00<tab>Brother E<var 1F /var>Sumi<var 1F /var>Yan wants you to learn about the element of water.","TEXT_CLSCNJ003_00092_SEQ_00<tab>幻術士ギルドマスター、エ・スミ・ヤンは、冒険者に水の在り方について学ばせようとしている。","","False","0x00000000","",""
"","TEXT_CLSCNJ003_00092_SEQ_01<tab>Desiring that you learn about the element of water, Brother E<var 1F /var>Sumi<var 1F /var>Yan has assigned you a new task. Take the flask he has provided and pour its crystal-clear contents onto the ground at the foot of the Hedgetree near to the Hawthorne Hut.","TEXT_CLSCNJ003_00092_SEQ_01<tab>エ・スミ・ヤンから「水」の力を学ぶ課題を与えられた。「ホウソーン家の山塞」の「境樹」に取り憑いた「水の淀み」に「濁りなき清水」を使い、淀みの原因を鎮めよう。","","False","0x00000001","",""
"","TEXT_CLSCNJ003_00092_SEQ_02<tab>You have succeeded in purifying the area of elemental corruption. Report to Brother Joacin at the Hawthorne Hut.","TEXT_CLSCNJ003_00092_SEQ_02<tab>「水の淀み」を浄化することができた。ホウソーン家の山塞の道士「ジョアシャン」に報告しよう。","","False","0x00000002","",""
"","TEXT_CLSCNJ003_00092_SEQ_03<tab>Upon receiving word of an attack by a herd of antelope stags, Brother Joacin bids you make haste to Josselin's Spire and assist the soldiers stationed there. Report to the spire guard, Aniud, for further instructions.","TEXT_CLSCNJ003_00092_SEQ_03<tab>近くで魔物の襲撃があったらしい。ジョアシャンから、救援に協力してほしいと頼まれた。ジョスラン監視哨の「アニウド」に話を聞こう。","","False","0x00000003","",""
"","TEXT_CLSCNJ003_00092_SEQ_04<tab>Your arrival at Josselin's Spire coincides with that of the latest group of soldiers wounded in the battle with the antelope stags. Cast the Cure spell on one of the injured combatants outside Josselin's Spire.","TEXT_CLSCNJ003_00092_SEQ_04<tab>ちょうど、負傷者が運ばれてきたようだ。ジョスラン監視哨の外にいる「負傷者」に「ケアル」をかけよう。","","False","0x00000004","",""
"","TEXT_CLSCNJ003_00092_SEQ_05<tab>You have tended to an injured soldier. Speak with the harried healer outside Josselin's Spire and see what can be done for the rest of the wounded.","TEXT_CLSCNJ003_00092_SEQ_05<tab>負傷者の傷を癒すことができた。他の怪我人の様子はどうだろうか。ジョスラン監視哨の外にいる「熟練の幻術士」に声をかけてみよう。","","False","0x00000005","",""
"","TEXT_CLSCNJ003_00092_SEQ_06<tab>The battle continues to rage on the road to the east of Josselin's Spire. Make haste to the scene of the conflict and provide support.","TEXT_CLSCNJ003_00092_SEQ_06<tab>ジョスラン監視哨の東の街道では、まだ戦いが続いているようだ。急ぎ、応援に向かおう。","","False","0x00000006","",""
"","TEXT_CLSCNJ003_00092_SEQ_07<tab>Brother E<var 1F /var>Sumi<var 1F /var>Yan has asked that you follow after Sylphie and offer her a sympathetic ear.","TEXT_CLSCNJ003_00092_SEQ_07<tab>エ・スミ・ヤンから、シルフィーの後を追い、話を聞いてあげてほしいと頼まれた。彼女が去った方へ向かおう。","","False","0x00000007","",""
"","TEXT_CLSCNJ003_00092_SEQ_08<tab>Upon realizing the truth of her desperate situation, Sylphie wishes only to be alone. Return to Stillglade Fane and report to Brother E<var 1F /var>Sumi<var 1F /var>Yan.","TEXT_CLSCNJ003_00092_SEQ_08<tab>シルフィーはひどく落ち込み、ひとりにしてほしいと言う……。幻術士ギルドに戻り、「エ・スミ・ヤン」に報告しよう。","","False","0x00000008","",""
"","TEXT_CLSCNJ003_00092_SEQ_09<tab>Brother E<var 1F /var>Sumi explains that Sylphie's powers of healing draw not upon the boundless energies of nature, but upon her own limited life force. Should she continue to practice her magic, the young conjurer is in danger of sharing her mother's tragic fate. Deeply concerned, the Padjal pledges to search for a way to save the girl, and hopes you will aid him should a solution be found. Returning to the subject of your education, the guildmaster expresses his satisfaction with your mastery of conjury's fundamental principles, and bids you strive to attune yourself ever more closely to the elements.

※The next conjurer quest will be available from E<var 1F /var>Sumi<var 1F /var>Yan upon reaching level 20.","TEXT_CLSCNJ003_00092_SEQ_09<tab>シルフィーの使う癒しの魔法は、自然の力を借りるのではなく、みずからの生命力を分け与えるものだった。このまま魔法を使い続ければ、いつか、彼女の母親と同じように生命を削り果たしてしまうと言うエ・スミ・ヤン。なんとか、彼女を救うための方法を探してみるそうだが……。幻術士としての役目を果たせるよう、しっかりと腕を磨いておこう。

※幻術士のレベルが20以上になると、エ・スミ・ヤンから次の幻術士クエストを受注することができます。","","False","0x00000009","",""
"","TEXT_CLSCNJ003_00092_SEQ_10<tab>","TEXT_CLSCNJ003_00092_SEQ_10<tab>","","False","0x0000000A","",""
"","TEXT_CLSCNJ003_00092_SEQ_11<tab>","TEXT_CLSCNJ003_00092_SEQ_11<tab>","","False","0x0000000B","",""
"","TEXT_CLSCNJ003_00092_SEQ_12<tab>","TEXT_CLSCNJ003_00092_SEQ_12<tab>","","False","0x0000000C","",""
"","TEXT_CLSCNJ003_00092_SEQ_13<tab>","TEXT_CLSCNJ003_00092_SEQ_13<tab>","","False","0x0000000D","",""
"","TEXT_CLSCNJ003_00092_SEQ_14<tab>","TEXT_CLSCNJ003_00092_SEQ_14<tab>","","False","0x0000000E","",""
"","TEXT_CLSCNJ003_00092_SEQ_15<tab>","TEXT_CLSCNJ003_00092_SEQ_15<tab>","","False","0x0000000F","",""
"","TEXT_CLSCNJ003_00092_SEQ_16<tab>","TEXT_CLSCNJ003_00092_SEQ_16<tab>","","False","0x00000010","",""
"","TEXT_CLSCNJ003_00092_SEQ_17<tab>","TEXT_CLSCNJ003_00092_SEQ_17<tab>","","False","0x00000011","",""
"","TEXT_CLSCNJ003_00092_SEQ_18<tab>","TEXT_CLSCNJ003_00092_SEQ_18<tab>","","False","0x00000012","",""
"","TEXT_CLSCNJ003_00092_SEQ_19<tab>","TEXT_CLSCNJ003_00092_SEQ_19<tab>","","False","0x00000013","",""
