"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_CLSLNC000_00023_SEQ_00<tab>Jillian wishes you to reaffirm your desire to join the Lancers' Guild.","TEXT_CLSLNC000_00023_SEQ_00<tab>Джиллиан желает, чтобы вы подтвердили свое намерение присоединиться к Гильдии копейщиков.","","False","0x00000000","",""
"","TEXT_CLSLNC000_00023_SEQ_01<tab>You have been referred to Ywain, the master of the Lancers' Guild. Seek him out in the rear chamber.","TEXT_CLSLNC000_00023_SEQ_01<tab>Вас отправили к Ивейну, старшему в Гильдии копейщиков. Ищите его в боковой комнате.","","False","0x00000001","",""
"","TEXT_CLSLNC000_00023_SEQ_02<tab>Having formally accepted you into the Lancers' Guild, Guildmaster Ywain instructs you to go forth and slay three squirrels, three ladybugs, and three funguars.","TEXT_CLSLNC000_00023_SEQ_02<tab>Чтобы быть официально принятым в Гильдию копейщиков, Мастер гильдии Ивейн отправляет вас убить трех белок, трех божьих коровок и трех грибниц.","","False","0x00000002","",""
"","TEXT_CLSLNC000_00023_SEQ_03<tab>You have succeeded in slaying the specified creatures. Report back to Ywain at the Lancers' Guild.","TEXT_CLSLNC000_00023_SEQ_03<tab>Вы успешно уничтожили указанных существ. Отчитайтесь Ивейну в Гильдию копейщиков.","","False","0x00000003","",""
"","TEXT_CLSLNC000_00023_SEQ_04<tab>According to Ywain, the true measure of a lancer is how well he can pierce his enemy's defenses. If you wish to become a lancer worthy of the name, you must spare no effort in your training. Taking these words to heart, you embark upon your chosen path.<br><br>※The next lancer quest will be available from Ywain upon reaching level 5.","TEXT_CLSLNC000_00023_SEQ_04<tab>По словам Ивейна, лишь тот копейщик считается хорошим, что способен пробить вражескую защиту. Если вы желаете стать достойным копьеносцем, не жалейте сил в тренировках. Приняв эти слова близко к сердцу, вы твердо решаете ступить на выбранный путь.<br><br>※Следующее задание копьеносца будет доступно у Ивейна по достижении 5 уровня.","","False","0x00000004","",""
"","TEXT_CLSLNC000_00023_SEQ_05<tab>","","","False","0x00000005","",""
"","TEXT_CLSLNC000_00023_SEQ_06<tab>","","","False","0x00000006","",""
"","TEXT_CLSLNC000_00023_SEQ_07<tab>","","","False","0x00000007","",""
"","TEXT_CLSLNC000_00023_SEQ_08<tab>","","","False","0x00000008","",""
"","TEXT_CLSLNC000_00023_SEQ_09<tab>","","","False","0x00000009","",""
"","TEXT_CLSLNC000_00023_SEQ_10<tab>","","","False","0x0000000A","",""
"","TEXT_CLSLNC000_00023_SEQ_11<tab>","","","False","0x0000000B","",""
"","TEXT_CLSLNC000_00023_SEQ_12<tab>","","","False","0x0000000C","",""
"","TEXT_CLSLNC000_00023_SEQ_13<tab>","","","False","0x0000000D","",""
"","TEXT_CLSLNC000_00023_SEQ_14<tab>","","","False","0x0000000E","",""
"","TEXT_CLSLNC000_00023_SEQ_15<tab>","","","False","0x0000000F","",""
"","TEXT_CLSLNC000_00023_SEQ_16<tab>","","","False","0x00000010","",""
"","TEXT_CLSLNC000_00023_SEQ_17<tab>","","","False","0x00000011","",""
"","TEXT_CLSLNC000_00023_SEQ_18<tab>","","","False","0x00000012","",""
"","TEXT_CLSLNC000_00023_SEQ_19<tab>","","","False","0x00000013","",""
"","TEXT_CLSLNC000_00023_SEQ_20<tab>","","","False","0x00000014","",""
"","TEXT_CLSLNC000_00023_SEQ_21<tab>","","","False","0x00000015","",""
"","TEXT_CLSLNC000_00023_SEQ_22<tab>","","","False","0x00000016","",""
"","TEXT_CLSLNC000_00023_SEQ_23<tab>","","","False","0x00000017","",""
"","TEXT_CLSLNC000_00023_TODO_00<tab>Speak with Ywain, the master of the Lancers' Guild.","TEXT_CLSLNC000_00023_TODO_00<tab>Поговорите с Ивейном, старшим лицом Гильдии копейщиков.","","False","0x00000018","",""
