"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_SUBFST022_00097_SEQ_00<tab>Eadbert needs someone to investigate the area surrounding the Hedgetree.","TEXT_SUBFST022_00097_SEQ_00<tab>ハーストミルの衛士イードバートは、冒険者に「境樹」の様子の確認を頼みたいようだ。","","False","0x00000000","",""
"","TEXT_SUBFST022_00097_SEQ_01<tab>Eadbert asks you to investigate reports of Ixal sightings near the Hedgetree, southeast of Hyrstmill. If any harm were to come to the sacred tree, it would be a terrible tragedy.","TEXT_SUBFST022_00097_SEQ_01<tab>イクサル族が境樹付近で度々目撃されているらしい。傷を付けられては困るというイードバート。ハーストミル南東の「境樹」の様子を調べに行こう。","","False","0x00000001","",""
"","TEXT_SUBFST022_00097_SEQ_02<tab>You are ambushed by an Ixal while investigating the Hedgetree. After a frenzied battle, you emerge victorious. Report back to Eadbert in Hyrstmill.","TEXT_SUBFST022_00097_SEQ_02<tab>潜伏していたイクサル族を倒した。「ハーストミル」で待つ「イードバート」に報告しに行こう。","","False","0x00000002","",""
"","TEXT_SUBFST022_00097_SEQ_03<tab>Eadbert tells you that the Ixal once lived in the Twelveswood, but were driven out long ago, having incurred the wrath of the elementals. This, he explains, is the source of the beastmen's resentment for the Gridanians who now call the Twelveswood home.","TEXT_SUBFST022_00097_SEQ_03<tab>かつて黒衣森に住んでいたイクサル族は、森への不敬がたたり、追放されたという。厄介なことに、彼らが森を追われた後に入植したグリダニアの民を逆恨みし、憎んでいるらしい。イードバートから、イクサル族を見かけたら気をつけろと忠告を受けた。","","False","0x00000003","",""
"","TEXT_SUBFST022_00097_SEQ_04<tab>","TEXT_SUBFST022_00097_SEQ_04<tab>","","False","0x00000004","",""
"","TEXT_SUBFST022_00097_SEQ_05<tab>","TEXT_SUBFST022_00097_SEQ_05<tab>","","False","0x00000005","",""
"","TEXT_SUBFST022_00097_SEQ_06<tab>","TEXT_SUBFST022_00097_SEQ_06<tab>","","False","0x00000006","",""
"","TEXT_SUBFST022_00097_SEQ_07<tab>","TEXT_SUBFST022_00097_SEQ_07<tab>","","False","0x00000007","",""
"","TEXT_SUBFST022_00097_SEQ_08<tab>","TEXT_SUBFST022_00097_SEQ_08<tab>","","False","0x00000008","",""
"","TEXT_SUBFST022_00097_SEQ_09<tab>","TEXT_SUBFST022_00097_SEQ_09<tab>","","False","0x00000009","",""
"","TEXT_SUBFST022_00097_SEQ_10<tab>","TEXT_SUBFST022_00097_SEQ_10<tab>","","False","0x0000000A","",""
"","TEXT_SUBFST022_00097_SEQ_11<tab>","TEXT_SUBFST022_00097_SEQ_11<tab>","","False","0x0000000B","",""
"","TEXT_SUBFST022_00097_SEQ_12<tab>","TEXT_SUBFST022_00097_SEQ_12<tab>","","False","0x0000000C","",""
"","TEXT_SUBFST022_00097_SEQ_13<tab>","TEXT_SUBFST022_00097_SEQ_13<tab>","","False","0x0000000D","",""
"","TEXT_SUBFST022_00097_SEQ_14<tab>","TEXT_SUBFST022_00097_SEQ_14<tab>","","False","0x0000000E","",""
"","TEXT_SUBFST022_00097_SEQ_15<tab>","TEXT_SUBFST022_00097_SEQ_15<tab>","","False","0x0000000F","",""
"","TEXT_SUBFST022_00097_SEQ_16<tab>","TEXT_SUBFST022_00097_SEQ_16<tab>","","False","0x00000010","",""
"","TEXT_SUBFST022_00097_SEQ_17<tab>","TEXT_SUBFST022_00097_SEQ_17<tab>","","False","0x00000011","",""
"","TEXT_SUBFST022_00097_SEQ_18<tab>","TEXT_SUBFST022_00097_SEQ_18<tab>","","False","0x00000012","",""
"","TEXT_SUBFST022_00097_SEQ_19<tab>","TEXT_SUBFST022_00097_SEQ_19<tab>","","False","0x00000013","",""
"","TEXT_SUBFST022_00097_SEQ_20<tab>","TEXT_SUBFST022_00097_SEQ_20<tab>","","False","0x00000014","",""
"","TEXT_SUBFST022_00097_SEQ_21<tab>","TEXT_SUBFST022_00097_SEQ_21<tab>","","False","0x00000015","",""
"","TEXT_SUBFST022_00097_SEQ_22<tab>","TEXT_SUBFST022_00097_SEQ_22<tab>","","False","0x00000016","",""
"","TEXT_SUBFST022_00097_SEQ_23<tab>","TEXT_SUBFST022_00097_SEQ_23<tab>","","False","0x00000017","",""
"","TEXT_SUBFST022_00097_TODO_00<tab>Investigate the Hedgetree.","TEXT_SUBFST022_00097_TODO_00<tab>境樹を調べる","","False","0x00000018","",""
