"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_SUBLAK002_00050_SEQ_00<tab>Yozan is in the mood for another adventure.","TEXT_SUBLAK002_00050_SEQ_00<tab>Yozan n'est pas satisfait par son escapade au camp dévasté.","","False","0x00000000","",""
"","TEXT_SUBLAK002_00050_SEQ_01<tab>It seems Yozan hoped your appearance would signal the start of a new quest. However, since you have not heard anything worth investigating, the boy bids all the Doman Adventurers' Guild spread out, and see what they can learn from the passing travelers. Rokka stops briefly to ask that you enjoin Rhesh Polaali to stay safe. See to it that the message is passed along.","TEXT_SUBLAK002_00050_SEQ_01<tab>Insatisfaits par leur escapade au camp dévasté, les enfants de Doma ont décidé d'aller interroger les aventuriers du hameau dans l'espoir de recueillir des in<var 16 /var>for<var 16 /var>ma<var 16 /var>tions croustillantes. Avant de partir, Rokka vous a demandé de transmettre un message à Rhesh Polaali. Trouvez la Miqo'te et parlez-lui.","","False","0x00000001","",""
"","TEXT_SUBLAK002_00050_SEQ_02<tab>Rhesh Polaali is thankful to learn that Rokka has received the earrings. However, the former Crystal Brave has heard worrying tidings. It seems a valuable grimoire was stolen from Rowena's establishment, and a witness saw four short people around the time of the crime. As such, the Adventurers' Guild suspects that the Doman children may have played a part in the theft. Unwilling to believe they had anything to do with it, Rhesh Polaali bids you intercede on their behalf with Slafborn.","TEXT_SUBLAK002_00050_SEQ_02<tab>Vous avez transmis le message à Rhesh, qui vous a parlé d'une sordide affaire de vol apparemment orchestrée par des enfants. Il semblerait que les soupçons des enquêteurs se portent sur Yozan et sa bande. Allez voir Slafborn et demandez-lui plus de ren<var 16 /var>sei<var 16 /var>gne<var 16 /var>ments.","","False","0x00000002","",""
"","TEXT_SUBLAK002_00050_SEQ_03<tab>Slafborn confirms what Rhesh Polaali has told you. The Adventurers' Guild is indeed investigating the children in relation to the theft. While Slafborn himself doubts they would be capable of such, the facts nevertheless do point in the Domans' direction. Knowing that you are a friend to the younglings, he asks that you speak with them on the guild's behalf. Locate the four children, and ascertain what they know.","TEXT_SUBLAK002_00050_SEQ_03<tab>Slafborn vous a expliqué qu'un grimoire de grande valeur avait été dérobé dans l'entrepôt de Rowena. D'après les premiers éléments de l'enquête, les suspects seraient passés par une conduite d'aération relativement étroite. Comme les enfants de Doma jouaient à proximité de la maison des splendeurs au même moment, les soupçons se sont im<var 16 /var>mé<var 16 /var>dia<var 16 /var>te<var 16 /var>ment portés sur eux. Retrouvez-les et interrogez-les avant que la rumeur ne se propage davantage.","","False","0x00000003","",""
"","TEXT_SUBLAK002_00050_SEQ_04<tab>After combing Revenant's Toll, you find and speak to the children, each of whom is shocked by the accusation. Return to the usual meeting place of the Doman Adventurers' Guild, and see how Yozan wishes to proceed.","TEXT_SUBLAK002_00050_SEQ_04<tab>Vous avez retrouvé les quatre enfants domiens et les avez questionnés. Comme vous vous en doutiez, ils ont tous nié leur implication et sont partis se rassembler derrière l'échoppe d'Auriana. Rendez-vous sur place et parlez à Yozan.","","False","0x00000004","",""
"","TEXT_SUBLAK002_00050_SEQ_05<tab>Yozan believes that the children ought to plead their case to Slafborn. However, as an adventurer he thinks they ought first find proof of their innocence. To do this, they must discover who the criminals are. Rokka supposes that they are Lalafells, and Koharu realizes she has seen a gang of four recently come to town. With this in mind, Yozan begins to plan. Speak with him again to get down to the nitty-gritty of the investigation.","TEXT_SUBLAK002_00050_SEQ_05<tab>Yozan et ses amis auraient pu se contenter de parler à Slafborn pour prouver leur innocence, mais au lieu de ça, ils ont décidé de retrouver la trace des voleurs. Koharu s'est souvenue avoir vu un groupe de quatre Lalafells arriver au Glas des revenants la veille de l'incident. De par leur taille et leur corpulence, il se pourrait très bien que ces derniers soient à l'origine du larcin...","","False","0x00000005","",""
"","TEXT_SUBLAK002_00050_SEQ_06<tab>","TEXT_SUBLAK002_00050_SEQ_06<tab>","","False","0x00000006","",""
"","TEXT_SUBLAK002_00050_SEQ_07<tab>","TEXT_SUBLAK002_00050_SEQ_07<tab>","","False","0x00000007","",""
"","TEXT_SUBLAK002_00050_SEQ_08<tab>","TEXT_SUBLAK002_00050_SEQ_08<tab>","","False","0x00000008","",""
"","TEXT_SUBLAK002_00050_SEQ_09<tab>","TEXT_SUBLAK002_00050_SEQ_09<tab>","","False","0x00000009","",""
