"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_CLSGLA050_00256_SEQ_00<tab>First Sword Mylla wishes to teach you the fundamentals of the gladiatorial arts.","TEXT_CLSGLA050_00256_SEQ_00<tab>Mylla désire vous expliquer le rôle des gladiateurs.","","False","0x00000000","",""
"","TEXT_CLSGLA050_00256_SEQ_01<tab>A gladiator must be capable of commanding an opponent's attention at will. To help you better understand this concept, Mylla has bid you seek out Lominsan marauders harassing people outside the Quicksand. Once located, tell them to face /me and show them that their disruptive behavior will not be tolerated.","TEXT_CLSGLA050_00256_SEQ_01<tab>Mylla vous a appris qu'un gladiateur devait savoir concentrer l'inimitié de ses ennemis sur lui. Elle vous a proposé de vous exercer en allant attirer <var 1A 02 /var>sur vous<var 1A 01 /var> l'attention des maraudeurs qui se trouvent devant Les Sables mouvants.","","False","0x00000001","",""
"","TEXT_CLSGLA050_00256_SEQ_02<tab>The mere sight of you sends the marauders packing. Enter the Quicksand and deal with any belligerents that remain.","TEXT_CLSGLA050_00256_SEQ_02<tab>Vous avez réussi à chasser les maraudeurs qui causaient des ennuis en ville. Allez attirer l'attention de celui qui s'en prend à une serveuse à l'intérieur des Sables mouvants.","","False","0x00000002","",""
"","TEXT_CLSGLA050_00256_SEQ_03<tab>Your attempt to intimidate Pfarmurl the Driven nearly ends in disaster until a man named Aldis intervenes, causing the marauder to flee in terror. Speak with Momodi and inform her that all the Lominsans are gone.","TEXT_CLSGLA050_00256_SEQ_03<tab>Avec l'aide d'un étrange homme répondant au nom d'Aldis, vous avez réussi à éconduire le chef des maraudeurs hors des Sables mouvants. Allez vous assurer auprès de Momodi que tout va bien.","","False","0x00000003","",""
"","TEXT_CLSGLA050_00256_SEQ_04<tab>Momodi is grateful for the help you and Aldis provided. However, before you depart, she asks that you not speak of Aldis to Mylla. Return to the Gladiators' Guild and tell the guildmaster that the task is complete.","TEXT_CLSGLA050_00256_SEQ_04<tab>Momodi vous a révélé être surprise de voir Aldis alors qu'elle le pensait mort, et vous a conseillé de ne pas parler de lui à Mylla. Retournez à la guilde des gladiateurs, dire à cette dernière que tout est rentré dans l'ordre aux Sables mouvants.","","False","0x00000004","",""
"","TEXT_CLSGLA050_00256_SEQ_05<tab>Mylla informs you that the Lominsan marauders have begun terrorizing merchants outside Scorpion Crossing in western Thanalan. Speak with any victim you can find so that you may track down Pfarmurl's gang and bring them to justice.","TEXT_CLSGLA050_00256_SEQ_05<tab>Mylla vous a appris que les maraudeurs que vous avez chassés des Sables mouvants étaient en train de causer des ennuis au rond-point des Scorpions. Elle vous a demandé d'aller là-bas pour interroger les gens qui ont eu affaire à ces marins violents.","","False","0x00000005","",""
"","TEXT_CLSGLA050_00256_SEQ_06<tab>The Bloody Marauders may be the ones behind a recent assault on a traveling merchant. Search for the merchant's goods outside Scorpion Crossing and confront the Lominsans if they are still in the area.","TEXT_CLSGLA050_00256_SEQ_06<tab>Un marchand vous a expliqué que son chocobo s'était affolé et a laissé tomber sa cargaison lorsque les maraudeurs l'ont attaqué. Inspectez cette marchandise et abattez les maraudeurs qui viendront vous assaillir.","","False","0x00000006","",""
"","TEXT_CLSGLA050_00256_SEQ_07<tab>You recover the merchant's goods and ensure that the Bloody Marauders will terrorize the people of Thanalan no more. Return the stolen goods to their rightful owner.","TEXT_CLSGLA050_00256_SEQ_07<tab>Vous avez vaincu les maraudeurs. Allez rapporter sa marchandise au marchand et rassurez-le au sujet des brigands qui l'avaient agressé.","","False","0x00000007","",""
"","TEXT_CLSGLA050_00256_SEQ_08<tab>The merchant is overjoyed to receive his stolen merchandise. Return to the guild and report to Mylla.","TEXT_CLSGLA050_00256_SEQ_08<tab>Le marchand vous a exprimé sa recon<var 16 /var>nais<var 16 /var>san<var 16 /var>ce pour votre in<var 16 /var>ter<var 16 /var>ven<var 16 /var>tion. Retournez à la guilde des gladiateurs faire un rapport à Mylla sur ces événements.","","False","0x00000008","",""
"","TEXT_CLSGLA050_00256_SEQ_09<tab>Mylla is pleased to hear of your accomplishments. She reminds you that by mastering the sword, you master yourself. Duly advised, you return to your training.<br><br>※The next gladiator quest will be available from Mylla upon reaching level 10.","TEXT_CLSGLA050_00256_SEQ_09<tab>Mylla s'est réjouie du courage dont vous avez fait preuve pour résoudre cette affaire et compte sur vous pour poursuivre votre en<var 16 /var>traî<var 16 /var>ne<var 16 /var>ment de gladiat<var 08 E905 ((rice)) ((eur)) /var>, vous promettant de vous soumettre à une nouvelle épreuve lorsque vous aurez fait davantage de progrès.<br>* Mylla propose la prochaine quête aux gladiateurs de niveau 10.","","False","0x00000009","",""
"","TEXT_CLSGLA050_00256_SEQ_10<tab>","TEXT_CLSGLA050_00256_SEQ_10<tab>","","False","0x0000000A","",""
"","TEXT_CLSGLA050_00256_SEQ_11<tab>","TEXT_CLSGLA050_00256_SEQ_11<tab>","","False","0x0000000B","",""
"","TEXT_CLSGLA050_00256_SEQ_12<tab>","TEXT_CLSGLA050_00256_SEQ_12<tab>","","False","0x0000000C","",""
"","TEXT_CLSGLA050_00256_SEQ_13<tab>","TEXT_CLSGLA050_00256_SEQ_13<tab>","","False","0x0000000D","",""
"","TEXT_CLSGLA050_00256_SEQ_14<tab>","TEXT_CLSGLA050_00256_SEQ_14<tab>","","False","0x0000000E","",""
"","TEXT_CLSGLA050_00256_SEQ_15<tab>","TEXT_CLSGLA050_00256_SEQ_15<tab>","","False","0x0000000F","",""
"","TEXT_CLSGLA050_00256_SEQ_16<tab>","TEXT_CLSGLA050_00256_SEQ_16<tab>","","False","0x00000010","",""
"","TEXT_CLSGLA050_00256_SEQ_17<tab>","TEXT_CLSGLA050_00256_SEQ_17<tab>","","False","0x00000011","",""
"","TEXT_CLSGLA050_00256_SEQ_18<tab>","TEXT_CLSGLA050_00256_SEQ_18<tab>","","False","0x00000012","",""
"","TEXT_CLSGLA050_00256_SEQ_19<tab>","TEXT_CLSGLA050_00256_SEQ_19<tab>","","False","0x00000013","",""
"","TEXT_CLSGLA050_00256_SEQ_20<tab>","TEXT_CLSGLA050_00256_SEQ_20<tab>","","False","0x00000014","",""
"","TEXT_CLSGLA050_00256_SEQ_21<tab>","TEXT_CLSGLA050_00256_SEQ_21<tab>","","False","0x00000015","",""
"","TEXT_CLSGLA050_00256_SEQ_22<tab>","TEXT_CLSGLA050_00256_SEQ_22<tab>","","False","0x00000016","",""
"","TEXT_CLSGLA050_00256_SEQ_23<tab>","TEXT_CLSGLA050_00256_SEQ_23<tab>","","False","0x00000017","",""
"","TEXT_CLSGLA050_00256_TODO_00<tab>Tell the marauders outside the Quicksand to face /me.","TEXT_CLSGLA050_00256_TODO_00<tab>Faire <var 1A 02 /var>/moi<var 1A 01 /var> aux maraudeurs, devant Les Sables mouvants","","False","0x00000018","",""
"","TEXT_CLSGLA050_00256_TODO_01<tab>Tell the marauder inside the Quicksand to face /me.","TEXT_CLSGLA050_00256_TODO_01<tab>Faire <var 1A 02 /var>/moi<var 1A 01 /var> au maraudeur, aux Sables mouvants","","False","0x00000019","",""
"","TEXT_CLSGLA050_00256_TODO_02<tab>Speak with Momodi.","TEXT_CLSGLA050_00256_TODO_02<tab>Parler à Momodi","","False","0x0000001A","",""
"","TEXT_CLSGLA050_00256_TODO_03<tab>Report to Mylla.","TEXT_CLSGLA050_00256_TODO_03<tab>Faire un rapport à Mylla","","False","0x0000001B","",""
"","TEXT_CLSGLA050_00256_TODO_04<tab>Search for witnesses at Scorpion Crossing.","TEXT_CLSGLA050_00256_TODO_04<tab>Parler au marchand apeuré au rond-point des Scorpions","","False","0x0000001C","",""
"","TEXT_CLSGLA050_00256_TODO_05<tab>Recover the merchant's goods.","TEXT_CLSGLA050_00256_TODO_05<tab>Examiner les mar<var 16 /var>chan<var 16 /var>di<var 16 /var>ses et vaincre les maraudeurs","","False","0x0000001D","",""
"","TEXT_CLSGLA050_00256_TODO_06<tab>Return the goods to the merchant.","TEXT_CLSGLA050_00256_TODO_06<tab>Rapporter sa marchandise au marchand apeuré","","False","0x0000001E","",""
"","TEXT_CLSGLA050_00256_TODO_07<tab>Report to Mylla.","TEXT_CLSGLA050_00256_TODO_07<tab>Faire un rapport à Mylla","","False","0x0000001F","",""
"","TEXT_CLSGLA050_00256_TODO_08<tab>","TEXT_CLSGLA050_00256_TODO_08<tab>","","False","0x00000020","",""
"","TEXT_CLSGLA050_00256_TODO_09<tab>","TEXT_CLSGLA050_00256_TODO_09<tab>","","False","0x00000021","",""
"","TEXT_CLSGLA050_00256_TODO_10<tab>","TEXT_CLSGLA050_00256_TODO_10<tab>","","False","0x00000022","",""
"","TEXT_CLSGLA050_00256_TODO_11<tab>","TEXT_CLSGLA050_00256_TODO_11<tab>","","False","0x00000023","",""
"","TEXT_CLSGLA050_00256_TODO_12<tab>","TEXT_CLSGLA050_00256_TODO_12<tab>","","False","0x00000024","",""
"","TEXT_CLSGLA050_00256_TODO_13<tab>","TEXT_CLSGLA050_00256_TODO_13<tab>","","False","0x00000025","",""
"","TEXT_CLSGLA050_00256_TODO_14<tab>","TEXT_CLSGLA050_00256_TODO_14<tab>","","False","0x00000026","",""
"","TEXT_CLSGLA050_00256_TODO_15<tab>","TEXT_CLSGLA050_00256_TODO_15<tab>","","False","0x00000027","",""
"","TEXT_CLSGLA050_00256_TODO_16<tab>","TEXT_CLSGLA050_00256_TODO_16<tab>","","False","0x00000028","",""
"","TEXT_CLSGLA050_00256_TODO_17<tab>","TEXT_CLSGLA050_00256_TODO_17<tab>","","False","0x00000029","",""
"","TEXT_CLSGLA050_00256_TODO_18<tab>","TEXT_CLSGLA050_00256_TODO_18<tab>","","False","0x0000002A","",""
"","TEXT_CLSGLA050_00256_TODO_19<tab>","TEXT_CLSGLA050_00256_TODO_19<tab>","","False","0x0000002B","",""
"","TEXT_CLSGLA050_00256_TODO_20<tab>","TEXT_CLSGLA050_00256_TODO_20<tab>","","False","0x0000002C","",""
"","TEXT_CLSGLA050_00256_TODO_21<tab>","TEXT_CLSGLA050_00256_TODO_21<tab>","","False","0x0000002D","",""
"","TEXT_CLSGLA050_00256_TODO_22<tab>","TEXT_CLSGLA050_00256_TODO_22<tab>","","False","0x0000002E","",""
"","TEXT_CLSGLA050_00256_TODO_23<tab>","TEXT_CLSGLA050_00256_TODO_23<tab>","","False","0x0000002F","",""
"","TEXT_CLSGLA050_00256_MYLLA_000_1<tab>Ah, <var 2C ((<var 29 EB02 /var>)) (( )) 02 /var>. I take it you and your sword have become better acquainted. Then I will now instruct you on another fundamental aspect of what it means to be a gladiator: commanding an opponent's attention.","TEXT_CLSGLA050_00256_MYLLA_000_1<tab>Salut <var 2C ((<var 29 EB02 /var>)) (( )) 02 /var>. Je suis contente de te revoir. On dirait bien que tu t'habitues rapidement au maniement de l'épée.","","False","0x00000030","",""
"","TEXT_CLSGLA050_00256_MYLLA_000_2<tab>As gladiators, we are trained to engage enemies at close range, weathering their attacks as we deliver our own. However, there are times when we must do battle alongside allies whose talents are not the same as our own.","TEXT_CLSGLA050_00256_MYLLA_000_2<tab>Dis-moi, t'a-t-on déjà expliqué en quoi consistait l'inimitié<var 1D /var>? Comme tu le sais, tes ennemis contre-attaquent lorsque tu les assailles. Eh bien, l'inimitié, c'est justement cette agressivité qu'ils montrent à ton égard.","","False","0x00000031","",""
"","TEXT_CLSGLA050_00256_MYLLA_000_3<tab>In such a situation, your role is <var 1A 02 /var>not<var 1A 01 /var> to slay the enemy in front of you, but rather to defend the man beside you.","TEXT_CLSGLA050_00256_MYLLA_000_3<tab>Le plus grand rôle pour un gladiateur lors d'un combat, c'est de concentrer la haine de ses adversaires sur lui. Cela implique également celle générée par ses compagnons.","","False","0x00000032","",""
"","TEXT_CLSGLA050_00256_MYLLA_000_4<tab>We do this by eliciting the enmity of our opponents through attacks and techniques designed to incite their hatred.","TEXT_CLSGLA050_00256_MYLLA_000_4<tab>Grâce à cela, il est possible de secourir des camarades plus faibles que soi en encaissant les attaques ennemies à leur place. En d'autres termes, c'est un peu agir comme un bouclier humain.","","False","0x00000033","",""
"","TEXT_CLSGLA050_00256_MYLLA_000_5<tab>You must learn to draw the enemy's attention to yourself and to trust in your stout constitution to endure. In so doing, you protect your weaker comrades who would otherwise perish.","TEXT_CLSGLA050_00256_MYLLA_000_5<tab>Ce que je veux que tu comprennes, c'est que nous gladiateurs ne devons pas juste vaincre nos ennemis, mais aussi protéger nos compagnons de leurs attaques. C'est notre raison d'être.","","False","0x00000034","",""
"","TEXT_CLSGLA050_00256_MYLLA_000_6<tab>To help you better understand this, there is a task I would have you perform. It just so happens that Momodi of the Quicksand has requested our assistance─a gang of Lominsan marauders has paraded into town and begun harassing people outside her establishment.","TEXT_CLSGLA050_00256_MYLLA_000_6<tab>J'ai justement quelque chose qui devrait te permettre de t'exercer. Momodi m'a fait savoir qu'un groupe de maraudeurs venus d'en dehors d'Ul'dah est en train de provoquer un esclandre aux Sables mouvants.","","False","0x00000035","",""
"","TEXT_CLSGLA050_00256_MYLLA_000_7<tab>Men like these prey on the weak, but will turn tail and flee at the first sign of defiance. You need not resort to violence─it will suffice to show them that you are not afraid of them, and will not tolerate their behavior.","TEXT_CLSGLA050_00256_MYLLA_000_7<tab>Je veux que tu ailles là-bas et chasses ces fauteurs de troubles. Fais-leur signe que <var 1A 02 /var>tu<var 1A 01 /var> es là pour t'occuper d'eux, et donc concentrer leur inimitié sur toi.","","False","0x00000036","",""
"","TEXT_CLSGLA050_00256_MYLLA_000_8<tab>Seek out the Lominsans and make your presence known by bellowing, “Face <var 48 F201F4 /var><var 49 F201F5 /var>me<var 49 01 /var><var 48 01 /var>, marauder!” In this way, you will protect the people of Ul'dah, as you would your allies in battle.","TEXT_CLSGLA050_00256_MYLLA_000_8<tab>Une fois que ça sera fait, tu devras en informer Momodi. Allez, en route mauvaise troupe<var 1D /var>!","","False","0x00000037","",""
