"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_CLSGLA100_00261_SEQ_00<tab>First Sword Mylla requires your immediate assistance with a dangerous matter.","TEXT_CLSGLA100_00261_SEQ_00<tab>剣術士ギルドのミラは、冒険者に槍術士討伐の試練を与えたいようだ。","","False","0x00000000","",""
"","TEXT_CLSGLA100_00261_SEQ_01<tab>A band of lancers has been slaying Hyuran men bearing swords. Mylla bids you go to Stonesthrow and investigate reports of suspicious foreigners in the area.","TEXT_CLSGLA100_00261_SEQ_01<tab>槍術士の集団が、剣術士ばかりを襲う事件が多発している。「ストーンズスロー貧民窟」で「弱気な剣術士」を助けよう。","","False","0x00000001","",""
"","TEXT_CLSGLA100_00261_SEQ_02<tab>Arriving at Stonesthrow, you are ambushed by two Duskwight freelancers, but succeed in vanquishing them both. Speak with the gutless gladiator and ascertain that he is unharmed.","TEXT_CLSGLA100_00261_SEQ_02<tab>槍術士を倒した。「弱気な剣術士」に話しかけて無事を確認しよう。","","False","0x00000002","",""
"","TEXT_CLSGLA100_00261_SEQ_03<tab>You learn that the freelancers were searching for a man named Aldis. Return to Mylla and inform her of the lancers' demise.","TEXT_CLSGLA100_00261_SEQ_03<tab>弱気な剣術士に怪我はなかったようだ。「剣術士ギルド」に戻り、「ミラ」に報告しよう。","","False","0x00000003","",""
"","TEXT_CLSGLA100_00261_SEQ_04<tab>Before you can celebrate your victory, a fellow gladiator named Bruce bursts into the guild and reports that the remaining freelancers are hiding in the tunnel south of Black Brush Station. Mylla bids you and Bruce make a foray into the tunnel and deal with the remaining lancers.","TEXT_CLSGLA100_00261_SEQ_04<tab>剣術士を襲っていた槍術士はシェーダー族の傭兵団だったらしい。そこに彼らの別働隊が「ブラックブラッシュ停留所」の南にある鉄道トンネルで暴れているとの報告が入った。先輩剣術士「ブルース」とともに向かい、「シェーダー族の傭兵団」を倒そう。","","False","0x00000004","",""
"","TEXT_CLSGLA100_00261_SEQ_05<tab>Though your foes were many, they were no match for your excellent swordsmanship. Speak with Bruce and see that he is unharmed.","TEXT_CLSGLA100_00261_SEQ_05<tab>無事、傭兵団を討伐できた。彼らは「アルディス」という名前の剣術士を狙っていたようだ。ギルドに戻る前に一度「ブルース」と話そう。","","False","0x00000005","",""
"","TEXT_CLSGLA100_00261_SEQ_06<tab>With the job complete, Bruce takes his leave back to Ul'dah and a celebratory pint. Return to the Gladiators' Guild and report your success to Mylla.","TEXT_CLSGLA100_00261_SEQ_06<tab>冒険者の活躍により事件は解決した。「剣術士ギルド」に戻り「ミラ」に報告しよう。","","False","0x00000006","",""
"","TEXT_CLSGLA100_00261_SEQ_07<tab>Impressed by your growth as a gladiator, Mylla grants you leave to join other guilds─though she expects you to maintain your skills as a gladiator. Before you part ways, she questions you as to the motives of the freelancers. Alas, she is unsatisfied with your response.<br><br>※The next gladiator quest will be available from Mylla upon reaching level 15.","TEXT_CLSGLA100_00261_SEQ_07<tab>ミラに報告することができた。彼女は、傭兵団が狙っていたと思われる賞金首の剣術士が気になるようだ……。<br><br>※剣術士のレベルが15以上になると、ミラから次の剣術士クエストを受注することができます。","","False","0x00000007","",""
"","TEXT_CLSGLA100_00261_SEQ_08<tab>","TEXT_CLSGLA100_00261_SEQ_08<tab>","","False","0x00000008","",""
"","TEXT_CLSGLA100_00261_SEQ_09<tab>","TEXT_CLSGLA100_00261_SEQ_09<tab>","","False","0x00000009","",""
"","TEXT_CLSGLA100_00261_SEQ_10<tab>","TEXT_CLSGLA100_00261_SEQ_10<tab>","","False","0x0000000A","",""
"","TEXT_CLSGLA100_00261_SEQ_11<tab>","TEXT_CLSGLA100_00261_SEQ_11<tab>","","False","0x0000000B","",""
"","TEXT_CLSGLA100_00261_SEQ_12<tab>","TEXT_CLSGLA100_00261_SEQ_12<tab>","","False","0x0000000C","",""
"","TEXT_CLSGLA100_00261_SEQ_13<tab>","TEXT_CLSGLA100_00261_SEQ_13<tab>","","False","0x0000000D","",""
"","TEXT_CLSGLA100_00261_SEQ_14<tab>","TEXT_CLSGLA100_00261_SEQ_14<tab>","","False","0x0000000E","",""
"","TEXT_CLSGLA100_00261_SEQ_15<tab>","TEXT_CLSGLA100_00261_SEQ_15<tab>","","False","0x0000000F","",""
"","TEXT_CLSGLA100_00261_SEQ_16<tab>","TEXT_CLSGLA100_00261_SEQ_16<tab>","","False","0x00000010","",""
"","TEXT_CLSGLA100_00261_SEQ_17<tab>","TEXT_CLSGLA100_00261_SEQ_17<tab>","","False","0x00000011","",""
"","TEXT_CLSGLA100_00261_SEQ_18<tab>","TEXT_CLSGLA100_00261_SEQ_18<tab>","","False","0x00000012","",""
"","TEXT_CLSGLA100_00261_SEQ_19<tab>","TEXT_CLSGLA100_00261_SEQ_19<tab>","","False","0x00000013","",""
"","TEXT_CLSGLA100_00261_SEQ_20<tab>","TEXT_CLSGLA100_00261_SEQ_20<tab>","","False","0x00000014","",""
"","TEXT_CLSGLA100_00261_SEQ_21<tab>","TEXT_CLSGLA100_00261_SEQ_21<tab>","","False","0x00000015","",""
"","TEXT_CLSGLA100_00261_SEQ_22<tab>","TEXT_CLSGLA100_00261_SEQ_22<tab>","","False","0x00000016","",""
"","TEXT_CLSGLA100_00261_SEQ_23<tab>","TEXT_CLSGLA100_00261_SEQ_23<tab>","","False","0x00000017","",""
"","TEXT_CLSGLA100_00261_TODO_00<tab>Search for the freelancers in Stonesthrow.","TEXT_CLSGLA100_00261_TODO_00<tab>弱気な剣術士と話し、槍術士と戦う","","False","0x00000018","",""
"","TEXT_CLSGLA100_00261_TODO_01<tab>Speak with the gutless gladiator.","TEXT_CLSGLA100_00261_TODO_01<tab>弱気な剣術士と話す","","False","0x00000019","",""
"","TEXT_CLSGLA100_00261_TODO_02<tab>Report to Mylla.","TEXT_CLSGLA100_00261_TODO_02<tab>剣術士ギルドのミラに報告","","False","0x0000001A","",""
"","TEXT_CLSGLA100_00261_TODO_03<tab>Wait in ambush for the freelancers.","TEXT_CLSGLA100_00261_TODO_03<tab>鉄道トンネルにある指定地点で待機する","","False","0x0000001B","",""
