"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_MANFST208_00272_SEQ_00<tab>Minfilia would like you to meet a distinguished individual.","TEXT_MANFST208_00272_SEQ_00<tab>Minfilia will dir jemanden vorstellen.","","False","0x00000000","",""
"","TEXT_MANFST208_00272_SEQ_01<tab>Minfilia would like you to meet a goblin scholar named Mutamix, who she claims is responsible for introducing a revolutionary method of enhancing gear to Eorzea. Make your way to the goblin's encampment at the Bonfire in central Thanalan, and present Minfilia's dagger to him.","TEXT_MANFST208_00272_SEQ_01<tab>Minfilia hat dir vorgeschlagen, den findigen Goblin Mutagenix aufzusuchen, der einen Weg zur Verstärkung von Waffen und Aus<var 16 /var>rüstungs<var 16 /var>gegen<var 16 /var>ständen gefunden hat und noch dazu bereit ist, dieses Wissen mit Interessierten zu teilen. Such Mutagenix am Feuerhügel und übergib ihm Minfilias Dolch.","","False","0x00000001","",""
"","TEXT_MANFST208_00272_SEQ_02<tab>Arriving at the Bonfire, you are treated to a zany display by Mutamix and his students. Upon learning your identity, the knowledgeable goblin proceeds to teach you the basics of materia, a type of crystal which can be melded to items to enhance their properties. Assuming you understood correctly, only experienced Disciples of the Hand are capable of attaching these crystals. Take yourself back to the Waking Sands, and present Minfilia with her freshly enhanced dagger.","TEXT_MANFST208_00272_SEQ_02<tab>Du konntest trotz Mutagenix' eigenartiger Ausdrucksweise einiges über die Kunst des Materia-Einsetzens lernen. Wenn du mehr Erfahrung als Handwerker hast, kannst du dich auch selbst daran versuchen, Materia an verschiedenen Gegenständen anzubringen. Kehr in den Sonnenwind zurück und bring Minfilia ihren mit Materia aufgewerteten Dolch. ","","False","0x00000002","",""
"","TEXT_MANFST208_00272_SEQ_03<tab>Minfilia impresses upon you the importance of being well equipped for battle, and encourages you to use materia to maximize the effectiveness of your gear. Keep her words in mind when preparing for the missions ahead.","TEXT_MANFST208_00272_SEQ_03<tab>Minfilia weist dich darauf hin, wie wichtig es ist, passende und stabile Ausrüstung zu haben, um den Heraus<var 16 /var>forde<var 16 /var>rungen des Abenteurerlebens gewachsen zu sein. Wende die Techniken an, die du von Mutagenix gelernt hast, und bereite dich gut auf die kommenden Schlachten vor.","","False","0x00000003","",""
"","TEXT_MANFST208_00272_SEQ_04<tab>","TEXT_MANFST208_00272_SEQ_04<tab>","","False","0x00000004","",""
"","TEXT_MANFST208_00272_SEQ_05<tab>","TEXT_MANFST208_00272_SEQ_05<tab>","","False","0x00000005","",""
"","TEXT_MANFST208_00272_SEQ_06<tab>","TEXT_MANFST208_00272_SEQ_06<tab>","","False","0x00000006","",""
"","TEXT_MANFST208_00272_SEQ_07<tab>","TEXT_MANFST208_00272_SEQ_07<tab>","","False","0x00000007","",""
"","TEXT_MANFST208_00272_SEQ_08<tab>","TEXT_MANFST208_00272_SEQ_08<tab>","","False","0x00000008","",""
"","TEXT_MANFST208_00272_SEQ_09<tab>","TEXT_MANFST208_00272_SEQ_09<tab>","","False","0x00000009","",""
"","TEXT_MANFST208_00272_SEQ_10<tab>","TEXT_MANFST208_00272_SEQ_10<tab>","","False","0x0000000A","",""
"","TEXT_MANFST208_00272_SEQ_11<tab>","TEXT_MANFST208_00272_SEQ_11<tab>","","False","0x0000000B","",""
"","TEXT_MANFST208_00272_SEQ_12<tab>","TEXT_MANFST208_00272_SEQ_12<tab>","","False","0x0000000C","",""
"","TEXT_MANFST208_00272_SEQ_13<tab>","TEXT_MANFST208_00272_SEQ_13<tab>","","False","0x0000000D","",""
