"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_CLSEXC250_00318_SEQ_00<tab>Axemaster Wyrnzoen wishes to set for you a trial that will hone your strength and skill to ever greater heights.","TEXT_CLSEXC250_00318_SEQ_00<tab>Ein nachdenklich aussehender Gildenmeister Wyrnzoen hat eine neue Aufgabe für dich.","","False","0x00000000","",""
"","TEXT_CLSEXC250_00318_SEQ_01<tab>After your eye-opening encounter with the pack jackals, the axemaster deems that, without further training, your chances against Kujata remain slim. He has thus devised a new trial, designed to unleash your deepest reserves of destructive power. Head to the Bismarck and speak with Solkwyb to learn what you must do.","TEXT_CLSEXC250_00318_SEQ_01<tab>Wyrnzoen ist der Meinung, dass du noch ein bisschen trainieren musst, um Kujata zu besiegen. Oder besser: um überhaupt bis zu ihm vordringen zu können. Deshalb hat sich Wyrnzoen etwas ganz Spezielles für dich ausgedacht. Sprich im Restaurant Bismarck mit Solkwyb, die dir Genaueres erklären wird. Und vergiss nicht: Alle zählen auf dich!","","False","0x00000001","",""
"","TEXT_CLSEXC250_00318_SEQ_02<tab>It appears that Solkwyb will once again accompany you during your training. Prepare yourself for what promises to be a grueling trial before seeking out the conjurer on the Salt Strand in lower La Noscea.","TEXT_CLSEXC250_00318_SEQ_02<tab>Solkwyb versucht, den auf dir lastenden Druck etwas zu mildern. Ob es ihr gelungen ist, weißt nur du selbst. Das Spe<var 16 /var>zial<var 16 /var>training findet jedenfalls am Salzstrand im unteren La Noscea statt. Begib dich dorthin und spreche erneut mit Solkwyb. ","","False","0x00000002","",""
"","TEXT_CLSEXC250_00318_SEQ_03<tab>At first, your trial seems absurdly simple. But even as you defeat the first wave of adversaries in the shadow of the Salt Strand's ominous formations, you next find yourself attacked by an eerily familiar group of masked men. After swinging your axe with grim determination, you eventually triumph over the “mysterious” warriors, and they quit the field in deference to your superior skill. Return to the Marauders' Guild and report this turn of events to Axemaster Wyrnzoen.","TEXT_CLSEXC250_00318_SEQ_03<tab>Als du am Salzstrand mit dem Spe<var 16 /var>zial<var 16 /var>training beginnst, werden Solkwyb und du plötzlich von einer Gruppe maskierter Männer angegriffen. Nachdem alle besiegt sind, ziehen sie einfach wieder ab. Geh zurück zur Gilde der Marodeure und erstatte Wyrnzoen Bericht. Er wartet sicherlich schon gespannt auf die Neuigkeiten.","","False","0x00000003","",""
"","TEXT_CLSEXC250_00318_SEQ_04<tab>Setting the matter of strange masked men aside, Wyrnzoen instead focuses on praising your display of unrivaled power. You are now recognized as the exemplar of marauder strength, and the entire guild stands ready to support you in your quest to slay the monstrous Kujata. Keep your axe blade keen and your skills sharp as you await the next sighting of the murderous aurochs. The time has come for the beast to die.<br><br>※The next marauder quest will be available from Wyrnzoen upon reaching level 30.","TEXT_CLSEXC250_00318_SEQ_04<tab>Wyrnzoen scheint es nicht eilig zu haben, die maskierten Männer ausfindig zu machen, was sonst gar nicht sein Stil ist. Stattdessen lobt er deine Stärke und ist sich nun auch sicher, dass du für einen Kampf mit Kujata gewappnet bist. Trainiere weiter fleißig bis zur entscheidenden Schlacht mit diesem Monster, das sicherlich bald wieder irgendwo seine hässliche Fratze zeigen wird.<br><br>※ Sobald du als Marodeur<var 08 E905 ((in)) (()) /var> Stufe 30 erreicht hast, kannst du von Wyrnzoen den nächsten Auftrag annehmen.","","False","0x00000004","",""
"","TEXT_CLSEXC250_00318_SEQ_05<tab>","TEXT_CLSEXC250_00318_SEQ_05<tab>","","False","0x00000005","",""
"","TEXT_CLSEXC250_00318_SEQ_06<tab>","TEXT_CLSEXC250_00318_SEQ_06<tab>","","False","0x00000006","",""
"","TEXT_CLSEXC250_00318_SEQ_07<tab>","TEXT_CLSEXC250_00318_SEQ_07<tab>","","False","0x00000007","",""
"","TEXT_CLSEXC250_00318_SEQ_08<tab>","TEXT_CLSEXC250_00318_SEQ_08<tab>","","False","0x00000008","",""
"","TEXT_CLSEXC250_00318_SEQ_09<tab>","TEXT_CLSEXC250_00318_SEQ_09<tab>","","False","0x00000009","",""
