"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_CLSTHM250_00352_SEQ_00<tab>Guildmaster Cocobygo wishes to enlist your assistance.","TEXT_CLSTHM250_00352_SEQ_00<tab>Cocobygo würde gerne etwas mit dir bereden.","","False","0x00000000","",""
"","TEXT_CLSTHM250_00352_SEQ_01<tab>Cocobygo is disturbed by his eldest sibling's uncharacteristic indecision. Speak with Cocobuki, and see what might be done to aid the hesitant thaumaturge in taking a definitive course of action.","TEXT_CLSTHM250_00352_SEQ_01<tab>Cocobuki verhält sich seltsam still in letzter Zeit. Frage ihn, was er auf dem Herzen hat.","","False","0x00000001","",""
"","TEXT_CLSTHM250_00352_SEQ_02<tab>The scholars who originally requested the destruction of Mormo's urn have returned from their expedition into the ruins of Sil'dih. Seek out the three voidmaths in Camp Drybone, and ask for their chapters of the <var 1A 02 /var>Book of Mormo<var 1A 01 /var>.","TEXT_CLSTHM250_00352_SEQ_02<tab>Die Geisterforscher, die um die Zerstörung der Urne gebeten hatten, sollen sich in Camp Knochenbleich aufhalten. Statte ihnen einen Besuch ab und hole Informationen über Mormo ein.","","False","0x00000002","",""
"","TEXT_CLSTHM250_00352_SEQ_03<tab>You have collected the three chapters of the <var 1A 02 /var>Book of Mormo<var 1A 01 /var>. Deliver the completed tome to Cocobuki at the Thaumaturges' Guild.","TEXT_CLSTHM250_00352_SEQ_03<tab>Du hast von den Forschern drei Abhandlungen über Mormo erhalten. Lege sie Cocobuki in der Thaumaturgengilde zur Ansicht vor.","","False","0x00000003","",""
"","TEXT_CLSTHM250_00352_SEQ_04<tab>Upon handing the <var 1A 02 /var>Book of Mormo<var 1A 01 /var> to Cocobuki, he reads several key excerpts to you out loud. The scholars' work seems to have given him an idea on how to handle his voidsent-possessed brother. Returning the book back to you, Cocobuki requests you show its contents to Cocobygo.","TEXT_CLSTHM250_00352_SEQ_04<tab>Cocobuki wünscht sich, dass sein Bruder Cocobygo ebenfalls erfährt, was die Forscher über Mormo herausgefunden haben. Zeige Cocobygo die Aufsätze.","","False","0x00000004","",""
"","TEXT_CLSTHM250_00352_SEQ_05<tab>Cocobuki bids you undertake the trial depicted in the true final chapter of the <var 1A 02 /var>Yawning Abyss<var 1A 01 /var>, and prove to his siblings that a brave mage is not necessarily a dead mage. When you are prepared to demonstrate the heretofore hidden chapter's lesson, proceed into the hallowed hall of Thal's Respite in eastern Thanalan, and speak with Cocobuki.","TEXT_CLSTHM250_00352_SEQ_05<tab>Cocobuki möchte, dass du dich der geheimen Lektion des <var 1A 02 /var>Gähnenden Abgrunds<var 1A 01 /var> stellst und seinen Brüdern Mut einflößt. Suche ihn in Thals Rast auf, wenn du dich der Aufgabe gewachsen fühlst. Du wirst dafür all dein Können als Thaumaturg<var 08 E905 ((in)) (()) /var> aufbringen müssen.","","False","0x00000005","",""
"","TEXT_CLSTHM250_00352_SEQ_06<tab>You have completed the terrible and deadly trial of the hidden chapter. Return to the Thaumaturges' Guild and speak with Cocobuki.","TEXT_CLSTHM250_00352_SEQ_06<tab>Du hast die Prüfung der geheimen Lektion bestanden. Beratschlage das weitere Vorgehen mit Cocobuki in der Thaumaturgengilde.","","False","0x00000006","",""
"","TEXT_CLSTHM250_00352_SEQ_07<tab>With the horrors of the hidden chapter safely vanquished, you have inspired the guildmaster siblings to greater heights of thaumaturgy. Return to your studies, and prepare for the coming confrontation with Mormo herself.<br><br>※The next thaumaturge quest will be available from Cocobuki upon reaching level 30.","TEXT_CLSTHM250_00352_SEQ_07<tab>Dein glanzvolles Abschneiden bei der geheimen Prüfung hat Cocobuki restlos überzeugt. Trotzdem solltest du die Zeit nutzen, die dir bis zum Kampf mit Mormo bleibt, und zu <var 08 E905 ((einer noch stärkeren Magierin)) ((einem noch stärkeren Magier)) /var> werden.<br><br>※Sobald du als Thaumaturg<var 08 E905 ((in)) (()) /var> Stufe 30 erreicht hast, kannst du bei Cocobuki einen neuen Auftrag erhalten.","","False","0x00000007","",""
"","TEXT_CLSTHM250_00352_SEQ_08<tab>","TEXT_CLSTHM250_00352_SEQ_08<tab>","","False","0x00000008","",""
"","TEXT_CLSTHM250_00352_SEQ_09<tab>","TEXT_CLSTHM250_00352_SEQ_09<tab>","","False","0x00000009","",""
