"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_FESXMS009_00354_SEQ_00<tab>Amh Garanjy has another favor to ask of you.<br>※This quest is available for a limited time only.","TEXT_FESXMS009_00354_SEQ_00<tab>※ Dieser Auftrag ist nur für die Dauer des saisonalen Ereignisses verfügbar.<br><br>Amh Garanjy möchte dich um einen weiteren Gefallen bitten.","","False","0x00000000","",""
"","TEXT_FESXMS009_00354_SEQ_01<tab>After thanking you for your hard work across the realm, Amh Garanjy informs you that she has discovered the identity of the grieving child responsible for writing the misplaced letter. The celebrant requests that you speak with the boy, and see what can be done to ease his troubled heart. Take the message, don your Starlight apparel, and seek out Timothey by Mih Khetto's Amphitheatre in Old Gridania.<br><br>※Please note that you will be unable to complete this quest after the seasonal event has ended. For details, please check the Lodestone.","TEXT_FESXMS009_00354_SEQ_01<tab>※ Dieser Auftrag kann nur für die Dauer des saisonalen Ereignisses angenommen und gespielt werden. Nach Ende des saisonalen Ereignisses kann er nicht mehr abgeschlossen werden. Weitere Informationen findest du auf dem Lodestone.<br><br>Amh Garanjy dankt dir vielmals für deinen Einsatz und informiert dich darüber, dass sie die Identität des trauernden Kindes aufgedeckt hat, das den Brief geschrieben hat, der versehentlich in einem der Geschenke gelandet war. Die Verantwortliche möchte, dass du mit dem Jungen sprichst, um zu sehen, ob es womöglich einen Weg gibt, sein Leid zu lindern. Nimm den Brief an dich, lege deine Sternenlichtunika an, und mach dich auf den Weg zu Timothey in der Nähe des Mih Khettos Amphitheaters in Alt-Gridania.","","False","0x00000001","",""
"","TEXT_FESXMS009_00354_SEQ_02<tab>You confirm that Timothey was, in fact, the author of the angry letter, but the child storms off before you are able to learn anything more. Show the message to the boy's mother, and listen to what she has to say about their family's woes.","TEXT_FESXMS009_00354_SEQ_02<tab>Du kannst bestätigen, dass Timothey in der Tat den wütenden Brief verfasst hat, aber das Kind rennt davon, bevor du mehr in Erfahrung bringen kannst. Zeige der Mutter des Jungen den Brief und höre dir an, was sie über das Leid der Familie zu berichten hat.","","False","0x00000002","",""
"","TEXT_FESXMS009_00354_SEQ_03<tab>Timothey's mother lays bare their tragic history. Refugees of the Calamity, it seems that the boy lost some treasured mementos─a pair of bracelets crafted by his departed father─during their long and difficult journey to Gridania. Return to Amh Garanjy in the Lavender Beds and relay the child's tale.","TEXT_FESXMS009_00354_SEQ_03<tab>Timotheys Mutter erzählt dir ihre tragische Geschichte. Die Katastrophe hat sie zu Flüchtlingen gemacht und anscheinend hat der Junge ein paar geliebte Erinnerungsstücke - ein Paar Armringe, die sein verstorbener Vater angefertigt hatte - auf der langen und beschwerlichen Reise nach Gridania verloren. Kehre zu Amh Garanjy in den Lavendelbeeten zurück und teile ihr die Geschichte des Kindes mit.","","False","0x00000003","",""
"","TEXT_FESXMS009_00354_SEQ_04<tab>Upon hearing your recital of Timothey's story, the celebrant once more returns you to your mission of kindness. Travel to the Central Shroud and search the area near the Mirror Planks for Timothey's missing bracelets.","TEXT_FESXMS009_00354_SEQ_04<tab>Nachdem sie Timotheys Geschichte von dir gehört hat, bittet Amh Garanjy dich, deine Mission der Güte fortzusetzen. Reise in den Tiefen Wald und suche die Gegend um den Spiegelsee-Steg nach Timotheys verlorenen Armringen ab.","","False","0x00000004","",""
"","TEXT_FESXMS009_00354_SEQ_05<tab>You see no sign of the missing bracelets. Expand your search, and keep looking for Timothey's treasured mementos.","TEXT_FESXMS009_00354_SEQ_05<tab>Du findest keine Spur von den Armringen. Weite deine Suche aus und halte die Augen nach Timotheys geschätzten Erinnerungsstücken offen.","","False","0x00000005","",""
"","TEXT_FESXMS009_00354_SEQ_06<tab>You still have yet to discover any trace of the dropped bracelets. Continue searching the nearby area.","TEXT_FESXMS009_00354_SEQ_06<tab>Du hast noch immer keine Spur von den verlorenen Armringen entdeckt. Setze deine Suche in der nahegelegenen Umgebung fort.","","False","0x00000006","",""
"","TEXT_FESXMS009_00354_SEQ_07<tab>As you scour the ground for Timothey's missing bracelets, you are approached by a snowy-haired gentleman in scarlet garb who claims to have found the treasures you seek. The wandering pilgrim explains that he discovered the damaged jewelry by accident, and has repaired them with some minor improvements. Return to Timothey at Mih Khetto's Amphitheatre and deliver the brassy bangles.","TEXT_FESXMS009_00354_SEQ_07<tab>Während du den Boden nach Timotheys verlorenen Armringen absuchst, kommt ein älterer Herr mit schneeweißem Haar in scharlachroter Robe auf dich zu und behauptet, die von dir gesuchten Armringe gefunden zu haben. Der umherstreifende Pilger erklärt dir, dass er zufällig auf die beschädigten Kleinode gestoßen sei. Zudem habe er sie repariert und ein paar kleine Verbesserungen vorgenommen. Kehre zu Timothey bei Mih Khettos Amphitheater zurück und liefere die Messing-Armringe bei ihm ab.","","False","0x00000007","",""
"","TEXT_FESXMS009_00354_SEQ_08<tab>Although initially dubious of the authenticity of the bracelets, your explanation eventually convinces Timothey that the Saint of Nymeia himself had a hand in returning to him his treasured possessions. Return to Amh Garanjy in the Lavender Beds, and tell her of Timothey's joyous transformation.","TEXT_FESXMS009_00354_SEQ_08<tab>Timothey ist zunächst skeptisch, was die Echtheit der Armringe angeht, aber deine Erklärungen überzeugen ihn schließlich, dass der Heilige von Nymeia seine Hände bei der Wiedererlangung seiner geliebten Schmuckstücke im Spiel hatte. Kehre zu Amh Garanjy in den Lavendelbeeten zurück und erzähle ihr von Timotheys Freude.","","False","0x00000008","",""
"","TEXT_FESXMS009_00354_SEQ_09<tab>After listening to your happy tale, Amh Garanjy is reminded of a similar encounter she had with a snowy-haired pilgrim when she was a young girl. The celebrant believes that that moment of kindness was what set her on her current path, and wonders if the wandering gentleman you both met was not the Saint of Nymeia in truth. Content to believe it to be so, Amh Garanjy urges you to return to your work of gift giving and joy bringing for as long as the Starlight Celebration continues.","TEXT_FESXMS009_00354_SEQ_09<tab>Nachdem sie der freudigen Geschichte gelauscht hat, erinnert Amh Garanjy sich an eine ähnliche Begegnung mit einem Pilger mit schneeweißem Haar, als sie noch ein kleines Mädchen war. Die Verantwortliche glaubt, dass dieser Moment der Güte sie auf ihren eingeschlagenen Pfad geführt hat und fragt sich, ob dieser umherstreifende Herr nicht gar der Heilige von Nymeia selbst ist. Amh Garanjy begnügt sich damit, einfach daran zu glauben und bittet dich, auch weiterhin Geschenke zu verteilen und anderen Freude zu bereiten, solange die Feierlichkeiten zum Sternenlichtfest andauern.","","False","0x00000009","",""
"","TEXT_FESXMS009_00354_SEQ_10<tab>","TEXT_FESXMS009_00354_SEQ_10<tab>","","False","0x0000000A","",""
"","TEXT_FESXMS009_00354_SEQ_11<tab>","TEXT_FESXMS009_00354_SEQ_11<tab>","","False","0x0000000B","",""
"","TEXT_FESXMS009_00354_SEQ_12<tab>","TEXT_FESXMS009_00354_SEQ_12<tab>","","False","0x0000000C","",""
"","TEXT_FESXMS009_00354_SEQ_13<tab>","TEXT_FESXMS009_00354_SEQ_13<tab>","","False","0x0000000D","",""
"","TEXT_FESXMS009_00354_SEQ_14<tab>","TEXT_FESXMS009_00354_SEQ_14<tab>","","False","0x0000000E","",""
"","TEXT_FESXMS009_00354_SEQ_15<tab>","TEXT_FESXMS009_00354_SEQ_15<tab>","","False","0x0000000F","",""
"","TEXT_FESXMS009_00354_SEQ_16<tab>","TEXT_FESXMS009_00354_SEQ_16<tab>","","False","0x00000010","",""
"","TEXT_FESXMS009_00354_SEQ_17<tab>","TEXT_FESXMS009_00354_SEQ_17<tab>","","False","0x00000011","",""
"","TEXT_FESXMS009_00354_SEQ_18<tab>","TEXT_FESXMS009_00354_SEQ_18<tab>","","False","0x00000012","",""
