"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_JOBREL011_00357_SEQ_00<tab>Papana is grumbling to herself about ancient tomes and a lack of custom.","TEXT_JOBREL011_00357_SEQ_00<tab>レヴナンツトールのパパナに、「ゾディアックウェポン」にまつわる古文書のことを相談してみよう。","","False","0x00000000","",""
"","TEXT_JOBREL011_00357_SEQ_01<tab>The garrulous Papana reveals that she is in Revenant's Toll to free her old associate G'jusana from the shackles of heavy debt. To that end, the bookseller will part with a rare tome which details the Zodiac Weapons, but only if you can furnish her with the following rare items: a Bronze Lake crystal, a Bombard core, and a bottle of sacred spring water. The first of these may be found in the vicinity of the lake of its namesake.","TEXT_JOBREL011_00357_SEQ_01<tab>パパナによると、彼女は古の英雄の武器について書かれた古文書を持っているという。パパナの提示した交換条件に応えるために「<var 28 ((Item)) F2254301 /var>」と「<var 28 ((Item)) F2254401 /var>」と「<var 28 ((Item)) F2254201 /var>」を入手し、レヴナンツトールにいる「パパナ」に渡そう。「<var 28 ((Item)) F2254201 /var>」は、高地ラノシアの石緑湖の周辺で出回っている可能性があるらしい。","","False","0x00000001","",""
"","TEXT_JOBREL011_00357_SEQ_02<tab>Having painstakingly obtained the requested items, you return to Papana only to find that their quality is not to her satisfaction. Judging them insufficient payment for the book, Papana further asks you fetch her a horn of the beast which prowls Dzemael Darkhold, and a gobmachine bangplate from Brayflox's Longstop.<br><br>※Dzemael Darkhold and Brayflox's Longstop (Hard) can be accessed via the Duty Finder.","TEXT_JOBREL011_00357_SEQ_02<tab>パパナに依頼された品を渡したところ、品物の質について不満を言われてしまった。彼女が提示した新たな条件に応えなければならない。「掃討作戦 ゼーメル要塞」を攻略し、「<var 28 ((EventItem)) F61E8A7801 /var>」を入手しよう。「盟友支援 ブレイフロクスの野営地 (Hard)」を攻略し、「<var 28 ((EventItem)) F61E8A7901 /var>」を入手しよう。<br><br>※コンテンツファインダーから攻略に参加できます。","","False","0x00000002","",""
"","TEXT_JOBREL011_00357_SEQ_03<tab>Through great effort, you have obtained the goods Papana requested. Make your way back to Revenant's Toll and present them to her.","TEXT_JOBREL011_00357_SEQ_03<tab>パパナに依頼された品を入手した。レヴナンツトールの「パパナ」に、「<var 28 ((EventItem)) F61E8A7801 /var>」と「<var 28 ((EventItem)) F61E8A7901 /var>」を渡そう。","","False","0x00000003","",""
"","TEXT_JOBREL011_00357_SEQ_04<tab>Upon returning to Papana, you are told that a wealthy collector seeks to buy the selfsame book you desire, and the competition has driven up the price of exchange. The Lalafellin shopkeep will now settle for nothing less than a Narasimha hide and a sickle fang, highly prized objects found only within Halatali and Snowcloak.<br><br>※Halatali (Hard) and Snowcloak can be accessed via the Duty Finder.","TEXT_JOBREL011_00357_SEQ_04<tab>パパナに品を渡した。しかし、冒険者が品を用意している間に、古文書の買い手が現れたらしい。パパナに渡す追加の品を用意する必要があるようだ。「剣闘領域 ハラタリ修練所 (Hard)」を攻略し、「<var 28 ((EventItem)) F61E8A7A01 /var>」を入手しよう。「氷結潜窟 スノークローク大氷壁」を攻略し、「<var 28 ((EventItem)) F61E8A7B01 /var>」を入手しよう。<br><br>※コンテンツファインダーから攻略に参加できます。","","False","0x00000004","",""
"","TEXT_JOBREL011_00357_SEQ_05<tab>Through sheer perseverance, you have succeeded in obtaining the next set of items Papana has requested. Make your way back to Revenant's Toll, and pray that your toils are finally over.","TEXT_JOBREL011_00357_SEQ_05<tab>パパナに依頼された品を入手した。レヴナンツトールの「パパナ」に、「<var 28 ((EventItem)) F61E8A7A01 /var>」と「<var 28 ((EventItem)) F61E8A7B01 /var>」を渡そう。","","False","0x00000005","",""
"","TEXT_JOBREL011_00357_SEQ_06<tab>Your prayers go unanswered, for Papana has yet another request to make of you. Rowena, the bookseller explains, has tasked her with incinerating those tomes that are unfit to sell, and only when this chore is finished can she turn her attention back to you. If you would obtain your book, suppress your desire to scream, and bring Papana a high-quality furnace ring and a bundle of perfect firewood.<br><br>※Certain ingredients required to craft these items can be obtained by desynthesizing aged goods sold at the Silver Bazaar.","TEXT_JOBREL011_00357_SEQ_06<tab>パパナに品を渡した。しかし今度は、不要な古文書を燃やすための道具を要求されてしまった。「<var 28 ((ItemHQ)) F2252601 /var>」と「<var 28 ((ItemHQ)) F2252701 /var>」を入手し、レヴナンツトールの「パパナ」に渡そう。製作に必要な素材の一部は、シルバーバザーで売り出されている古い品を分解することで得られるらしい。","","False","0x00000006","",""
"","TEXT_JOBREL011_00357_SEQ_07<tab>The items for igniting books now in her hands, Papana apologizes for having taken advantage of you. In wistful tones, she tells you of her misspent youth, and of her admiration and respect for G'jusana. Thanking you for your part in helping her dear friend get closer to financial freedom, Papana presents you with the object of your desire: the Book of Skylight. With the knowledge held within, Gerolt may now faithfully recreate such an arm as was wielded by the Zodiac Braves of legend.<br><br>※If you have obtained all four items requested by Gerolt, you may return to Hyrstmill to have your Zodiac Weapon forged.","TEXT_JOBREL011_00357_SEQ_07<tab>パパナに依頼された品を渡し、「<var 28 ((Item)) F2252201 /var>」を譲り受けた。彼女はようやくグ・ジュサナの助けになれたことを喜び、これからも仕事を頑張ると意気込んだ。これで「ゾディアックウェポン」の形状がわかる。ゲロルトから要求されたすべての品がそろっていた場合は、ハーストミルに戻り、「ゾディアックウェポン」を再創造しよう。","","False","0x00000007","",""
"","TEXT_JOBREL011_00357_SEQ_08<tab>","TEXT_JOBREL011_00357_SEQ_08<tab>","","False","0x00000008","",""
"","TEXT_JOBREL011_00357_SEQ_09<tab>","TEXT_JOBREL011_00357_SEQ_09<tab>","","False","0x00000009","",""
