"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_CHRHDB501_00490_SEQ_00<tab>Ellie would share with you a shocking new turn in the phantom thief case.","TEXT_CHRHDB501_00490_SEQ_00<tab>ミスリルアイの記者エリーは、冒険者に怪盗白仮面事件の新情報を伝えたいようだ。","","False","0x00000000","",""
"","TEXT_CHRHDB501_00490_SEQ_01<tab>Inspector's Log:
I daresay, that spell of physical exertion at the Coliseum served well to clear my mind. My inquisitive senses feel even more heightened than ever! Most auspicious timing, as it would seem the fiend I pursue has set his sights on his greatest prize yet, an act which I am bound by duty and honor to foil. The exact nature of this final Belah'dian relic eludes me for the moment, but for Hildibrand─agent of enquiry, inspector extraordinaire─inspiration is always but a stone's throw away!
　　　　　　　　　　　　*　*　*
The news Ellie shares with you is chilling indeed. Three prominent citizens of the sultanate have been murdered in cold blood, and evidence at the scene suggests that the thief of many faces is responsible. Meanwhile, the exact nature of the fourth and final relic that the thief is targeting remains unknown. At a loss for leads, Ellie proposes a visit to the sultanate's leading information-monger. Seek out Wymond on the Steps of Nald.","TEXT_CHRHDB501_00490_SEQ_01<tab>前回までの冒険録：
「コロセウムの秘宝を奪う」という予告を止めるべく、事件屋ヒルディブランドたちは奮闘したが、「怪盗白仮面」に「審理の指輪」を盗まれてしまった。怪盗白仮面からの新たな予告状によると、次の標的は「ウルダハの秘宝」。その秘宝によって、怪盗白仮面の手元に「4つの神器」が揃い、正義の裁きが下されるという。ヒルディブランドたちは、怪盗白仮面の「正義の裁き」を防ぐことができるのだろうか……？
　　　　　　　　　　　　*　*　*
エリーによると、怪盗白仮面が、ついに連続殺人をはじめたという。彼女はその対応に時間を割いていたため、「ウルダハの秘宝」について調べられなかったそうだ。「ウルダハの秘宝」について話を聞くため、ウルダハのサンシルク前に向かい、情報屋の「ワイモンド」と話そう。","","False","0x00000001","",""
"","TEXT_CHRHDB501_00490_SEQ_02<tab>Details on the phantom thief's movements are scarce, with Wymond able to offer only the knowledge that the Sultansworn have redoubled their efforts to keep the royal vaults safe from your quarry. He accompanies this with an ominous warning that this case may prove more dangerous than your previous forays. Ellie remains undaunted, and bids you accompany her to the Heart of the Sworn to seek further information from those in the know.","TEXT_CHRHDB501_00490_SEQ_02<tab>ワイモンドによると、「ウルダハの秘宝」の警備については、銀冑団が対策本部を立てているらしい。ウルダハのフロンデール歩廊で、怪盗白仮面の対策本部の関係者を探してみよう。","","False","0x00000002","",""
"","TEXT_CHRHDB501_00490_SEQ_03<tab>At your destination, you are reunited with none other than Humphrey, the erstwhile two-gil swindler who has since amended his ways and enlisted in the Sultansworn with dreams of serving the realm not unlike Hildibrand, whom he idolizes. In return for your efforts in introducing him to his newfound role model, he introduces you to Phillice, who is leading the investigation. She is being assisted by Consulting Inspector Briardien, who has devised an ingenious powder capable of dispelling the phantom thief's disguises, and Hildibrand, who is convinced he has something to offer the investigation as well. After a less-than-enlightening briefing from Phillice on the details of the murders, you prepare to take to the field. Consult with Hildibrand as to your next course of action.","TEXT_CHRHDB501_00490_SEQ_03<tab>銀冑団に入ったハンフリーが、対策本部の本部長であるフィリスを紹介してくれた。フィリスは冒険者たちに、連続殺人事件を止めるよう依頼してきた。捜査の手はずを確認するため、フロンデール歩廊の「ヒルディブランド」と話そう。","","False","0x00000003","",""
"","TEXT_CHRHDB501_00490_SEQ_04<tab>Hildibrand suggests that you begin your search at the Eighty Sins of Sasamo, where the most recent victim's body was discovered. Make your way to western Thanalan and rendezvous with the inspector.","TEXT_CHRHDB501_00490_SEQ_04<tab>ヒルディブランドは、歴史学者の殺害現場で調査を行いたいようだ。西ザナラーンのササモの八十階段にいる「ヒルディブランド」と話そう。","","False","0x00000004","",""
"","TEXT_CHRHDB501_00490_SEQ_05<tab>Your inspection of the crime scene turns up a scattering of flowers, soon revealed to be placed there by the victim's elderly mother in memory of her departed son. Seemingly driven half-mad in her grief, the old woman spins a chilling─if somewhat far-fetched─tale of living men turned to zombies by a vengeful specter wielding the powers of forbidden Sil'dihn alchemy. Doubtless Inspector Hildibrand has his own theories as to the plausibility of the woman's ramblings...","TEXT_CHRHDB501_00490_SEQ_05<tab>被害者の親族である老婆と会うことができた。老婆は、すべての事件はシラディハの亡霊の仕業に違いないという。ヒルディブランドはどう考えているのか、聞いてみよう。","","False","0x00000005","",""
"","TEXT_CHRHDB501_00490_SEQ_06<tab>","TEXT_CHRHDB501_00490_SEQ_06<tab>","","False","0x00000006","",""
"","TEXT_CHRHDB501_00490_SEQ_07<tab>","TEXT_CHRHDB501_00490_SEQ_07<tab>","","False","0x00000007","",""
"","TEXT_CHRHDB501_00490_SEQ_08<tab>","TEXT_CHRHDB501_00490_SEQ_08<tab>","","False","0x00000008","",""
"","TEXT_CHRHDB501_00490_SEQ_09<tab>","TEXT_CHRHDB501_00490_SEQ_09<tab>","","False","0x00000009","",""
"","TEXT_CHRHDB501_00490_SEQ_10<tab>","TEXT_CHRHDB501_00490_SEQ_10<tab>","","False","0x0000000A","",""
"","TEXT_CHRHDB501_00490_SEQ_11<tab>","TEXT_CHRHDB501_00490_SEQ_11<tab>","","False","0x0000000B","",""
"","TEXT_CHRHDB501_00490_SEQ_12<tab>","TEXT_CHRHDB501_00490_SEQ_12<tab>","","False","0x0000000C","",""
"","TEXT_CHRHDB501_00490_SEQ_13<tab>","TEXT_CHRHDB501_00490_SEQ_13<tab>","","False","0x0000000D","",""
"","TEXT_CHRHDB501_00490_SEQ_14<tab>","TEXT_CHRHDB501_00490_SEQ_14<tab>","","False","0x0000000E","",""
"","TEXT_CHRHDB501_00490_SEQ_15<tab>","TEXT_CHRHDB501_00490_SEQ_15<tab>","","False","0x0000000F","",""
"","TEXT_CHRHDB501_00490_SEQ_16<tab>","TEXT_CHRHDB501_00490_SEQ_16<tab>","","False","0x00000010","",""
"","TEXT_CHRHDB501_00490_SEQ_17<tab>","TEXT_CHRHDB501_00490_SEQ_17<tab>","","False","0x00000011","",""
"","TEXT_CHRHDB501_00490_SEQ_18<tab>","TEXT_CHRHDB501_00490_SEQ_18<tab>","","False","0x00000012","",""
"","TEXT_CHRHDB501_00490_SEQ_19<tab>","TEXT_CHRHDB501_00490_SEQ_19<tab>","","False","0x00000013","",""
"","TEXT_CHRHDB501_00490_SEQ_20<tab>","TEXT_CHRHDB501_00490_SEQ_20<tab>","","False","0x00000014","",""
"","TEXT_CHRHDB501_00490_SEQ_21<tab>","TEXT_CHRHDB501_00490_SEQ_21<tab>","","False","0x00000015","",""
"","TEXT_CHRHDB501_00490_SEQ_22<tab>","TEXT_CHRHDB501_00490_SEQ_22<tab>","","False","0x00000016","",""
"","TEXT_CHRHDB501_00490_SEQ_23<tab>","TEXT_CHRHDB501_00490_SEQ_23<tab>","","False","0x00000017","",""
"","TEXT_CHRHDB501_00490_TODO_00<tab>Speak with Wymond near Sunsilk Tapestries.","TEXT_CHRHDB501_00490_TODO_00<tab>サンシルク前のワイモンドと話す","","False","0x00000018","",""
"","TEXT_CHRHDB501_00490_TODO_01<tab>Seek out information at Scholars' Walk.","TEXT_CHRHDB501_00490_TODO_01<tab>フロンデール歩廊で対策本部関係者を探す","","False","0x00000019","",""
"","TEXT_CHRHDB501_00490_TODO_02<tab>Speak with Hildibrand.","TEXT_CHRHDB501_00490_TODO_02<tab>ヒルディブランドと話す","","False","0x0000001A","",""
"","TEXT_CHRHDB501_00490_TODO_03<tab>Speak with Hildibrand at the Eighty Sins of Sasamo.","TEXT_CHRHDB501_00490_TODO_03<tab>ササモの八十階段のヒルディブランドと話す","","False","0x0000001B","",""
"","TEXT_CHRHDB501_00490_TODO_04<tab>","TEXT_CHRHDB501_00490_TODO_04<tab>","","False","0x0000001C","",""
"","TEXT_CHRHDB501_00490_TODO_05<tab>","TEXT_CHRHDB501_00490_TODO_05<tab>","","False","0x0000001D","",""
"","TEXT_CHRHDB501_00490_TODO_06<tab>","TEXT_CHRHDB501_00490_TODO_06<tab>","","False","0x0000001E","",""
"","TEXT_CHRHDB501_00490_TODO_07<tab>","TEXT_CHRHDB501_00490_TODO_07<tab>","","False","0x0000001F","",""
"","TEXT_CHRHDB501_00490_TODO_08<tab>","TEXT_CHRHDB501_00490_TODO_08<tab>","","False","0x00000020","",""
"","TEXT_CHRHDB501_00490_TODO_09<tab>","TEXT_CHRHDB501_00490_TODO_09<tab>","","False","0x00000021","",""
"","TEXT_CHRHDB501_00490_TODO_10<tab>","TEXT_CHRHDB501_00490_TODO_10<tab>","","False","0x00000022","",""
"","TEXT_CHRHDB501_00490_TODO_11<tab>","TEXT_CHRHDB501_00490_TODO_11<tab>","","False","0x00000023","",""
"","TEXT_CHRHDB501_00490_TODO_12<tab>","TEXT_CHRHDB501_00490_TODO_12<tab>","","False","0x00000024","",""
"","TEXT_CHRHDB501_00490_TODO_13<tab>","TEXT_CHRHDB501_00490_TODO_13<tab>","","False","0x00000025","",""
"","TEXT_CHRHDB501_00490_TODO_14<tab>","TEXT_CHRHDB501_00490_TODO_14<tab>","","False","0x00000026","",""
"","TEXT_CHRHDB501_00490_TODO_15<tab>","TEXT_CHRHDB501_00490_TODO_15<tab>","","False","0x00000027","",""
"","TEXT_CHRHDB501_00490_TODO_16<tab>","TEXT_CHRHDB501_00490_TODO_16<tab>","","False","0x00000028","",""
"","TEXT_CHRHDB501_00490_TODO_17<tab>","TEXT_CHRHDB501_00490_TODO_17<tab>","","False","0x00000029","",""
"","TEXT_CHRHDB501_00490_TODO_18<tab>","TEXT_CHRHDB501_00490_TODO_18<tab>","","False","0x0000002A","",""
"","TEXT_CHRHDB501_00490_TODO_19<tab>","TEXT_CHRHDB501_00490_TODO_19<tab>","","False","0x0000002B","",""
"","TEXT_CHRHDB501_00490_TODO_20<tab>","TEXT_CHRHDB501_00490_TODO_20<tab>","","False","0x0000002C","",""
"","TEXT_CHRHDB501_00490_TODO_21<tab>","TEXT_CHRHDB501_00490_TODO_21<tab>","","False","0x0000002D","",""
"","TEXT_CHRHDB501_00490_TODO_22<tab>","TEXT_CHRHDB501_00490_TODO_22<tab>","","False","0x0000002E","",""
"","TEXT_CHRHDB501_00490_TODO_23<tab>","TEXT_CHRHDB501_00490_TODO_23<tab>","","False","0x0000002F","",""
"","TEXT_CHRHDB501_00490_ELLIE_000_000<tab>I was wondering when you'd show up, <var 2C ((<var 29 EB02 /var>)) (( )) 02 /var>! I hope you haven't made any plans for the <var 08 E3E90C0D ((<var 08 E3E90C05 ((night)) ((day)) /var>)) ((<var 08 E3E90C12 ((day)) ((night)) /var>)) /var>, because we've got a situation on our hands!","TEXT_CHRHDB501_00490_ELLIE_000_000<tab><var 2C ((<var 29 EB02 /var>)) (( )) 02 /var>、大変よ！
「怪盗白仮面」の事件が……急展開を迎えたわ！","","False","0x00000030","",""
"","TEXT_CHRHDB501_00490_ELLIE_000_001<tab>Remember our good friend the phantom thief? Well, it seems he's decided to branch out from burglary to cold-blooded <var 1A 02 /var>murder<var 1A 01 /var>!","TEXT_CHRHDB501_00490_ELLIE_000_001<tab>ついに彼が殺人を……
いえ、連続殺人を起こしてしまったのよ！","","False","0x00000031","",""
"","TEXT_CHRHDB501_00490_ELLIE_000_002<tab>If the rumors are to be believed, he's claimed three victims already─all influential members of Ul'dahn society.","TEXT_CHRHDB501_00490_ELLIE_000_002<tab>情報によれば、現在までの被害者は3人。
いずれも、各界の著名人ばかり……。","","False","0x00000032","",""
"","TEXT_CHRHDB501_00490_ELLIE_000_003<tab>Mister many-faces has been kind enough to leave one of his signature calling cards at every scene, leaving no doubt as to the identity of the murderer. The message is always the same: <var 1A 02 /var>The weight of five corpses will bring the scales of justice to balance.<var 1A 01 /var> More riddles...","TEXT_CHRHDB501_00490_ELLIE_000_003<tab>殺人現場には、毎回「怪盗白仮面」からの、
メッセージカードが残されているようなの。
「白き秤は、5つの命の重さを求める」……ってね。","","False","0x00000033","",""
"","TEXT_CHRHDB501_00490_ELLIE_000_004<tab>","TEXT_CHRHDB501_00490_ELLIE_000_004<tab>（★未使用／削除予定★）","","False","0x00000034","",""
"","TEXT_CHRHDB501_00490_ELLIE_000_005<tab>...Not that you'll hear me complaining. No, the only thing my readers like more than a good mystery is a good <var 1A 02 /var>murder<var 1A 01 /var> mystery. Ever since the story broke, the <var 1A 02 /var>Mythril Eye<var 1A 01 /var>'s been selling like ponzecakes!","TEXT_CHRHDB501_00490_ELLIE_000_005<tab>この連続殺人事件を記事にした途端、
「ミスリルアイ」は売り切れ続出でね。
読者からの問い合わせ対応もあって、記者は大忙し。","","False","0x00000035","",""
"","TEXT_CHRHDB501_00490_ELLIE_000_006<tab>The only rub is that it's left me no time to look into the thief's last message...until now, that is! Shall we, <var 2C ((<var 29 EB02 /var>)) (( )) 02 /var>?","TEXT_CHRHDB501_00490_ELLIE_000_006<tab>だから、前回の予告状に書かれていた、
「ウルダハの秘宝」や「正義の裁き」を調べる時間がなくて……。
まずは、そこから取材にあたらないといけないわ。","","False","0x00000036","",""
"","TEXT_CHRHDB501_00490_ELLIE_000_007<tab>The hidden treasure of Ul'dah, was it? If there's anyone who can shed some light on this, it's you-know-who. To Sunsilk Tapestries!","TEXT_CHRHDB501_00490_ELLIE_000_007<tab>ウルダハの噂話なら、情報屋の「ワイモンド」に聞くのが早いわ。
彼なら、いつもサンシルクの前にいるはずよ。
一緒に聞きにいきましょう！","","False","0x00000037","",""
"","TEXT_CHRHDB501_00490_WYMOND_000_030<tab>Well now, if it ain't my favorite 'venturer...and my favorite <var 1A 02 /var>Mythril Eye<var 1A 01 /var> reporter 'long with <var 08 E905 (('er)) (('im)) /var>. Tell me, what have I done to deserve the pleasure o' your company today?","TEXT_CHRHDB501_00490_WYMOND_000_030<tab>よォ、今日はエリーと一緒なんだな。
彼女は俺のお得意さんでね、よくしてもらってるよ。","","False","0x00000038","",""
"","TEXT_CHRHDB501_00490_WYMOND_000_031<tab>...I see. As much as I'd like to help <var 08 E905 ((two lovely ladies)) ((two o' my best mates)) /var>, I'm 'fraid you've found ol' Wymond at a loss. Ul'dah has more than its fair share o' treasures, hidden an' otherwise. I reckon our phantom friend could be after just about any of 'em.","TEXT_CHRHDB501_00490_WYMOND_000_031<tab>話の察しはつくぜ、「ウルダハの秘宝」についてだろう？
だが、俺も大した情報はつかめてねぇってのが本音だ。
なんせ、ウルダハのお宝なんて、山ほどあるからな……。","","False","0x00000039","",""
"","TEXT_CHRHDB501_00490_WYMOND_000_032<tab>...I <var 1A 02 /var>can<var 1A 01 /var> tell you this much, though. Whatever the thief's got his eyes on, it's got the Sultansworn in a right dither. Word has it they've formed a regiment o' their best and brightest to safeguard the royal vaults from this very threat.","TEXT_CHRHDB501_00490_WYMOND_000_032<tab>代わりに、ひとつ情報をやるよ。
ウルダハ宝物庫の警備を預かる「銀冑団」が、
「怪盗白仮面」の対策本部を立ち上げたらしいぜ。","","False","0x0000003A","",""
"","TEXT_CHRHDB501_00490_ELLIE_000_033<tab>The Sultansworn aren't like to be forthcoming with information, but it's the only lead we've got. Come on, <var 2C ((<var 29 EB02 /var>)) (( )) 02 /var>, I'd say it's time we paid a visit to the Heart of the Sworn.","TEXT_CHRHDB501_00490_ELLIE_000_033<tab>対策本部……ね。
銀冑団総長室付近に行けば、関係者と話せるかもしれないわ。
<var 2C ((<var 29 EB02 /var>)) (( )) 02 /var>、さっそく行ってみましょう。","","False","0x0000003B","",""
"","TEXT_CHRHDB501_00490_WYMOND_000_034<tab>...Oi, hold up there, Ellie. I ain't generally the worryin' type, but you may want to think twice before gettin' yourselves involved in this.","TEXT_CHRHDB501_00490_WYMOND_000_034<tab>……なぁ、エリー。
今回の事件は、ちょいとマズイ臭いがするぜ。","","False","0x0000003C","",""
"","TEXT_CHRHDB501_00490_WYMOND_000_035<tab>A man in my business develops a nose for danger, and this time, the stench is somethin' fierce. You're a reporter, Ellie, and a fine one at that. Don't put that pretty neck o' yours at risk tryin' to play hero.","TEXT_CHRHDB501_00490_WYMOND_000_035<tab>今までとは違う、危険な臭いだ。
お前はただの記者……あまり深入りするんじゃねぇぞ。","","False","0x0000003D","",""
"","TEXT_CHRHDB501_00490_ELLIE_000_036<tab>Your concern is touching, but I can assure you that I am ready for whatever dangers lie ahead. Besides, being a reporter is about more than selling papers. I have a <var 1A 02 /var>duty<var 1A 01 /var> to seek out the truth and convey it to the people. Come, <var 2C ((<var 29 EB02 /var>)) (( )) 02 /var>, time is of the essence.","TEXT_CHRHDB501_00490_ELLIE_000_036<tab>私も、嫌な予感がしてるわ……いつもどおり、勘だけど。
それでも、私には人々に「真実」を伝える使命があるからね。
やれるかぎりはやってみるつもりよ、ご忠告ありがとう。","","False","0x0000003E","",""
"","TEXT_CHRHDB501_00490_WYMOND_000_040<tab>Confidence...I like that in a woman. Anyroad, it's not my place to stop you, so just promise me you'll be careful. My gut tells me that trouble's a-brewin', and my gut's right more often than wrong.","TEXT_CHRHDB501_00490_WYMOND_000_040<tab>……アンタも気をつけろよ。
今回の事件は、今までとは毛色が違う。
長年この仕事やってると、そういうのがわかるんだよ。","","False","0x0000003F","",""
"","TEXT_CHRHDB501_00490_ELLIE_000_045<tab>Where have I seen this man before...?","TEXT_CHRHDB501_00490_ELLIE_000_045<tab>こ、こいつって、もしかして……。","","False","0x00000040","",""
"","TEXT_CHRHDB501_00490_HUMPHREY_000_060<tab>Halt! Only authorized personnel are allowed in─","TEXT_CHRHDB501_00490_HUMPHREY_000_060<tab>ムッ、なんだお前ら。
関係者以外は立ち入り禁止だぞ！？","","False","0x00000041","",""
"","TEXT_CHRHDB501_00490_HUMPHREY_000_061<tab>Th-Thal bugger me with a broadsword! It's the Gentleman of Light's adventurin' companion and that catty-but-cute reporter from the <var 1A 02 /var>Mythril Eye<var 1A 01 /var>!","TEXT_CHRHDB501_00490_HUMPHREY_000_061<tab>って、お前は……！
あの「光の紳士」のお供の冒険者！？
横のは……嫌味な記者の姉ちゃんか！","","False","0x00000042","",""
"","TEXT_CHRHDB501_00490_ELLIE_000_062<tab>Well, well...if it isn't the self-styled Warrior of Light. Tell me, what tall tales did you spin to the Sultansworn recruiter to land yourself in this position?","TEXT_CHRHDB501_00490_ELLIE_000_062<tab>ふん、久しぶりね、ニセ「光の戦士」さん。
まさか、貴方が銀冑団に入ってたなんて……驚きだわ。","","False","0x00000043","",""
"","TEXT_CHRHDB501_00490_HUMPHREY_000_063<tab>O-Only the Twelve's honest truth, miss! Seeing that Gentleman of Light standing tall and triumphant that day, it <var 1A 02 /var>moved<var 1A 01 /var> me─to the depths of me soul, like. I vowed to put aside my sketchy past and serve the realm just like my hero Master Hildibrand. The Sultansworn were impressed with my commitment and my sword arm, and they gladly welcomed me into their ranks.","TEXT_CHRHDB501_00490_HUMPHREY_000_063<tab>ひ、「光の紳士」の働きに感銘を受けて、
俺も世のためにできることを探そうと思っただけだ……。
元々剣術は得意だったから、銀冑団の入団試験を受けたのさ。","","False","0x00000044","",""
"","TEXT_CHRHDB501_00490_HUMPHREY_000_064<tab>Wait, don't tell me─you've come to assist Master Hildibrand in his investigation, haven't you? Cor, why didn't you say so sooner!? It's the least I could do to help the <var 08 E905 ((two ladies)) ((mates)) /var> who united me with my role model.","TEXT_CHRHDB501_00490_HUMPHREY_000_064<tab>……そうだ、どうせ「怪盗白仮面」の事件について、
あの「光の紳士」と一緒に、捜査するつもりなんだろう！？
対策本部の本部長を呼んでやるから、待ってな！","","False","0x00000045","",""
"","TEXT_CHRHDB501_00490_HUMPHREY_000_065<tab>You'll be wanting to speak with Phillice. She's one of the 'Sworn's best, and something of a history buff, it'd seem. When she heard the thief was targeting the four relics of Belah'dia, she personally stepped forward and volunteered to lead the investigation.","TEXT_CHRHDB501_00490_HUMPHREY_000_065<tab>本部長は、歴史に詳しい才女なんだ。
ヤツが「ベラフディア四大神器」を集めてると聞いて、
今回の事件に強い興味を持ったらしい。","","False","0x00000046","",""
"","TEXT_CHRHDB501_00490_HUMPHREY_000_066<tab>If anyone has the information you're looking for, it'd be her. Wait here while I get her─I can trust you not to touch anything, aye?","TEXT_CHRHDB501_00490_HUMPHREY_000_066<tab>今回の本部長も、自ら志願したそうだからな。
彼女なら、「ウルダハの秘宝」も守りとおしてくれるはずさ！","","False","0x00000047","",""
"","TEXT_CHRHDB501_00490_ELLIE_000_100<tab>A pleasure to meet you, Phillice. My name is Ellie, from the <var 1A 02 /var>Mythril Eye<var 1A 01 /var>. As you may have heard, we're researching the phantom thief case, and would appreciate any information that may shed light on recent events.","TEXT_CHRHDB501_00490_ELLIE_000_100<tab>あなたが「怪盗白仮面」対策本部の本部長さん？
私はミスリルアイの記者、エリーと申します。","","False","0x00000048","",""
"","TEXT_CHRHDB501_00490_PHILLICE_000_101<tab>The pleasure is mine, Miss Ellie. And if I'm not mistaken, that would make your companion friend here one <var 29 EB02 /var>, yes?","TEXT_CHRHDB501_00490_PHILLICE_000_101<tab>はい、銀冑団のフィリスと申します。
エリーさんがいらっしゃったということは……
おとなりの冒険者さんは、<var 2C ((<var 29 EB02 /var>)) (( )) 02 /var>さん？","","False","0x00000049","",""
"","TEXT_CHRHDB501_00490_ELLIE_000_102<tab>You know <var 2C ((<var 29 EB02 /var>)) (( )) 02 /var>?","TEXT_CHRHDB501_00490_ELLIE_000_102<tab>あら、よくご存知ね。","","False","0x0000004A","",""
"","TEXT_CHRHDB501_00490_PHILLICE_000_103<tab>As any regular reader of the <var 1A 02 /var>Mythril Eye<var 1A 01 /var> would! I must confess to being something of an unabashed fan of your work.","TEXT_CHRHDB501_00490_PHILLICE_000_103<tab>はい、今回の対策を立てるにあたって、
エリーさんの「特集記事」を熟読しましたから！","","False","0x0000004B","",""
