"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_CLSACN050_00455_SEQ_00<tab>Acting Guildmaster Thubyrgeim wishes to assess the improvement of your arcanima skills.","TEXT_CLSACN050_00455_SEQ_00<tab>Stellvertretende Gildenmeisterin Thubyrgeim möchte sehen, welche Fortschritte du gemacht hast.","","False","0x00000000","",""
"","TEXT_CLSACN050_00455_SEQ_01<tab>In order to test your growing aptitude as an arcanist, Thubyrgeim sends you back to the wilds of lower La Noscea to battle more challenging opponents. Slay three wild dodos and three tiny mandragoras.","TEXT_CLSACN050_00455_SEQ_01<tab>Thubyrgeim möchte einen Beweis für deine Fortschritte sehen. Gehe ins untere La Noscea und erlege drei Dodos und drei winzige Mandragoras mit deinen hermetischen Fähigkeiten.","","False","0x00000001","",""
"","TEXT_CLSACN050_00455_SEQ_02<tab>You have slain the designated creatures. Return to the Arcanists' Guild and report to Thubyrgeim.","TEXT_CLSACN050_00455_SEQ_02<tab>Du hast die Monster erledigt. Kehre in die Gilde der Hermetiker zurück und erstatte Thubyrgeim Bericht.","","False","0x00000002","",""
"","TEXT_CLSACN050_00455_SEQ_03<tab>Now that you have displayed your competence with Carbuncle, you are next to attempt an exercise that simulates the cargo inspections performed by Mealvaan's Gate assessors. Head south of the Zephyr Gate and examine the crates found near the cliffs.","TEXT_CLSACN050_00455_SEQ_03<tab>Thubyrgeim ist zufrieden damit, wie gut du den Karfunkel kontrollierst. Dein neuer Auftrag lautet, der Mealvaaner Zollbehörde bei der Frachtkontrolle zu helfen. Verlasse die Stadt durch das Zephyrtor, wende dich nach Süden und untersuche <var 32 ((EObj)) 03F61E8BE1020502 /var> nahe der Felswand.","","False","0x00000003","",""
"","TEXT_CLSACN050_00455_SEQ_04<tab>You have defeated the creatures that lurked within the crates you were ordered to inspect. Now that the cargo is safe to handle, collect the contents and prepare to return to the guild.","TEXT_CLSACN050_00455_SEQ_04<tab>Du hast die Monster erschlagen, die sich in <var 32 ((EObj)) 03F61E8BE1020402 /var> eingenistet hatten. Nimm jetzt <var 32 ((EObj)) 03F61E8BE1020502 /var> auf.","","False","0x00000004","",""
"","TEXT_CLSACN050_00455_SEQ_05<tab>Upon gathering the inspected cargo, you turn to find that your actions had been observed by a strange Miqo'te─Foreseer K'lyhia, a chief assessor for Mealvaan's Gate. As the elected supervisor for your training, the assessor happily appraises your performance, and offers instruction to further improve your arcanist abilities. With the exercise at an end, she bids you return to Thubyrgeim at the Arcanists' Guild.","TEXT_CLSACN050_00455_SEQ_05<tab>Gerade, als du die Frachtkontrolle beenden wolltest, hast du Hauptzollinspektorin K'lyhia getroffen. Sie sieht eine erfolgreiche Zukunft als <var 08 E905 ((Hermetikerin)) ((Hermetiker)) /var> für dich voraus und hat dich als Lehrling unter ihre Fittiche genommen.
Kehre zur Hermetikergilde zurück und erstatte Thubyrgeim Bericht.","","False","0x00000005","",""
"","TEXT_CLSACN050_00455_SEQ_06<tab>You return to the guild and give your report of the day's lesson. Thubyrgeim explains that the strategically gifted K'lyhia was able to rise to her current position as foreseer using nothing more than an initiate's grimoire. Urging you to heed well the Miqo'te's advice, the acting guildmaster instructs you to continue your tactical training with Carbuncle.

※The next arcanist quest will be available from Thubyrgeim upon reaching level 10.","TEXT_CLSACN050_00455_SEQ_06<tab>Du hast Thubyrgeims Auftrag erfüllt und dabei eine wichtige Bekanntschaft gemacht: K'lyhia ist eine wohlbelesene Hermetikerin, die nun für die Mealvaaner Zollbehörde arbeitet.

※ Sobald du als Hermetiker<var 08 E905 ((in)) (()) /var> Stufe 10 erreicht hast, kannst du von Thubyrgeim den nächsten Auftrag erhalten.","","False","0x00000006","",""
"","TEXT_CLSACN050_00455_SEQ_07<tab>","TEXT_CLSACN050_00455_SEQ_07<tab>","","False","0x00000007","",""
"","TEXT_CLSACN050_00455_SEQ_08<tab>","TEXT_CLSACN050_00455_SEQ_08<tab>","","False","0x00000008","",""
"","TEXT_CLSACN050_00455_SEQ_09<tab>","TEXT_CLSACN050_00455_SEQ_09<tab>","","False","0x00000009","",""
