"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_CLSACN200_00459_SEQ_00<tab>Acting Guildmaster Thubyrgeim appears unusually distressed.","TEXT_CLSACN200_00459_SEQ_00<tab>巴術士ギルドマスター代理のトゥビルゲイムは、心配事を抱えているようだ。","","False","0x00000000","",""
"","TEXT_CLSACN200_00459_SEQ_01<tab>Thubyrgeim tells you that the recovering K'lyhia has vanished without a word. Follow the acting guildmaster's suggestion and make inquiries on Hawkers' Alley as to the foreseer's whereabouts.","TEXT_CLSACN200_00459_SEQ_01<tab>トゥビルゲイムによると、療養中のク・リヒャが姿を消したという。国際街商通りにて、ク・リヒャの情報を集めよう。","","False","0x00000001","",""
"","TEXT_CLSACN200_00459_SEQ_02<tab>After speaking with Dodozan on Hawkers' Alley, you learn that K'lyhia was seeking information concerning a Qiqirn smuggling ring. During their conversation, however, it appears that the Yellowjackets appeared and took the foreseer away. Speak to Ginnade at the Coral Tower to learn more of K'lyhia's fate.","TEXT_CLSACN200_00459_SEQ_02<tab>ク・リヒャは、国際街広場のドゥドゥザンから、キキルン族の密輸団について、情報を聞き出していたようだ。しかし、その最中にイエロージャケットに連行されたという。コーラルタワーの「ギナーデ」に、話を聞いてみよう。","","False","0x00000002","",""
"","TEXT_CLSACN200_00459_SEQ_03<tab>Ginnade explains that K'lyhia was once a prisoner of Doesmaga, and that the Yellowjackets brought the Miqo'te in for questioning to learn what she knew of the black-hearted pirate. Return to the Arcanists' Guild and report your findings to Thubyrgeim.","TEXT_CLSACN200_00459_SEQ_03<tab>ク・リヒャは、かつてデュースマガに捕らわれていたという。このため、デュースマガに関する事情聴取をしていたようだ。巴術士ギルドのトゥビルゲイムに報告しよう。","","False","0x00000003","",""
"","TEXT_CLSACN200_00459_SEQ_04<tab>Upon making your report to Thubyrgeim, the acting guildmaster has an epiphany regarding the missing assessor's probable destination. Head to Aleport in western La Noscea and search for K'lyhia.","TEXT_CLSACN200_00459_SEQ_04<tab>トゥビルゲイムは、情報を総合した結果、ク・リヒャが向かった先をつきとめた。西ラノシア「エールポート」にて、ク・リヒャを探そう。","","False","0x00000004","",""
"","TEXT_CLSACN200_00459_SEQ_05<tab>You discover the foreseer in Aleport to find that she is already formulating a strategy to recover her lost grimoire. Speak with Thubyrgeim at Oschon's Embrace and lend your strength to K'lyhia's planned attack.","TEXT_CLSACN200_00459_SEQ_05<tab>エールポートでク・リヒャを発見した。ク・リヒャはすでに、捨てられた魔道書の所在をつきとめ、奪還作戦の手配に入っていた。作戦に協力するため、オシュオン大橋で「トゥビルゲイム」と話そう。","","False","0x00000005","",""
"","TEXT_CLSACN200_00459_SEQ_06<tab>In order to retrieve the foreseer's grimoire, you have been asked to cooperate in a covert strike on a black market merchant and his retinue. The plan hinges on the successful execution of a classic pincer maneuver at Oschon's Embrace. Take up your position, and await the arrival of the target.","TEXT_CLSACN200_00459_SEQ_06<tab>魔道書を奪還するには、秘密裏に商隊を襲撃する必要があるという。そのために、ク・リヒャはオシュオン大橋での「挟撃戦略」を策定した。目標の闇商人がオシュオン大橋に差し掛かるまで、指定地点で待機しよう。","","False","0x00000006","",""
"","TEXT_CLSACN200_00459_SEQ_07<tab>Though you have managed to retrieve the grimoire, prolonged immersion in seawater has ruined the tome beyond any chance of restoration. K'lyhia, visibly sagging at the sight of her damaged possession, makes her despondent way back to Limsa Lominsa. Return to the Arcanists' Guild and speak with Thubyrgeim.","TEXT_CLSACN200_00459_SEQ_07<tab>取り戻した魔道書は、海水に浸され、使いものにならなくなっていた。巴術士ギルドへ帰還し、トゥビルゲイムと話そう。","","False","0x00000007","",""
"","TEXT_CLSACN200_00459_SEQ_08<tab>K'lyhia is devastated by the destruction of her grimoire. Promising a means to aid the dispirited assessor, Thubyrgeim asks that you return to your training until she is ready to call upon your help.<br><br>※The next arcanist quest will be available from Thubyrgeim upon reaching level 25.","TEXT_CLSACN200_00459_SEQ_08<tab>ク・リヒャの精神状態は、かなり悪いようだ。トゥビルゲイムは、ク・リヒャが立ち直る方法を考えるので、力を貸してほしいと頼まれた。<br><br>※巴術士のレベルが25以上になると、トゥビルゲイムから次の巴術士クエストを受注することができます。","","False","0x00000008","",""
"","TEXT_CLSACN200_00459_SEQ_09<tab>","TEXT_CLSACN200_00459_SEQ_09<tab>","","False","0x00000009","",""
"","TEXT_CLSACN200_00459_SEQ_10<tab>","TEXT_CLSACN200_00459_SEQ_10<tab>","","False","0x0000000A","",""
"","TEXT_CLSACN200_00459_SEQ_11<tab>","TEXT_CLSACN200_00459_SEQ_11<tab>","","False","0x0000000B","",""
"","TEXT_CLSACN200_00459_SEQ_12<tab>","TEXT_CLSACN200_00459_SEQ_12<tab>","","False","0x0000000C","",""
"","TEXT_CLSACN200_00459_SEQ_13<tab>","TEXT_CLSACN200_00459_SEQ_13<tab>","","False","0x0000000D","",""
"","TEXT_CLSACN200_00459_SEQ_14<tab>","TEXT_CLSACN200_00459_SEQ_14<tab>","","False","0x0000000E","",""
"","TEXT_CLSACN200_00459_SEQ_15<tab>","TEXT_CLSACN200_00459_SEQ_15<tab>","","False","0x0000000F","",""
"","TEXT_CLSACN200_00459_SEQ_16<tab>","TEXT_CLSACN200_00459_SEQ_16<tab>","","False","0x00000010","",""
"","TEXT_CLSACN200_00459_SEQ_17<tab>","TEXT_CLSACN200_00459_SEQ_17<tab>","","False","0x00000011","",""
"","TEXT_CLSACN200_00459_SEQ_18<tab>","TEXT_CLSACN200_00459_SEQ_18<tab>","","False","0x00000012","",""
"","TEXT_CLSACN200_00459_SEQ_19<tab>","TEXT_CLSACN200_00459_SEQ_19<tab>","","False","0x00000013","",""
"","TEXT_CLSACN200_00459_SEQ_20<tab>","TEXT_CLSACN200_00459_SEQ_20<tab>","","False","0x00000014","",""
"","TEXT_CLSACN200_00459_SEQ_21<tab>","TEXT_CLSACN200_00459_SEQ_21<tab>","","False","0x00000015","",""
