"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_GAIUSE613_00425_SEQ_00<tab>While others look forward to the impending royal banquet, Minfilia cannot help but look to the past.","TEXT_GAIUSE613_00425_SEQ_00<tab>Minfilia ne semble pas très enthousiaste à l'idée d'aller célébrer la victoire d'Ishgard à Ul'dah.","","False","0x00000000","",""
"","TEXT_GAIUSE613_00425_SEQ_01<tab>As four great nations stand poised to commemorate the successful defense of Ishgard, Minfilia is haunted by memories of the lost and concerns for the future of Eorzea. But while she would rather remain at the Rising Stones and focus on her work, she recognizes that this is a time for celebration, and that the Scions of the Seventh Dawn must stand united as a beacon of hope to all. And so she departs for Ul'dah to rendezvous with the other Scions, instructing you to follow when you are ready.<br><br>As you leave the solar, Riol calls out to you, and you take the opportunity to share the news of Wilred's death. In response, the Crystal Brave reveals he has uncovered evidence that Teledji Adeledji has bribed members of the 1st and 3rd Units. Riol also divulges that Wilred had begun to ask pointed questions, which likely led to his demise at the hands of these traitors. Troubling as these revelations may be, you have obligations in Ul'dah which cannot be postponed.","TEXT_GAIUSE613_00425_SEQ_01<tab>Les derniers événements ont marqué Minfilia au point qu'elle semble avoir perdu toute la combativité qui la caractérise. Entre le sacrifice de Moenbryda, le meurtre de Wilred, les Primordiaux et les Garlemaldais, la chef des Héritiers de la Septième Aube ne se sentait pas d'humeur à faire la fête en l'honneur des Ishgardais à Ul'dah. Heu<var 16 /var>reu<var 16 /var>se<var 16 /var>ment que vous étiez là pour lui remonter un peu le moral<var 1D /var>! En sortant du salon de l'Aube, vous avez rencontré Riol et lui avez appris la mort de son camarade. Abasourdi dans un premier temps, il en a profité pour vous donner son hypothèse sur le mobile du crime. Suite à une enquête personnelle, Riol a découvert que les fonds secrets des première et troisième escouades des Braves du Cristal provenaient de nul autre que Teledji Adeledji<var 1D /var>! Il en a donc conclu que Wilred était pro<var 16 /var>ba<var 16 /var>ble<var 16 /var>ment au courant de l'affaire et qu'on l'avait abattu pour s'assurer de son silence. En vous quittant, il vous a conseillé de rester sur vos gardes durant le banquet... Rejoignez Minfilia et les autres Héritiers à Ul'dah avant que les festivités commencent.","","False","0x00000001","",""
"","TEXT_GAIUSE613_00425_SEQ_02<tab>You rendezvous with the other Scions on the Royal Promenade, ready for the feast. However, Minfilia reveals that you will not be making your entrance together as planned, due to an untimely request for aid from Mistress Momodi. It would seem that your presence is required at the Quicksand...","TEXT_GAIUSE613_00425_SEQ_02<tab>Vous avez retrouvé vos camarades à Ul'dah. Le banquet ne devrait pas tarder à commencer, mais Minfilia vous a transmis un message de la part de Momodi. La tenancière des Sables mouvants aimerait en effet vous voir... ","","False","0x00000002","",""
"","TEXT_GAIUSE613_00425_SEQ_03<tab>","TEXT_GAIUSE613_00425_SEQ_03<tab>","","False","0x00000003","",""
"","TEXT_GAIUSE613_00425_SEQ_04<tab>","TEXT_GAIUSE613_00425_SEQ_04<tab>","","False","0x00000004","",""
"","TEXT_GAIUSE613_00425_SEQ_05<tab>","TEXT_GAIUSE613_00425_SEQ_05<tab>","","False","0x00000005","",""
"","TEXT_GAIUSE613_00425_SEQ_06<tab>","TEXT_GAIUSE613_00425_SEQ_06<tab>","","False","0x00000006","",""
"","TEXT_GAIUSE613_00425_SEQ_07<tab>","TEXT_GAIUSE613_00425_SEQ_07<tab>","","False","0x00000007","",""
"","TEXT_GAIUSE613_00425_SEQ_08<tab>","TEXT_GAIUSE613_00425_SEQ_08<tab>","","False","0x00000008","",""
"","TEXT_GAIUSE613_00425_SEQ_09<tab>","TEXT_GAIUSE613_00425_SEQ_09<tab>","","False","0x00000009","",""
"","TEXT_GAIUSE613_00425_SEQ_10<tab>","TEXT_GAIUSE613_00425_SEQ_10<tab>","","False","0x0000000A","",""
"","TEXT_GAIUSE613_00425_SEQ_11<tab>","TEXT_GAIUSE613_00425_SEQ_11<tab>","","False","0x0000000B","",""
"","TEXT_GAIUSE613_00425_SEQ_12<tab>","TEXT_GAIUSE613_00425_SEQ_12<tab>","","False","0x0000000C","",""
"","TEXT_GAIUSE613_00425_SEQ_13<tab>","TEXT_GAIUSE613_00425_SEQ_13<tab>","","False","0x0000000D","",""
"","TEXT_GAIUSE613_00425_SEQ_14<tab>","TEXT_GAIUSE613_00425_SEQ_14<tab>","","False","0x0000000E","",""
"","TEXT_GAIUSE613_00425_SEQ_15<tab>","TEXT_GAIUSE613_00425_SEQ_15<tab>","","False","0x0000000F","",""
"","TEXT_GAIUSE613_00425_SEQ_16<tab>","TEXT_GAIUSE613_00425_SEQ_16<tab>","","False","0x00000010","",""
"","TEXT_GAIUSE613_00425_SEQ_17<tab>","TEXT_GAIUSE613_00425_SEQ_17<tab>","","False","0x00000011","",""
"","TEXT_GAIUSE613_00425_SEQ_18<tab>","TEXT_GAIUSE613_00425_SEQ_18<tab>","","False","0x00000012","",""
"","TEXT_GAIUSE613_00425_SEQ_19<tab>","TEXT_GAIUSE613_00425_SEQ_19<tab>","","False","0x00000013","",""
"","TEXT_GAIUSE613_00425_SEQ_20<tab>","TEXT_GAIUSE613_00425_SEQ_20<tab>","","False","0x00000014","",""
"","TEXT_GAIUSE613_00425_SEQ_21<tab>","TEXT_GAIUSE613_00425_SEQ_21<tab>","","False","0x00000015","",""
"","TEXT_GAIUSE613_00425_SEQ_22<tab>","TEXT_GAIUSE613_00425_SEQ_22<tab>","","False","0x00000016","",""
"","TEXT_GAIUSE613_00425_SEQ_23<tab>","TEXT_GAIUSE613_00425_SEQ_23<tab>","","False","0x00000017","",""
"","TEXT_GAIUSE613_00425_TODO_00<tab>Speak with Minfilia on the Royal Promenade.","TEXT_GAIUSE613_00425_TODO_00<tab>Parler à Minfilia, à Ul'dah","","False","0x00000018","",""
"","TEXT_GAIUSE613_00425_TODO_01<tab>","TEXT_GAIUSE613_00425_TODO_01<tab>","","False","0x00000019","",""
"","TEXT_GAIUSE613_00425_TODO_02<tab>","TEXT_GAIUSE613_00425_TODO_02<tab>","","False","0x0000001A","",""
"","TEXT_GAIUSE613_00425_TODO_03<tab>","TEXT_GAIUSE613_00425_TODO_03<tab>","","False","0x0000001B","",""
"","TEXT_GAIUSE613_00425_TODO_04<tab>","TEXT_GAIUSE613_00425_TODO_04<tab>","","False","0x0000001C","",""
"","TEXT_GAIUSE613_00425_TODO_05<tab>","TEXT_GAIUSE613_00425_TODO_05<tab>","","False","0x0000001D","",""
"","TEXT_GAIUSE613_00425_TODO_06<tab>","TEXT_GAIUSE613_00425_TODO_06<tab>","","False","0x0000001E","",""
"","TEXT_GAIUSE613_00425_TODO_07<tab>","TEXT_GAIUSE613_00425_TODO_07<tab>","","False","0x0000001F","",""
"","TEXT_GAIUSE613_00425_TODO_08<tab>","TEXT_GAIUSE613_00425_TODO_08<tab>","","False","0x00000020","",""
"","TEXT_GAIUSE613_00425_TODO_09<tab>","TEXT_GAIUSE613_00425_TODO_09<tab>","","False","0x00000021","",""
"","TEXT_GAIUSE613_00425_TODO_10<tab>","TEXT_GAIUSE613_00425_TODO_10<tab>","","False","0x00000022","",""
"","TEXT_GAIUSE613_00425_TODO_11<tab>","TEXT_GAIUSE613_00425_TODO_11<tab>","","False","0x00000023","",""
"","TEXT_GAIUSE613_00425_TODO_12<tab>","TEXT_GAIUSE613_00425_TODO_12<tab>","","False","0x00000024","",""
"","TEXT_GAIUSE613_00425_TODO_13<tab>","TEXT_GAIUSE613_00425_TODO_13<tab>","","False","0x00000025","",""
"","TEXT_GAIUSE613_00425_TODO_14<tab>","TEXT_GAIUSE613_00425_TODO_14<tab>","","False","0x00000026","",""
"","TEXT_GAIUSE613_00425_TODO_15<tab>","TEXT_GAIUSE613_00425_TODO_15<tab>","","False","0x00000027","",""
"","TEXT_GAIUSE613_00425_TODO_16<tab>","TEXT_GAIUSE613_00425_TODO_16<tab>","","False","0x00000028","",""
"","TEXT_GAIUSE613_00425_TODO_17<tab>","TEXT_GAIUSE613_00425_TODO_17<tab>","","False","0x00000029","",""
"","TEXT_GAIUSE613_00425_TODO_18<tab>","TEXT_GAIUSE613_00425_TODO_18<tab>","","False","0x0000002A","",""
"","TEXT_GAIUSE613_00425_TODO_19<tab>","TEXT_GAIUSE613_00425_TODO_19<tab>","","False","0x0000002B","",""
"","TEXT_GAIUSE613_00425_TODO_20<tab>","TEXT_GAIUSE613_00425_TODO_20<tab>","","False","0x0000002C","",""
"","TEXT_GAIUSE613_00425_TODO_21<tab>","TEXT_GAIUSE613_00425_TODO_21<tab>","","False","0x0000002D","",""
"","TEXT_GAIUSE613_00425_TODO_22<tab>","TEXT_GAIUSE613_00425_TODO_22<tab>","","False","0x0000002E","",""
"","TEXT_GAIUSE613_00425_TODO_23<tab>","TEXT_GAIUSE613_00425_TODO_23<tab>","","False","0x0000002F","",""
"","TEXT_GAIUSE613_00425_SYSTEM_100_000<tab>In order to progress in the main scenario, you must first complete certain quests in the Crystal Tower series.","TEXT_GAIUSE613_00425_SYSTEM_100_000<tab>Vous devrez avoir accompli une certaine quête de la série “Tour de Cristal” pour progresser dans celle-ci.","","False","0x00000030","",""
"","TEXT_GAIUSE613_00425_SYSTEM_100_001<tab>The Crystal Tower quest series may be undertaken by speaking with the outlandish man in Revenant's Toll.","TEXT_GAIUSE613_00425_SYSTEM_100_001<tab>Acceptez la quête proposée par l'homme étrangement vêtu au Glas des revenants et partez à l'aventure dans la Tour de Cristal<var 1D /var>!","","False","0x00000031","",""
"","TEXT_GAIUSE613_00425_MINFILIA_000_000<tab>Though recent events weigh heavily on our minds, we must needs set them aside for now.","TEXT_GAIUSE613_00425_MINFILIA_000_000<tab>Et dire que nous devrions tous être en train de nous réjouir... Mais après ce qui vient de se passer à la Fontaine d'Urth, la situation générale est loin d'être au beau fixe...","","False","0x00000032","",""
"","TEXT_GAIUSE613_00425_MINFILIA_000_001<tab>We are come to a defining moment in Eorzean history...","TEXT_GAIUSE613_00425_MINFILIA_000_001<tab>J'ai reçu des nouvelles d'Ul'dah. Le banquet en l'honneur de la victoire des Ishgardais va bientôt avoir lieu.","","False","0x00000033","",""
"","TEXT_GAIUSE613_00425_MINFILIA_000_002<tab>The grand commemoration of our joint defense of Ishgard─the first time in fifteen long years that our people have stood side by side with our neighbors to the north to fight in common cause.","TEXT_GAIUSE613_00425_MINFILIA_000_002<tab>Cela faisait quinze ans que les trois cités-États n'avaient pas collaboré avec Ishgard dans le cadre d'une opération militaire. Depuis que la sainte Cité avait quitté le giron de l'Alliance éorzéenne, en quelque sorte...","","False","0x00000034","",""
"","TEXT_GAIUSE613_00425_MINFILIA_000_003<tab>This may mark the true rebirth of the Eorzean Alliance. Failing that, it should at the very least serve to bring our nations closer together.","TEXT_GAIUSE613_00425_MINFILIA_000_003<tab>Je comprends par<var 16 /var>fai<var 16 /var>te<var 16 /var>ment que la plupart d'entre nous considèrent cette célébration comme l'occasion rêvée de renouer les liens avec le Saint-Siège et d'unir à nouveau toutes les nations d'Éorzéa sous la même bannière.","","False","0x00000035","",""
"","TEXT_GAIUSE613_00425_MINFILIA_000_004<tab>...We have every reason to raise our voices in celebration, do we not?","TEXT_GAIUSE613_00425_MINFILIA_000_004<tab>Pour être honnête, après le sacrifice de Moenbryda et le meurtre de Wilred, je ne suis vraiment pas convaincue que le moment soit bien choisi... ","","False","0x00000036","",""
"","TEXT_GAIUSE613_00425_MINFILIA_000_005<tab>We have bested Dravanians and Ascians both. Against desperate odds, we have fought and won.","TEXT_GAIUSE613_00425_MINFILIA_000_005<tab>D'un autre côté, ce n'est qu'en collaborant de près avec les Ishgardais que nous pourrons mettre un terme au complot des Asciens. Quelles que soient les cir<var 16 /var>cons<var 16 /var>tan<var 16 /var>ces, nous avons absolument besoin d'eux.","","False","0x00000037","",""
"","TEXT_GAIUSE613_00425_MINFILIA_000_006<tab>But the primals still plague us, and the Empire still plots our subjugation. And our triumphs, remarkable though they are, were bought at a terrible price.","TEXT_GAIUSE613_00425_MINFILIA_000_006<tab>Mais quand bien même nous y parviendrions, il nous resterait sur les bras les menaces sans cesse croissantes des Primordiaux et de l'Empire, sans oublier le désordre qui règne chez les Immortels...","","False","0x00000038","",""
"","TEXT_GAIUSE613_00425_MINFILIA_000_007<tab>Brave adventurers and allies, broken on the Steps of Faith. And before our eyes, in this very room, our dear friend Moenbryda...","TEXT_GAIUSE613_00425_MINFILIA_000_007<tab>Et puis, quelle sera la réaction de nos alliés lorsqu'ils apprendront la tragédie qui a frappé Wilred<var 1D /var>?","","False","0x00000039","",""
"","TEXT_GAIUSE613_00425_MINFILIA_000_008<tab>This is the victory we have wrought, and it is as bitter ashes in my mouth.","TEXT_GAIUSE613_00425_MINFILIA_000_008<tab>Parfois, j'ai le sentiment que plus nous progressons, plus nos difficultés se multiplient...","","False","0x0000003A","",""
"","TEXT_GAIUSE613_00425_MINFILIA_000_009<tab>I would sooner stay here and invite those with more appetite to enjoy the feast in my stead.","TEXT_GAIUSE613_00425_MINFILIA_000_009<tab>Pour être franche, je ne me sens vraiment pas d'humeur à fêter quoi que ce soit, mais en refusant l'invitation des Uldiens à ce banquet, je compromettrais non seulement les Héritiers, mais aussi l'Alliance éorzéenne dans sa globalité. Voilà pourquoi j'ai décidé de faire comme si tout allait bien...","","False","0x0000003B","",""
"","TEXT_GAIUSE613_00425_MINFILIA_000_010<tab>Alas, it is a royal banquet, and all of our allies will be in attendance. It is our duty to present a united front, that we might serve as a beacon of hope to all...","TEXT_GAIUSE613_00425_MINFILIA_000_010<tab>... Excuse-moi. Je ne devrais pas me laisser aller comme ça. Après tout, une fois qu'Ishgard sera de retour parmi nous, la situation s'améliorera peut-être d'elle-même.","","False","0x0000003C","",""
"","TEXT_GAIUSE613_00425_MINFILIA_000_011<tab>It seems I have no choice but to take my own advice.","TEXT_GAIUSE613_00425_MINFILIA_000_011<tab>Oui, il faut garder espoir, même si c'est tout ce qui nous reste.","","False","0x0000003D","",""
"","TEXT_GAIUSE613_00425_MINFILIA_000_012<tab>I instructed the others to meet us in Ul'dah, that we might make our grand entrance together.","TEXT_GAIUSE613_00425_MINFILIA_000_012<tab>Bien, il est temps de nous préparer. Les autres Héritiers nous retrouveront sur place.","","False","0x0000003E","",""
"","TEXT_GAIUSE613_00425_MINFILIA_000_013<tab>Unfortunately, I had to settle for leaving Tataru and Lhaminn a note. If they do not return quickly, they will have to settle for whatever leftovers I can smuggle out of the Fragrant Chamber...","TEXT_GAIUSE613_00425_MINFILIA_000_013<tab>Par contre, je n'ai pas réussi à contacter Tataru et F'lhaminn... Je vais leur laisser un message pour leur dire de ne pas s'inquiéter. Nous leur ramènerons des gâteaux préparés par les plus grands cuisiniers d'Ul'dah, je suis sûre que ça leur fera plaisir.","","False","0x0000003F","",""
"","TEXT_GAIUSE613_00425_RIOL_000_030<tab>Off to the big soirée, <var 2C ((<var 29 EB02 /var>)) (( )) 02 /var>? Raise a glass for me, eh? ...Or not. You don't look best pleased, <var 08 E905 ((lass)) ((lad)) /var>. Somethin' on yer mind?","TEXT_GAIUSE613_00425_RIOL_000_030<tab>Tiens, <var 2C ((<var 29 EB02 /var>)) (( )) 02 /var>. Eh bien, tu en fais une tête, dis-moi... Tu n'es pas heureu<var 08 E905 ((se)) ((x)) /var> à l'idée de te remplir la panse dans un des plus grands banquets de tous les temps<var 1D /var>? Que se passe-t-il<var 1D /var>?","","False","0x00000040","",""
"","TEXT_GAIUSE613_00425_RIOL_000_031<tab>By the Navigator, Wilred's dead!? Godsdammit! They must know they've been rumbled...","TEXT_GAIUSE613_00425_RIOL_000_031<tab>... C'est pas vrai<var 1D /var>!? Wilred... assassiné<var 1D /var>!?<br>Ces salopards l'ont donc fait taire à jamais<var 1D /var>!","","False","0x00000041","",""
"","TEXT_GAIUSE613_00425_RIOL_000_032<tab>I mean, er... Sod it. 'Tis past time we had this talk. After our last conversation, I got to thinkin' about where certain funds were comin' from. So I had a dig around─on the quiet, like─an' sure enough, I found it.","TEXT_GAIUSE613_00425_RIOL_000_032<tab>Écoute, j'ai mené ma petite enquête personnelle, pour tout te dire, et je crois bien avoir découvert l'origine des fonds qui atterrissaient dans les caisses des première et troisième escouades.","","False","0x00000042","",""
"","TEXT_GAIUSE613_00425_RIOL_000_033<tab>Seems a fair bit o' coin's made its way into the Braves' coffers courtesy of a “Dodo Consortium”─a daft name for a business if ever I heard one, which is what first gave me an inklin' that somethin' weren't right.","TEXT_GAIUSE613_00425_RIOL_000_033<tab>J'ai récemment appris l'existence d'une nouvelle entreprise de commerce indépendante nommée “Dodos Père & Fils”. En fouillant un peu, je me suis rendu compte que c'était une société fantôme qui n'avait jamais produit ni vendu quoi que ce soit.","","False","0x00000043","",""
"","TEXT_GAIUSE613_00425_RIOL_000_034<tab>So I went through the ledgers again, an' found another half-dozen donations from organizations with stupid bloody names. Didn't take long to find the common thread: all were owned by the Mirage Trust.","TEXT_GAIUSE613_00425_RIOL_000_034<tab>De fil en aiguille, j'ai fini par découvrir qu'elle faisait of<var 16 /var>fi<var 16 /var>ciel<var 16 /var>le<var 16 /var>ment partie du groupe Mirage. Oui, tu as bien entendu<var 1D /var>! C'est le conglomérat dirigé par Teledji Adeledji.","","False","0x00000044","",""
"","TEXT_GAIUSE613_00425_RIOL_000_035<tab>Oh, I'll give the bastard credit─he showed us up for the amateurs we are. Short o' callin' one o' his businesses the bloody “Bribery Consortium,” I don't know what more he could've done to mock our rules on financial contributions.","TEXT_GAIUSE613_00425_RIOL_000_035<tab>Pour sauvegarder leur indépendance, les Braves du Cristal ont défini des règles claires concernant les donations en argent des individus ou or<var 16 /var>ga<var 16 /var>ni<var 16 /var>sa<var 16 /var>tions extérieures. Les montants ne peuvent en aucun cas dépasser une certaine somme.","","False","0x00000045","",""
"","TEXT_GAIUSE613_00425_RIOL_000_036<tab>The gods only know how many men o' the 1st an' 3rd are takin' Teledji's coin. But now we know as some of 'em are, I'd wager me right eye they're the ones what did for Wilred.","TEXT_GAIUSE613_00425_RIOL_000_036<tab>Or, dans les documents que j'ai pu lire, il apparaît clairement que Teledji Adeledji a soudoyé les première et troisième escouades avec des pots-de-vin dépassant allègrement la limite autorisée.","","False","0x00000046","",""
"","TEXT_GAIUSE613_00425_RIOL_000_037<tab>The earnest young fool had taken to askin' the wrong kind o' questions. Bound to attract attention, he was... Should've seen it at the time─but I didn't, gods damn me...","TEXT_GAIUSE613_00425_RIOL_000_037<tab>Sans vouloir m'avancer, il est fort probable que Wilred était au courant de ces transactions et qu'il a été éliminé en conséquence.","","False","0x00000047","",""
"","TEXT_GAIUSE613_00425_RIOL_000_038<tab>Still, I don't see what Teledji hopes to accomplish. He hid his scheme with all the care of a drunk pissin' into the wind...","TEXT_GAIUSE613_00425_RIOL_000_038<tab>Mais j'ai tout de même du mal à comprendre les agissements de Teledji. Il aurait pu camoufler toute cette combine d'une manière bien plus efficace. C'est comme s'il cherchait à attirer les fouineurs...","","False","0x00000048","",""
"","TEXT_GAIUSE613_00425_RIOL_000_039<tab>No, he's cleverer than this─so we need to be clever too. That's the only way we'll ever repay this debt o' blood.","TEXT_GAIUSE613_00425_RIOL_000_039<tab>J'ai l'impression que cette affaire comporte des ramifications que nous ne soupçonnons même pas. En tout cas, il est essentiel que la mort de Wilred ne reste pas impunie. Tu peux compter sur moi pour continuer à traquer les res<var 16 /var>pon<var 16 /var>sa<var 16 /var>bles jusqu'à ce qu'ils payent pour leur crime<var 1D /var>!","","False","0x00000049","",""
"","TEXT_GAIUSE613_00425_RIOL_000_040<tab>We'll purge every one o' them traitorous bastards from our ranks! On that you have me word.","TEXT_GAIUSE613_00425_RIOL_000_040<tab>Quant aux Braves du Cristal qui ont osé trahir leur serment et faire alliance avec des puissances financières, ils devront rendre leur uniforme, foi de Riol<var 1D /var>!","","False","0x0000004A","",""
"","TEXT_GAIUSE613_00425_RIOL_000_041<tab>An' <var 2C ((<var 29 EB02 /var>)) (( )) 02 /var>─mind yerself when yer in Ul'dah, eh? We're headin' into a storm. I can smell it.","TEXT_GAIUSE613_00425_RIOL_000_041<tab>Fais bien attention à toi, <var 2C ((<var 29 EB02 /var>)) (( )) 02 /var>. Ul'dah est la ville de toutes les passions, mais derrière ses murs se cachent des dangers qui peuvent être fatals. Une célébrité comme toi doit s'attendre à être surveillée de près.","","False","0x0000004B","",""
"","TEXT_GAIUSE613_00425_RIOL_000_042<tab>...The kind what'll sweep a man overboard an' drag him under 'fore he knows it.","TEXT_GAIUSE613_00425_RIOL_000_042<tab>Le vent du désert risque de se lever très bientôt, et les Dieux savent qu'il peut tout dévaster sur son passage...","","False","0x0000004C","",""
"","TEXT_GAIUSE613_00425_YSHTOLA_000_060<tab>If I did not know better, I should think our bard had run afoul of another jilted lover...","TEXT_GAIUSE613_00425_YSHTOLA_000_060<tab>Le succès de Thancred auprès de la gent féminine semble s'être quelque peu tassé. Le pauvre chéri, il a l'air tout penaud maintenant<var 1D /var>!","","False","0x0000004D","",""
"","TEXT_GAIUSE613_00425_THANCRED_000_061<tab>Is that...? No, just my imagination.","TEXT_GAIUSE613_00425_THANCRED_000_061<tab>Hmm, ce ne serait pas la queue d'une jolie Miq... Ah non, c'est juste une peluche...","","False","0x0000004E","",""
"","TEXT_GAIUSE613_00425_THANCRED_000_062<tab>Oh, pay no attention to me. 'Tis a habit from my misspent youth, looking over my shoulder from time to time.","TEXT_GAIUSE613_00425_THANCRED_000_062<tab>P-pardon<var 1D /var>? Je faisais simplement mon travail, voyons<var 1D /var>! On ne sait jamais ce qui peut nous tomber sur le coin de la tête, il faut donc bien que quelqu'un surveille les alentours<var 1D /var>!","","False","0x0000004F","",""
"","TEXT_GAIUSE613_00425_YDA_000_063<tab>It's a banquet, so there'll definitely be food─but will there also be dancing? And if there is, will it be before or after the food? Dancing on a full stomach is no fun...but neither is being hungry... Hmm, what to do...","TEXT_GAIUSE613_00425_YDA_000_063<tab>Chouette, on va bien s'éclater<var 1D /var>! Le seul problème, c'est que je ne danse pas très bien... Tu crois que ça ira quand même<var 1D /var>?","","False","0x00000050","",""
"","TEXT_GAIUSE613_00425_PAPALYMO_000_064<tab>I do hope Yda is not under the impression that we are here to make merry. We are ostensibly the Antecedent's escort, after all.","TEXT_GAIUSE613_00425_PAPALYMO_000_064<tab>Et voilà, comme d'habitude, Yda ne pense qu'à s'amuser<var 1D /var>! Combien de fois devrai-je lui répéter que nous sommes là pour protéger Minfilia<var 1D /var>? Pfff...","","False","0x00000051","",""
"","TEXT_GAIUSE613_00425_MINFILIA_000_070<tab>We have been waiting for you, <var 2C ((<var 29 EB02 /var>)) (( )) 02 /var>. The celebration is due to begin shortly.","TEXT_GAIUSE613_00425_MINFILIA_000_070<tab>Nous voilà donc tous réunis<var 1D /var>! Les derniers préparatifs du banquet devraient bientôt être terminés.","","False","0x00000052","",""
"","TEXT_GAIUSE613_00425_MINFILIA_000_071<tab>I had hoped that we might make our introductions together, but Mistress Momodi just sent word that you are needed at the Quicksand...","TEXT_GAIUSE613_00425_MINFILIA_000_071<tab>Au fait, Momodi m'a dit qu'elle aimerait te voir. Que dirais-tu d'aller lui rendre une petite visite avant que la fête commence<var 1D /var>?","","False","0x00000053","",""
