"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_MANFST007_00447_SEQ_00<tab>Miounne has a mind to assign you a mission of great import.","TEXT_MANFST007_00447_SEQ_00<tab>Миунна собирается поручить вам миссию большой важности.","","False","0x00000000","",""
"","TEXT_MANFST007_00447_SEQ_01<tab>Miounne tells you that the Guardian Tree, held sacred by the Gridanians, may fall under Ixali attack. She gives you a letter and bids you deliver it to Bowlord Lewin at the Seat of the First Bow.","TEXT_MANFST007_00447_SEQ_01<tab>Миунна сообщает, что священное для гриданцев Страж-дерево может оказаться под атакой иксалов. Она даёт вам письмо и просит немедленно доставить его Первому луку Левину в резиденцию Первого лучника.","","False","0x00000001","",""
"","TEXT_MANFST007_00447_SEQ_02<tab>A large Ixali force has amassed at the Guardian Tree. Make all haste to Everschade, and assist in the great tree's defense.","TEXT_MANFST007_00447_SEQ_02<tab>Иксалы большим числом наводнили Вечнотень. Отправляйтесь к Страж-дереву и помогите в его защите.","","False","0x00000002","",""
"","TEXT_MANFST007_00447_SEQ_03<tab>You have succeeded in repelling the Ixal, whom evidence suggests were acting under the command of the mysterious masked mage.","TEXT_MANFST007_00447_SEQ_03<tab>Вы преуспели в уничтожении иксалов. Улики указывают на то, что они действовали по указке загадочного мага в маске.","","False","0x00000003","",""
"","TEXT_MANFST007_00447_SEQ_04<tab>What is the significance of the black crystal that was left at the scene, and who exactly are the two scholars from Sharlayan? For now, set aside your questions, and make your way back to the Seat of the First Bow, where Bowlord Lewin awaits.","TEXT_MANFST007_00447_SEQ_04<tab>Какова роль чёрного кристалла, брошенного на поле боя, и кто именно эти двое учёных из Шарлеана? Возможно, до поры стоит отложить эти вопросы — следует возвращаться в резиденцию Первого лучника, где ожидает Первый лук Левин.","","False","0x00000004","",""
"","TEXT_MANFST007_00447_SEQ_05<tab>At the Seat of the First Bow, you are graciously received by Elder Seedseer Kan<var 1F /var>E<var 1F /var>Senna. As a token of her gratitude for saving the day, she invites you to serve as Emissary in the forthcoming Greenbliss ceremony. Touched by her gesture, you are inspired anew to continue to strive for the good of Gridania.","TEXT_MANFST007_00447_SEQ_05<tab>В резиденции Первого лучника с победой вас поздравляет Верховная Жрица Кан-Э-Сенна. В качестве благодарности за службу она приглашает вас послужить Эмиссаром на грядущем Празднике Расцвета. Тронутые её жестом, вы вдохновляетесь на то, чтобы продолжать служить народу Гридании.","","False","0x00000005","",""
"","TEXT_MANFST007_00447_SEQ_06<tab>","","","False","0x00000006","",""
"","TEXT_MANFST007_00447_SEQ_07<tab>","","","False","0x00000007","",""
"","TEXT_MANFST007_00447_SEQ_08<tab>","","","False","0x00000008","",""
"","TEXT_MANFST007_00447_SEQ_09<tab>","","","False","0x00000009","",""
"","TEXT_MANFST007_00447_SEQ_10<tab>","","","False","0x0000000A","",""
"","TEXT_MANFST007_00447_SEQ_11<tab>","","","False","0x0000000B","",""
"","TEXT_MANFST007_00447_SEQ_12<tab>","","","False","0x0000000C","",""
"","TEXT_MANFST007_00447_SEQ_13<tab>","","","False","0x0000000D","",""
"","TEXT_MANFST007_00447_SEQ_14<tab>","","","False","0x0000000E","",""
"","TEXT_MANFST007_00447_SEQ_15<tab>","","","False","0x0000000F","",""
"","TEXT_MANFST007_00447_SEQ_16<tab>","","","False","0x00000010","",""
"","TEXT_MANFST007_00447_SEQ_17<tab>","","","False","0x00000011","",""
"","TEXT_MANFST007_00447_SEQ_18<tab>","","","False","0x00000012","",""
"","TEXT_MANFST007_00447_SEQ_19<tab>","","","False","0x00000013","",""
