"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_MANWIL003_00569_SEQ_00<tab>Momodi, the proprietress of the Quicksand, wants you to perform three tasks that will help you learn the fundamentals of adventuring.","","","False","0x00000000","",""
"","TEXT_MANWIL003_00569_SEQ_01<tab>Momodi has given you three tasks to perform. Should you encounter any citizens who seem to be in need of help as you make your way around Ul'dah, why not offer your services?","","","False","0x00000001","",""
"","TEXT_MANWIL003_00569_SEQ_02<tab>You have completed all three tasks. Report back to Momodi at the Quicksand.","","","False","0x00000002","",""
"","TEXT_MANWIL003_00569_SEQ_03<tab>Momodi explains that the three locations you visited will feature prominently in your adventuring life. Heed well her advice, and travel further afield as your experience grows.","","","False","0x00000003","",""
"","TEXT_MANWIL003_00569_SEQ_04<tab>","","","False","0x00000004","",""
"","TEXT_MANWIL003_00569_SEQ_05<tab>","","","False","0x00000005","",""
"","TEXT_MANWIL003_00569_SEQ_06<tab>","","","False","0x00000006","",""
"","TEXT_MANWIL003_00569_SEQ_07<tab>","","","False","0x00000007","",""
"","TEXT_MANWIL003_00569_SEQ_08<tab>","","","False","0x00000008","",""
"","TEXT_MANWIL003_00569_SEQ_09<tab>","","","False","0x00000009","",""
"","TEXT_MANWIL003_00569_SEQ_10<tab>","","","False","0x0000000A","",""
"","TEXT_MANWIL003_00569_SEQ_11<tab>","","","False","0x0000000B","",""
"","TEXT_MANWIL003_00569_SEQ_12<tab>","","","False","0x0000000C","",""
"","TEXT_MANWIL003_00569_SEQ_13<tab>","","","False","0x0000000D","",""
"","TEXT_MANWIL003_00569_SEQ_14<tab>","","","False","0x0000000E","",""
"","TEXT_MANWIL003_00569_SEQ_15<tab>","","","False","0x0000000F","",""
"","TEXT_MANWIL003_00569_SEQ_16<tab>","","","False","0x00000010","",""
"","TEXT_MANWIL003_00569_SEQ_17<tab>","","","False","0x00000011","",""
"","TEXT_MANWIL003_00569_SEQ_18<tab>","","","False","0x00000012","",""
"","TEXT_MANWIL003_00569_SEQ_19<tab>","","","False","0x00000013","",""
"","TEXT_MANWIL003_00569_SEQ_20<tab>","","","False","0x00000014","",""
"","TEXT_MANWIL003_00569_SEQ_21<tab>","","","False","0x00000015","",""
"","TEXT_MANWIL003_00569_SEQ_22<tab>","","","False","0x00000016","",""
"","TEXT_MANWIL003_00569_SEQ_23<tab>","","","False","0x00000017","",""
"","TEXT_MANWIL003_00569_TODO_00<tab>Attune yourself to the aetheryte found inside the city.","","","False","0x00000018","",""
"","TEXT_MANWIL003_00569_TODO_01<tab>Visit the Pugilists' Guild.","","","False","0x00000019","",""
"","TEXT_MANWIL003_00569_TODO_02<tab>Listen to Seseroga's explanation of the markets.","","","False","0x0000001A","",""
