"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_CLSGLD050_00611_SEQ_00<tab>Serendipity has a new task for you.","TEXT_CLSGLD050_00611_SEQ_00<tab>Serendipity has a new task for you.","","False","0x00000000","",""
"","TEXT_CLSGLD050_00611_SEQ_01<tab>Your next lesson requires that you craft three copper gorgets, for which you will need several copper ingots. Craft and deliver the gorgets to Serendipity.","TEXT_CLSGLD050_00611_SEQ_01<tab>Your next lesson requires that you craft three copper gorgets, for which you will need several copper ingots. Craft and deliver the gorgets to Serendipity.","","False","0x00000001","",""
"","TEXT_CLSGLD050_00611_SEQ_02<tab>Yet again your craftsmanship satisfies Serendipity, and yet again Gigi sees nothing worthy of praise. As a reward for your efforts, the guildmaster gives you a grinding wheel, which will aid you in your future goldsmithing endeavors.<br><br>※The next goldsmith quest will be available from Serendipity upon reaching level 10.","TEXT_CLSGLD050_00611_SEQ_02<tab>Yet again your craftsmanship satisfies Serendipity, and yet again Gigi sees nothing worthy of praise. As a reward for your efforts, the guildmaster gives you a grinding wheel, which will aid you in your future goldsmithing endeavors.<br><br>※The next goldsmith quest will be available from Serendipity upon reaching level 10.","","False","0x00000002","",""
"","TEXT_CLSGLD050_00611_SEQ_03<tab>","TEXT_CLSGLD050_00611_SEQ_03<tab>","","False","0x00000003","",""
"","TEXT_CLSGLD050_00611_SEQ_04<tab>","TEXT_CLSGLD050_00611_SEQ_04<tab>","","False","0x00000004","",""
"","TEXT_CLSGLD050_00611_SEQ_05<tab>","TEXT_CLSGLD050_00611_SEQ_05<tab>","","False","0x00000005","",""
"","TEXT_CLSGLD050_00611_SEQ_06<tab>","TEXT_CLSGLD050_00611_SEQ_06<tab>","","False","0x00000006","",""
"","TEXT_CLSGLD050_00611_SEQ_07<tab>","TEXT_CLSGLD050_00611_SEQ_07<tab>","","False","0x00000007","",""
"","TEXT_CLSGLD050_00611_SEQ_08<tab>","TEXT_CLSGLD050_00611_SEQ_08<tab>","","False","0x00000008","",""
"","TEXT_CLSGLD050_00611_SEQ_09<tab>","TEXT_CLSGLD050_00611_SEQ_09<tab>","","False","0x00000009","",""
"","TEXT_CLSGLD050_00611_SEQ_10<tab>","TEXT_CLSGLD050_00611_SEQ_10<tab>","","False","0x0000000A","",""
"","TEXT_CLSGLD050_00611_SEQ_11<tab>","TEXT_CLSGLD050_00611_SEQ_11<tab>","","False","0x0000000B","",""
"","TEXT_CLSGLD050_00611_SEQ_12<tab>","TEXT_CLSGLD050_00611_SEQ_12<tab>","","False","0x0000000C","",""
"","TEXT_CLSGLD050_00611_SEQ_13<tab>","TEXT_CLSGLD050_00611_SEQ_13<tab>","","False","0x0000000D","",""
"","TEXT_CLSGLD050_00611_SEQ_14<tab>","TEXT_CLSGLD050_00611_SEQ_14<tab>","","False","0x0000000E","",""
"","TEXT_CLSGLD050_00611_SEQ_15<tab>","TEXT_CLSGLD050_00611_SEQ_15<tab>","","False","0x0000000F","",""
"","TEXT_CLSGLD050_00611_SEQ_16<tab>","TEXT_CLSGLD050_00611_SEQ_16<tab>","","False","0x00000010","",""
"","TEXT_CLSGLD050_00611_SEQ_17<tab>","TEXT_CLSGLD050_00611_SEQ_17<tab>","","False","0x00000011","",""
"","TEXT_CLSGLD050_00611_SEQ_18<tab>","TEXT_CLSGLD050_00611_SEQ_18<tab>","","False","0x00000012","",""
"","TEXT_CLSGLD050_00611_SEQ_19<tab>","TEXT_CLSGLD050_00611_SEQ_19<tab>","","False","0x00000013","",""
"","TEXT_CLSGLD050_00611_SEQ_20<tab>","TEXT_CLSGLD050_00611_SEQ_20<tab>","","False","0x00000014","",""
"","TEXT_CLSGLD050_00611_SEQ_21<tab>","TEXT_CLSGLD050_00611_SEQ_21<tab>","","False","0x00000015","",""
"","TEXT_CLSGLD050_00611_SEQ_22<tab>","TEXT_CLSGLD050_00611_SEQ_22<tab>","","False","0x00000016","",""
"","TEXT_CLSGLD050_00611_SEQ_23<tab>","TEXT_CLSGLD050_00611_SEQ_23<tab>","","False","0x00000017","",""
"","TEXT_CLSGLD050_00611_TODO_00<tab>Deliver copper gorgets to Serendipity.","TEXT_CLSGLD050_00611_TODO_00<tab>Deliver copper gorgets to Serendipity.","","False","0x00000018","",""
"","TEXT_CLSGLD050_00611_TODO_01<tab>","TEXT_CLSGLD050_00611_TODO_01<tab>","","False","0x00000019","",""
"","TEXT_CLSGLD050_00611_TODO_02<tab>","TEXT_CLSGLD050_00611_TODO_02<tab>","","False","0x0000001A","",""
