"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_MANSEA302_00681_SEQ_00<tab>The Maelstrom recruitment officer seems eager to welcome you to Limsa Lominsa's Grand Company.","","","False","0x00000000","",""
"","TEXT_MANSEA302_00681_SEQ_01<tab>You have confirmed your intention to join the ranks of the Maelstrom. Visit Maelstrom Command in Limsa Lominsa, and speak with the personnel officer to be formally inducted into the Grand Company.","","","False","0x00000001","",""
"","TEXT_MANSEA302_00681_SEQ_02<tab>Your formal induction into the Maelstrom is interrupted by an urgent report concerning an imperial attack on a Highwind Skyways airship. Head to Cedarwood and determine the fate of the crippled vessel and its crew.","","","False","0x00000002","",""
"","TEXT_MANSEA302_00681_SEQ_03<tab>You have defeated the imperial soldiers intent on requisitioning the downed airship. You learn that the vessel's crew, Biggs and Wedge, are engineers from Garlond Ironworks, and that Master Garlond himself has been missing since the Calamity. Return to Maelstrom Command and report to the personnel officer.","","","False","0x00000003","",""
"","TEXT_MANSEA302_00681_SEQ_04<tab>Back at Maelstrom Command, the personnel officer praises your efforts, and assures you that the two engineers you encountered made it home without further incident. He then expresses his eagerness to complete your induction into the ranks of the Maelstrom. Speak with him once more when you are ready to attend to the formalities.","","","False","0x00000004","",""
"","TEXT_MANSEA302_00681_SEQ_05<tab>","","","False","0x00000005","",""
"","TEXT_MANSEA302_00681_SEQ_06<tab>","","","False","0x00000006","",""
"","TEXT_MANSEA302_00681_SEQ_07<tab>","","","False","0x00000007","",""
"","TEXT_MANSEA302_00681_SEQ_08<tab>","","","False","0x00000008","",""
"","TEXT_MANSEA302_00681_SEQ_09<tab>","","","False","0x00000009","",""
"","TEXT_MANSEA302_00681_SEQ_10<tab>","","","False","0x0000000A","",""
"","TEXT_MANSEA302_00681_SEQ_11<tab>","","","False","0x0000000B","",""
"","TEXT_MANSEA302_00681_SEQ_12<tab>","","","False","0x0000000C","",""
"","TEXT_MANSEA302_00681_SEQ_13<tab>","","","False","0x0000000D","",""
"","TEXT_MANSEA302_00681_SEQ_14<tab>","","","False","0x0000000E","",""
"","TEXT_MANSEA302_00681_SEQ_15<tab>","","","False","0x0000000F","",""
"","TEXT_MANSEA302_00681_SEQ_16<tab>","","","False","0x00000010","",""
"","TEXT_MANSEA302_00681_SEQ_17<tab>","","","False","0x00000011","",""
"","TEXT_MANSEA302_00681_SEQ_18<tab>","","","False","0x00000012","",""
"","TEXT_MANSEA302_00681_SEQ_19<tab>","","","False","0x00000013","",""
"","TEXT_MANSEA302_00681_SEQ_20<tab>","","","False","0x00000014","",""
"","TEXT_MANSEA302_00681_SEQ_21<tab>","","","False","0x00000015","",""
"","TEXT_MANSEA302_00681_SEQ_22<tab>","","","False","0x00000016","",""
"","TEXT_MANSEA302_00681_SEQ_23<tab>","","","False","0x00000017","",""
"","TEXT_MANSEA302_00681_TODO_00<tab>Speak with the personnel officer at Maelstrom Command.","","","False","0x00000018","",""
"","TEXT_MANSEA302_00681_TODO_01<tab>Head to Cedarwood and determine the fate of the airship and its crew.","","","False","0x00000019","",""
"","TEXT_MANSEA302_00681_TODO_02<tab>Speak with the personnel officer at Maelstrom Command.","","","False","0x0000001A","",""
"","TEXT_MANSEA302_00681_TODO_03<tab>","","","False","0x0000001B","",""
"","TEXT_MANSEA302_00681_TODO_04<tab>","","","False","0x0000001C","",""
"","TEXT_MANSEA302_00681_TODO_05<tab>","","","False","0x0000001D","",""
"","TEXT_MANSEA302_00681_TODO_06<tab>","","","False","0x0000001E","",""
"","TEXT_MANSEA302_00681_TODO_07<tab>","","","False","0x0000001F","",""
"","TEXT_MANSEA302_00681_TODO_08<tab>","","","False","0x00000020","",""
"","TEXT_MANSEA302_00681_TODO_09<tab>","","","False","0x00000021","",""
"","TEXT_MANSEA302_00681_TODO_10<tab>","","","False","0x00000022","",""
"","TEXT_MANSEA302_00681_TODO_11<tab>","","","False","0x00000023","",""
"","TEXT_MANSEA302_00681_TODO_12<tab>","","","False","0x00000024","",""
"","TEXT_MANSEA302_00681_TODO_13<tab>","","","False","0x00000025","",""
"","TEXT_MANSEA302_00681_TODO_14<tab>","","","False","0x00000026","",""
"","TEXT_MANSEA302_00681_TODO_15<tab>","","","False","0x00000027","",""
"","TEXT_MANSEA302_00681_TODO_16<tab>","","","False","0x00000028","",""
"","TEXT_MANSEA302_00681_TODO_17<tab>","","","False","0x00000029","",""
"","TEXT_MANSEA302_00681_TODO_18<tab>","","","False","0x0000002A","",""
"","TEXT_MANSEA302_00681_TODO_19<tab>","","","False","0x0000002B","",""
"","TEXT_MANSEA302_00681_TODO_20<tab>","","","False","0x0000002C","",""
"","TEXT_MANSEA302_00681_TODO_21<tab>","","","False","0x0000002D","",""
"","TEXT_MANSEA302_00681_TODO_22<tab>","","","False","0x0000002E","",""
"","TEXT_MANSEA302_00681_TODO_23<tab>","","","False","0x0000002F","",""
"","TEXT_MANSEA302_00681_STORMOFFICER_000_1<tab>How was the Admiral's speech? Ah, but you need not explain─that you stand before me now is answer enough. You have resolved to join the Maelstrom, have you not?","","","False","0x00000030","",""
"","TEXT_MANSEA302_00681_Q1_000_1<tab>Join the Maelstrom?","","","False","0x00000031","",""
