"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_SUBWIL026_00623_SEQ_00<tab>Momodi of the Quicksand has word of work for a willing adventurer.","TEXT_SUBWIL026_00623_SEQ_00<tab>Momodi of the Quicksand has word of work for a willing adventurer.","","False","0x00000000","",""
"","TEXT_SUBWIL026_00623_SEQ_01<tab>Momodi informs you that Dadanen, a merchant who deals in precious stones, is seeking the aid of an able adventurer. Travel to the settlement of Horizon in western Thanalan and see what work he offers.","TEXT_SUBWIL026_00623_SEQ_01<tab>Momodi informs you that Dadanen, a merchant who deals in precious stones, is seeking the aid of an able adventurer. Travel to the settlement of Horizon in western Thanalan and see what work he offers.","","False","0x00000001","",""
"","TEXT_SUBWIL026_00623_SEQ_02<tab>Dadanen tells you that Horizon's role as a center for trade means there is always work to be found. Look around the settlement and see what it has to offer.","TEXT_SUBWIL026_00623_SEQ_02<tab>Dadanen tells you that Horizon's role as a center for trade means there is always work to be found. Look around the settlement and see what it has to offer.","","False","0x00000002","",""
"","TEXT_SUBWIL026_00623_SEQ_03<tab>","TEXT_SUBWIL026_00623_SEQ_03<tab>","","False","0x00000003","",""
"","TEXT_SUBWIL026_00623_SEQ_04<tab>","TEXT_SUBWIL026_00623_SEQ_04<tab>","","False","0x00000004","",""
"","TEXT_SUBWIL026_00623_SEQ_05<tab>","TEXT_SUBWIL026_00623_SEQ_05<tab>","","False","0x00000005","",""
"","TEXT_SUBWIL026_00623_SEQ_06<tab>","TEXT_SUBWIL026_00623_SEQ_06<tab>","","False","0x00000006","",""
"","TEXT_SUBWIL026_00623_SEQ_07<tab>","TEXT_SUBWIL026_00623_SEQ_07<tab>","","False","0x00000007","",""
"","TEXT_SUBWIL026_00623_SEQ_08<tab>","TEXT_SUBWIL026_00623_SEQ_08<tab>","","False","0x00000008","",""
"","TEXT_SUBWIL026_00623_SEQ_09<tab>","TEXT_SUBWIL026_00623_SEQ_09<tab>","","False","0x00000009","",""
"","TEXT_SUBWIL026_00623_SEQ_10<tab>","TEXT_SUBWIL026_00623_SEQ_10<tab>","","False","0x0000000A","",""
"","TEXT_SUBWIL026_00623_SEQ_11<tab>","TEXT_SUBWIL026_00623_SEQ_11<tab>","","False","0x0000000B","",""
"","TEXT_SUBWIL026_00623_SEQ_12<tab>","TEXT_SUBWIL026_00623_SEQ_12<tab>","","False","0x0000000C","",""
"","TEXT_SUBWIL026_00623_SEQ_13<tab>","TEXT_SUBWIL026_00623_SEQ_13<tab>","","False","0x0000000D","",""
"","TEXT_SUBWIL026_00623_SEQ_14<tab>","TEXT_SUBWIL026_00623_SEQ_14<tab>","","False","0x0000000E","",""
"","TEXT_SUBWIL026_00623_SEQ_15<tab>","TEXT_SUBWIL026_00623_SEQ_15<tab>","","False","0x0000000F","",""
"","TEXT_SUBWIL026_00623_SEQ_16<tab>","TEXT_SUBWIL026_00623_SEQ_16<tab>","","False","0x00000010","",""
"","TEXT_SUBWIL026_00623_SEQ_17<tab>","TEXT_SUBWIL026_00623_SEQ_17<tab>","","False","0x00000011","",""
"","TEXT_SUBWIL026_00623_SEQ_18<tab>","TEXT_SUBWIL026_00623_SEQ_18<tab>","","False","0x00000012","",""
"","TEXT_SUBWIL026_00623_SEQ_19<tab>","TEXT_SUBWIL026_00623_SEQ_19<tab>","","False","0x00000013","",""
"","TEXT_SUBWIL026_00623_SEQ_20<tab>","TEXT_SUBWIL026_00623_SEQ_20<tab>","","False","0x00000014","",""
"","TEXT_SUBWIL026_00623_SEQ_21<tab>","TEXT_SUBWIL026_00623_SEQ_21<tab>","","False","0x00000015","",""
"","TEXT_SUBWIL026_00623_SEQ_22<tab>","TEXT_SUBWIL026_00623_SEQ_22<tab>","","False","0x00000016","",""
"","TEXT_SUBWIL026_00623_SEQ_23<tab>","TEXT_SUBWIL026_00623_SEQ_23<tab>","","False","0x00000017","",""
"","TEXT_SUBWIL026_00623_TODO_00<tab>Speak with Dadanen at Horizon.","TEXT_SUBWIL026_00623_TODO_00<tab>Speak with Dadanen at Horizon.","","False","0x00000018","",""
"","TEXT_SUBWIL026_00623_TODO_01<tab>","TEXT_SUBWIL026_00623_TODO_01<tab>","","False","0x00000019","",""
"","TEXT_SUBWIL026_00623_TODO_02<tab>","TEXT_SUBWIL026_00623_TODO_02<tab>","","False","0x0000001A","",""
"","TEXT_SUBWIL026_00623_TODO_03<tab>","TEXT_SUBWIL026_00623_TODO_03<tab>","","False","0x0000001B","",""
"","TEXT_SUBWIL026_00623_TODO_04<tab>","TEXT_SUBWIL026_00623_TODO_04<tab>","","False","0x0000001C","",""
"","TEXT_SUBWIL026_00623_TODO_05<tab>","TEXT_SUBWIL026_00623_TODO_05<tab>","","False","0x0000001D","",""
"","TEXT_SUBWIL026_00623_TODO_06<tab>","TEXT_SUBWIL026_00623_TODO_06<tab>","","False","0x0000001E","",""
"","TEXT_SUBWIL026_00623_TODO_07<tab>","TEXT_SUBWIL026_00623_TODO_07<tab>","","False","0x0000001F","",""
"","TEXT_SUBWIL026_00623_TODO_08<tab>","TEXT_SUBWIL026_00623_TODO_08<tab>","","False","0x00000020","",""
"","TEXT_SUBWIL026_00623_TODO_09<tab>","TEXT_SUBWIL026_00623_TODO_09<tab>","","False","0x00000021","",""
"","TEXT_SUBWIL026_00623_TODO_10<tab>","TEXT_SUBWIL026_00623_TODO_10<tab>","","False","0x00000022","",""
"","TEXT_SUBWIL026_00623_TODO_11<tab>","TEXT_SUBWIL026_00623_TODO_11<tab>","","False","0x00000023","",""
"","TEXT_SUBWIL026_00623_TODO_12<tab>","TEXT_SUBWIL026_00623_TODO_12<tab>","","False","0x00000024","",""
"","TEXT_SUBWIL026_00623_TODO_13<tab>","TEXT_SUBWIL026_00623_TODO_13<tab>","","False","0x00000025","",""
"","TEXT_SUBWIL026_00623_TODO_14<tab>","TEXT_SUBWIL026_00623_TODO_14<tab>","","False","0x00000026","",""
"","TEXT_SUBWIL026_00623_TODO_15<tab>","TEXT_SUBWIL026_00623_TODO_15<tab>","","False","0x00000027","",""
"","TEXT_SUBWIL026_00623_TODO_16<tab>","TEXT_SUBWIL026_00623_TODO_16<tab>","","False","0x00000028","",""
"","TEXT_SUBWIL026_00623_TODO_17<tab>","TEXT_SUBWIL026_00623_TODO_17<tab>","","False","0x00000029","",""
"","TEXT_SUBWIL026_00623_TODO_18<tab>","TEXT_SUBWIL026_00623_TODO_18<tab>","","False","0x0000002A","",""
"","TEXT_SUBWIL026_00623_TODO_19<tab>","TEXT_SUBWIL026_00623_TODO_19<tab>","","False","0x0000002B","",""
"","TEXT_SUBWIL026_00623_TODO_20<tab>","TEXT_SUBWIL026_00623_TODO_20<tab>","","False","0x0000002C","",""
"","TEXT_SUBWIL026_00623_TODO_21<tab>","TEXT_SUBWIL026_00623_TODO_21<tab>","","False","0x0000002D","",""
"","TEXT_SUBWIL026_00623_TODO_22<tab>","TEXT_SUBWIL026_00623_TODO_22<tab>","","False","0x0000002E","",""
"","TEXT_SUBWIL026_00623_TODO_23<tab>","TEXT_SUBWIL026_00623_TODO_23<tab>","","False","0x0000002F","",""
"","TEXT_SUBWIL026_00623_MOMODI_000_1<tab>Look what the coeurl dragged in. Good to see you, <var 2C ((<var 29 EB02 /var>)) (( )) 02 /var>. I'd ask what brings you, but I reckon we both know the answer to that already.","TEXT_SUBWIL026_00623_MOMODI_000_1<tab>Look what the coeurl dragged in. Good to see you, <var 2C ((<var 29 EB02 /var>)) (( )) 02 /var>. I'd ask what brings you, but I reckon we both know the answer to that already.","","False","0x00000030","",""
"","TEXT_SUBWIL026_00623_MOMODI_000_2<tab>Well, have I ever let you down before? Wait, don't answer that... ","TEXT_SUBWIL026_00623_MOMODI_000_2<tab>Well, have I ever let you down before? Wait, don't answer that... ","","False","0x00000031","",""
"","TEXT_SUBWIL026_00623_MOMODI_000_3<tab>So happens I know a fella by the name of Dadanen who needs a hand. He's a merchant by trade, sellin' precious stones to those in Ul'dah with the means to buy them.","TEXT_SUBWIL026_00623_MOMODI_000_3<tab>So happens I know a fella by the name of Dadanen who needs a hand. He's a merchant by trade, sellin' precious stones to those in Ul'dah with the means to buy them.","","False","0x00000032","",""
