"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_SUBWIL119_00629_SEQ_00<tab>Eaduuard wants to make a tombstone for his late sister.","TEXT_SUBWIL119_00629_SEQ_00<tab>Eaduuard sucht nach einem Stein für das Grab seiner Schwester.","","False","0x00000000","",""
"","TEXT_SUBWIL119_00629_SEQ_01<tab>Eaduuard wants a solemn tombstone made that is worthy of his late sister. Find for him some cloud marble in the outcrops to the east.","TEXT_SUBWIL119_00629_SEQ_01<tab>Eaduuard möchte seiner Schwester ein schönes Grab herrichten. Dafür hätte er gerne einen der leuchtenden Steine, die sich auf einem Feld östlich der Kirche finden lassen. ","","False","0x00000001","",""
"","TEXT_SUBWIL119_00629_SEQ_02<tab>You have obtained the cloud marble. Take it to Brother Esmour at the Church of Saint Adama Landama.","TEXT_SUBWIL119_00629_SEQ_02<tab>Du hast einen geeigneten Stein gefunden. Bringe ihn zu Esmour in der Sankt Adama Landama-Kirche.","","False","0x00000002","",""
"","TEXT_SUBWIL119_00629_SEQ_03<tab>Brother Esmour seems displeased at Eaduuard's adamance for getting the cloud marble, but he understands the child's need to grieve in his own way. Speak with Eaduuard and let him know his stone has been acquired.","TEXT_SUBWIL119_00629_SEQ_03<tab>Du hast den Stein bei Esmour abgeliefert. Sag Eaduuard, dass alles erledigt ist.","","False","0x00000003","",""
"","TEXT_SUBWIL119_00629_SEQ_04<tab>Eaduuard is relieved that the tombstone for his sister can now be prepared using the proper materials. However, it seems he will have to work at the church for a while in order to cover the expenses of the funeral.","TEXT_SUBWIL119_00629_SEQ_04<tab>Eaduuard schien sehr erleichtert, dass er seiner Schwester nun ein schönes Grab herrichten kann. Die Kosten für das Begräbnis will der stolze Junge durch Hilfsarbeiten in der Gemeinde abbezahlen.","","False","0x00000004","",""
"","TEXT_SUBWIL119_00629_SEQ_05<tab>","TEXT_SUBWIL119_00629_SEQ_05<tab>","","False","0x00000005","",""
"","TEXT_SUBWIL119_00629_SEQ_06<tab>","TEXT_SUBWIL119_00629_SEQ_06<tab>","","False","0x00000006","",""
"","TEXT_SUBWIL119_00629_SEQ_07<tab>","TEXT_SUBWIL119_00629_SEQ_07<tab>","","False","0x00000007","",""
"","TEXT_SUBWIL119_00629_SEQ_08<tab>","TEXT_SUBWIL119_00629_SEQ_08<tab>","","False","0x00000008","",""
"","TEXT_SUBWIL119_00629_SEQ_09<tab>","TEXT_SUBWIL119_00629_SEQ_09<tab>","","False","0x00000009","",""
"","TEXT_SUBWIL119_00629_SEQ_10<tab>","TEXT_SUBWIL119_00629_SEQ_10<tab>","","False","0x0000000A","",""
"","TEXT_SUBWIL119_00629_SEQ_11<tab>","TEXT_SUBWIL119_00629_SEQ_11<tab>","","False","0x0000000B","",""
"","TEXT_SUBWIL119_00629_SEQ_12<tab>","TEXT_SUBWIL119_00629_SEQ_12<tab>","","False","0x0000000C","",""
"","TEXT_SUBWIL119_00629_SEQ_13<tab>","TEXT_SUBWIL119_00629_SEQ_13<tab>","","False","0x0000000D","",""
"","TEXT_SUBWIL119_00629_SEQ_14<tab>","TEXT_SUBWIL119_00629_SEQ_14<tab>","","False","0x0000000E","",""
"","TEXT_SUBWIL119_00629_SEQ_15<tab>","TEXT_SUBWIL119_00629_SEQ_15<tab>","","False","0x0000000F","",""
"","TEXT_SUBWIL119_00629_SEQ_16<tab>","TEXT_SUBWIL119_00629_SEQ_16<tab>","","False","0x00000010","",""
"","TEXT_SUBWIL119_00629_SEQ_17<tab>","TEXT_SUBWIL119_00629_SEQ_17<tab>","","False","0x00000011","",""
"","TEXT_SUBWIL119_00629_SEQ_18<tab>","TEXT_SUBWIL119_00629_SEQ_18<tab>","","False","0x00000012","",""
"","TEXT_SUBWIL119_00629_SEQ_19<tab>","TEXT_SUBWIL119_00629_SEQ_19<tab>","","False","0x00000013","",""
"","TEXT_SUBWIL119_00629_SEQ_20<tab>","TEXT_SUBWIL119_00629_SEQ_20<tab>","","False","0x00000014","",""
"","TEXT_SUBWIL119_00629_SEQ_21<tab>","TEXT_SUBWIL119_00629_SEQ_21<tab>","","False","0x00000015","",""
"","TEXT_SUBWIL119_00629_SEQ_22<tab>","TEXT_SUBWIL119_00629_SEQ_22<tab>","","False","0x00000016","",""
"","TEXT_SUBWIL119_00629_SEQ_23<tab>","TEXT_SUBWIL119_00629_SEQ_23<tab>","","False","0x00000017","",""
"","TEXT_SUBWIL119_00629_TODO_00<tab>Obtain a slab of cloud marble.","TEXT_SUBWIL119_00629_TODO_00<tab>Leuchtenden Stein finden","","False","0x00000018","",""
"","TEXT_SUBWIL119_00629_TODO_01<tab>Deliver the cloud marble to Brother Esmour.","TEXT_SUBWIL119_00629_TODO_01<tab>Leuchtenden Stein bei Esmour abliefern","","False","0x00000019","",""
"","TEXT_SUBWIL119_00629_TODO_02<tab>Report to Eaduuard.","TEXT_SUBWIL119_00629_TODO_02<tab>Mit Eaduuard sprechen","","False","0x0000001A","",""
"","TEXT_SUBWIL119_00629_TODO_03<tab>","TEXT_SUBWIL119_00629_TODO_03<tab>","","False","0x0000001B","",""
"","TEXT_SUBWIL119_00629_TODO_04<tab>","TEXT_SUBWIL119_00629_TODO_04<tab>","","False","0x0000001C","",""
"","TEXT_SUBWIL119_00629_TODO_05<tab>","TEXT_SUBWIL119_00629_TODO_05<tab>","","False","0x0000001D","",""
"","TEXT_SUBWIL119_00629_TODO_06<tab>","TEXT_SUBWIL119_00629_TODO_06<tab>","","False","0x0000001E","",""
"","TEXT_SUBWIL119_00629_TODO_07<tab>","TEXT_SUBWIL119_00629_TODO_07<tab>","","False","0x0000001F","",""
"","TEXT_SUBWIL119_00629_TODO_08<tab>","TEXT_SUBWIL119_00629_TODO_08<tab>","","False","0x00000020","",""
"","TEXT_SUBWIL119_00629_TODO_09<tab>","TEXT_SUBWIL119_00629_TODO_09<tab>","","False","0x00000021","",""
"","TEXT_SUBWIL119_00629_TODO_10<tab>","TEXT_SUBWIL119_00629_TODO_10<tab>","","False","0x00000022","",""
"","TEXT_SUBWIL119_00629_TODO_11<tab>","TEXT_SUBWIL119_00629_TODO_11<tab>","","False","0x00000023","",""
"","TEXT_SUBWIL119_00629_TODO_12<tab>","TEXT_SUBWIL119_00629_TODO_12<tab>","","False","0x00000024","",""
