"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_GAIUSA101_00715_SEQ_00<tab>Rolfe Hawthorne has gift wrapped your offering in preparation for your journey into the sylphs' demesne.","TEXT_GAIUSA101_00715_SEQ_00<tab>Рольф Хоторн готовит вас к путешествию в дом сильфов и уже завернул подарок.","","False","0x00000000","",""
"","TEXT_GAIUSA101_00715_SEQ_01<tab>Rolfe has kindly gift wrapped the milkroot for the sylphs, and wishes you luck in your envoy endeavors. Before you leave, however, he bids you speak with Amelain.","TEXT_GAIUSA101_00715_SEQ_01<tab>Из добрых побуждений Рольф заворачивает для вас подношение сильфам — молочный корень, и желает вам удачи в вашей дипломатической миссии. Однако пока вы не ушли, Рольф просит поговорить вас с Амелейн.","","False","0x00000001","",""
"","TEXT_GAIUSA101_00715_SEQ_02<tab>Amelain has entrusted you with a missive penned by the Elder Seedseer herself. Deliver it safely to Komuxio at Little Solace.","TEXT_GAIUSA101_00715_SEQ_02<tab>Амелейн вручает вам свиток, подписанный собственноручно Верховной Жрицей. Проследите, чтобы он без происшествий попал к Комуксио в Покои Малышей.","","False","0x00000002","",""
"","TEXT_GAIUSA101_00715_SEQ_03<tab>You have found Komuxio in Little Solace, but he seems unmoved by your words of greeting alone. Perform a sprightly /dance for him as a show of goodwill.","TEXT_GAIUSA101_00715_SEQ_03<tab>Вы отыскали Комуксио в Покоях Малышей, но тот совершенно не реагирует на ваши слова приветствия. Исполните зажигательный танец (/dance), чтобы показать свои добрые намерения.","","False","0x00000003","",""
"","TEXT_GAIUSA101_00715_SEQ_04<tab>Pleased by your dance, Komuxio now seems more willing to hear you out. Present him with the milkroot and the letter to the elder as proof that you come in peace.","TEXT_GAIUSA101_00715_SEQ_04<tab>Довольный вашим танцем, Комуксио теперь более расположен к разговору. Передайте ему молочный корень и письмо, адресованное старосте поселения, в качестве доказательства того, что вы пришли с миром.","","False","0x00000004","",""
"","TEXT_GAIUSA101_00715_SEQ_05<tab>Despite accepting your gifts, Komuxio remains unconvinced as to your intentions. Is there no way to gain the sylph's trust and secure an audience with the elder of Little Solace?","TEXT_GAIUSA101_00715_SEQ_05<tab>Комуксио принимает ваши дары, однако всё ещё не убеждён в доброте ваших намерений. Неужели больше нет никакого способа заработать доверие сильфов и обеспечить себе аудиенцию со старостой Покоев Малышей?","","False","0x00000005","",""
"","TEXT_GAIUSA101_00715_SEQ_06<tab>","","","False","0x00000006","",""
"","TEXT_GAIUSA101_00715_SEQ_07<tab>","","","False","0x00000007","",""
"","TEXT_GAIUSA101_00715_SEQ_08<tab>","","","False","0x00000008","",""
"","TEXT_GAIUSA101_00715_SEQ_09<tab>","","","False","0x00000009","",""
"","TEXT_GAIUSA101_00715_SEQ_10<tab>","","","False","0x0000000A","",""
"","TEXT_GAIUSA101_00715_SEQ_11<tab>","","","False","0x0000000B","",""
"","TEXT_GAIUSA101_00715_SEQ_12<tab>","","","False","0x0000000C","",""
"","TEXT_GAIUSA101_00715_SEQ_13<tab>","","","False","0x0000000D","",""
"","TEXT_GAIUSA101_00715_SEQ_14<tab>","","","False","0x0000000E","",""
"","TEXT_GAIUSA101_00715_SEQ_15<tab>","","","False","0x0000000F","",""
"","TEXT_GAIUSA101_00715_SEQ_16<tab>","","","False","0x00000010","",""
"","TEXT_GAIUSA101_00715_SEQ_17<tab>","","","False","0x00000011","",""
"","TEXT_GAIUSA101_00715_SEQ_18<tab>","","","False","0x00000012","",""
"","TEXT_GAIUSA101_00715_SEQ_19<tab>","","","False","0x00000013","",""
"","TEXT_GAIUSA101_00715_SEQ_20<tab>","","","False","0x00000014","",""
"","TEXT_GAIUSA101_00715_SEQ_21<tab>","","","False","0x00000015","",""
"","TEXT_GAIUSA101_00715_SEQ_22<tab>","","","False","0x00000016","",""
"","TEXT_GAIUSA101_00715_SEQ_23<tab>","","","False","0x00000017","",""
"","TEXT_GAIUSA101_00715_TODO_00<tab>Speak with Amelain.","TEXT_GAIUSA101_00715_TODO_00<tab>Поговорите с Амелейн.","","False","0x00000018","",""
"","TEXT_GAIUSA101_00715_TODO_01<tab>Speak with Komuxio at Little Solace.","TEXT_GAIUSA101_00715_TODO_01<tab>Поговорите с Комуксио в Покоях Малышей.","","False","0x00000019","",""
"","TEXT_GAIUSA101_00715_TODO_02<tab>Perform a /dance for Komuxio.","TEXT_GAIUSA101_00715_TODO_02<tab>Исполните танец (/dance) для Комуксио.","","False","0x0000001A","",""
"","TEXT_GAIUSA101_00715_TODO_03<tab>Deliver the milkroot and letter to Komuxio.","TEXT_GAIUSA101_00715_TODO_03<tab>Передайте Комуксио молочный корень и письмо.","","False","0x0000001B","",""
"","TEXT_GAIUSA101_00715_TODO_04<tab>","","","False","0x0000001C","",""
"","TEXT_GAIUSA101_00715_TODO_05<tab>","","","False","0x0000001D","",""
"","TEXT_GAIUSA101_00715_TODO_06<tab>","","","False","0x0000001E","",""
"","TEXT_GAIUSA101_00715_TODO_07<tab>","","","False","0x0000001F","",""
"","TEXT_GAIUSA101_00715_TODO_08<tab>","","","False","0x00000020","",""
"","TEXT_GAIUSA101_00715_TODO_09<tab>","","","False","0x00000021","",""
"","TEXT_GAIUSA101_00715_TODO_10<tab>","","","False","0x00000022","",""
"","TEXT_GAIUSA101_00715_TODO_11<tab>","","","False","0x00000023","",""
"","TEXT_GAIUSA101_00715_TODO_12<tab>","","","False","0x00000024","",""
"","TEXT_GAIUSA101_00715_TODO_13<tab>","","","False","0x00000025","",""
"","TEXT_GAIUSA101_00715_TODO_14<tab>","","","False","0x00000026","",""
"","TEXT_GAIUSA101_00715_TODO_15<tab>","","","False","0x00000027","",""
"","TEXT_GAIUSA101_00715_TODO_16<tab>","","","False","0x00000028","",""
"","TEXT_GAIUSA101_00715_TODO_17<tab>","","","False","0x00000029","",""
"","TEXT_GAIUSA101_00715_TODO_18<tab>","","","False","0x0000002A","",""
"","TEXT_GAIUSA101_00715_TODO_19<tab>","","","False","0x0000002B","",""
"","TEXT_GAIUSA101_00715_TODO_20<tab>","","","False","0x0000002C","",""
"","TEXT_GAIUSA101_00715_TODO_21<tab>","","","False","0x0000002D","",""
"","TEXT_GAIUSA101_00715_TODO_22<tab>","","","False","0x0000002E","",""
"","TEXT_GAIUSA101_00715_TODO_23<tab>","","","False","0x0000002F","",""
"","TEXT_GAIUSA101_00715_ROLFE_000_000<tab>I've taken the liberty of wrapping your milkroot well and good. This should keep it nice and fresh, not to mention spare you from that gods-awful stench.","TEXT_GAIUSA101_00715_ROLFE_000_000<tab>Я позволил себе хорошенечко завернуть молочный корень. Упаковка продержит его свежим подольше... и заодно спасёт тебя от этой мерзкой вони.","","False","0x00000030","",""
